latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.5274,-10.4547,327.4,1.8,1.3,2021-01-02,1434,Aqua,MODIS,81,6.03,296.5,47.5,D,0
6.493,-10.8016,322.5,1.7,1.3,2021-01-02,1434,Aqua,MODIS,77,6.03,296.8,30.8,D,0
6.4823,-8.9227,311.3,2.4,1.5,2021-01-02,1434,Aqua,MODIS,54,6.03,294.6,19.3,D,0
7.0971,-10.5314,312.5,1.1,1.1,2021-01-04,1422,Aqua,MODIS,58,6.03,298.5,6.1,D,0
6.4658,-9.0897,313.1,1.4,1.2,2021-01-04,1422,Aqua,MODIS,42,6.03,295.5,9.6,D,0
6.4671,-9.0956,312.2,1.4,1.2,2021-01-04,1422,Aqua,MODIS,46,6.03,295,8.7,D,0
7.965,-9.9743,311.3,1,1,2021-01-06,1109,Terra,MODIS,61,6.03,296.1,6.3,D,0
6.2687,-9.6456,310.7,1,1,2021-01-06,1409,Aqua,MODIS,59,6.03,290.4,6.4,D,0
6.4131,-8.8889,312.6,1,1,2021-01-06,1409,Aqua,MODIS,26,6.03,292,6.4,D,0
8.1758,-9.9523,313.3,1,1,2021-01-06,1410,Aqua,MODIS,56,6.03,296.7,6.7,D,0
6.4065,-8.9326,312.8,1.2,1.1,2021-01-08,1357,Aqua,MODIS,58,6.03,294.8,9.2,D,0
6.5177,-9.4817,308.2,1.3,1.1,2021-01-08,1357,Aqua,MODIS,23,6.03,293.6,4.9,D,0
6.5343,-9.4384,314.1,1.2,1.1,2021-01-08,1357,Aqua,MODIS,65,6.03,294.9,10.5,D,0
6.4081,-8.9222,320.8,1.2,1.1,2021-01-08,1357,Aqua,MODIS,75,6.03,293.1,18.2,D,0
7.0325,-9.5212,315.7,1.2,1.1,2021-01-08,1357,Aqua,MODIS,65,6.03,298.2,11.5,D,0
7.7473,-9.5325,326.4,1.2,1.1,2021-01-08,1358,Aqua,MODIS,80,6.03,296.9,26.5,D,0
7.749,-9.5215,311.3,1.2,1.1,2021-01-08,1358,Aqua,MODIS,53,6.03,297.2,7.4,D,0
6.3172,-10.5999,312,2.3,1.5,2021-01-09,1440,Aqua,MODIS,61,6.03,293.6,18.8,D,0
6.103,-9.8334,310.7,2.6,1.6,2021-01-09,1440,Aqua,MODIS,58,6.03,293.2,21.6,D,0
8.4892,-10.1941,309.2,1.3,1.1,2021-01-15,1102,Terra,MODIS,55,6.03,295.5,6.8,D,0
6.3539,-9.0552,308.3,1,1,2021-01-15,1403,Aqua,MODIS,19,6.03,294.8,3.3,D,0
7.0881,-9.1375,314.5,1,1,2021-01-15,1403,Aqua,MODIS,66,6.03,298.9,7.2,D,0
8.4808,-10.1919,324.3,1.1,1,2021-01-15,1404,Aqua,MODIS,64,6.03,292.4,19.9,D,0
7.1403,-8.614,312.1,1.4,1.2,2021-01-17,1351,Aqua,MODIS,52,6.03,300.2,8.7,D,0
8.2134,-9.8377,317.2,1.6,1.2,2021-01-17,1351,Aqua,MODIS,66,6.03,300,20.5,D,0
7.1384,-8.6261,318.2,1.4,1.2,2021-01-17,1351,Aqua,MODIS,69,6.03,300,16.9,D,0
