latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.9869,22.3258,308.5,1,1,2021-01-02,0024,Aqua,MODIS,75,6.03,276.9,13.3,N,2
28.1641,21.2295,319.1,1,1,2021-01-02,0024,Aqua,MODIS,98,6.03,277.3,22.4,N,2
27.9899,22.3189,301.8,1,1,2021-01-02,2047,Terra,MODIS,45,6.03,281.2,8.9,N,2
28.9046,20.9524,327.5,1,1,2021-01-02,2047,Terra,MODIS,100,6.03,283.6,29,N,2
28.1605,21.2226,333.5,1,1,2021-01-02,2047,Terra,MODIS,100,6.03,284.5,37.2,N,2
29.0735,19.054,304.8,1.1,1,2021-01-02,2048,Terra,MODIS,62,6.03,280.6,11.2,N,2
29.2272,19.6958,318,1,1,2021-01-02,2048,Terra,MODIS,96,6.03,281.7,19.8,N,2
29.0752,19.0648,307.9,1.1,1,2021-01-02,2048,Terra,MODIS,73,6.03,281.4,13.3,N,2
28.9054,19.7633,300.5,1,1,2021-01-02,2048,Terra,MODIS,29,6.03,282.1,7.5,N,2
28.9069,19.7736,314.7,1,1,2021-01-02,2048,Terra,MODIS,90,6.03,283.5,17.3,N,2
30.4063,19.6105,304.6,2.3,1.5,2021-01-03,0106,Aqua,MODIS,61,6.03,283.2,31.7,N,2
30.4032,19.6128,317.9,1.8,1.3,2021-01-04,0011,Aqua,MODIS,96,6.03,281.2,43.8,N,2
29.2352,19.7008,311.4,1.8,1.3,2021-01-04,0012,Aqua,MODIS,82,6.03,284.6,28.8,N,2
27.9878,22.3281,300.4,1.2,1.1,2021-01-04,0012,Aqua,MODIS,27,6.03,282.6,9.4,N,2
30.4023,19.6118,317.2,1.3,1.1,2021-01-04,2036,Terra,MODIS,95,6.03,276.8,29,N,2
30.4049,19.6165,307.5,1.4,1.2,2021-01-05,0054,Aqua,MODIS,72,6.03,267,21.8,N,2
28.9064,19.7773,327.3,1,1,2021-01-06,0924,Terra,MODIS,83,6.03,294.8,22.4,D,2
28.9069,19.7836,307.2,2.2,1.4,2021-01-06,2023,Terra,MODIS,71,6.03,281.2,35.9,N,2
30.3995,19.605,318.2,2.1,1.4,2021-01-06,2023,Terra,MODIS,96,6.03,284.3,56.2,N,2
30.4003,19.5993,315.1,2.1,1.4,2021-01-06,2023,Terra,MODIS,91,6.03,284.6,48.3,N,2
29.0757,19.0533,300.1,2.5,1.5,2021-01-06,2023,Terra,MODIS,16,6.03,281.8,26.9,N,2
28.9026,19.7621,311.5,2.2,1.4,2021-01-06,2023,Terra,MODIS,83,6.03,282.9,46.1,N,2
29.2351,19.6965,302.6,2.2,1.4,2021-01-06,2023,Terra,MODIS,50,6.03,280.2,26.8,N,2
30.4046,19.6207,311.3,2.1,1.4,2021-01-06,2023,Terra,MODIS,82,6.03,283.4,39.4,N,2
28.9003,20.9579,302.6,1.8,1.3,2021-01-06,2023,Terra,MODIS,50,6.03,284.2,19,N,2
27.5811,22.4039,301.2,1.6,1.2,2021-01-06,2023,Terra,MODIS,38,6.03,284,14.3,N,0
27.9878,22.3257,300,1.5,1.2,2021-01-07,0042,Aqua,MODIS,10,6.03,281.4,14.1,N,2
29.0739,19.0667,306.8,1,1,2021-01-07,0042,Aqua,MODIS,69,6.03,281.9,12.1,N,2
30.4041,19.6075,314.2,1,1,2021-01-07,0042,Aqua,MODIS,89,6.03,284.4,16.6,N,2
30.4024,19.6182,324.8,1,1,2021-01-07,0042,Aqua,MODIS,100,6.03,284.5,27.5,N,2
29.0733,19.0555,303,1.2,1.1,2021-01-07,2106,Terra,MODIS,53,6.03,282.8,10.8,N,2
26.5833,12.2086,311.1,1.5,1.2,2021-01-07,2106,Terra,MODIS,82,6.03,283.4,24.5,N,2
28.9033,20.9574,312.5,1.5,1.2,2021-01-07,2106,Terra,MODIS,85,6.03,283.1,26.2,N,2
30.3996,19.6192,301.2,1.3,1.1,2021-01-07,2106,Terra,MODIS,38,6.03,283.8,9.5,N,2
30.3981,19.6059,313.9,1.3,1.1,2021-01-07,2106,Terra,MODIS,88,6.03,284.3,21.4,N,2
28.9042,19.7737,303.3,3.6,1.8,2021-01-08,2011,Terra,MODIS,54,6.03,280.4,57.8,N,2
28.9066,20.9676,300.3,3,1.6,2021-01-08,2011,Terra,MODIS,23,6.03,284.4,32.7,N,2
30.3585,19.6487,305.1,3.4,1.7,2021-01-08,2011,Terra,MODIS,63,6.03,285.1,52.8,N,0
30.354,19.6436,315.5,3.4,1.7,2021-01-08,2011,Terra,MODIS,91,6.03,285.2,93.7,N,0
30.3962,19.601,302.7,3.4,1.7,2021-01-08,2011,Terra,MODIS,46,6.03,285.3,40,N,2
29.6253,19.8631,302.8,1,1,2021-01-09,0030,Aqua,MODIS,51,6.03,281,8.8,N,0
28.9071,20.9547,324.9,1,1,2021-01-09,0030,Aqua,MODIS,100,6.03,282.8,26.3,N,2
28.9096,19.7822,321.6,1,1,2021-01-09,0030,Aqua,MODIS,100,6.03,284.4,24,N,2
29.235,19.6981,310.5,1,1,2021-01-09,0030,Aqua,MODIS,80,6.03,281.9,13.9,N,2
28.9111,19.7719,324.7,1,1,2021-01-09,0030,Aqua,MODIS,100,6.03,285.3,27.3,N,2
29.0428,20.7882,303.9,1,1,2021-01-09,0030,Aqua,MODIS,57,6.03,283.4,8.6,N,0
29.0733,19.0636,309.2,1.1,1,2021-01-09,0030,Aqua,MODIS,77,6.03,282.4,13.9,N,2
28.9056,20.9649,305.9,1,1,2021-01-09,0030,Aqua,MODIS,66,6.03,282,10.2,N,2
30.4011,19.6266,313.9,1.8,1.3,2021-01-09,0954,Terra,MODIS,65,6.03,296,20.9,D,2
30.4046,19.6086,330.8,1.8,1.3,2021-01-09,0954,Terra,MODIS,80,6.03,296.3,61.8,D,2
27.4425,14.0269,319.3,1,1,2021-01-09,0955,Terra,MODIS,68,6.03,302.8,9.4,D,0
27.9891,22.3203,301.7,1.2,1.1,2021-01-09,2053,Terra,MODIS,43,6.03,284.3,9.6,N,2
28.9129,19.7658,303.9,1,1,2021-01-09,2054,Terra,MODIS,57,6.03,286.7,8.5,N,2
28.9067,20.9474,317.4,1.1,1,2021-01-09,2054,Terra,MODIS,95,6.03,287.1,18.8,N,2
28.9081,20.958,318.4,1.1,1,2021-01-09,2054,Terra,MODIS,97,6.03,287.5,19.9,N,2
28.9143,19.776,305.4,1,1,2021-01-09,2054,Terra,MODIS,64,6.03,285,9.5,N,2
29.2346,19.6981,309.9,1,1,2021-01-09,2054,Terra,MODIS,79,6.03,284.7,12,N,2
29.0696,19.0575,307,1,1,2021-01-09,2054,Terra,MODIS,70,6.03,286.5,10,N,2
30.3994,19.6026,310.2,1,1,2021-01-09,2054,Terra,MODIS,79,6.03,287.5,11.4,N,2
30.4008,19.6129,336.5,1,1,2021-01-09,2054,Terra,MODIS,100,6.03,288.7,40.2,N,2
30.4079,19.6178,308,2.9,1.6,2021-01-10,0112,Aqua,MODIS,73,6.03,286.5,51.4,N,2
30.4059,19.6124,307,2.9,1.6,2021-01-10,0112,Aqua,MODIS,70,6.03,286.3,44.4,N,2
28.9123,19.7659,303,3.2,1.7,2021-01-10,0113,Aqua,MODIS,53,6.03,284.3,48.1,N,2
28.905,19.7986,303.3,3.3,1.7,2021-01-10,0113,Aqua,MODIS,54,6.03,283.9,48.9,N,2
26.5786,12.2178,304,1.2,1.1,2021-01-10,0114,Aqua,MODIS,58,6.03,284.9,11.2,N,2
26.5812,12.2083,315.4,1.2,1.1,2021-01-10,2136,Terra,MODIS,91,6.03,288.9,20.9,N,2
30.4023,19.6072,308,4.2,1.9,2021-01-10,2137,Terra,MODIS,73,6.03,286.7,83.9,N,2
30.4054,19.5999,307.3,4.2,1.9,2021-01-10,2137,Terra,MODIS,71,6.03,287,81.1,N,2
30.406,19.6103,371.9,1.5,1.2,2021-01-11,0017,Aqua,MODIS,100,6.03,290.9,218.7,N,2
30.4043,19.6256,346.8,1.5,1.2,2021-01-11,0017,Aqua,MODIS,100,6.03,288.6,100.8,N,2
28.9152,19.7815,313.2,1.4,1.2,2021-01-11,0018,Aqua,MODIS,86,6.03,271.2,24.5,N,2
27.9888,22.3243,305.1,1,1,2021-01-11,0018,Aqua,MODIS,63,6.03,284.7,10.4,N,2
29.2293,19.7039,302.6,1.4,1.2,2021-01-11,0018,Aqua,MODIS,50,6.03,279.1,13.7,N,2
30.4073,19.6132,327.3,1.2,1.1,2021-01-11,0942,Terra,MODIS,62,6.03,296.7,28.1,D,2
27.5818,22.4027,312.7,1,1,2021-01-11,2041,Terra,MODIS,85,6.03,279.2,15.3,N,0
28.9114,19.782,307.9,1.2,1.1,2021-01-11,2041,Terra,MODIS,73,6.03,275.3,15.2,N,2
28.9095,19.7704,331.4,1.2,1.1,2021-01-11,2041,Terra,MODIS,100,6.03,274.4,43.6,N,2
27.9848,22.3231,310.7,1,1,2021-01-11,2041,Terra,MODIS,81,6.03,284.6,13.3,N,2
26.5825,12.2149,307.5,1,1,2021-01-12,0101,Aqua,MODIS,72,6.03,285.7,11,N,2
28.9067,19.7852,303.7,2,1.4,2021-01-12,0101,Aqua,MODIS,57,6.03,265.9,28.5,N,2
26.7569,12.4167,304.6,1,1,2021-01-12,0101,Aqua,MODIS,61,6.03,283.9,9.4,N,0
28.9125,19.7725,302.5,2,1.4,2021-01-12,0101,Aqua,MODIS,49,6.03,267.9,26.4,N,2
28.9158,19.7848,300.2,2.5,1.5,2021-01-12,2124,Terra,MODIS,23,6.03,267.5,32.8,N,2
28.9136,19.7581,302.1,2.5,1.5,2021-01-12,2124,Terra,MODIS,47,6.03,266.5,36.7,N,2
28.9006,20.9566,307.5,1.5,1.2,2021-01-13,2029,Terra,MODIS,72,6.03,282.1,19.4,N,2
29.2331,19.6959,321.5,1.3,1.1,2021-01-14,0048,Aqua,MODIS,100,6.03,279.3,32.4,N,2
28.9102,19.7774,307.9,1.3,1.1,2021-01-14,0048,Aqua,MODIS,73,6.03,280,18,N,2
29.2309,19.7086,312,1.3,1.1,2021-01-14,0048,Aqua,MODIS,84,6.03,279.3,20.8,N,2
29.1904,21.4279,309.7,1,1,2021-01-14,1147,Aqua,MODIS,33,6.03,294.4,6.3,D,0
28.9101,20.9601,302.8,2.3,1.5,2021-01-15,2017,Terra,MODIS,52,6.03,281.5,30,N,2
28.9144,19.7783,318.6,1,1,2021-01-16,0036,Aqua,MODIS,97,6.03,279.8,21.6,N,2
28.906,20.9569,329.7,1.1,1,2021-01-16,0036,Aqua,MODIS,100,6.03,279.8,35.9,N,2
29.2298,19.701,333,1,1,2021-01-16,0036,Aqua,MODIS,100,6.03,278.1,37.6,N,2
28.9101,19.7795,319.8,1.1,1,2021-01-16,2100,Terra,MODIS,99,6.03,280.3,24.9,N,2
29.2314,19.6951,332.6,1.1,1,2021-01-16,2100,Terra,MODIS,100,6.03,278.7,40.9,N,2
28.9087,19.7684,321.7,1.1,1,2021-01-16,2100,Terra,MODIS,100,6.03,281.1,26.9,N,2
28.9108,20.9611,302.7,1.2,1.1,2021-01-16,2100,Terra,MODIS,51,6.03,280.6,11.4,N,2
28.9093,20.9488,311.7,1.2,1.1,2021-01-16,2100,Terra,MODIS,83,6.03,279.9,19,N,2
29.0747,19.0594,304.9,1,1,2021-01-16,2100,Terra,MODIS,62,6.03,279.3,11.2,N,2
29.2313,19.7106,300.3,4,1.9,2021-01-17,0119,Aqua,MODIS,25,6.03,274.9,63.8,N,2
28.9008,19.7621,300.3,4.6,2,2021-01-17,2005,Terra,MODIS,25,6.03,278.4,75.1,N,2
28.9095,19.7857,301,1.1,1.1,2021-01-18,0024,Aqua,MODIS,37,6.03,279.9,10.7,N,2
29.0719,19.0665,304.1,1.2,1.1,2021-01-18,0024,Aqua,MODIS,59,6.03,277.7,14.6,N,2
28.9136,19.7814,321.5,1.1,1.1,2021-01-18,0024,Aqua,MODIS,100,6.03,280.6,28.8,N,2
28.911,19.7741,322.5,1.1,1.1,2021-01-18,0024,Aqua,MODIS,100,6.03,280.1,30.7,N,2
28.915,19.7698,309.1,1.1,1.1,2021-01-18,0024,Aqua,MODIS,76,6.03,279,16.1,N,2
28.9109,19.7808,308.1,1,1,2021-01-18,2047,Terra,MODIS,74,6.03,267.2,13.4,N,2
