latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
54.6349,22.7208,303.2,1.1,1,2021-03-27,1105,Aqua,MODIS,55,6.03,288.7,5.5,D,0
55.1964,21.5436,301.6,1.4,1.2,2021-04-18,1017,Terra,MODIS,25,6.03,290.4,3.8,D,0
54.7807,22.8382,334.8,1.6,1.3,2021-04-18,1017,Terra,MODIS,89,6.03,291,69.8,D,0
54.7637,22.829,301,2.6,1.5,2021-04-18,1207,Aqua,MODIS,33,6.03,284.6,13.2,D,0
55.6908,23.313,309.3,1.3,1.1,2021-04-19,0922,Terra,MODIS,67,6.03,291.5,10.5,D,0
54.7868,22.8402,306.2,1,1,2021-04-19,1111,Aqua,MODIS,59,6.03,294.6,4.5,D,0
55.4679,24.1358,307.8,1,1,2021-04-19,1111,Aqua,MODIS,63,6.03,297.1,5.5,D,0
54.783,22.8425,306.9,1.3,1.1,2021-04-20,1005,Terra,MODIS,51,6.03,286.1,7.1,D,0
54.7979,22.8652,308.9,1.7,1.3,2021-04-21,0910,Terra,MODIS,68,6.03,290.5,15.4,D,0
54.7947,22.8716,310.1,1.7,1.3,2021-04-21,0910,Terra,MODIS,70,6.03,290.2,16.8,D,0
54.7922,22.8681,321.2,3.4,1.7,2021-04-21,1047,Terra,MODIS,74,6.03,286.2,112.1,D,0
54.7926,22.8633,334.8,1.2,1.1,2021-04-21,1059,Aqua,MODIS,89,6.03,292.3,41.7,D,0
54.7833,22.8685,320.6,1.2,1.1,2021-04-21,1059,Aqua,MODIS,80,6.03,288.9,21.5,D,0
54.6696,22.7016,305.8,1.1,1,2021-04-24,1130,Aqua,MODIS,62,6.03,284.9,8.7,D,0
55.3282,22.6102,304.7,1.5,1.2,2021-05-01,0023,Aqua,MODIS,61,6.03,271.2,22.2,N,0
55.3302,22.5866,313,1.5,1.2,2021-05-01,0023,Aqua,MODIS,86,6.03,270,32.6,N,0
56.1677,24.4672,303.2,1,1,2021-05-10,0940,Terra,MODIS,44,6.03,292.3,3.3,D,0
55.0744,25.8321,308.6,4.2,1.9,2021-05-11,1213,Aqua,MODIS,54,6.03,297.8,46.1,D,0
55.0873,25.8407,306.2,4.2,1.9,2021-05-11,1213,Aqua,MODIS,47,6.03,295.4,35.4,D,0
55.0869,25.775,313.1,4.1,1.9,2021-05-11,1213,Aqua,MODIS,0,6.03,295.4,72.7,D,0
55.0131,24.3714,315.7,1.1,1,2021-05-12,0928,Terra,MODIS,67,6.03,303.9,9.1,D,0
55.4465,24.212,300.9,1,1,2021-05-26,0940,Terra,MODIS,42,6.03,286.9,4.6,D,0
55.1264,23.5721,303.3,1.2,1.1,2021-05-31,0958,Terra,MODIS,23,6.03,292.6,5,D,0
54.8639,23.6378,303.3,2.1,1.4,2021-06-05,1029,Aqua,MODIS,37,6.03,291,10.2,D,0
55.0751,24.0419,313.5,1,1,2021-06-07,0041,Aqua,MODIS,87,6.03,282.4,15.7,N,0
55.0773,24.0263,300.2,1,1,2021-06-07,0041,Aqua,MODIS,21,6.03,281.9,6.9,N,0
56.2518,22.0053,315.5,1,1,2021-06-11,0939,Terra,MODIS,59,6.03,301.9,10.8,D,0
55.6886,25.8493,326,1.3,1.1,2021-06-19,1041,Aqua,MODIS,70,6.03,300.8,26.4,D,0
55.6896,25.8556,314.2,1.3,1.1,2021-06-19,1041,Aqua,MODIS,57,6.03,300.5,10.9,D,0
55.7033,23.4114,317.5,1.2,1.1,2021-06-22,0921,Terra,MODIS,49,6.03,303.3,11.3,D,0
54.574,23.6994,314.4,1,1,2021-06-22,1111,Aqua,MODIS,22,6.03,297.9,4.6,D,0
55.0846,25.8185,315.3,1,1,2021-06-24,1059,Aqua,MODIS,57,6.03,297.3,7.3,D,0
55.0792,25.8913,304.9,1.1,1,2021-07-03,1053,Aqua,MODIS,45,6.03,291.3,3.1,D,0
56.1981,23.2822,317.4,1,1,2021-07-13,0939,Terra,MODIS,58,6.03,299.7,10.4,D,0
55.1908,24.8912,313.8,1.2,1.1,2021-07-17,0914,Terra,MODIS,53,6.03,297.4,7.4,D,0
55.1536,22.063,316.2,1.2,1.1,2021-07-20,1136,Aqua,MODIS,70,6.03,295.7,13,D,0
54.9762,25.7596,304.6,1.2,1.1,2021-07-22,1124,Aqua,MODIS,30,6.03,293.3,4.2,D,0
55.2993,23.7488,316.2,1.1,1,2021-07-22,1124,Aqua,MODIS,57,6.03,299.5,10.1,D,0
54.5751,23.7006,311.7,1.2,1.1,2021-07-24,0920,Terra,MODIS,41,6.03,296.7,7.1,D,0
56.2367,22.9712,336.8,1.2,1.1,2021-07-25,1003,Terra,MODIS,88,6.03,304.9,38,D,0
55.8799,25.5363,326.9,1,1,2021-07-26,1059,Aqua,MODIS,82,6.03,286.8,23,D,0
55.8774,25.5206,315,1,1,2021-07-26,1059,Aqua,MODIS,70,6.03,284.6,10.9,D,0
55.1466,22.551,312.3,1.5,1.2,2021-07-28,1047,Aqua,MODIS,45,6.03,297,11.7,D,0
56.0788,23.5353,302.3,1.1,1,2021-09-08,1124,Aqua,MODIS,24,6.03,289,2.8,D,0
55.76,23.9428,307.2,1,1,2021-10-08,0943,Terra,MODIS,65,6.03,285.7,9.2,D,0
