latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.499,5.9464,311.6,1.4,1.2,2021-02-21,1255,Aqua,MODIS,72,6.03,290.2,17.4,D,2
49.5008,5.9653,310.7,1.4,1.2,2021-02-21,1255,Aqua,MODIS,70,6.03,290.2,16.5,D,2
49.4991,5.9636,301.2,1,1,2021-02-25,1044,Terra,MODIS,32,6.03,289.2,4.2,D,2
49.5079,5.9667,302.1,1,1,2021-02-25,1044,Terra,MODIS,49,6.03,288,4.7,D,2
49.5159,5.9014,304.1,1.1,1,2021-03-06,1224,Aqua,MODIS,58,6.03,283.9,8.7,D,2
49.5052,5.9654,300.2,1.1,1,2021-03-15,1032,Terra,MODIS,31,6.03,282.7,7,D,2
49.523,5.9042,312.4,1,1,2021-03-20,1050,Terra,MODIS,72,6.03,283.7,14.3,D,2
49.5186,5.9025,300.5,1,1,2021-03-20,1236,Aqua,MODIS,38,6.03,287,5.2,D,2
49.5199,5.9064,302,1.9,1.3,2021-03-23,1307,Aqua,MODIS,50,6.03,289.3,11.5,D,2
49.5098,5.9652,310.7,1.3,1.1,2021-04-22,0209,Aqua,MODIS,81,6.03,276.6,21.1,N,2
49.5034,5.9513,308.7,1.2,1.1,2021-04-25,1025,Terra,MODIS,64,6.03,296.6,8.9,D,2
49.5016,5.9682,309.2,1.2,1.1,2021-04-25,1025,Terra,MODIS,64,6.03,296.6,9.3,D,2
49.5086,5.959,312.2,1.5,1.2,2021-04-26,1108,Terra,MODIS,72,6.03,296.5,15.9,D,2
49.5002,5.9595,308.6,1,1,2021-05-16,1043,Terra,MODIS,48,6.03,291.1,7.9,D,2
49.5256,5.9039,301.8,1,1,2021-05-29,2122,Terra,MODIS,44,6.03,283.7,7.4,N,2
49.7533,6.1069,305.9,1.1,1.1,2021-05-30,1055,Terra,MODIS,53,6.03,294.1,5.3,D,2
49.4972,5.9492,322.4,1.1,1,2021-05-30,1242,Aqua,MODIS,80,6.03,305,16.8,D,2
49.4989,5.9638,324.2,1.1,1,2021-05-30,1242,Aqua,MODIS,81,6.03,304.3,18.8,D,2
49.4979,5.9644,309.4,2.4,1.5,2021-05-31,1000,Terra,MODIS,62,6.03,298.1,23.5,D,2
49.5266,5.9025,304.4,1.2,1.1,2021-05-31,2110,Terra,MODIS,60,6.03,285.7,10.8,N,2
49.5241,5.9066,314.8,1,1,2021-06-01,1230,Aqua,MODIS,50,6.03,303.5,7.5,D,2
