latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.4397,21.9459,301,1.2,1.1,2021-01-02,0945,Terra,MODIS,43,6.03,281.5,8.8,D,2
41.4333,21.9238,300,3.1,1.7,2021-01-17,1221,Aqua,MODIS,18,6.03,276.9,39,D,2
41.4436,21.9465,305.6,1.2,1.1,2021-01-18,0945,Terra,MODIS,57,6.03,269.9,12.8,D,2
41.4428,21.9399,304.2,1.2,1.1,2021-01-18,0945,Terra,MODIS,45,6.03,269.7,11.2,D,2
41.4404,21.9351,300.5,1.1,1.1,2021-01-18,1126,Aqua,MODIS,38,6.03,276.3,9.3,D,2
41.445,21.9372,305.8,1.8,1.3,2021-01-20,0008,Aqua,MODIS,66,6.03,266.4,30.5,N,2
41.4503,21.9533,306.3,1.8,1.3,2021-01-20,0008,Aqua,MODIS,68,6.03,266.1,31,N,2
41.4398,21.9337,303.1,1,1,2021-01-25,1132,Aqua,MODIS,55,6.03,286.2,6.8,D,2
41.4373,21.9462,301.3,3.8,1.8,2021-01-28,1021,Terra,MODIS,46,6.03,275.8,59.3,D,2
41.4474,21.9437,302.2,3.8,1.8,2021-01-28,1021,Terra,MODIS,51,6.03,277,61.5,D,2
41.4409,21.9257,315.4,1.6,1.3,2021-01-28,1203,Aqua,MODIS,76,6.03,282.5,33.5,D,2
41.4426,21.9447,315.8,1.6,1.3,2021-01-28,1203,Aqua,MODIS,76,6.03,281.2,34.6,D,2
41.4468,21.941,310.1,1,1,2021-01-29,0927,Terra,MODIS,70,6.03,277.6,13.3,D,2
41.4372,21.9227,302.2,1.9,1.4,2021-01-29,1108,Aqua,MODIS,51,6.03,282.4,19.1,D,2
41.4455,21.9394,311.5,1.9,1.4,2021-01-29,1108,Aqua,MODIS,71,6.03,282.9,31.9,D,2
41.4421,21.9455,307.5,1.9,1.4,2021-01-29,1108,Aqua,MODIS,66,6.03,283,26.9,D,2
41.4433,21.946,300.2,1,1,2021-02-01,0033,Aqua,MODIS,20,6.03,275.8,8.4,N,2
41.4374,21.9504,301.3,1.7,1.3,2021-02-01,0957,Terra,MODIS,46,6.03,286.3,11.9,D,2
41.4414,21.9311,301,1.7,1.3,2021-02-01,0957,Terra,MODIS,44,6.03,285.8,11.4,D,2
41.445,21.9481,300.4,1.8,1.3,2021-02-02,0902,Terra,MODIS,24,6.03,283.4,13.4,D,2
41.4435,21.9409,307.6,1.6,1.2,2021-02-02,2008,Terra,MODIS,72,6.03,277,25.1,N,2
41.4491,21.9353,316.5,1.2,1.1,2021-02-03,0945,Terra,MODIS,77,6.03,285.9,20.8,D,2
41.4466,21.9491,320.8,1.2,1.1,2021-02-03,0945,Terra,MODIS,80,6.03,286.1,26.3,D,2
41.1713,22.5545,306.9,1.1,1,2021-02-03,1126,Aqua,MODIS,40,6.03,291,6.4,D,0
41.1766,22.5463,323.8,1.1,1,2021-02-03,1126,Aqua,MODIS,83,6.03,291.6,24,D,0
41.441,21.9422,308.5,1.1,1.1,2021-02-03,1126,Aqua,MODIS,67,6.03,289.7,9.9,D,2
41.1444,22.5087,307.4,1.1,1,2021-02-03,1126,Aqua,MODIS,65,6.03,290.1,8.3,D,2
41.4447,21.9341,308.9,1.1,1.1,2021-02-03,1126,Aqua,MODIS,59,6.03,289.4,11.2,D,2
41.1422,22.4959,304.1,1.1,1,2021-02-03,1126,Aqua,MODIS,58,6.03,289.8,6.1,D,2
41.4394,21.935,303.8,2,1.4,2021-02-04,1209,Aqua,MODIS,57,6.03,290.8,14.2,D,2
41.1841,22.5491,301.5,1,1,2021-02-05,0933,Terra,MODIS,45,6.03,288.7,4.3,D,0
41.442,21.9354,304.2,1,1,2021-02-05,2038,Terra,MODIS,59,6.03,277.3,10.9,N,2
41.1916,21.3727,305.2,1.3,1.1,2021-02-06,1157,Aqua,MODIS,61,6.03,292.8,7.5,D,0
41.1933,21.3876,303,1.3,1.1,2021-02-06,1157,Aqua,MODIS,55,6.03,292.8,5.6,D,0
41.4445,21.9332,342.7,1.4,1.2,2021-02-06,1157,Aqua,MODIS,93,6.03,291.8,73.7,D,2
41.4461,21.9489,308.1,1.4,1.2,2021-02-06,1157,Aqua,MODIS,66,6.03,291.1,11.3,D,2
41.4342,21.935,304.6,1.4,1.2,2021-02-06,1157,Aqua,MODIS,58,6.03,292,7.9,D,2
41.8859,22.4779,301.9,1.5,1.2,2021-02-06,1157,Aqua,MODIS,49,6.03,290.4,6.5,D,0
41.8793,22.4721,301.6,1.5,1.2,2021-02-06,1157,Aqua,MODIS,48,6.03,290.2,6.3,D,0
41.4421,21.942,322.9,1,1,2021-02-07,2026,Terra,MODIS,100,6.03,277.1,26.9,N,2
41.4445,21.941,302,1.1,1,2021-02-10,0027,Aqua,MODIS,46,6.03,276.3,10.7,N,2
41.4476,21.9502,307.9,1.1,1,2021-02-12,0939,Terra,MODIS,55,6.03,277.9,11,D,2
41.4385,21.9476,322.1,1.1,1,2021-02-12,0939,Terra,MODIS,81,6.03,278.5,24.2,D,2
41.4496,21.9378,318.9,1.1,1,2021-02-12,0939,Terra,MODIS,79,6.03,278.9,20.6,D,2
41.4405,21.9352,337.4,1.1,1,2021-02-12,0939,Terra,MODIS,90,6.03,278.7,45.6,D,2
41.4151,21.9312,303.9,1.3,1.1,2021-02-12,1120,Aqua,MODIS,50,6.03,279.2,13.1,D,2
41.4379,21.9395,330,1.3,1.1,2021-02-12,1120,Aqua,MODIS,87,6.03,281.5,47.3,D,2
41.4474,21.938,304.8,1.2,1.1,2021-02-16,2020,Terra,MODIS,62,6.03,265.1,15.2,N,2
41.4405,21.9438,325.9,1.2,1.1,2021-02-19,0945,Terra,MODIS,84,6.03,284.4,34.5,D,2
41.4372,21.9384,307.5,1.1,1.1,2021-02-19,1126,Aqua,MODIS,65,6.03,287.6,11,D,2
41.4469,21.9426,322.9,1,1,2021-02-21,0932,Terra,MODIS,80,6.03,285.1,21.5,D,2
41.4404,21.9288,318.4,1.6,1.2,2021-02-21,1114,Aqua,MODIS,78,6.03,288.1,32.8,D,2
41.4439,21.9428,317.3,1.6,1.2,2021-02-21,1114,Aqua,MODIS,77,6.03,288.5,28.6,D,2
41.4401,21.924,310.1,1.6,1.2,2021-02-21,1114,Aqua,MODIS,50,6.03,287.8,17.3,D,2
41.4441,21.9477,309.2,1.6,1.2,2021-02-21,1114,Aqua,MODIS,68,6.03,288.2,18,D,2
