latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-15.3242,35.5433,326.4,1.1,1,2021-01-07,1129,Aqua,MODIS,51,6.03,298.4,18.1,D,0
-14.8936,35.815,327.5,1.4,1.2,2021-01-27,1104,Aqua,MODIS,79,6.03,298.2,30.1,D,0
-14.8795,35.84,320,1.4,1.2,2021-01-27,1104,Aqua,MODIS,73,6.03,297.7,18.2,D,0
-14.8812,35.8268,321.9,1.4,1.2,2021-01-27,1104,Aqua,MODIS,74,6.03,297.5,20.4,D,0
-14.8953,35.8017,317.9,1.4,1.2,2021-01-27,1104,Aqua,MODIS,35,6.03,298.1,14.2,D,0
-16.4539,34.9968,334.3,1,1,2021-02-01,1122,Aqua,MODIS,70,6.03,309.5,16.6,D,0
-10.8811,34.1626,309.2,1.6,1.3,2021-03-16,1106,Aqua,MODIS,60,6.03,294,12.1,D,0
-11.9907,33.7981,305.4,1.4,1.2,2021-03-20,2005,Terra,MODIS,64,6.03,271.9,16.2,N,0
-11.9919,33.8067,303.3,1,1,2021-03-20,2309,Aqua,MODIS,54,6.03,283.4,7.9,N,0
-14.2142,33.6622,310.4,1.1,1,2021-04-06,1123,Aqua,MODIS,40,6.03,297.7,2.9,D,0
-16.3193,35.0124,312.4,1.1,1.1,2021-04-15,1116,Aqua,MODIS,51,6.03,295,7.9,D,0
-15.5283,35.1879,311.4,1.1,1,2021-04-15,1117,Aqua,MODIS,63,6.03,294.6,6.1,D,0
-16.2809,34.9247,315.1,1,1,2021-04-22,1122,Aqua,MODIS,71,6.03,297.4,7.2,D,0
-14.9718,35.7156,318.6,1.2,1.1,2021-04-24,1111,Aqua,MODIS,55,6.03,303.3,10.2,D,0
-14.9839,35.7727,323.9,1.2,1.1,2021-04-24,1111,Aqua,MODIS,75,6.03,300.8,16.2,D,0
-14.9854,35.7619,326.3,1.2,1.1,2021-04-24,1111,Aqua,MODIS,79,6.03,301.7,20,D,0
-16.3258,34.9279,323.4,1.4,1.2,2021-04-27,1141,Aqua,MODIS,75,6.03,301.2,15.2,D,0
-14.9787,35.7253,326,1,1,2021-05-01,1117,Aqua,MODIS,70,6.03,304.7,13.5,D,0
-14.9773,35.7348,325.5,1,1,2021-05-01,1117,Aqua,MODIS,74,6.03,303.3,13.1,D,0
-14.9878,35.7266,330.4,1,1,2021-05-01,1117,Aqua,MODIS,74,6.03,300.2,19,D,0
-14.0789,34.5174,316.3,1.3,1.1,2021-05-03,0814,Terra,MODIS,66,6.03,296.9,9,D,0
-14.9775,35.7378,313.1,2.2,1.4,2021-05-04,1147,Aqua,MODIS,50,6.03,298.2,19.3,D,0
-14.9738,35.7582,313,2.2,1.4,2021-05-04,1147,Aqua,MODIS,59,6.03,297,19.4,D,0
-14.977,35.7534,313.6,2.2,1.4,2021-05-04,1147,Aqua,MODIS,67,6.03,297.1,22.5,D,0
-16.2154,34.9232,312.8,1.8,1.3,2021-05-04,1147,Aqua,MODIS,50,6.03,298.5,13.3,D,0
-14.6487,34.599,311.9,1,1,2021-05-05,0802,Terra,MODIS,63,6.03,300.6,5.5,D,0
-13.8865,34.4782,313,3,1.6,2021-05-05,1052,Aqua,MODIS,66,6.03,300.7,27.2,D,0
-13.8859,34.4829,313.9,3,1.6,2021-05-05,1052,Aqua,MODIS,68,6.03,300.8,30.6,D,0
