latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.2907,113.0924,303.2,1.1,1,2021-01-03,1448,Terra,MODIS,49,6.03,292.4,4,N,2
3.2893,113.0827,308,1.1,1,2021-01-03,1448,Terra,MODIS,73,6.03,293,7.2,N,2
3.3706,101.5814,319.7,1.1,1,2021-01-05,0351,Terra,MODIS,60,6.03,297.9,11.4,D,2
2.5194,101.9652,311.8,1.1,1.1,2021-01-05,0351,Terra,MODIS,43,6.03,294.6,5.5,D,2
3.4103,101.5545,319.3,1.1,1,2021-01-05,0351,Terra,MODIS,30,6.03,297.4,9.7,D,2
2.3588,102.1988,315.6,1.2,1.1,2021-01-05,0351,Terra,MODIS,66,6.03,296.1,8.4,D,0
2.2473,102.4175,312.8,1.2,1.1,2021-01-05,0351,Terra,MODIS,56,6.03,294.9,7.4,D,0
2.8075,101.4961,318.9,1,1,2021-01-05,0650,Aqua,MODIS,57,6.03,299.5,8,D,2
5.0195,118.2934,314.4,1.1,1.1,2021-01-10,0530,Aqua,MODIS,46,6.03,295.8,7.7,D,2
3.8621,103.2478,304.2,1.1,1.1,2021-01-16,0631,Aqua,MODIS,0,6.03,282.7,3.4,D,0
3.744,101.5173,311.3,1.1,1,2021-01-21,0351,Terra,MODIS,32,6.03,293,5.9,D,2
2.9206,101.4772,316.8,1.1,1,2021-01-21,0351,Terra,MODIS,43,6.03,295.5,8.2,D,2
5.2091,100.6915,311.6,1,1,2021-01-21,0650,Aqua,MODIS,45,6.03,294.7,3.4,D,0
5.7617,100.5017,315.4,1,1,2021-01-21,0650,Aqua,MODIS,48,6.03,299.9,6,D,0
3.284,113.0886,319.4,1,1,2021-01-22,0255,Terra,MODIS,40,6.03,297.4,8.9,D,2
2.1007,102.6093,327.7,1,1,2021-01-23,0339,Terra,MODIS,72,6.03,295.3,20.4,D,0
4.8184,101.0801,310,3.2,1.7,2021-01-24,0421,Terra,MODIS,23,6.03,291.6,29.6,D,2
1.7369,103.8991,314.3,1.3,1.1,2021-01-25,0625,Aqua,MODIS,34,6.03,294.9,8,D,2
1.7351,103.8872,317.3,1.3,1.1,2021-01-25,0625,Aqua,MODIS,45,6.03,297.6,12.8,D,2
4.5587,103.4596,306.6,1,1,2021-01-25,1844,Aqua,MODIS,56,6.03,291.5,6.2,N,2
3.4598,101.6593,312.7,2.2,1.4,2021-01-26,0409,Terra,MODIS,52,6.03,295.5,16.1,D,2
3.3671,101.5816,314.4,2.1,1.4,2021-01-26,0409,Terra,MODIS,39,6.03,295.7,17.7,D,2
6.1037,116.1967,312.6,1.5,1.2,2021-01-26,0530,Aqua,MODIS,52,6.03,295.3,10.7,D,2
2.7407,101.5552,315.7,1.8,1.3,2021-01-26,0708,Aqua,MODIS,46,6.03,295.2,14.2,D,0
3.2814,113.0796,313.9,1.3,1.1,2021-01-27,0613,Aqua,MODIS,51,6.03,293.6,9.6,D,2
5.4876,100.6023,315.6,1.1,1,2021-01-28,0356,Terra,MODIS,64,6.03,297.2,8.4,D,0
4.4666,101.0063,317.6,1.1,1.1,2021-01-28,0357,Terra,MODIS,61,6.03,295.5,10.6,D,2
5.2249,100.4475,314.7,1.1,1,2021-01-28,0357,Terra,MODIS,31,6.03,296.7,5.7,D,0
3.4098,101.558,316,1.3,1.1,2021-01-28,0357,Terra,MODIS,50,6.03,292.8,10.5,D,2
5.4265,100.5978,315.6,1.1,1,2021-01-28,0656,Aqua,MODIS,22,6.03,298.8,7.2,D,2
6.1054,116.2026,314.5,1.3,1.1,2021-01-29,0301,Terra,MODIS,26,6.03,297,8.9,D,2
5.7942,100.3865,312.2,1.1,1,2021-01-30,0344,Terra,MODIS,39,6.03,297.3,5.8,D,0
3.9891,103.3736,326,1.1,1,2021-01-30,0344,Terra,MODIS,82,6.03,296.9,19.2,D,2
3.3711,101.5837,316.7,1,1,2021-01-30,0345,Terra,MODIS,49,6.03,299.1,6.7,D,2
4.23,100.782,316,1.1,1,2021-01-30,0644,Aqua,MODIS,69,6.03,293.1,8.6,D,0
5.8616,100.5373,314.9,1,1,2021-01-30,0644,Aqua,MODIS,41,6.03,298.9,6.3,D,0
4.8177,101.0889,310.7,2.4,1.5,2021-02-02,0415,Terra,MODIS,61,6.03,288.5,22.3,D,2
4.5534,103.459,313.7,1.6,1.2,2021-02-03,0320,Terra,MODIS,0,6.03,290.2,14.4,D,2
5.864,100.5472,314.3,1.3,1.1,2021-02-04,0402,Terra,MODIS,70,6.03,296.5,9.3,D,0
4.0572,100.8571,329.6,1.3,1.1,2021-02-04,0702,Aqua,MODIS,73,6.03,297.4,27.8,D,0
4.7492,101.1147,316.9,1,1,2021-02-06,0350,Terra,MODIS,47,6.03,301.8,7.3,D,2
2.926,101.4824,323.3,1.1,1,2021-02-06,0351,Terra,MODIS,60,6.03,302.8,8.7,D,2
2.8322,101.6051,316.7,1.1,1,2021-02-06,0351,Terra,MODIS,37,6.03,300.9,6.7,D,0
4.0708,101.1528,314.4,1,1,2021-02-06,0351,Terra,MODIS,60,6.03,299.7,6.1,D,2
4.2439,100.6675,318.3,1,1,2021-02-06,0351,Terra,MODIS,29,6.03,302.5,7.4,D,2
3.1249,101.4463,323.4,1.1,1,2021-02-06,0351,Terra,MODIS,33,6.03,303.7,7.7,D,2
