latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.1727,73.511,310.2,1.7,1.3,2021-01-23,0517,Terra,MODIS,31,6.03,296.1,12.5,D,3
4.1746,73.5137,311.4,1.4,1.2,2021-01-30,0524,Terra,MODIS,44,6.03,297.7,9.5,D,3
4.1728,73.5129,314.9,1,1,2021-02-13,0536,Terra,MODIS,62,6.03,300.4,8.2,D,3
4.2336,73.543,312,1.4,1.2,2021-02-18,0854,Aqua,MODIS,33,6.03,298.5,10.7,D,3
4.1695,73.5042,313.6,1.4,1.2,2021-03-06,0854,Aqua,MODIS,42,6.03,297.7,11.6,D,3
4.1741,73.5107,319.7,1,1,2021-03-08,0541,Terra,MODIS,62,6.03,299.9,11,D,3
4.174,73.5061,316.5,1.1,1.1,2021-03-26,0529,Terra,MODIS,66,6.03,297.9,11.4,D,3
4.1726,73.516,315.1,1.1,1.1,2021-03-26,0529,Terra,MODIS,61,6.03,297.1,9.8,D,3
4.1724,73.5058,310.2,1.8,1.3,2021-03-28,0517,Terra,MODIS,31,6.03,293.3,12.3,D,3
4.1691,73.505,314.6,1.4,1.2,2021-04-07,0853,Aqua,MODIS,49,6.03,301.5,12.8,D,3
4.1715,73.5044,317.3,1,1,2021-04-09,0841,Aqua,MODIS,67,6.03,299.6,11,D,3
4.2104,73.5438,312.2,1.1,1,2021-04-11,0529,Terra,MODIS,27,6.03,297,6.2,D,3
4.1771,73.5089,315.5,1.1,1.1,2021-04-11,0529,Terra,MODIS,63,6.03,299,10.1,D,3
4.1724,73.5132,312.4,1.4,1.2,2021-04-20,0523,Terra,MODIS,46,6.03,298.7,9.9,D,3
4.1743,73.5072,313.8,1.5,1.2,2021-04-23,0553,Terra,MODIS,59,6.03,296.7,11.5,D,3
4.1738,73.5058,317.7,1,1,2021-04-25,0841,Aqua,MODIS,66,6.03,303,10.1,D,3
4.1743,73.5076,317.8,1.1,1.1,2021-04-27,0529,Terra,MODIS,61,6.03,300.9,11.8,D,3
4.1828,73.448,312.9,1.1,1.1,2021-04-27,0529,Terra,MODIS,56,6.03,298.9,8.3,D,3
4.1729,73.5174,314.5,1.1,1,2021-04-27,0529,Terra,MODIS,31,6.03,299,8.2,D,3
4.1842,73.4381,311.3,1.1,1.1,2021-04-27,0529,Terra,MODIS,48,6.03,298.7,6.9,D,3
4.1728,73.5117,311.8,1.7,1.3,2021-04-29,0516,Terra,MODIS,45,6.03,295.6,13.6,D,3
4.1689,73.5052,311.5,1.8,1.3,2021-04-30,0900,Aqua,MODIS,37,6.03,299.1,14,D,3
4.2338,73.5503,314.3,1.2,1.1,2021-05-02,0547,Terra,MODIS,57,6.03,298.3,9,D,3
4.1821,73.4425,312.3,1.1,1.1,2021-05-02,0847,Aqua,MODIS,47,6.03,299,7.4,D,3
4.1656,73.503,312.2,1.1,1.1,2021-05-02,0847,Aqua,MODIS,30,6.03,299.2,6.6,D,3
4.1719,73.5052,313.9,1.4,1.2,2021-05-09,0853,Aqua,MODIS,39,6.03,297.3,11,D,3
4.1755,73.5071,314.9,1.2,1.1,2021-05-18,0547,Terra,MODIS,62,6.03,300.3,8.7,D,3
4.1725,73.5117,310.1,1.5,1.2,2021-06-10,0552,Terra,MODIS,30,6.03,297.3,9,D,3
4.1842,73.4424,316.2,1,1,2021-06-12,0540,Terra,MODIS,65,6.03,300.2,9.3,D,3
4.1733,73.5159,314.1,1,1,2021-06-12,0540,Terra,MODIS,60,6.03,300.5,7,D,3
4.1747,73.5067,316.2,1,1,2021-06-12,0540,Terra,MODIS,65,6.03,301.5,8.8,D,3
4.1847,73.441,311.9,1,1,2021-06-21,0534,Terra,MODIS,51,6.03,298.2,6.7,D,3
4.1741,73.5127,315,1,1,2021-06-21,0534,Terra,MODIS,59,6.03,300.3,7.9,D,3
4.1756,73.5126,313.8,1.1,1.1,2021-07-16,0527,Terra,MODIS,43,6.03,301.6,8.4,D,3
4.1727,73.5005,312.5,1.1,1.1,2021-08-22,0847,Aqua,MODIS,48,6.03,300.7,8.1,D,3
4.1691,73.5071,311.5,1.1,1.1,2021-10-20,0526,Terra,MODIS,49,6.03,297.8,7.9,D,3
4.1721,73.5148,311.8,1.7,1.3,2021-10-22,0513,Terra,MODIS,42,6.03,295.4,14.5,D,3
4.1767,73.5074,312.8,1.4,1.2,2021-10-29,0519,Terra,MODIS,29,6.03,297.3,10.2,D,3
4.174,73.5079,311.3,1,1,2021-12-14,0530,Terra,MODIS,45,6.03,294.4,6.2,D,3
4.1729,73.5135,310.5,1.4,1.2,2021-12-16,0518,Terra,MODIS,29,6.03,294,8.4,D,3
