latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.032,-6.2658,323.6,1.4,1.2,2021-01-01,1048,Terra,MODIS,50,6.03,306.6,14.9,D,0
16.0332,-6.2494,329.3,1,1,2021-01-01,1353,Aqua,MODIS,43,6.03,313.3,9,D,0
16.7107,-14.9573,326.5,1.1,1,2021-01-02,1131,Terra,MODIS,69,6.03,305,17.1,D,0
16.5558,-15.7039,323.6,1.2,1.1,2021-01-02,1131,Terra,MODIS,69,6.03,305.2,14.5,D,0
16.6424,-15.1325,318.7,1.7,1.3,2021-01-04,1119,Terra,MODIS,35,6.03,303.7,13.7,D,0
16.6838,-14.8835,328.6,1,1,2021-01-04,1425,Aqua,MODIS,68,6.03,312.1,11.3,D,0
16.6828,-15.2052,316.9,1,1,2021-01-09,1137,Terra,MODIS,50,6.03,302.7,6.2,D,0
16.6477,-15.153,321.1,1,1,2021-01-09,1137,Terra,MODIS,66,6.03,303.3,9.7,D,0
16.5874,-15.4969,318.8,1.4,1.2,2021-01-09,1443,Aqua,MODIS,0,6.03,305.1,11.6,D,0
15.8571,-6.4725,327,1,1,2021-01-10,1347,Aqua,MODIS,66,6.03,311.5,10.4,D,0
14.8803,-12.4156,318.7,1,1,2021-01-11,1125,Terra,MODIS,53,6.03,303.7,6.7,D,0
15.7448,-6.2499,319.4,1.8,1.3,2021-01-11,1125,Terra,MODIS,39,6.03,303.4,17.4,D,0
15.7563,-6.2478,322.1,1.8,1.3,2021-01-11,1125,Terra,MODIS,68,6.03,304,24.1,D,0
16.6387,-15.2177,323.8,1,1,2021-01-11,1431,Aqua,MODIS,72,6.03,302.9,12.4,D,0
16.5345,-15.5726,318.8,2.2,1.4,2021-01-12,1208,Terra,MODIS,48,6.03,295.3,36.2,D,0
16.5649,-16.0708,320.7,1,1,2021-01-16,1143,Terra,MODIS,68,6.03,290.7,14.8,D,0
16.5662,-16.0801,317.3,1,1,2021-01-16,1143,Terra,MODIS,46,6.03,288.4,11.5,D,0
16.5751,-16.0787,319.2,1,1,2021-01-16,1143,Terra,MODIS,38,6.03,288.4,12.5,D,0
16.1532,-6.4932,319.3,1.2,1.1,2021-01-16,2235,Terra,MODIS,98,6.03,287.2,23.4,N,0
16.1645,-6.4839,351.2,1.2,1.1,2021-01-16,2235,Terra,MODIS,100,6.03,289.9,83.8,N,0
16.1628,-6.4948,316,1.2,1.1,2021-01-16,2235,Terra,MODIS,89,6.03,285.3,18.5,N,0
16.1759,-6.4747,333,1.2,1.1,2021-01-16,2235,Terra,MODIS,100,6.03,287.3,41.2,N,0
16.3945,-6.3798,303.7,1.2,1.1,2021-01-16,2235,Terra,MODIS,30,6.03,285.1,8.4,N,0
16.3962,-6.3691,310.2,1.2,1.1,2021-01-16,2235,Terra,MODIS,38,6.03,286.2,13,N,0
16.3978,-6.3584,316.1,1.2,1.1,2021-01-16,2235,Terra,MODIS,90,6.03,286.9,18.9,N,0
16.3995,-6.3477,305.3,1.2,1.1,2021-01-16,2235,Terra,MODIS,44,6.03,286.1,9.5,N,0
16.38,-6.4104,303.8,1.2,1.1,2021-01-16,2235,Terra,MODIS,24,6.03,285.4,8.7,N,0
16.3817,-6.3997,305.9,1.2,1.1,2021-01-16,2235,Terra,MODIS,53,6.03,285.4,10.4,N,0
16.3833,-6.3889,302.9,1.2,1.1,2021-01-16,2235,Terra,MODIS,17,6.03,285.1,8.1,N,0
16.3899,-6.3461,303.8,1.2,1.1,2021-01-16,2235,Terra,MODIS,15,6.03,285.3,8.2,N,0
16.3559,-6.4395,305.6,1.2,1.1,2021-01-16,2235,Terra,MODIS,15,6.03,285.6,9.6,N,0
16.3293,-6.3578,304.9,1.2,1.1,2021-01-16,2235,Terra,MODIS,9,6.03,284.8,9.5,N,0
16.2799,-6.3986,310.8,1.2,1.1,2021-01-16,2235,Terra,MODIS,29,6.03,285.7,13.4,N,0
