latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-20.4098,57.693,332.9,1.5,1.2,2021-04-08,0643,Terra,MODIS,74,6.03,287.7,53.8,D,0
-20.4128,57.7009,324.2,1.5,1.2,2021-04-08,0643,Terra,MODIS,58,6.03,288.1,32.2,D,0
-20.411,57.6862,317.2,1.5,1.2,2021-04-08,0643,Terra,MODIS,64,6.03,288.3,20,D,0
-20.46,57.6773,314.9,1.1,1,2021-08-03,0949,Aqua,MODIS,0,6.03,299.3,9.4,D,0
-20.0594,57.5783,310.6,1,1,2021-08-17,1001,Aqua,MODIS,37,6.03,297.2,6.3,D,0
-20.21,57.425,322.6,1.1,1.1,2021-09-04,0949,Aqua,MODIS,75,6.03,302.5,13.9,D,0
-20.1911,57.7502,320.7,1.6,1.3,2021-09-06,0937,Aqua,MODIS,60,6.03,291.5,31.3,D,0
-20.199,57.7614,311.6,2.1,1.4,2021-09-15,0930,Aqua,MODIS,33,6.03,294.1,23.8,D,0
-20.2638,57.5341,316.7,1,1,2021-09-27,0955,Aqua,MODIS,66,6.03,298.6,9.7,D,0
-20.4744,57.651,323.5,1.7,1.3,2021-11-09,0937,Aqua,MODIS,0,6.03,302.9,24.3,D,0
-20.4498,57.5585,318.4,1,1,2021-11-14,0955,Aqua,MODIS,59,6.03,302.1,9.8,D,0
-20.1766,57.7525,311.8,2.5,1.5,2021-12-02,0651,Terra,MODIS,0,6.03,296.1,28.4,D,0
-20.2208,57.7722,310.4,2.6,1.5,2021-12-02,0651,Terra,MODIS,11,6.03,295.1,30.1,D,0
