latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.1096,29.3399,300.6,1,1,2021-01-22,1103,Aqua,MODIS,39,6.03,279.6,7.2,D,2
46.0499,28.1981,307,1.6,1.2,2021-02-26,1133,Aqua,MODIS,63,6.03,296,8.4,D,0
46.7976,29.0465,306.7,1.8,1.3,2021-02-26,1134,Aqua,MODIS,64,6.03,293.1,10.9,D,0
46.8033,29.051,305.9,1.8,1.3,2021-02-26,1134,Aqua,MODIS,62,6.03,293,10.4,D,0
46.0594,28.6404,300.5,1.1,1,2021-03-04,1057,Aqua,MODIS,30,6.03,285.7,6,D,0
46.0516,28.6356,301,1.1,1,2021-03-04,1057,Aqua,MODIS,29,6.03,287.2,4.9,D,0
47.5084,28.3167,323.9,1.1,1,2021-03-04,1057,Aqua,MODIS,83,6.03,286.6,24,D,0
47.8471,27.3459,304,1,1,2021-03-11,0918,Terra,MODIS,58,6.03,281.3,7.7,D,0
47.8451,27.359,315.3,1,1,2021-03-11,0918,Terra,MODIS,76,6.03,281,15.7,D,0
46.6223,29.8298,305.4,1,1,2021-03-11,1103,Aqua,MODIS,61,6.03,290.3,6.2,D,0
46.4877,29.9958,301.8,1.7,1.3,2021-03-21,1925,Terra,MODIS,45,6.03,273.6,19.5,N,0
46.4851,29.9915,305,1.7,1.3,2021-03-21,1925,Terra,MODIS,62,6.03,272.9,25,N,0
47.263,27.7847,302.2,2.9,1.6,2021-03-26,1020,Aqua,MODIS,51,6.03,291.1,17.1,D,0
46.7875,29.4758,303.9,1.1,1.1,2021-03-27,0918,Terra,MODIS,49,6.03,292.4,3.6,D,0
46.785,29.4901,304,1.1,1.1,2021-03-27,0918,Terra,MODIS,50,6.03,291.8,3.5,D,2
46.9926,29.2613,310.5,1,1,2021-03-27,1103,Aqua,MODIS,65,6.03,296.4,5.4,D,0
48.3319,27.9214,302.8,3.3,1.7,2021-03-28,0822,Terra,MODIS,47,6.03,287.3,23.8,D,0
48.3366,27.9136,302.5,3.3,1.7,2021-03-28,0822,Terra,MODIS,48,6.03,287.1,23.4,D,2
47.8071,28.2953,308.5,3,1.6,2021-03-28,1000,Terra,MODIS,63,6.03,293.9,26.8,D,0
47.8068,28.29,307.2,3,1.6,2021-03-28,1000,Terra,MODIS,59,6.03,294.2,24.2,D,0
47.7875,28.2822,303.3,3.8,1.8,2021-03-28,1008,Aqua,MODIS,54,6.03,292.2,20.2,D,0
47.4357,28.0702,313.1,1.2,1.1,2021-04-01,1121,Aqua,MODIS,54,6.03,299.1,7.1,D,0
46.9931,29.2499,314,1.3,1.1,2021-04-01,1121,Aqua,MODIS,61,6.03,302.1,9.8,D,0
46.7558,29.5129,315.1,1.3,1.1,2021-04-01,1121,Aqua,MODIS,55,6.03,303.6,10.4,D,0
47.4453,28.0679,329.9,1.2,1.1,2021-04-01,1121,Aqua,MODIS,73,6.03,300.7,28.3,D,0
47.4188,28.1861,320.2,1.2,1.1,2021-04-01,1121,Aqua,MODIS,74,6.03,299.8,16.6,D,0
47.4171,28.1704,311.4,1.2,1.1,2021-04-01,1121,Aqua,MODIS,39,6.03,299.1,6.5,D,0
48.3604,27.5171,311.7,1.1,1.1,2021-04-01,1122,Aqua,MODIS,63,6.03,298.3,7.3,D,0
47.5385,27.5343,312.8,1.1,1.1,2021-04-01,1122,Aqua,MODIS,45,6.03,299.9,6.3,D,0
45.865,28.5166,323.6,1.4,1.2,2021-04-10,0930,Terra,MODIS,81,6.03,296.9,28.7,D,0
45.8615,28.5341,325.8,1.4,1.2,2021-04-10,0930,Terra,MODIS,83,6.03,298.5,32.5,D,0
48.276,27.434,327.1,1.2,1.1,2021-04-10,0930,Terra,MODIS,83,6.03,295.8,27.8,D,0
48.2733,27.449,306.2,1.2,1.1,2021-04-10,0930,Terra,MODIS,51,6.03,294.2,5,D,0
47.1406,28.37,318.5,1.1,1,2021-04-10,1115,Aqua,MODIS,74,6.03,296.7,14.1,D,0
47.1338,28.3629,315.7,1.1,1,2021-04-10,1115,Aqua,MODIS,66,6.03,296.5,10.7,D,0
47.1356,28.377,311.1,1.1,1,2021-04-10,1115,Aqua,MODIS,39,6.03,295.7,6.6,D,0
48.0447,28.0917,310.9,1.1,1,2021-04-10,1115,Aqua,MODIS,59,6.03,298.4,5.6,D,2
48.043,28.0775,330.6,1.1,1,2021-04-10,1115,Aqua,MODIS,85,6.03,298,27.1,D,2
45.8562,28.5192,310.8,1.1,1,2021-04-10,1115,Aqua,MODIS,43,6.03,299.6,4,D,0
47.804,27.7976,318.5,3.3,1.7,2021-04-11,1158,Aqua,MODIS,77,6.03,299.7,60.7,D,0
47.8023,27.7528,317.9,3.3,1.7,2021-04-11,1158,Aqua,MODIS,76,6.03,297.6,56.6,D,0
47.6969,27.7679,310,3.3,1.7,2021-04-11,1158,Aqua,MODIS,57,6.03,298.2,21.5,D,0
48.2635,27.9529,320.3,1,1,2021-04-12,0917,Terra,MODIS,76,6.03,301.2,11.4,D,0
45.8579,28.1876,314.6,1,1,2021-04-12,1103,Aqua,MODIS,0,6.03,300.9,6.8,D,0
48.2646,27.9403,331.6,1,1,2021-04-12,1103,Aqua,MODIS,85,6.03,306.9,23.3,D,0
47.9528,28.2039,305.4,1,1,2021-04-14,0905,Terra,MODIS,51,6.03,278.6,7.3,D,0
47.5499,28.1857,326.3,1.1,1,2021-04-21,1057,Aqua,MODIS,79,6.03,296.8,22.9,D,0
47.4405,28.0627,321,1.7,1.3,2021-05-10,0942,Terra,MODIS,73,6.03,298.8,33,D,0
47.4516,28.0682,326.4,1.7,1.3,2021-05-10,0942,Terra,MODIS,77,6.03,298.6,44.3,D,0
48.2872,27.2369,321,1.3,1.1,2021-05-10,1128,Aqua,MODIS,73,6.03,302,15,D,0
47.4961,28.1345,307.7,1,1,2021-05-11,1956,Terra,MODIS,72,6.03,284.1,11.3,N,0
48.1805,27.8366,307.6,1,1,2021-05-21,1109,Aqua,MODIS,36,6.03,293,5.2,D,0
48.096,28.4062,313.6,1.3,1.1,2021-06-26,1045,Aqua,MODIS,45,6.03,296.1,6.8,D,0
47.7082,29.0413,312.4,1.1,1.1,2021-06-29,1115,Aqua,MODIS,15,6.03,297.4,6.4,D,0
47.8449,28.6605,304.6,1.1,1.1,2021-07-03,1051,Aqua,MODIS,0,6.03,289.1,4.5,D,0
46.0818,28.363,325.7,1.3,1.1,2021-07-13,1127,Aqua,MODIS,79,6.03,302.9,21.8,D,0
46.0835,28.3805,317.6,1.3,1.1,2021-07-13,1127,Aqua,MODIS,48,6.03,301.4,8.6,D,0
46.3099,28.5594,304.6,1,1,2021-07-14,1954,Terra,MODIS,61,6.03,292.7,5.4,N,0
48.4181,27.4952,315.8,1.2,1.1,2021-07-15,0928,Terra,MODIS,62,6.03,303.6,6.7,D,0
48.4157,27.4836,318.4,1,1,2021-07-15,1116,Aqua,MODIS,63,6.03,306.4,7.2,D,2
46.4313,29.3845,332.1,1.1,1.1,2021-07-17,0916,Terra,MODIS,83,6.03,304.2,25.9,D,0
47.8262,28.0943,315.6,1,1,2021-07-17,0916,Terra,MODIS,50,6.03,296.6,5.7,D,0
47.7045,28.7073,302.6,1.5,1.2,2021-07-18,1930,Terra,MODIS,50,6.03,292.3,7.3,N,0
46.0522,28.4323,322.7,1.2,1.1,2021-07-22,1121,Aqua,MODIS,72,6.03,297.6,17.6,D,0
47.9247,27.7367,316.1,1,1,2021-07-26,0910,Terra,MODIS,65,6.03,301.5,8.3,D,0
45.9652,28.5623,319.6,1,1,2021-07-26,0910,Terra,MODIS,35,6.03,307.6,9.5,D,0
46.6424,29.3179,319.4,1.3,1.1,2021-07-28,1044,Aqua,MODIS,60,6.03,302.8,10.5,D,0
46.0735,28.3351,310.6,1,1,2021-07-30,1954,Terra,MODIS,80,6.03,291.1,9.4,N,0
46.0756,28.3482,303.5,1,1,2021-07-30,1954,Terra,MODIS,41,6.03,291.3,4.6,N,0
46.0646,28.338,307.4,1,1,2021-07-30,1954,Terra,MODIS,71,6.03,291.3,7.7,N,0
45.6119,28.4793,318.5,1.4,1.2,2021-07-31,0929,Terra,MODIS,50,6.03,301.5,9.6,D,0
46.3907,28.5788,318.9,1.1,1,2021-07-31,1115,Aqua,MODIS,52,6.03,301.8,7.8,D,0
46.0495,28.7916,326.2,1.1,1,2021-07-31,1115,Aqua,MODIS,56,6.03,302.7,15.3,D,0
47.4644,28.6224,313.4,2,1.4,2021-08-01,0833,Terra,MODIS,39,6.03,298,13.6,D,0
46.1051,28.5295,320.3,2.9,1.6,2021-08-01,1020,Aqua,MODIS,63,6.03,299.5,39.4,D,0
46.0952,28.5022,322.1,2.9,1.6,2021-08-01,1020,Aqua,MODIS,71,6.03,298.5,50,D,0
46.096,28.4947,316.6,2.9,1.6,2021-08-01,1020,Aqua,MODIS,37,6.03,298.2,24.9,D,0
46.1041,28.5371,319.9,2.9,1.6,2021-08-01,1020,Aqua,MODIS,58,6.03,299.6,38.4,D,0
46.5833,29.7846,309.6,1.1,1,2021-08-01,1942,Terra,MODIS,78,6.03,296.4,8,N,0
46.6152,29.7668,318.2,1.1,1,2021-08-01,1942,Terra,MODIS,96,6.03,296.3,16.1,N,0
46.6176,29.7808,309,1.1,1,2021-08-01,1942,Terra,MODIS,76,6.03,295.9,7.7,N,0
46.0444,28.7892,324.8,1.1,1,2021-08-02,0916,Terra,MODIS,56,6.03,301.2,13.2,D,0
46.593,29.7642,317.3,1.2,1.1,2021-08-02,0916,Terra,MODIS,51,6.03,300.2,7.7,D,2
46.4345,29.7703,328.3,1.2,1.1,2021-08-02,0916,Terra,MODIS,74,6.03,303.7,19.2,D,0
46.4318,29.785,324.6,1.2,1.1,2021-08-02,0916,Terra,MODIS,63,6.03,301.9,13.8,D,0
46.0651,28.7817,328.1,1.1,1,2021-08-02,0916,Terra,MODIS,59,6.03,299.7,16.1,D,0
46.4429,28.5647,320.4,1,1,2021-08-02,1103,Aqua,MODIS,64,6.03,300.8,7.8,D,0
48.3222,26.9019,310.8,1,1,2021-08-02,1103,Aqua,MODIS,28,6.03,297.9,4.7,D,0
46.5823,29.7763,327.2,1,1,2021-08-02,1103,Aqua,MODIS,62,6.03,303.9,14.3,D,0
46.0492,28.7884,325.8,1,1,2021-08-02,1103,Aqua,MODIS,71,6.03,306,9.9,D,0
48.3154,26.9187,312.2,1,1,2021-08-02,1103,Aqua,MODIS,47,6.03,298.5,5.8,D,0
46.4498,28.549,326.5,1,1,2021-08-02,1103,Aqua,MODIS,72,6.03,301.2,14.3,D,0
46.4518,28.5619,342.8,1,1,2021-08-02,1103,Aqua,MODIS,90,6.03,302,38.7,D,0
46.4255,29.7748,327,1,1,2021-08-02,1103,Aqua,MODIS,68,6.03,306.9,12,D,0
46.2555,28.6092,319.7,3.5,1.8,2021-08-03,0959,Terra,MODIS,67,6.03,288.4,76,D,0
46.2643,28.6209,333.4,3.5,1.8,2021-08-03,0959,Terra,MODIS,83,6.03,289.7,168,D,0
46.2702,28.6176,327.4,3.5,1.8,2021-08-03,0959,Terra,MODIS,77,6.03,289.8,122.1,D,0
46.0553,28.7305,302.2,1.7,1.3,2021-08-03,1929,Terra,MODIS,47,6.03,288.4,10.9,N,0
45.7611,28.3419,307.1,1.8,1.3,2021-08-03,1929,Terra,MODIS,70,6.03,289.5,18.2,N,0
48.133,28.2372,301.6,1.6,1.2,2021-08-03,1930,Terra,MODIS,43,6.03,287.2,10.3,N,0
48.1333,28.2316,302.6,1.6,1.2,2021-08-03,1930,Terra,MODIS,50,6.03,287.1,12.1,N,0
46.0436,28.7222,320.3,1,1,2021-08-04,0904,Terra,MODIS,59,6.03,300,7.8,D,0
46.0417,28.7349,321.7,1,1,2021-08-04,0904,Terra,MODIS,62,6.03,301.5,8.9,D,0
45.7257,28.4865,321.1,1,1,2021-08-04,0904,Terra,MODIS,64,6.03,298.3,14,D,0
45.765,28.3388,315.4,1,1,2021-08-04,0904,Terra,MODIS,50,6.03,297.8,6.9,D,0
45.6305,28.3599,317.6,1.3,1.1,2021-08-04,1050,Aqua,MODIS,39,6.03,299.5,9.9,D,0
46.6346,29.313,314.7,1.1,1.1,2021-08-04,1051,Aqua,MODIS,60,6.03,297.5,7,D,0
45.6181,28.5129,328.1,1.6,1.2,2021-08-05,1133,Aqua,MODIS,75,6.03,302.7,26.2,D,0
46.0461,28.6768,314.5,1.7,1.3,2021-08-07,0934,Terra,MODIS,71,6.03,298.5,17,D,0
46.018,28.8053,317.6,2.4,1.5,2021-08-08,1026,Aqua,MODIS,51,6.03,303.4,25,D,0
45.623,28.2217,327,1,1,2021-08-09,1109,Aqua,MODIS,73,6.03,304.6,14.6,D,0
47.8859,29.1171,321.7,1,1,2021-08-09,1109,Aqua,MODIS,67,6.03,304.1,12.2,D,0
47.769,28.5651,318.9,1,1,2021-08-09,1109,Aqua,MODIS,69,6.03,300.7,11,D,0
47.8798,29.1246,327,1,1,2021-08-09,1109,Aqua,MODIS,71,6.03,303.9,16.4,D,0
45.6481,28.3327,331,1,1,2021-08-09,1109,Aqua,MODIS,70,6.03,310.1,14.8,D,0
47.6678,29.0558,313.3,1,1,2021-08-09,1109,Aqua,MODIS,53,6.03,298.3,7.4,D,0
47.8877,29.1309,320.8,1,1,2021-08-09,1109,Aqua,MODIS,51,6.03,304.2,11.5,D,0
45.6587,28.336,330.1,1,1,2021-08-09,1109,Aqua,MODIS,75,6.03,307.8,15.6,D,0
46.0375,28.8715,316.4,1,1,2021-08-09,1109,Aqua,MODIS,27,6.03,302.3,5.7,D,0
45.7203,28.3087,336.1,2.5,1.5,2021-08-10,0827,Terra,MODIS,88,6.03,296.6,111.3,D,0
46.3762,29.5762,319.5,2.1,1.4,2021-08-10,0827,Terra,MODIS,73,6.03,297.7,31.1,D,0
46.1398,28.8257,315.9,2.3,1.5,2021-08-10,0827,Terra,MODIS,66,6.03,296.2,24.1,D,0
46.1289,28.8487,314,2.3,1.5,2021-08-10,0827,Terra,MODIS,64,6.03,296.4,20.5,D,0
45.7186,28.3401,320.1,2.5,1.5,2021-08-10,0827,Terra,MODIS,55,6.03,296.3,37.3,D,0
45.7116,28.3324,320.5,2.5,1.5,2021-08-10,0827,Terra,MODIS,64,6.03,296.3,38.6,D,0
47.7148,28.5413,300.5,1.3,1.1,2021-08-10,1936,Terra,MODIS,28,6.03,289.9,6.8,N,0
48.0415,28.3332,314.5,1,1,2021-08-11,0909,Terra,MODIS,54,6.03,301.6,6.9,D,0
48.0395,28.3464,315.5,1,1,2021-08-11,0909,Terra,MODIS,64,6.03,302.8,8,D,0
46.1492,28.3274,318.1,1,1,2021-08-11,0910,Terra,MODIS,59,6.03,301.7,9,D,0
46.4817,28.9995,314.8,1,1,2021-08-11,0910,Terra,MODIS,57,6.03,303.4,6.3,D,0
46.8056,28.8299,317.5,1,1,2021-08-11,0910,Terra,MODIS,69,6.03,300.3,9.8,D,0
47.7042,28.6045,314.5,1,1,2021-08-11,0910,Terra,MODIS,39,6.03,300.1,6.7,D,0
46.6157,29.3799,323.8,1,1,2021-08-11,0910,Terra,MODIS,77,6.03,300.8,17.1,D,0
47.713,28.6074,322,1,1,2021-08-11,0910,Terra,MODIS,75,6.03,299.9,14,D,0
47.6263,27.9375,357.5,1,1,2021-08-11,0910,Terra,MODIS,93,6.03,303.8,73.2,D,0
47.7696,29.1492,315.3,1,1,2021-08-11,0910,Terra,MODIS,30,6.03,301.3,6.6,D,0
46.1512,28.3146,324.8,1,1,2021-08-11,0910,Terra,MODIS,76,6.03,304.1,16,D,0
46.1193,28.9382,326.3,1,1,2021-08-11,0910,Terra,MODIS,77,6.03,305.8,16.9,D,0
46.1642,28.9458,322.4,1,1,2021-08-11,0910,Terra,MODIS,72,6.03,303.9,13.2,D,0
46.374,29.9458,314.9,1.1,1,2021-08-11,0910,Terra,MODIS,46,6.03,301.6,5.8,D,0
47.6282,27.9244,344.7,1,1,2021-08-11,0910,Terra,MODIS,87,6.03,303.7,45.1,D,0
45.6091,28.3196,329.5,1.1,1.1,2021-08-11,1056,Aqua,MODIS,78,6.03,307.2,20.7,D,0
45.5999,28.3229,320.6,1.1,1.1,2021-08-11,1056,Aqua,MODIS,58,6.03,306,9.8,D,0
46.124,28.8323,321.2,1.1,1,2021-08-11,1057,Aqua,MODIS,69,6.03,306.2,10.2,D,0
46.4923,28.9708,316.4,1,1,2021-08-11,1057,Aqua,MODIS,52,6.03,301.5,6.9,D,0
46.162,28.947,318.6,1.1,1,2021-08-11,1057,Aqua,MODIS,63,6.03,305.3,8.9,D,0
46.5343,28.2684,319.3,1.1,1,2021-08-11,1057,Aqua,MODIS,71,6.03,304.7,12.9,D,0
46.124,28.9384,318.9,1.1,1,2021-08-11,1057,Aqua,MODIS,50,6.03,304.3,8.3,D,0
