latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.5562,90.4151,318.1,1.6,1.2,2021-02-28,0626,Aqua,MODIS,69,6.03,270.8,41.3,D,0
49.5566,90.422,320.3,1.6,1.2,2021-02-28,0626,Aqua,MODIS,72,6.03,271.4,42.2,D,0
48.1325,114.5297,300.5,1.6,1.3,2021-03-06,0548,Aqua,MODIS,38,6.03,275.4,12,D,2
44.9046,110.2014,304.9,1.1,1,2021-03-08,0351,Terra,MODIS,58,6.03,288.8,4.8,D,0
44.9116,110.1958,305,1.1,1,2021-03-08,0351,Terra,MODIS,52,6.03,286.3,5,D,0
44.9044,110.197,314.2,1,1,2021-03-08,0535,Aqua,MODIS,72,6.03,291.6,9.6,D,0
46.576,114.2681,300.4,1,1,2021-03-10,0523,Aqua,MODIS,35,6.03,284.2,6,D,0
46.0831,114.5579,303.3,3.9,1.8,2021-03-11,0421,Terra,MODIS,55,6.03,279.4,55.8,D,0
46.0868,114.5083,300.5,3.9,1.8,2021-03-11,0421,Terra,MODIS,38,6.03,278.1,43.2,D,0
46.0732,114.5559,300.6,3.9,1.8,2021-03-11,0421,Terra,MODIS,39,6.03,279.6,44.2,D,0
49.096,104.1721,301.7,1.1,1,2021-03-11,0421,Terra,MODIS,29,6.03,287.3,3.5,D,0
49.0911,104.1638,302.1,1.1,1,2021-03-11,0421,Terra,MODIS,18,6.03,286.6,5.5,D,0
49.089,104.1546,300.7,1,1,2021-03-11,0607,Aqua,MODIS,0,6.03,287.1,2.2,D,0
49.0908,104.1685,303.1,1,1,2021-03-11,0607,Aqua,MODIS,52,6.03,289.7,3.6,D,0
46.5771,114.264,314.4,2.5,1.5,2021-03-13,0409,Terra,MODIS,75,6.03,283.9,58.5,D,0
46.5712,114.2562,302,2.5,1.5,2021-03-13,0409,Terra,MODIS,28,6.03,283,22.6,D,0
46.576,114.2646,336.9,1.8,1.3,2021-03-13,0554,Aqua,MODIS,90,6.03,287.7,93.4,D,0
46.5742,114.2412,305.8,1.8,1.3,2021-03-13,0554,Aqua,MODIS,62,6.03,286.2,18.1,D,0
46.5724,114.2734,337,1.1,1.1,2021-03-14,0314,Terra,MODIS,90,6.03,276,47.7,D,0
46.5742,114.2588,323,1.1,1.1,2021-03-14,0314,Terra,MODIS,82,6.03,275.3,26.2,D,0
46.5836,114.2612,313.4,1.1,1.1,2021-03-14,0314,Terra,MODIS,65,6.03,274.5,15.1,D,0
46.5672,114.2794,310.5,1.8,1.3,2021-03-15,0357,Terra,MODIS,70,6.03,275.1,27.1,D,0
46.5718,114.2749,328.7,1.8,1.3,2021-03-15,0357,Terra,MODIS,84,6.03,277.4,64.5,D,0
46.5721,114.2574,312.4,1.8,1.3,2021-03-15,0357,Terra,MODIS,72,6.03,276.4,30.4,D,0
46.5834,114.2621,305.9,1.8,1.3,2021-03-15,0357,Terra,MODIS,35,6.03,276.7,19.2,D,0
46.5733,114.277,317.4,1.3,1.1,2021-03-15,0541,Aqua,MODIS,78,6.03,278.7,24.4,D,0
46.5716,114.2605,351.5,1.3,1.1,2021-03-15,0541,Aqua,MODIS,96,6.03,283.6,96.2,D,0
48.7189,98.7988,301.2,1,1,2021-03-25,0433,Terra,MODIS,45,6.03,282.9,4.4,D,0
49.3391,108.8003,331.1,1.2,1.1,2021-03-26,0524,Aqua,MODIS,87,6.03,282.8,43.6,D,0
49.1525,111.5668,359,1.1,1,2021-03-31,0542,Aqua,MODIS,94,6.03,290.2,95,D,0
47.5531,118.3894,300.7,1.1,1,2021-04-06,0319,Terra,MODIS,38,6.03,284.1,4.8,D,0
49.2664,106.3635,316.8,1,1,2021-04-07,0402,Terra,MODIS,77,6.03,299.1,9.1,D,0
48.1828,107.9304,302,2.9,1.6,2021-04-08,0307,Terra,MODIS,28,6.03,277.8,30.7,D,0
49.3966,105.9193,321.7,1.1,1.1,2021-04-09,0350,Terra,MODIS,81,6.03,289.4,19.8,D,0
49.3948,105.9347,321,1.1,1.1,2021-04-09,0350,Terra,MODIS,81,6.03,291.6,19,D,0
45.5734,114.6815,316.8,1,1,2021-04-18,0529,Aqua,MODIS,30,6.03,284.7,10.2,D,0
45.5717,114.6686,428.8,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,300.7,489.6,D,0
45.57,114.6556,404.8,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,302.3,287,D,0
45.5109,114.3503,335.6,1,1,2021-04-18,0529,Aqua,MODIS,88,6.03,295.2,30.7,D,0
45.5857,114.6458,374.8,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,298.7,134.1,D,0
45.584,114.6328,346.6,1,1,2021-04-18,0529,Aqua,MODIS,94,6.03,295.5,51.7,D,0
45.5823,114.6197,372.7,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,299.2,125.5,D,0
45.5806,114.6067,324.1,1,1,2021-04-18,0529,Aqua,MODIS,80,6.03,290.5,17.8,D,0
45.562,114.4643,307.9,1,1,2021-04-18,0529,Aqua,MODIS,37,6.03,292.4,4.3,D,0
45.5637,114.4772,320.9,1,1,2021-04-18,0529,Aqua,MODIS,76,6.03,292.4,15.5,D,0
45.5654,114.4901,333.4,1,1,2021-04-18,0529,Aqua,MODIS,87,6.03,292.7,30.9,D,0
45.5671,114.5031,339.6,1,1,2021-04-18,0529,Aqua,MODIS,90,6.03,291.9,39.4,D,0
45.5688,114.516,326.8,1,1,2021-04-18,0529,Aqua,MODIS,82,6.03,290.5,22.2,D,0
45.5756,114.5678,320.2,1,1,2021-04-18,0529,Aqua,MODIS,61,6.03,288.1,14,D,0
45.548,114.4202,332.8,1,1,2021-04-18,0529,Aqua,MODIS,68,6.03,294.1,26.4,D,0
45.5498,114.4331,342.3,1,1,2021-04-18,0529,Aqua,MODIS,92,6.03,294.7,42.5,D,0
45.5515,114.446,376.4,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,296.8,137.2,D,0
45.5532,114.4589,379.5,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,296.5,149.1,D,0
45.5549,114.4718,345.1,1,1,2021-04-18,0529,Aqua,MODIS,93,6.03,292.6,45.8,D,0
45.5566,114.4847,326.7,1,1,2021-04-18,0529,Aqua,MODIS,47,6.03,292.3,17.2,D,0
45.5528,114.5259,344.1,1,1,2021-04-18,0529,Aqua,MODIS,89,6.03,293.5,43.9,D,0
45.5546,114.5388,341.3,1,1,2021-04-18,0529,Aqua,MODIS,84,6.03,292.1,39.3,D,0
45.5563,114.5518,340.1,1,1,2021-04-18,0529,Aqua,MODIS,67,6.03,290.1,36.9,D,0
45.5284,114.4122,355.2,1,1,2021-04-18,0529,Aqua,MODIS,98,6.03,295.2,68.1,D,0
45.5301,114.4251,373.9,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,294.5,124.9,D,0
45.5319,114.4379,347.9,1,1,2021-04-18,0529,Aqua,MODIS,95,6.03,291.9,52.2,D,0
45.5336,114.4508,331.2,1,1,2021-04-18,0529,Aqua,MODIS,85,6.03,292.8,24.4,D,0
45.5353,114.4637,354.8,1,1,2021-04-18,0529,Aqua,MODIS,98,6.03,295.3,68.9,D,0
45.537,114.4766,390.1,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,300.5,198.8,D,0
45.5387,114.4895,364.9,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,295.8,96.7,D,0
45.5439,114.5283,338.3,1,1,2021-04-18,0529,Aqua,MODIS,90,6.03,293.7,35.8,D,0
45.5456,114.5412,343.8,1,1,2021-04-18,0529,Aqua,MODIS,93,6.03,293.8,46.5,D,0
45.5126,114.3632,329.9,1,1,2021-04-18,0529,Aqua,MODIS,62,6.03,294.2,21.9,D,0
45.5143,114.376,327.7,1,1,2021-04-18,0529,Aqua,MODIS,34,6.03,293.7,18.6,D,0
45.5161,114.3889,339.1,1,1,2021-04-18,0529,Aqua,MODIS,88,6.03,294.5,35.2,D,0
45.5178,114.4018,344.9,1,1,2021-04-18,0529,Aqua,MODIS,93,6.03,294.6,46.2,D,0
45.5195,114.4146,379,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,298.3,146.1,D,0
45.5212,114.4275,363.4,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,296.9,91.4,D,0
45.5807,114.6662,421.4,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,301.8,419.2,D,0
45.579,114.6532,432.2,1,1,2021-04-18,0529,Aqua,MODIS,100,6.03,313.2,520.5,D,0
