latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.9047,19.5381,301,1.1,1.1,2021-02-22,1157,Aqua,MODIS,36,6.03,288.3,6.5,D,0
43.2927,19.2402,301.3,1,1,2021-02-24,1145,Aqua,MODIS,39,6.03,290.1,5.2,D,0
42.8794,19.0213,303.9,1,1,2021-02-24,1145,Aqua,MODIS,30,6.03,291,6.4,D,0
42.8964,18.9463,307,1,1,2021-02-24,1145,Aqua,MODIS,65,6.03,291.5,6.1,D,0
42.7387,19.0663,322.4,1,1,2021-02-24,1145,Aqua,MODIS,71,6.03,291.2,19,D,0
42.8983,18.9584,321.5,1,1,2021-02-24,1145,Aqua,MODIS,81,6.03,294.3,18.5,D,0
42.7405,19.0784,335,1,1,2021-02-24,1145,Aqua,MODIS,78,6.03,296.1,34.9,D,0
42.5366,19.299,322,1.1,1,2021-02-26,0950,Terra,MODIS,81,6.03,295.8,20.1,D,0
42.7638,18.7589,304.5,1,1,2021-02-26,0950,Terra,MODIS,59,6.03,291.3,5.2,D,0
43.0977,19.8952,304.1,1.1,1,2021-02-26,0950,Terra,MODIS,58,6.03,286.7,6.6,D,0
42.8289,20.0913,300.9,1.1,1.1,2021-02-26,0950,Terra,MODIS,43,6.03,282.4,7.7,D,0
42.5388,19.2856,309.6,1.1,1,2021-02-26,0950,Terra,MODIS,67,6.03,291.1,8.5,D,0
42.9177,19.5228,311.7,1.2,1.1,2021-02-26,1133,Aqua,MODIS,72,6.03,293.3,14.7,D,0
42.5363,19.2898,323.8,1.2,1.1,2021-02-26,1133,Aqua,MODIS,83,6.03,295.6,25.6,D,0
42.5387,19.3031,306.4,1.2,1.1,2021-02-26,1133,Aqua,MODIS,51,6.03,293.7,6,D,0
42.5317,19.2667,319.9,1.8,1.3,2021-02-27,1216,Aqua,MODIS,80,6.03,294.3,35.6,D,0
42.5335,19.2886,311.4,1.8,1.3,2021-02-27,1216,Aqua,MODIS,71,6.03,295.3,18.8,D,0
42.5266,19.1387,300.2,2.6,1.6,2021-02-27,2002,Terra,MODIS,19,6.03,281.3,28.6,N,0
42.8355,18.5821,304.3,1,1,2021-02-28,0938,Terra,MODIS,59,6.03,286.5,7.4,D,0
42.8371,18.5697,301,1,1,2021-02-28,0938,Terra,MODIS,44,6.03,286.3,5.5,D,0
42.5787,19.3176,304.5,1,1,2021-02-28,0938,Terra,MODIS,52,6.03,285.2,7.5,D,0
42.5804,19.3054,301.5,1,1,2021-02-28,0938,Terra,MODIS,44,6.03,281.3,6,D,0
42.5473,19.2784,303,1,1,2021-02-28,0938,Terra,MODIS,55,6.03,284.7,5.9,D,0
43.0282,19.794,302.9,1.6,1.2,2021-02-28,1121,Aqua,MODIS,51,6.03,283.9,11.7,D,0
42.7754,18.7901,304.9,1.8,1.3,2021-02-28,1121,Aqua,MODIS,60,6.03,283.3,17.1,D,0
42.8302,18.5685,301.9,1.8,1.3,2021-02-28,1121,Aqua,MODIS,50,6.03,287.4,11.4,D,0
42.7742,18.8067,302.1,1.8,1.3,2021-02-28,1121,Aqua,MODIS,23,6.03,284.8,12.7,D,0
42.5447,19.275,300.4,1.7,1.3,2021-02-28,1121,Aqua,MODIS,37,6.03,285.9,8.4,D,0
42.7637,18.793,302.9,1.8,1.3,2021-02-28,1121,Aqua,MODIS,49,6.03,285.2,14.4,D,0
42.7699,18.787,309.3,1.8,1.3,2021-02-28,1121,Aqua,MODIS,68,6.03,284.5,23.1,D,0
42.5752,19.298,301.8,1,1,2021-02-28,2045,Terra,MODIS,25,6.03,274.5,8.7,N,0
42.3293,18.8476,313.9,2.4,1.5,2021-03-01,1021,Terra,MODIS,72,6.03,286.4,47,D,0
42.3348,18.8429,329.6,2.4,1.5,2021-03-01,1021,Terra,MODIS,86,6.03,286.5,109.4,D,0
42.5806,19.2918,314.6,2.5,1.5,2021-03-01,1021,Terra,MODIS,75,6.03,286.7,54.7,D,0
42.3433,18.8486,320.6,2.4,1.5,2021-03-01,1021,Terra,MODIS,80,6.03,283.6,69.9,D,0
42.8814,18.6417,301.7,1.2,1.1,2021-03-01,1203,Aqua,MODIS,48,6.03,287.7,5,D,0
42.7751,18.7938,303.4,1.2,1.1,2021-03-01,1203,Aqua,MODIS,56,6.03,287.6,6.2,D,0
42.3339,18.8432,321.7,1.2,1.1,2021-03-01,1203,Aqua,MODIS,81,6.03,289.9,24.2,D,0
42.7769,18.8092,300.9,1.2,1.1,2021-03-01,1203,Aqua,MODIS,39,6.03,288.4,4.6,D,0
42.3324,18.8304,312.8,1.2,1.1,2021-03-01,1203,Aqua,MODIS,73,6.03,291.4,13.9,D,0
42.3351,18.8379,325.3,1.2,1.1,2021-03-01,1203,Aqua,MODIS,63,6.03,290.7,30.2,D,0
42.6182,19.9477,304.7,1.3,1.1,2021-03-01,1203,Aqua,MODIS,53,6.03,287.7,12.7,D,0
42.5678,19.2915,324.4,1.2,1.1,2021-03-01,1203,Aqua,MODIS,63,6.03,289.1,25.5,D,0
42.5669,19.2865,320.6,1.2,1.1,2021-03-01,1203,Aqua,MODIS,42,6.03,288.6,19.9,D,0
43.3354,18.8951,304.5,1.2,1.1,2021-03-01,1204,Aqua,MODIS,52,6.03,285.9,10.9,D,0
42.5711,19.3292,304.5,1.2,1.1,2021-03-02,0926,Terra,MODIS,22,6.03,290.3,7.2,D,0
42.6138,18.9518,301.9,1.6,1.3,2021-03-03,1009,Terra,MODIS,22,6.03,288.4,7.7,D,0
42.8187,18.752,303.9,1.6,1.2,2021-03-03,1009,Terra,MODIS,57,6.03,290.4,9,D,0
42.3526,18.8473,305.1,1.6,1.3,2021-03-03,1009,Terra,MODIS,57,6.03,286.5,13.9,D,0
42.3514,18.8537,307.7,1.6,1.3,2021-03-03,1009,Terra,MODIS,66,6.03,286.1,18.2,D,0
42.8226,18.7328,303.5,1.6,1.2,2021-03-03,1009,Terra,MODIS,56,6.03,289.9,8.5,D,0
42.8374,18.602,306,1.5,1.2,2021-03-03,1009,Terra,MODIS,63,6.03,292.1,10.7,D,0
42.8411,18.5833,306.1,1.5,1.2,2021-03-03,1009,Terra,MODIS,63,6.03,291.4,10.9,D,0
42.597,19.2608,303.8,1.7,1.3,2021-03-03,1009,Terra,MODIS,54,6.03,290.3,11.9,D,0
42.3561,18.8452,316.3,1,1,2021-03-03,1151,Aqua,MODIS,77,6.03,286,13.9,D,0
42.8229,18.7561,307.1,1,1,2021-03-03,1151,Aqua,MODIS,58,6.03,294.2,4.6,D,0
43.0874,19.8918,311.5,1,1,2021-03-03,1151,Aqua,MODIS,71,6.03,290.1,10.1,D,0
