latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.3322,81.8296,305.8,2,1.4,2021-01-01,0547,Terra,MODIS,55,6.03,285.2,23,D,0
29.8187,80.7488,336.2,1.7,1.3,2021-01-01,0547,Terra,MODIS,90,6.03,286.4,85.6,D,0
29.6461,81.2331,308.4,1.8,1.3,2021-01-01,0547,Terra,MODIS,67,6.03,283.9,22.2,D,0
28.6508,82.7706,305.4,2.4,1.5,2021-01-01,0547,Terra,MODIS,56,6.03,293,28.7,D,0
29.6528,81.2405,303.1,1.8,1.3,2021-01-01,0547,Terra,MODIS,52,6.03,284.7,15.5,D,0
28.3755,84.0122,301.5,1.5,1.2,2021-01-01,0722,Aqua,MODIS,47,6.03,286.8,11.4,D,0
28.5516,84.295,300.3,1.5,1.2,2021-01-01,0722,Aqua,MODIS,12,6.03,288.2,9.2,D,0
28.6012,83.2833,315.1,1.7,1.3,2021-01-01,0722,Aqua,MODIS,75,6.03,288.3,30.9,D,0
28.3138,84.8266,306.3,1.4,1.2,2021-01-01,0722,Aqua,MODIS,61,6.03,285.3,14.3,D,0
28.2433,84.7128,306.1,1.4,1.2,2021-01-01,0722,Aqua,MODIS,55,6.03,286.5,14.2,D,0
28.5561,84.2883,302.4,1.5,1.2,2021-01-01,0722,Aqua,MODIS,33,6.03,290.3,10.2,D,0
28.396,81.2189,302,2.4,1.5,2021-01-01,0722,Aqua,MODIS,50,6.03,291.5,13.4,D,0
28.5981,83.2669,310.6,1.7,1.3,2021-01-01,0722,Aqua,MODIS,70,6.03,290.6,23,D,0
28.1465,84.0384,304.6,1.5,1.2,2021-01-01,0722,Aqua,MODIS,34,6.03,294.5,8.5,D,0
28.3111,84.8115,306.2,1.4,1.2,2021-01-01,0722,Aqua,MODIS,58,6.03,285.7,13.9,D,0
28.5696,84.296,307.4,1.2,1.1,2021-01-01,1646,Terra,MODIS,71,6.03,269.1,17.5,N,0
29.781,81.9839,300.4,1,1,2021-01-01,1647,Terra,MODIS,27,6.03,276.9,8.7,N,0
28.2217,84.963,303.3,1.3,1.1,2021-01-02,0452,Terra,MODIS,49,6.03,280.6,10.3,D,0
28.2855,84.6022,307.3,1.4,1.2,2021-01-02,0452,Terra,MODIS,55,6.03,288.5,14,D,0
28.5698,83.6173,317.3,1.6,1.2,2021-01-02,0452,Terra,MODIS,75,6.03,296.8,29.3,D,0
28.5632,83.5744,317.9,1.6,1.2,2021-01-02,0452,Terra,MODIS,78,6.03,291.7,30.7,D,0
28.284,84.6154,306.6,1.4,1.2,2021-01-02,0452,Terra,MODIS,46,6.03,292.5,12.6,D,0
28.2235,84.9486,306.4,1.3,1.1,2021-01-02,0452,Terra,MODIS,60,6.03,280.8,13.3,D,0
28.0337,85.6686,304.1,1.2,1.1,2021-01-02,0452,Terra,MODIS,58,6.03,284.5,9.1,D,0
28.5946,83.2829,303.7,1.7,1.3,2021-01-02,0452,Terra,MODIS,39,6.03,287.4,10.7,D,0
28.2405,84.6278,300.8,1.4,1.2,2021-01-02,0452,Terra,MODIS,42,6.03,286.2,9,D,0
27.4592,86.9125,300.1,1.1,1,2021-01-02,0453,Terra,MODIS,17,6.03,289,6.6,D,0
27.2851,88.0194,300.3,1,1,2021-01-02,0453,Terra,MODIS,30,6.03,284.7,6,D,0
28.2216,84.951,320.5,2.1,1.4,2021-01-02,0804,Aqua,MODIS,71,6.03,281.8,52.1,D,0
27.4713,87.4588,311.3,3.1,1.7,2021-01-02,0804,Aqua,MODIS,71,6.03,284.7,56.6,D,0
28.1966,84.9653,323.4,2.1,1.4,2021-01-02,0804,Aqua,MODIS,78,6.03,280.6,60.6,D,0
28.1971,84.9603,324,2.1,1.4,2021-01-02,0804,Aqua,MODIS,55,6.03,282.4,59.5,D,0
28.3086,84.6369,312.7,2,1.4,2021-01-02,0804,Aqua,MODIS,54,6.03,287,31.5,D,0
28.8691,82.5882,327.1,1.5,1.2,2021-01-02,0805,Aqua,MODIS,63,6.03,293.6,42.9,D,0
