latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.4289,5.9954,370.6,1.5,1.2,2021-02-22,1200,Aqua,MODIS,100,6.03,288.4,211.6,D,0
52.4923,4.6212,303,1.3,1.1,2021-02-27,1031,Terra,MODIS,54,6.03,280.7,10,D,2
52.4811,4.5892,302.3,1.1,1.1,2021-02-27,1219,Aqua,MODIS,0,6.03,284.6,7.2,D,2
52.4826,4.5961,300,1.1,1,2021-02-28,0150,Aqua,MODIS,3,6.03,275.4,9.7,N,2
52.4913,4.6132,304,1.3,1.1,2021-02-28,1114,Terra,MODIS,54,6.03,285,10,D,2
52.4866,4.6021,300.5,1.5,1.2,2021-02-28,1302,Aqua,MODIS,0,6.03,286.7,8.7,D,2
52.4902,4.6036,300.4,1,1,2021-03-02,1102,Terra,MODIS,23,6.03,284.6,4.8,D,2
52.4877,4.6185,304.4,1,1,2021-03-02,1102,Terra,MODIS,55,6.03,285.4,7.3,D,2
52.4856,4.6038,300.8,1.2,1.1,2021-03-02,1249,Aqua,MODIS,32,6.03,287.6,5.7,D,2
52.4837,4.5904,302.3,1,1,2021-03-05,0208,Aqua,MODIS,48,6.03,273.2,9.9,N,2
52.4853,4.6112,310.1,1,1,2021-03-22,1225,Aqua,MODIS,27,6.03,288.4,10.4,D,2
51.8706,5.7355,318.2,1.2,1.1,2021-03-24,1212,Aqua,MODIS,74,6.03,284.6,22.2,D,0
52.4887,4.606,305,1.3,1.1,2021-03-24,1213,Aqua,MODIS,46,6.03,285.7,10,D,2
52.4924,4.6131,300.8,1.1,1,2021-03-24,2136,Terra,MODIS,34,6.03,278.5,9.1,N,2
51.3155,5.9045,304.7,1.1,1,2021-03-27,1056,Terra,MODIS,56,6.03,284.3,7.9,D,0
52.4919,4.6038,304.1,1,1,2021-03-29,1231,Aqua,MODIS,44,6.03,288.9,5.5,D,2
51.8477,4.6038,304.5,1,1,2021-03-29,1231,Aqua,MODIS,59,6.03,291.2,4.3,D,2
52.0846,4.6869,303.2,1,1,2021-03-29,1231,Aqua,MODIS,54,6.03,291.8,4.8,D,2
