latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.0125,164.6902,312.3,1.4,1.2,2021-01-23,1407,Aqua,MODIS,78,6.03,272.6,22.9,N,2
-21.0126,164.6867,305.1,1,1,2021-01-28,1426,Aqua,MODIS,63,6.03,287.8,6.2,N,2
-21.0108,164.6885,322.4,1.5,1.2,2021-01-29,1200,Terra,MODIS,100,6.03,291.5,35.9,N,2
-21.0132,164.6745,322.3,1.5,1.2,2021-01-29,1200,Terra,MODIS,100,6.03,291.7,33.8,N,3
-21.0216,164.6907,331.2,1.5,1.2,2021-01-29,1200,Terra,MODIS,100,6.03,290.6,51.6,N,3
-22.0437,166.2476,326.9,3,1.7,2021-01-30,0318,Aqua,MODIS,80,6.03,298.1,91,D,0
-22.029,166.2441,315.7,3,1.7,2021-01-30,0318,Aqua,MODIS,64,6.03,297.3,35.4,D,0
-22.0292,166.2367,314.2,3,1.7,2021-01-30,0318,Aqua,MODIS,47,6.03,297.5,26.9,D,0
-21.1172,165.4674,313.4,1,1,2021-02-12,0248,Aqua,MODIS,34,6.03,298.9,5.8,D,0
-21.015,164.673,324.9,2.1,1.4,2021-02-13,1117,Terra,MODIS,100,6.03,293.6,58.2,N,3
-21.0127,164.6895,315.6,1.8,1.3,2021-02-14,2255,Terra,MODIS,0,6.03,297.3,15.5,D,2
-21.0162,164.6944,303,1.2,1.1,2021-02-15,1414,Aqua,MODIS,53,6.03,291.5,5.7,N,2
-21.0142,164.6871,309.8,1,1,2021-03-10,1420,Aqua,MODIS,78,6.03,294.3,9.5,N,2
-21.0135,164.6867,317.5,1,1,2021-03-14,2319,Terra,MODIS,0,6.03,302.1,8.3,D,2
-22.1382,166.28,317.4,1,1,2021-03-16,0248,Aqua,MODIS,60,6.03,298.8,9.6,D,0
-22.1367,166.2898,314.5,1,1,2021-03-16,0248,Aqua,MODIS,50,6.03,296.9,6.7,D,0
-21.0204,164.6775,339.1,1,1,2021-03-29,1141,Terra,MODIS,100,6.03,293.1,39.2,N,3
-21.0191,164.6871,357.5,1,1,2021-03-29,1141,Terra,MODIS,100,6.03,294.6,76.7,N,3
-22.0776,166.1988,320.2,1.4,1.2,2021-03-30,0300,Aqua,MODIS,72,6.03,300.5,16.5,D,0
-22.0752,166.2123,315.7,1.4,1.2,2021-03-30,0300,Aqua,MODIS,64,6.03,299.8,9.7,D,0
-21.011,164.6853,320.7,1.2,1.1,2021-05-06,1413,Aqua,MODIS,100,6.03,293.3,22.9,N,2
