latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-34.6959,172.9683,314.1,1.2,1.1,2021-01-03,2222,Terra,MODIS,32,6.03,301.3,9.4,D,0
-44.5287,170.6428,314.2,1.1,1,2021-01-03,2225,Terra,MODIS,70,6.03,298.3,8.4,D,0
-34.5444,172.7932,313,3.5,1.8,2021-01-05,0143,Aqua,MODIS,0,6.03,301.6,50.3,D,2
-45.9569,168.0287,301.4,1,1,2021-01-09,0254,Aqua,MODIS,26,6.03,288.8,3.2,D,0
-34.6929,172.9625,311.5,1.1,1,2021-01-10,2228,Terra,MODIS,41,6.03,299.5,7.7,D,0
-39.2572,175.5867,307.4,1.1,1,2021-01-10,2229,Terra,MODIS,0,6.03,296.6,6.8,D,0
-40.5086,172.7866,312.1,1,1,2021-01-10,2230,Terra,MODIS,20,6.03,301.2,9.7,D,3
-41.6781,172.6555,300.2,1,1,2021-01-10,2230,Terra,MODIS,15,6.03,287.7,2.9,D,0
-34.5487,172.9627,310.8,2.7,1.6,2021-01-12,0149,Aqua,MODIS,28,6.03,298.7,24.5,D,0
-40.8908,172.5475,303,1.6,1.3,2021-01-14,2205,Terra,MODIS,18,6.03,290.9,5,D,0
-38.9544,174.5296,310.2,1,1,2021-01-15,0218,Aqua,MODIS,58,6.03,296.5,6.8,D,0
-38.0464,176.0059,312.3,1,1,2021-01-15,0219,Aqua,MODIS,45,6.03,300.2,7.5,D,0
-34.6945,172.962,317.1,1,1,2021-01-15,0220,Aqua,MODIS,46,6.03,305.9,10.7,D,0
-45.4681,168.0566,311.4,1,1,2021-01-15,2249,Terra,MODIS,66,6.03,295.4,8.5,D,0
-45.4589,168.059,307.5,1,1,2021-01-15,2249,Terra,MODIS,48,6.03,294.6,5.8,D,0
-36.7491,174.7002,314.5,1.1,1,2021-01-17,2234,Terra,MODIS,41,6.03,298.6,9.5,D,2
-37.6847,175.3766,309.5,1.2,1.1,2021-01-17,2235,Terra,MODIS,54,6.03,296.6,6.6,D,0
-40.5084,172.8013,314.7,1,1,2021-01-26,2229,Terra,MODIS,45,6.03,303.8,11.7,D,3
-42.158,173.5724,359.4,1.3,1.1,2021-01-27,1348,Aqua,MODIS,100,6.03,299,122.5,N,0
-42.1461,173.5593,321.6,1.3,1.1,2021-01-27,1348,Aqua,MODIS,100,6.03,292.5,28.3,N,0
-42.1478,173.5749,308.9,1.3,1.1,2021-01-27,1348,Aqua,MODIS,76,6.03,291.9,12.7,N,0
-42.1546,173.5414,303.8,1.3,1.1,2021-01-27,1348,Aqua,MODIS,28,6.03,293,7.9,N,0
-42.1563,173.5568,387.6,1.3,1.1,2021-01-27,1348,Aqua,MODIS,100,6.03,302.7,270.6,N,0
-35.5407,173.9679,326.7,1.2,1.1,2021-01-28,2216,Terra,MODIS,58,6.03,300.6,28,D,0
-35.5383,173.9544,341.2,1.2,1.1,2021-01-28,2216,Terra,MODIS,91,6.03,298,56.1,D,0
-40.5111,172.7737,313.5,1,1,2021-01-29,0230,Aqua,MODIS,43,6.03,303.5,11.6,D,3
-34.6952,172.9603,312.1,1,1,2021-01-29,0232,Aqua,MODIS,34,6.03,301.5,7.3,D,0
-45.4271,167.926,304.2,1,1,2021-01-31,2249,Terra,MODIS,44,6.03,288.4,4.3,D,0
-43.8739,171.8204,311.6,1.3,1.1,2021-01-31,2249,Terra,MODIS,48,6.03,291.8,9.7,D,0
-39.5186,175.011,310.5,2.6,1.6,2021-02-01,0301,Aqua,MODIS,51,6.03,296.1,27.5,D,0
-39.853,175.0064,314,1.3,1.1,2021-02-02,0206,Aqua,MODIS,62,6.03,300.8,10,D,0
-36.9826,174.7876,318.2,1.1,1,2021-02-02,2234,Terra,MODIS,41,6.03,302.6,6.6,D,2
-40.4515,175.2803,319.2,1.2,1.1,2021-02-02,2235,Terra,MODIS,76,6.03,302.6,13.2,D,0
-39.2361,174.8458,311.5,1.9,1.3,2021-02-04,0154,Aqua,MODIS,65,6.03,296.5,19.2,D,0
-39.2379,174.823,310.4,1.9,1.3,2021-02-04,0154,Aqua,MODIS,66,6.03,297.5,17.7,D,0
-39.2354,174.8177,310.9,1.9,1.3,2021-02-04,0154,Aqua,MODIS,66,6.03,297.3,18.2,D,0
-39.2334,174.8405,308.7,1.9,1.3,2021-02-04,0154,Aqua,MODIS,52,6.03,296.5,13.9,D,0
-40.346,175.2383,362.1,1,1,2021-02-04,1118,Terra,MODIS,100,6.03,288.4,96.6,N,0
-40.3442,175.2501,314.8,1,1,2021-02-04,1118,Terra,MODIS,90,6.03,280.9,17.2,N,0
-40.35,175.2508,309.3,1.7,1.3,2021-02-04,1259,Aqua,MODIS,65,6.03,282.3,29.5,N,0
-40.3452,175.2472,315.3,1.7,1.3,2021-02-04,1259,Aqua,MODIS,88,6.03,283.4,37.5,N,0
