latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.505,-85.8391,304.3,1.1,1,2021-01-02,0414,Terra,MODIS,59,6.03,293.3,4.5,N,0
11.51,-85.8456,308.1,1.1,1,2021-01-02,0414,Terra,MODIS,74,6.03,293.3,7.8,N,0
11.5036,-85.8491,303.3,1.1,1,2021-01-02,0414,Terra,MODIS,54,6.03,293,3.9,N,0
13.8004,-83.7155,311.8,1.4,1.2,2021-01-02,1628,Terra,MODIS,52,6.03,296.5,9.9,D,0
12.7589,-87.077,327.2,1,1,2021-01-04,1920,Aqua,MODIS,73,6.03,311.3,15.2,D,0
12.5475,-86.4151,316.6,1.1,1,2021-01-04,1920,Aqua,MODIS,49,6.03,303.5,5.4,D,0
12.5489,-86.4053,345.5,1.1,1,2021-01-04,1920,Aqua,MODIS,93,6.03,305.1,48.2,D,0
12.3536,-85.9994,317.2,1.1,1.1,2021-01-04,1920,Aqua,MODIS,67,6.03,303.6,7.4,D,0
12.7635,-86.879,316.9,1.7,1.3,2021-01-06,1604,Terra,MODIS,63,6.03,297.4,16.8,D,0
12.6064,-87.1722,319.5,1.8,1.3,2021-01-06,1604,Terra,MODIS,50,6.03,298,20.1,D,0
12.5144,-86.6045,317,2,1.4,2021-01-07,1647,Terra,MODIS,65,6.03,301.6,25.6,D,0
12.5581,-87.1081,318.5,3.1,1.7,2021-01-08,1552,Terra,MODIS,73,6.03,298.1,48.6,D,0
12.5573,-87.1022,317.9,3.1,1.7,2021-01-08,1552,Terra,MODIS,63,6.03,298.4,44.4,D,0
14.1261,-84.627,310.9,1.1,1.1,2021-01-08,1856,Aqua,MODIS,62,6.03,297.4,6.5,D,0
12.584,-87.1357,317.1,1.2,1.1,2021-01-09,1635,Terra,MODIS,43,6.03,303.8,8,D,0
12.7255,-87.2722,317.6,1.9,1.3,2021-01-09,1938,Aqua,MODIS,66,6.03,302.1,15.7,D,0
12.5291,-86.4155,317.3,2.1,1.4,2021-01-09,1938,Aqua,MODIS,69,6.03,300.4,23.5,D,0
12.5301,-86.4102,318,2.1,1.4,2021-01-09,1938,Aqua,MODIS,66,6.03,300.6,24.4,D,0
12.7823,-87.0645,341.8,1,1,2021-01-11,1622,Terra,MODIS,91,6.03,303.8,36.4,D,0
12.781,-87.0553,342.7,1,1,2021-01-11,1622,Terra,MODIS,91,6.03,303.4,37.6,D,0
12.5638,-87.2095,334.5,1,1,2021-01-11,1623,Terra,MODIS,85,6.03,302.2,26.7,D,0
12.5624,-87.2003,323.5,1,1,2021-01-11,1623,Terra,MODIS,70,6.03,299.9,12.5,D,0
14.6783,-83.4296,315.8,1.4,1.2,2021-01-13,1914,Aqua,MODIS,59,6.03,295.3,11.6,D,0
13.3594,-84.1578,313.1,1.2,1.1,2021-01-13,1914,Aqua,MODIS,28,6.03,299,7,D,0
13.738,-84.1475,345.6,1.2,1.1,2021-01-13,1914,Aqua,MODIS,93,6.03,302.2,60.3,D,0
13.7366,-84.1584,348.4,1.2,1.1,2021-01-13,1914,Aqua,MODIS,95,6.03,302.1,67.2,D,0
13.358,-84.1686,313.5,1.2,1.1,2021-01-13,1914,Aqua,MODIS,45,6.03,299.3,7,D,0
14.36,-83.6025,313.9,1.3,1.1,2021-01-13,1914,Aqua,MODIS,63,6.03,300.8,7.6,D,0
14.6798,-83.4172,316.9,1.4,1.2,2021-01-13,1914,Aqua,MODIS,66,6.03,295.5,13.5,D,0
13.7393,-84.1534,352.4,1.2,1.1,2021-01-13,1914,Aqua,MODIS,96,6.03,303.2,79.2,D,0
13.6893,-83.7466,315,1.3,1.1,2021-01-13,1914,Aqua,MODIS,66,6.03,299.8,9.4,D,0
13.71,-83.7937,326.4,1,1,2021-01-15,1902,Aqua,MODIS,81,6.03,297,16.8,D,0
13.7113,-83.7846,322,1,1,2021-01-15,1902,Aqua,MODIS,69,6.03,300.4,11.7,D,0
13.7024,-83.7832,323.6,1,1,2021-01-15,1902,Aqua,MODIS,78,6.03,300.7,13.6,D,0
14.6004,-83.4155,307.3,1.9,1.3,2021-01-19,1838,Aqua,MODIS,47,6.03,294.3,10.8,D,0
12.5558,-87.1482,340.1,1.1,1.1,2021-01-20,1616,Terra,MODIS,89,6.03,307.6,38.5,D,0
12.5572,-87.1585,336.7,1.1,1.1,2021-01-20,1616,Terra,MODIS,87,6.03,306.5,32.6,D,0
12.9525,-86.384,319.9,1.1,1,2021-01-20,1920,Aqua,MODIS,68,6.03,300.8,13,D,0
12.2513,-86.7302,322.5,1,1,2021-01-20,1920,Aqua,MODIS,71,6.03,305.3,9.2,D,0
12.8414,-87.3856,317.9,1,1,2021-01-20,1920,Aqua,MODIS,45,6.03,304.1,6,D,0
12.9512,-86.3934,315.4,1.1,1,2021-01-20,1920,Aqua,MODIS,56,6.03,300,8,D,0
12.618,-87.1766,319.5,1.8,1.3,2021-01-22,0349,Terra,MODIS,99,6.03,294.4,37.6,N,0
12.6134,-87.1821,308.7,1.8,1.3,2021-01-22,0350,Terra,MODIS,75,6.03,294.2,15.8,N,0
12.6251,-87.1841,311.7,1.8,1.3,2021-01-22,0350,Terra,MODIS,83,6.03,294.3,20.1,N,0
12.6154,-87.1697,325.8,1.8,1.3,2021-01-22,1604,Terra,MODIS,73,6.03,302.5,33.3,D,0
12.6175,-87.1862,320.1,1.8,1.3,2021-01-22,1604,Terra,MODIS,49,6.03,300.7,21.9,D,0
11.5395,-85.8821,346,1,1,2021-01-22,1907,Aqua,MODIS,93,6.03,302.1,47.8,D,0
12.8494,-86.1889,315.4,1,1,2021-01-22,1908,Aqua,MODIS,33,6.03,301.6,6.9,D,0
14.8211,-83.6386,314.1,1.1,1,2021-01-22,1908,Aqua,MODIS,64,6.03,299.2,6.5,D,0
13.7522,-83.7318,315.1,1.1,1,2021-01-22,1908,Aqua,MODIS,63,6.03,301.8,6.3,D,0
13.7528,-83.9831,322.6,1,1,2021-01-22,1908,Aqua,MODIS,76,6.03,300.6,14.5,D,0
