latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.3437,2.2326,325.1,1.8,1.3,2021-01-02,1257,Aqua,MODIS,42,6.03,314.3,14.2,D,0
17.2616,7.7722,326.7,1,1,2021-01-02,1258,Aqua,MODIS,17,6.03,314.4,7.3,D,0
14.8,1.7852,328.4,1,1,2021-01-03,1036,Terra,MODIS,68,6.03,314.9,11.2,D,0
14.8015,1.7757,327,1,1,2021-01-03,1036,Terra,MODIS,53,6.03,313,9.2,D,0
12.3428,2.0876,335.2,1.8,1.3,2021-01-03,1340,Aqua,MODIS,78,6.03,316,39.9,D,0
12.3408,2.0717,331.9,1.8,1.3,2021-01-03,1340,Aqua,MODIS,72,6.03,316.3,29.5,D,0
12.3438,2.0784,345.1,1.8,1.3,2021-01-03,1340,Aqua,MODIS,89,6.03,316.2,77,D,0
14.8063,1.7838,332.2,1.8,1.3,2021-01-03,1341,Aqua,MODIS,58,6.03,319.8,26.3,D,0
14.8043,1.7671,332.2,1.8,1.3,2021-01-03,1341,Aqua,MODIS,63,6.03,319.6,25.9,D,0
14.8083,1.8006,337.4,1.8,1.3,2021-01-03,1341,Aqua,MODIS,79,6.03,317.4,44,D,0
14.978,9.8784,304.9,1.3,1.1,2021-01-03,2127,Terra,MODIS,62,6.03,289.2,11.2,N,0
14.9799,9.8906,320.7,1.3,1.1,2021-01-03,2127,Terra,MODIS,100,6.03,290.6,29.8,N,0
14.9818,9.9028,312,1.3,1.1,2021-01-03,2127,Terra,MODIS,84,6.03,291,17.5,N,0
14.9837,9.915,313.7,1.3,1.1,2021-01-03,2127,Terra,MODIS,88,6.03,291,20.2,N,0
14.9678,9.8801,339.3,1.3,1.1,2021-01-03,2127,Terra,MODIS,100,6.03,292.7,66.2,N,0
14.9697,9.8924,346.5,1.3,1.1,2021-01-03,2127,Terra,MODIS,100,6.03,295,85.7,N,0
13.5366,6.5168,320.5,2.7,1.6,2021-01-04,0941,Terra,MODIS,52,6.03,308.9,27.7,D,0
13.0133,6.9951,331,1.4,1.2,2021-01-04,1245,Aqua,MODIS,68,6.03,316.6,18.2,D,0
15.8241,8.4405,353.2,1.1,1,2021-01-04,1246,Aqua,MODIS,95,6.03,320.5,54.2,D,0
15.8412,8.4293,341.9,1.6,1.2,2021-01-05,1023,Terra,MODIS,88,6.03,315.3,59.9,D,0
15.8436,8.415,332.7,1.6,1.2,2021-01-05,1023,Terra,MODIS,66,6.03,313.8,31.3,D,0
12.4548,2.3814,322.7,1,1,2021-01-05,1024,Terra,MODIS,29,6.03,312.2,5.5,D,0
13.4101,1.2189,329.6,1.1,1.1,2021-01-05,1024,Terra,MODIS,72,6.03,308.3,17.5,D,0
12.3156,2.3263,354.1,1,1,2021-01-05,1024,Terra,MODIS,96,6.03,314.6,56.6,D,0
12.3169,2.3171,341,1,1,2021-01-05,1024,Terra,MODIS,86,6.03,313.3,29.4,D,0
12.5281,2.5108,330.3,1,1,2021-01-05,1024,Terra,MODIS,73,6.03,311.7,14.6,D,0
11.9687,2.3325,380.7,1.1,1.1,2021-01-05,1328,Aqua,MODIS,100,6.03,317.2,165.7,D,0
11.9701,2.3429,357.9,1.1,1.1,2021-01-05,1328,Aqua,MODIS,98,6.03,316.3,73.4,D,0
11.9796,2.3415,344.7,1.1,1.1,2021-01-05,1328,Aqua,MODIS,87,6.03,317.7,37.8,D,0
14.4587,5.5604,324.2,1,1,2021-01-07,1011,Terra,MODIS,59,6.03,313.1,7.8,D,0
14.8123,11.0356,329.3,1.5,1.2,2021-01-07,1011,Terra,MODIS,31,6.03,313.2,21.9,D,0
14.8038,11.02,366.1,1.5,1.2,2021-01-07,1011,Terra,MODIS,100,6.03,316,159.4,D,0
14.8208,11.0512,330.1,1.5,1.2,2021-01-07,1011,Terra,MODIS,54,6.03,313.7,25.1,D,0
13.1243,6.8745,322.9,1,1,2021-01-07,1012,Terra,MODIS,62,6.03,310.8,7.2,D,0
12.2654,2.3872,329.3,1,1,2021-01-07,1315,Aqua,MODIS,55,6.03,317,9.4,D,0
11.9497,3.5158,345,1,1,2021-01-07,1315,Aqua,MODIS,90,6.03,315.5,35,D,0
11.951,3.5249,333.7,1,1,2021-01-07,1315,Aqua,MODIS,79,6.03,312.9,16.3,D,0
13.0774,2.1406,351.4,1,1,2021-01-07,1316,Aqua,MODIS,94,6.03,319.2,45.9,D,0
