latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.2238,145.7611,318.3,1.9,1.3,2021-01-21,1300,Terra,MODIS,96,6.03,294.4,36.9,N,0
15.2232,145.7637,309.7,1.3,1.1,2021-01-21,1548,Aqua,MODIS,67,6.03,295.7,10.7,N,0
15.2114,145.7643,312.8,1.6,1.2,2021-01-22,0113,Terra,MODIS,17,6.03,297.6,12,D,0
15.2127,145.7708,313.9,1.6,1.2,2021-01-22,0113,Terra,MODIS,0,6.03,297.1,14.9,D,0
16.3512,145.6833,317.9,1.3,1.1,2021-03-19,0330,Aqua,MODIS,65,6.03,303,14.9,D,1
16.3524,145.6795,317,1.5,1.2,2021-03-22,0400,Aqua,MODIS,32,6.03,300.7,17,D,1
15.0492,145.6103,316.4,1.5,1.2,2021-05-14,0112,Terra,MODIS,49,6.03,298,14.6,D,0
18.1553,145.7896,321.2,1.1,1.1,2021-06-03,0046,Terra,MODIS,28,6.03,300.4,11.9,D,1
14.1903,145.2719,320.6,1,1,2021-06-12,0347,Aqua,MODIS,15,6.03,302.2,7.8,D,0
14.9939,145.6417,311.2,1.5,1.2,2021-06-15,0111,Terra,MODIS,29,6.03,296.4,12.7,D,0
15.0652,145.6256,317.9,1,1,2021-06-21,0341,Aqua,MODIS,62,6.03,293.2,8.9,D,0
15.0638,145.6164,320.1,1,1,2021-06-21,0341,Aqua,MODIS,55,6.03,293.9,10.6,D,0
