latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
58.5484,6.1532,303.3,1.1,1.1,2021-04-14,1233,Aqua,MODIS,55,6.03,283.1,8,D,0
58.5506,6.1727,300.7,1.1,1.1,2021-04-14,1233,Aqua,MODIS,40,6.03,283.2,6.4,D,0
58.5008,6.5405,322.3,1,1,2021-04-18,1208,Aqua,MODIS,0,6.03,286.1,21.8,D,0
58.3643,6.4174,307.9,1,1,2021-04-19,1100,Terra,MODIS,62,6.03,289.1,6.3,D,0
58.3669,6.4008,316.1,1,1,2021-04-19,1100,Terra,MODIS,76,6.03,291.7,12.8,D,0
58.3689,6.4046,306.2,1.6,1.2,2021-04-19,1251,Aqua,MODIS,59,6.03,293.5,10.6,D,0
58.2685,6.9978,302.6,1.1,1.1,2021-04-20,1156,Aqua,MODIS,53,6.03,287.6,6,D,0
58.2655,7.0068,303.4,1.1,1.1,2021-04-20,1156,Aqua,MODIS,56,6.03,286.5,6.3,D,0
60.8254,11.147,315.6,1.2,1.1,2021-04-26,1105,Terra,MODIS,76,6.03,291.3,16.4,D,0
60.6941,10.7312,310.1,1,1,2021-04-27,1202,Aqua,MODIS,69,6.03,277,12.9,D,0
61.8675,11.0959,324.4,1,1,2021-05-06,1156,Aqua,MODIS,77,6.03,283.5,26.4,D,0
58.1753,8.1315,308.3,1.1,1.1,2021-05-28,1105,Terra,MODIS,66,6.03,298,9.5,D,2
59.0481,6.2767,316.4,1.1,1,2021-05-29,1202,Aqua,MODIS,65,6.03,295.6,12.3,D,0
59.0513,6.2948,311.1,1.1,1,2021-05-29,1202,Aqua,MODIS,64,6.03,294.8,7.4,D,0
60.7056,10.7836,305.8,1,1,2021-05-31,1150,Aqua,MODIS,62,6.03,286.6,4.8,D,0
59.6569,10.7999,303.1,1.1,1.1,2021-06-02,1137,Aqua,MODIS,18,6.03,290.7,2.8,D,0
69.9205,23.2846,306.9,1,1,2021-06-03,1025,Terra,MODIS,41,6.03,296.8,3.8,D,0
62.3459,10.0545,316.6,1.2,1.1,2021-06-03,1027,Terra,MODIS,56,6.03,288,16.7,D,0
60.9706,9.2974,302.3,1.2,1.1,2021-06-03,1027,Terra,MODIS,17,6.03,289.9,4.6,D,0
62.3483,10.0313,306.8,1.2,1.1,2021-06-03,1027,Terra,MODIS,26,6.03,289.5,6.5,D,0
60.3783,5.0171,311.9,1.6,1.3,2021-06-03,1028,Terra,MODIS,0,6.03,296.9,11.7,D,0
59.6781,7.6805,301.6,1.1,1,2021-06-03,1220,Aqua,MODIS,13,6.03,286.2,3.7,D,0
60.3732,4.9914,337.3,1,1,2021-06-03,1221,Aqua,MODIS,0,6.03,302.1,33.4,D,0
60.3694,5.0319,325.9,1,1,2021-06-03,1221,Aqua,MODIS,72,6.03,295.7,17.8,D,0
60.3669,5.0142,352.2,1,1,2021-06-03,1221,Aqua,MODIS,84,6.03,302,61.6,D,0
60.3757,5.0091,427.6,1,1,2021-06-03,1221,Aqua,MODIS,87,6.03,314,461.1,D,0
60.7078,10.7871,310.3,1.3,1.1,2021-06-04,1110,Terra,MODIS,68,6.03,295.4,8.4,D,0
66.311,14.1816,306.6,1.1,1,2021-06-10,1032,Terra,MODIS,62,6.03,295.5,5.8,D,0
66.3059,14.1816,310.9,1.1,1.1,2021-06-20,1108,Terra,MODIS,44,6.03,291.9,10.9,D,0
59.7612,10.8426,308.2,1,1,2021-06-23,1156,Aqua,MODIS,34,6.03,295.6,4.8,D,0
58.1712,8.1287,308.9,1,1,2021-06-24,1046,Terra,MODIS,53,6.03,297.5,7.1,D,2
