latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.9069,56.5172,318.3,2.7,1.6,2021-01-01,0728,Terra,MODIS,58,6.03,299.9,24.5,D,0
21.8978,56.5219,320.2,2.7,1.6,2021-01-01,0728,Terra,MODIS,64,6.03,300,31.6,D,0
24.5015,56.6014,313.1,1,1,2021-01-01,1824,Terra,MODIS,86,6.03,289.2,13.6,N,2
23.1494,55.4414,311.2,1.1,1.1,2021-01-01,1824,Terra,MODIS,82,6.03,285.5,15.7,N,2
23.1512,55.4524,318.7,1.1,1.1,2021-01-01,1824,Terra,MODIS,97,6.03,286.8,23.3,N,2
24.5035,56.6059,320.8,1.1,1.1,2021-01-02,0942,Aqua,MODIS,0,6.03,304.5,10.7,D,2
23.151,55.4493,303.8,2.8,1.6,2021-01-02,1907,Terra,MODIS,57,6.03,284.6,39.2,N,2
23.1525,55.4509,316.6,1.4,1.2,2021-01-02,2151,Aqua,MODIS,94,6.03,283.1,30,N,2
24.5045,56.6059,300.1,1.2,1.1,2021-01-02,2151,Aqua,MODIS,18,6.03,286.7,8,N,2
21.0066,56.5385,312.7,1.2,1.1,2021-01-02,2152,Aqua,MODIS,86,6.03,286.3,17.4,N,0
21.9003,56.5105,317.3,1.6,1.2,2021-01-03,0716,Terra,MODIS,46,6.03,303.4,10.5,D,0
21.9066,56.5218,300.3,1.6,1.2,2021-01-03,1811,Terra,MODIS,25,6.03,285.4,10.9,N,0
24.5007,56.6063,322.2,1.4,1.2,2021-01-03,1812,Terra,MODIS,100,6.03,288.8,35.3,N,2
23.1514,55.4362,301.1,1.8,1.3,2021-01-03,1812,Terra,MODIS,38,6.03,285.2,15.3,N,2
23.1506,55.4483,315.7,1.8,1.3,2021-01-03,1812,Terra,MODIS,92,6.03,286,38,N,2
23.1543,55.453,309.3,1.8,1.3,2021-01-03,1812,Terra,MODIS,77,6.03,286.2,26.5,N,2
23.15,55.4594,302.4,2.1,1.4,2021-01-03,2234,Aqua,MODIS,49,6.03,283.5,23.4,N,2
21.9014,56.5141,341.3,1.1,1,2021-01-04,0929,Aqua,MODIS,88,6.03,309.8,34,D,0
24.4978,56.6033,326.4,1,1,2021-01-04,0930,Aqua,MODIS,71,6.03,306.2,14.7,D,2
18.3179,55.1112,300.1,1.4,1.2,2021-01-04,1853,Terra,MODIS,16,6.03,284.3,8.6,N,0
18.3241,55.104,304.2,1.4,1.2,2021-01-04,1853,Terra,MODIS,59,6.03,284.5,12,N,0
18.3163,55.0983,301.2,1.4,1.2,2021-01-04,1853,Terra,MODIS,38,6.03,284.8,9.4,N,0
23.156,55.4464,314.8,1.7,1.3,2021-01-04,1854,Terra,MODIS,90,6.03,285.1,35.2,N,2
21.9059,56.5092,303.8,1.9,1.4,2021-01-04,1854,Terra,MODIS,57,6.03,282.6,21.9,N,0
23.153,55.4556,304.7,2.3,1.5,2021-01-04,2139,Aqua,MODIS,61,6.03,281.5,34,N,2
21.9106,56.5169,304.9,1.9,1.3,2021-01-04,2139,Aqua,MODIS,62,6.03,280.3,24.2,N,0
23.1575,55.4487,300.1,2.3,1.5,2021-01-04,2139,Aqua,MODIS,13,6.03,281.5,23.6,N,2
21.9012,56.5235,323.8,1.1,1,2021-01-05,0704,Terra,MODIS,71,6.03,301.4,15.4,D,0
21.9028,56.5132,327.5,1.1,1,2021-01-05,0704,Terra,MODIS,77,6.03,301.7,20.1,D,0
24.4586,56.6188,305.2,2.3,1.5,2021-01-05,1800,Terra,MODIS,63,6.03,286.9,26.1,N,0
21.9083,56.5169,303.1,1.6,1.3,2021-01-05,2222,Aqua,MODIS,53,6.03,282.9,16.8,N,0
23.1591,55.449,311.8,1.3,1.1,2021-01-05,2222,Aqua,MODIS,83,6.03,281.9,22.2,N,2
21.9085,56.5222,307.5,1.6,1.3,2021-01-05,2222,Aqua,MODIS,72,6.03,283.1,21.1,N,0
24.4561,56.6269,319.5,1.4,1.2,2021-01-06,0918,Aqua,MODIS,60,6.03,302.8,14.2,D,0
24.4538,56.6137,315.3,1.4,1.2,2021-01-06,0918,Aqua,MODIS,39,6.03,303.1,7.7,D,0
23.1519,55.4529,311.9,1.1,1.1,2021-01-06,1842,Terra,MODIS,84,6.03,286.4,16,N,2
