latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.8561,73.4307,308.8,1.2,1.1,2021-01-01,0546,Terra,MODIS,67,6.03,289.4,11.4,D,0
33.8533,73.424,308.8,1.2,1.1,2021-01-01,0546,Terra,MODIS,68,6.03,288.6,11.8,D,0
34.3673,72.8023,303.1,1.3,1.1,2021-01-01,0546,Terra,MODIS,47,6.03,291.5,7.5,D,0
33.0167,71.458,314.1,1.4,1.2,2021-01-01,0547,Terra,MODIS,74,6.03,294.3,19.2,D,0
33.3428,70.4051,304.5,1.7,1.3,2021-01-01,0547,Terra,MODIS,59,6.03,291.1,12.3,D,0
31.539,72.473,301.6,1.2,1.1,2021-01-01,0547,Terra,MODIS,48,6.03,290.7,4.4,D,0
30.711,73.2245,315.2,1.1,1,2021-01-01,0547,Terra,MODIS,76,6.03,290,15.9,D,0
29.3982,70.5446,328.2,1.4,1.2,2021-01-01,0548,Terra,MODIS,85,6.03,289.9,46.7,D,0
28.2437,69.9642,309.1,1.5,1.2,2021-01-01,0548,Terra,MODIS,65,6.03,289.7,16.2,D,0
29.0556,70.4407,302.7,1.5,1.2,2021-01-01,0548,Terra,MODIS,42,6.03,290,8.4,D,0
28.5239,70.0055,310.7,1.5,1.2,2021-01-01,0548,Terra,MODIS,66,6.03,290.5,17.6,D,0
28.5222,70.021,304,1.5,1.2,2021-01-01,0548,Terra,MODIS,44,6.03,289.8,9.5,D,0
28.993,70.3805,303.6,1.5,1.2,2021-01-01,0548,Terra,MODIS,46,6.03,290.1,9.2,D,0
28.3277,70.2276,315.3,1.5,1.2,2021-01-01,0548,Terra,MODIS,73,6.03,290,24.2,D,0
29.3235,68.0058,303.8,2.1,1.4,2021-01-01,0548,Terra,MODIS,57,6.03,292,11,D,0
29.3237,67.9988,302.9,2.1,1.4,2021-01-01,0548,Terra,MODIS,54,6.03,292.3,10.2,D,0
29.7211,70.631,300.2,1.4,1.2,2021-01-01,0548,Terra,MODIS,31,6.03,289.6,5.7,D,0
29.3965,70.5594,315.2,1.4,1.2,2021-01-01,0548,Terra,MODIS,75,6.03,289.2,23.9,D,0
29.8067,72.7827,324.4,1.1,1.1,2021-01-01,0548,Terra,MODIS,83,6.03,290.3,26.5,D,0
25.2153,68.6923,310.9,1.7,1.3,2021-01-01,0549,Terra,MODIS,64,6.03,291,19.1,D,0
24.9753,68.7979,305.6,1.6,1.3,2021-01-01,0549,Terra,MODIS,37,6.03,291,10.8,D,0
24.9747,68.808,306.1,1.6,1.3,2021-01-01,0549,Terra,MODIS,40,6.03,290.4,12,D,0
26.2425,68.1709,303.7,1.9,1.3,2021-01-01,0549,Terra,MODIS,19,6.03,290.6,12.7,D,0
24.8519,68.4675,308.6,1.7,1.3,2021-01-01,0549,Terra,MODIS,57,6.03,293.7,13.4,D,0
25.1813,68.6987,310.2,1.7,1.3,2021-01-01,0549,Terra,MODIS,62,6.03,293.4,16.2,D,0
26.2471,68.1782,304.2,1.9,1.3,2021-01-01,0549,Terra,MODIS,35,6.03,290.1,13.9,D,0
25.5014,68.6808,306,1.7,1.3,2021-01-01,0549,Terra,MODIS,47,6.03,290.9,14,D,0
24.4219,67.9783,320.2,1.2,1.1,2021-01-01,0859,Aqua,MODIS,75,6.03,296.4,18.4,D,0
24.6366,67.9927,310,1.2,1.1,2021-01-01,0859,Aqua,MODIS,49,6.03,298.6,7,D,0
