latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.9888,35.4583,306.8,1.2,1.1,2021-01-01,1040,Aqua,MODIS,47,6.03,296,3.8,D,0
32.1133,35.4959,305.1,1.2,1.1,2021-01-09,0815,Terra,MODIS,61,6.03,293.4,5.3,D,2
31.9853,35.4769,308.4,1,1,2021-01-24,1046,Aqua,MODIS,66,6.03,294.6,6.3,D,0
32.0005,35.4769,303.2,1.2,1.1,2021-02-06,0839,Terra,MODIS,55,6.03,293.1,4.4,D,0
32.079,35.514,344.8,1.1,1,2021-04-22,0820,Terra,MODIS,91,6.03,311.1,40.7,D,0
32.1768,35.5476,321.2,1.4,1.2,2021-04-29,1927,Terra,MODIS,100,6.03,296.9,27.2,N,0
32.1873,35.5451,315.7,1.4,1.2,2021-04-29,1927,Terra,MODIS,92,6.03,296.2,18.4,N,0
31.933,35.0465,306.9,1.6,1.2,2021-04-29,1927,Terra,MODIS,70,6.03,291.7,13.5,N,2
31.9221,35.0491,303.4,1.6,1.2,2021-04-29,1927,Terra,MODIS,22,6.03,290.9,9.1,N,0
32.2004,35.557,307.9,1.4,1.2,2021-04-29,1927,Terra,MODIS,66,6.03,295.6,9.3,N,0
32.1742,35.5331,318.9,1.4,1.2,2021-04-29,1927,Terra,MODIS,98,6.03,296.9,23.5,N,0
32.1782,35.4062,328,1.8,1.3,2021-05-03,1117,Aqua,MODIS,51,6.03,312,17.9,D,0
32.2486,35.3651,301.5,3.7,1.8,2021-05-03,1903,Terra,MODIS,40,6.03,286.8,25.7,N,0
32.2413,35.3345,319.4,3.7,1.8,2021-05-03,1903,Terra,MODIS,99,6.03,288.8,114.1,N,0
32.2337,35.3444,336.8,3.7,1.8,2021-05-03,1903,Terra,MODIS,100,6.03,287.1,253.7,N,0
32.2336,35.3724,302.7,3.7,1.8,2021-05-03,1903,Terra,MODIS,51,6.03,284.8,31,N,0
32.2261,35.3413,318.9,3.7,1.8,2021-05-03,1903,Terra,MODIS,98,6.03,285.2,111.4,N,0
32.2321,35.3621,304.1,1.2,1.1,2021-05-03,2321,Aqua,MODIS,59,6.03,293.4,7.5,N,0
32.2221,35.3618,315.6,1.2,1.1,2021-05-03,2321,Aqua,MODIS,92,6.03,291.3,18.2,N,0
32.2207,35.374,321.5,1.2,1.1,2021-05-03,2321,Aqua,MODIS,100,6.03,293.5,25.5,N,0
32.1864,35.2552,303,1,1,2021-05-04,1945,Terra,MODIS,53,6.03,289.7,5.2,N,0
31.7189,35.2377,316.6,1,1,2021-05-11,1951,Terra,MODIS,93,6.03,292.1,15.1,N,0
31.9795,35.343,327.2,1.2,1.1,2021-05-17,0814,Terra,MODIS,44,6.03,312.1,11.1,D,0
31.981,35.331,335.4,1.2,1.1,2021-05-17,0814,Terra,MODIS,77,6.03,313.3,26.9,D,0
