latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
7.764,-80.1938,317,1,1,2021-01-01,1848,Aqua,MODIS,49,6.03,302.6,5.6,D,0
7.83,-80.2501,308.4,2.3,1.5,2021-01-02,0413,Terra,MODIS,41,6.03,293.5,21,N,0
7.8312,-80.2663,308.1,2.3,1.5,2021-01-02,0413,Terra,MODIS,73,6.03,293.1,23.2,N,0
7.8319,-80.2504,320,1,1,2021-01-02,0705,Aqua,MODIS,99,6.03,295.8,16.8,N,0
7.8333,-80.2597,309.5,1,1,2021-01-02,0705,Aqua,MODIS,78,6.03,294.9,7.7,N,0
9.0787,-78.8659,308.3,1.8,1.3,2021-01-05,1824,Aqua,MODIS,26,6.03,292.7,9.6,D,0
8.4294,-82.4272,313,3,1.6,2021-01-09,1636,Terra,MODIS,33,6.03,291.4,28.4,D,2
8.3374,-82.7652,312.7,2.9,1.6,2021-01-12,1830,Aqua,MODIS,33,6.03,291.2,28.2,D,0
8.3438,-82.7468,311.6,2.9,1.6,2021-01-12,1830,Aqua,MODIS,43,6.03,291.4,27.2,D,0
8.1173,-80.8191,310.6,1.6,1.2,2021-01-17,0330,Terra,MODIS,81,6.03,291.5,18.8,N,0
8.4248,-80.5479,320.2,1,1,2021-01-17,1848,Aqua,MODIS,71,6.03,301.8,8.2,D,0
8.4261,-80.5387,330,1,1,2021-01-17,1848,Aqua,MODIS,83,6.03,303,19.5,D,0
9.0376,-82.2576,312.6,1.2,1.1,2021-01-17,1848,Aqua,MODIS,0,6.03,296.9,7.8,D,0
8.496,-80.2675,319.6,2.4,1.5,2021-01-20,1919,Aqua,MODIS,72,6.03,297.9,34.9,D,0
8.506,-80.2519,315.8,2.4,1.5,2021-01-20,1919,Aqua,MODIS,67,6.03,297.6,26.7,D,0
8.5033,-80.2736,317.5,2.4,1.5,2021-01-20,1919,Aqua,MODIS,70,6.03,297.9,30.6,D,0
8.3853,-80.6381,313.5,1.1,1.1,2021-01-22,1605,Terra,MODIS,68,6.03,300.4,6.1,D,0
8.1205,-80.7768,306.7,1.3,1.1,2021-01-24,0336,Terra,MODIS,69,6.03,292.8,9.4,N,0
8.1188,-80.788,303.3,1.3,1.1,2021-01-24,0336,Terra,MODIS,54,6.03,292.5,6.5,N,0
8.3822,-80.2203,314.2,1,1,2021-01-24,1553,Terra,MODIS,63,6.03,298.6,5.7,D,0
8.1469,-80.6299,321,1,1,2021-01-24,1854,Aqua,MODIS,69,6.03,303.5,7.3,D,0
8.304,-80.4821,327.2,1.2,1.1,2021-01-25,0711,Aqua,MODIS,100,6.03,294.4,29.6,N,0
8.3092,-80.4863,323,1.2,1.1,2021-01-25,0711,Aqua,MODIS,100,6.03,294.1,23.6,N,0
8.3076,-80.4759,313,1.2,1.1,2021-01-25,0711,Aqua,MODIS,86,6.03,294,12.3,N,0
8.3585,-80.476,315.9,1.7,1.3,2021-01-27,0406,Terra,MODIS,92,6.03,292.8,28.6,N,0
8.3564,-80.4914,314,1.7,1.3,2021-01-27,0406,Terra,MODIS,88,6.03,292.7,25,N,0
8.5162,-82.6223,315.1,1.6,1.3,2021-01-27,1623,Terra,MODIS,59,6.03,298.7,14.4,D,2
8.3227,-80.535,314.5,3.4,1.7,2021-01-28,0311,Terra,MODIS,89,6.03,290.9,71.2,N,0
8.1637,-80.8912,303.1,1.1,1,2021-01-31,0342,Terra,MODIS,53,6.03,292.4,4.9,N,0
8.1714,-80.8884,302.7,1.1,1,2021-01-31,0342,Terra,MODIS,51,6.03,292.3,4.9,N,0
9.1505,-78.9941,318.9,1.1,1.1,2021-01-31,1558,Terra,MODIS,74,6.03,297.1,12.1,D,0
8.7351,-78.2852,312.5,1.2,1.1,2021-01-31,1559,Terra,MODIS,59,6.03,296.1,7.5,D,0
8.6177,-79.8596,315.7,1,1,2021-01-31,1559,Terra,MODIS,38,6.03,298.7,6.9,D,0
8.2912,-80.6343,317.6,1,1,2021-01-31,1559,Terra,MODIS,66,6.03,301.1,6.3,D,0
8.2899,-80.6252,319.1,1,1,2021-01-31,1559,Terra,MODIS,69,6.03,301.1,7.7,D,0
7.8357,-80.458,324.1,1.1,1.1,2021-01-31,1900,Aqua,MODIS,72,6.03,303.5,10.8,D,0
8.1403,-80.8168,308.9,1.6,1.2,2021-02-02,0330,Terra,MODIS,76,6.03,292.7,14.7,N,0
8.356,-80.6108,322.5,1,1,2021-02-02,1848,Aqua,MODIS,67,6.03,303,9.2,D,0
8.2793,-80.6278,320.1,1,1,2021-02-02,1848,Aqua,MODIS,68,6.03,302.4,6.6,D,0
8.6945,-79.8057,316.7,1,1,2021-02-02,1848,Aqua,MODIS,0,6.03,299.8,7.3,D,0
9.0927,-79.2029,325.7,1,1,2021-02-02,1848,Aqua,MODIS,75,6.03,296.2,17.8,D,0
8.2779,-80.6371,320.1,1,1,2021-02-02,1848,Aqua,MODIS,68,6.03,303.2,7,D,0
7.3656,-80.8929,319.3,1.1,1,2021-02-02,1848,Aqua,MODIS,0,6.03,300.2,7.3,D,0
8.3324,-80.4316,314.1,2.3,1.5,2021-02-03,0412,Terra,MODIS,89,6.03,292.7,36.6,N,0
8.3298,-80.4523,310,2.3,1.5,2021-02-03,0412,Terra,MODIS,79,6.03,292.6,26.1,N,0
9.1241,-79.3074,321,1.2,1.1,2021-02-04,1836,Aqua,MODIS,61,6.03,301.1,10.4,D,0
8.236,-81.0161,314.2,1.6,1.3,2021-02-04,1836,Aqua,MODIS,53,6.03,295.9,10.2,D,0
8.1179,-80.8828,321.4,1.6,1.2,2021-02-04,1836,Aqua,MODIS,74,6.03,296.6,19.4,D,0
9.3484,-79.8895,313,1.9,1.4,2021-02-05,1617,Terra,MODIS,0,6.03,295.5,16.4,D,2
8.047,-81.4771,326.3,1.6,1.2,2021-02-05,1617,Terra,MODIS,79,6.03,295.7,35.8,D,0
8.4179,-80.4443,326.3,1,1,2021-02-07,0348,Terra,MODIS,100,6.03,293.1,23.1,N,0
8.3253,-80.5235,305.1,1.8,1.3,2021-02-07,0641,Aqua,MODIS,63,6.03,290.3,14.4,N,2
8.3275,-80.54,307.6,1.8,1.3,2021-02-07,0641,Aqua,MODIS,72,6.03,289.8,18.7,N,0
8.3794,-80.1204,315.2,1.2,1.1,2021-02-07,1605,Terra,MODIS,0,6.03,299.8,6.3,D,0
7.8805,-80.3246,324.5,1.2,1.1,2021-02-07,1605,Terra,MODIS,73,6.03,301.1,12.6,D,0
7.8709,-80.3261,324.3,1.2,1.1,2021-02-07,1605,Terra,MODIS,73,6.03,300.7,12.1,D,0
