latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-6.4528,143.2207,307,1.1,1.1,2021-01-01,0101,Terra,MODIS,50,6.03,292.4,5,D,0
-6.2532,145.2447,317.1,1,1,2021-01-03,0048,Terra,MODIS,73,6.03,297.3,11.2,D,0
-6.0264,145.9055,317.8,1.1,1,2021-01-03,0048,Terra,MODIS,65,6.03,302.8,10.2,D,0
-6.0277,145.915,318.3,1.1,1,2021-01-03,0048,Terra,MODIS,68,6.03,302.9,10.7,D,0
-7.8483,146.9276,309.8,1.2,1.1,2021-01-03,0341,Aqua,MODIS,53,6.03,296.2,8.5,D,0
-8.2816,148.1631,313.6,1.1,1,2021-01-03,0341,Aqua,MODIS,66,6.03,299.4,5.9,D,0
-8.0237,147.2699,314.6,1.1,1.1,2021-01-03,0341,Aqua,MODIS,64,6.03,298.6,10,D,0
-8.0222,147.2802,328.5,1.1,1.1,2021-01-03,0341,Aqua,MODIS,84,6.03,298.6,27,D,0
-7.7501,147.4976,314.2,1.1,1.1,2021-01-03,0341,Aqua,MODIS,65,6.03,298.7,7.5,D,0
-6.5187,146.2856,313.1,1.2,1.1,2021-01-03,0342,Aqua,MODIS,67,6.03,298.4,6.5,D,0
-6.0548,145.5211,314.7,1.4,1.2,2021-01-03,0342,Aqua,MODIS,73,6.03,296,17.6,D,0
-6.5909,146.2046,319.3,1.3,1.1,2021-01-03,0342,Aqua,MODIS,74,6.03,297.4,15.1,D,0
-4.0761,143.4593,305.7,1.9,1.3,2021-01-04,0425,Aqua,MODIS,35,6.03,275.5,9.7,D,0
-4.355,152.3069,304.9,1.2,1.1,2021-01-04,1212,Terra,MODIS,62,6.03,292.5,5.9,N,0
-6.3727,155.4026,312.5,3,1.6,2021-01-05,0036,Terra,MODIS,55,6.03,295.9,33.7,D,2
-7.0334,146.6577,317.9,1,1,2021-01-05,0036,Terra,MODIS,69,6.03,299.8,9.5,D,0
-6.5257,145.7837,312.4,1.1,1,2021-01-05,0036,Terra,MODIS,68,6.03,286,10.6,D,0
-6.4821,146.7289,312.6,1,1,2021-01-05,0036,Terra,MODIS,38,6.03,291.8,5.4,D,0
