latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.6593,120.8591,309.9,1,1,2021-01-01,0233,Terra,MODIS,67,6.03,291.4,6.9,D,0
17.6607,120.8496,305.7,1,1,2021-01-01,0233,Terra,MODIS,41,6.03,291.1,4,D,0
15.2375,120.516,310.7,1.4,1.2,2021-01-03,0221,Terra,MODIS,50,6.03,291.1,7.9,D,0
17.856,120.6033,314.6,1.5,1.2,2021-01-03,0221,Terra,MODIS,53,6.03,295,14,D,0
17.8544,120.616,311.6,1.5,1.2,2021-01-03,0221,Terra,MODIS,30,6.03,294.9,10.9,D,0
15.8658,121.2455,308.9,1.3,1.1,2021-01-03,0221,Terra,MODIS,43,6.03,294.1,7.5,D,0
17.8598,120.6092,321.1,1.5,1.2,2021-01-03,0221,Terra,MODIS,74,6.03,295.6,25.2,D,0
17.5991,120.5803,325,1,1,2021-01-03,0527,Aqua,MODIS,67,6.03,302.8,14.4,D,0
17.8538,120.8281,308.8,1.1,1,2021-01-03,0527,Aqua,MODIS,59,6.03,297.2,5.1,D,0
17.0565,120.772,315.6,1,1,2021-01-03,0527,Aqua,MODIS,68,6.03,293.3,8.2,D,0
15.2741,120.092,314.4,2.5,1.5,2021-01-05,0209,Terra,MODIS,61,6.03,295.2,26.3,D,0
10.3343,123.0145,313.2,1.3,1.1,2021-01-05,0210,Terra,MODIS,57,6.03,288.7,9.2,D,0
7.8681,124.7381,309.2,1,1,2021-01-05,0512,Aqua,MODIS,49,6.03,291,6.1,D,0
10.3985,122.9358,311.6,1,1,2021-01-05,0513,Aqua,MODIS,60,6.03,287.9,4.6,D,0
10.4012,122.9545,313.5,1,1,2021-01-05,0513,Aqua,MODIS,65,6.03,288.2,6.2,D,0
15.3354,120.1398,310.6,1.2,1.1,2021-01-05,0514,Aqua,MODIS,37,6.03,291,7.6,D,0
15.5806,120.2605,312.7,1.2,1.1,2021-01-05,0514,Aqua,MODIS,65,6.03,293.1,9.2,D,0
17.702,120.8566,313.3,1.1,1,2021-01-05,0515,Aqua,MODIS,69,6.03,297.4,6.6,D,0
17.6323,120.6693,318.2,1.3,1.1,2021-01-06,0251,Terra,MODIS,62,6.03,299.3,12.4,D,0
15.1672,120.6917,310.5,1.5,1.2,2021-01-06,0252,Terra,MODIS,55,6.03,288.7,7.8,D,0
15.5397,120.1021,312.9,1.3,1.1,2021-01-06,0252,Terra,MODIS,64,6.03,292.6,13.3,D,0
15.211,120.0896,303,1.1,1,2021-01-07,1427,Terra,MODIS,52,6.03,292.3,4.3,N,0
17.716,120.9013,314.6,1,1,2021-01-08,0239,Terra,MODIS,74,6.03,294.2,11.6,D,0
17.7174,120.8917,304.3,1,1,2021-01-08,0239,Terra,MODIS,46,6.03,292.1,3.8,D,0
17.7111,120.6253,311.3,1,1,2021-01-08,0239,Terra,MODIS,56,6.03,297.5,6.2,D,0
15.2379,120.6953,312.3,1,1,2021-01-08,0240,Terra,MODIS,64,6.03,292.6,5,D,0
17.6687,120.8304,311.3,2,1.4,2021-01-08,0545,Aqua,MODIS,48,6.03,294.6,16.8,D,0
7.8088,124.8519,321,2,1.4,2021-01-09,0448,Aqua,MODIS,69,6.03,280.8,48.1,D,0
12.7934,121.0324,305.5,1,1,2021-01-09,1414,Terra,MODIS,65,6.03,288,6.8,N,0
15.2236,120.0766,302.8,1.1,1,2021-01-09,1414,Terra,MODIS,52,6.03,291.8,4.2,N,0
17.5947,120.7322,311.5,1,1,2021-01-09,1415,Terra,MODIS,83,6.03,292.3,10.1,N,0
17.773,120.8183,311.8,1.2,1.1,2021-01-10,0227,Terra,MODIS,67,6.03,293.7,10.5,D,0
15.6566,120.2671,309.5,1.2,1.1,2021-01-10,0227,Terra,MODIS,57,6.03,294.1,8.8,D,0
17.7745,120.8073,307.6,1.2,1.1,2021-01-10,0227,Terra,MODIS,53,6.03,293.4,7.3,D,0
17.7776,120.8148,313.1,1.2,1.1,2021-01-10,0227,Terra,MODIS,63,6.03,294.4,11.3,D,0
17.8443,120.6813,306.5,1.2,1.1,2021-01-10,0227,Terra,MODIS,53,6.03,292,7.7,D,0
17.6866,120.6336,312.7,1.2,1.1,2021-01-10,0227,Terra,MODIS,68,6.03,297.4,8.2,D,0
15.2983,120.1999,316.6,1.2,1.1,2021-01-10,0228,Terra,MODIS,73,6.03,298.5,9.9,D,0
15.2997,120.1896,320.3,1.2,1.1,2021-01-10,0228,Terra,MODIS,77,6.03,298,14.4,D,0
12.8523,121.0038,322.3,1,1,2021-01-10,0228,Terra,MODIS,75,6.03,293.9,17.1,D,0
14.5233,120.4255,321.7,1.1,1.1,2021-01-10,0228,Terra,MODIS,74,6.03,292.6,18.8,D,0
12.9375,120.9534,317.2,1.1,1.1,2021-01-10,0532,Aqua,MODIS,67,6.03,295.6,11.3,D,0
12.9106,120.9678,321.3,1.1,1.1,2021-01-10,0532,Aqua,MODIS,74,6.03,296.2,15.2,D,0
15.0177,120.239,332.5,1.1,1,2021-01-10,0533,Aqua,MODIS,62,6.03,300.5,26.7,D,0
15.9516,119.9291,317.6,1.1,1,2021-01-10,0533,Aqua,MODIS,69,6.03,302.8,9.5,D,0
18.3302,120.8639,311.7,1.3,1.1,2021-01-10,0533,Aqua,MODIS,50,6.03,295.4,12.2,D,0
15.2916,120.2212,317.4,1.1,1,2021-01-10,0533,Aqua,MODIS,58,6.03,300,8.8,D,0
15.2875,120.1908,320,1.1,1,2021-01-10,0533,Aqua,MODIS,74,6.03,302.5,10.6,D,0
15.3986,120.0563,331,1.1,1,2021-01-10,0533,Aqua,MODIS,85,6.03,302,27.4,D,0
15.3999,120.066,317.5,1.1,1,2021-01-10,0533,Aqua,MODIS,59,6.03,299.2,11.4,D,0
17.7165,120.8506,328.9,1.2,1.1,2021-01-10,0533,Aqua,MODIS,84,6.03,297.9,32.7,D,0
17.7739,120.8129,311.1,1.2,1.1,2021-01-10,0533,Aqua,MODIS,62,6.03,297.4,10.7,D,0
17.7483,120.7692,309.4,1.2,1.1,2021-01-10,0533,Aqua,MODIS,45,6.03,297.2,8.1,D,0
15.6553,120.2656,310.8,1.1,1.1,2021-01-10,0533,Aqua,MODIS,44,6.03,294.7,8.1,D,0
15.019,120.249,328.5,1.1,1,2021-01-10,0533,Aqua,MODIS,40,6.03,301.9,19.7,D,0
15.0385,120.2556,312.6,3,1.7,2021-01-11,0310,Terra,MODIS,17,6.03,293.5,36.6,D,0
17.7856,120.8991,304.8,1.8,1.3,2021-01-12,0215,Terra,MODIS,27,6.03,292.2,9.2,D,0
17.7787,120.893,312.4,1.8,1.3,2021-01-12,0215,Terra,MODIS,69,6.03,290.9,22.2,D,0
17.6118,120.822,312.9,1,1,2021-01-12,0521,Aqua,MODIS,66,6.03,297.9,7,D,0
15.2733,120.0942,313.6,1.7,1.3,2021-01-13,0258,Terra,MODIS,33,6.03,293.8,13.6,D,0
15.4237,120.1571,305.5,1.7,1.3,2021-01-13,0258,Terra,MODIS,41,6.03,285.9,12.2,D,0
7.9532,125.0836,319.3,1,1,2021-01-14,0506,Aqua,MODIS,78,6.03,287.2,13.1,D,0
15.5684,119.9629,314.5,1.5,1.2,2021-01-14,0508,Aqua,MODIS,44,6.03,296.5,12.4,D,0
15.4015,120.5121,316.2,1.4,1.2,2021-01-14,0508,Aqua,MODIS,63,6.03,296,10.5,D,0
13.3289,120.7197,314.3,1.5,1.2,2021-01-14,0508,Aqua,MODIS,61,6.03,294,13.4,D,0
14.7625,120.9516,325.9,1.4,1.2,2021-01-14,0508,Aqua,MODIS,0,6.03,289.6,25.4,D,2
17.7362,120.8792,312.6,1.2,1.1,2021-01-14,0509,Aqua,MODIS,50,6.03,295.3,9.5,D,0
17.8885,120.8503,308.9,1.1,1.1,2021-01-15,0245,Terra,MODIS,53,6.03,290.6,7.2,D,0
15.9407,120.1382,314.7,1.1,1,2021-01-15,0246,Terra,MODIS,70,6.03,290.4,10.3,D,0
15.3959,120.6583,316.2,1.2,1.1,2021-01-15,0246,Terra,MODIS,71,6.03,290.8,9.5,D,0
15.3949,120.6411,314.7,1.2,1.1,2021-01-15,0246,Terra,MODIS,52,6.03,291.5,9.4,D,0
15.3932,120.6519,327.3,1.2,1.1,2021-01-15,0246,Terra,MODIS,82,6.03,291.5,25.9,D,0
15.3977,120.6475,326.7,1.2,1.1,2021-01-15,0246,Terra,MODIS,82,6.03,292.1,22.6,D,0
15.2119,120.08,307.1,1.7,1.3,2021-01-15,1804,Aqua,MODIS,70,6.03,290.6,13.9,N,0
15.2079,120.0863,302.9,1.7,1.3,2021-01-15,1804,Aqua,MODIS,52,6.03,290.3,9,N,0
15.8343,120.0136,303.1,1,1,2021-01-16,1421,Terra,MODIS,52,6.03,283.7,5.8,N,0
17.5728,120.8058,311.2,1,1,2021-01-17,0233,Terra,MODIS,55,6.03,296.3,5.4,D,0
17.6245,120.8298,310.5,1,1,2021-01-17,0233,Terra,MODIS,58,6.03,295.7,5.4,D,0
