latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.8008,20.4791,333.6,1,1,2021-01-15,2023,Terra,MODIS,100,6.03,265.7,0,N,2
51.6857,15.9892,304.1,1.4,1.2,2021-02-03,0942,Terra,MODIS,55,6.03,277.9,15.8,D,2
51.6859,15.9874,317.6,1.1,1,2021-02-20,0101,Aqua,MODIS,95,6.03,270.7,24.6,N,2
51.6883,15.9828,304.3,2,1.4,2021-02-21,0930,Terra,MODIS,55,6.03,280.5,24.7,D,2
51.6888,15.9873,312.8,1.4,1.2,2021-02-22,0049,Aqua,MODIS,86,6.03,272.9,28.4,N,2
51.6883,15.9842,315.5,1,1,2021-02-22,1013,Terra,MODIS,71,6.03,283.4,17.2,D,2
51.1746,16.1123,300.4,1.1,1.1,2021-02-23,2029,Terra,MODIS,26,6.03,273.2,10.5,N,2
51.6855,15.9805,309.2,1,1,2021-02-24,1000,Terra,MODIS,59,6.03,284.1,10.6,D,2
51.1759,16.1052,302.1,1,1,2021-02-24,1147,Aqua,MODIS,50,6.03,283.9,5.7,D,2
50.3429,19.343,303,1,1,2021-02-26,0948,Terra,MODIS,54,6.03,286.2,6.3,D,2
50.0371,21.3148,301.5,1.3,1.1,2021-03-02,1110,Aqua,MODIS,47,6.03,282.8,9.7,D,0
51.6874,15.9897,303.4,1.6,1.3,2021-03-03,0042,Aqua,MODIS,55,6.03,272.3,22.5,N,2
51.6852,15.9803,312.7,1,1,2021-03-03,1006,Terra,MODIS,63,6.03,287.1,13.1,D,2
50.3702,19.0103,318.3,1.1,1.1,2021-03-03,1153,Aqua,MODIS,78,6.03,290.7,19.2,D,2
50.3684,18.9944,310.6,1.1,1.1,2021-03-03,1153,Aqua,MODIS,70,6.03,291.7,11.5,D,2
52.5334,16.8583,300.5,1.1,1,2021-03-03,1154,Aqua,MODIS,37,6.03,286.1,5.5,D,0
51.6886,15.974,300.9,1,1,2021-03-03,1154,Aqua,MODIS,40,6.03,290,4.5,D,2
51.5276,15.8777,354.4,1,1,2021-03-03,1154,Aqua,MODIS,98,6.03,292.3,74,D,0
51.5295,15.892,340.8,1,1,2021-03-03,1154,Aqua,MODIS,92,6.03,289.6,46,D,0
51.6872,15.9866,307.1,1.1,1,2021-03-04,0125,Aqua,MODIS,70,6.03,275.5,14.4,N,2
51.686,15.9751,302.1,2,1.4,2021-03-09,0930,Terra,MODIS,44,6.03,276,21.9,D,2
51.9032,18.1092,302.9,1.1,1.1,2021-03-10,1012,Terra,MODIS,54,6.03,278.2,9.4,D,0
52.9327,18.9502,303.6,1,1,2021-03-23,1129,Aqua,MODIS,56,6.03,285.9,7,D,2
53.4243,21.9251,304.6,1,1,2021-03-25,1117,Aqua,MODIS,59,6.03,285.9,7.4,D,2
51.2487,17.0746,303.9,1.1,1,2021-03-26,1012,Terra,MODIS,58,6.03,288.1,6.3,D,0
51.7418,18.3204,300.7,1.2,1.1,2021-03-26,1012,Terra,MODIS,40,6.03,285.8,5.2,D,0
54.3735,21.4784,300.7,1.9,1.3,2021-03-26,1200,Aqua,MODIS,41,6.03,286.8,11.1,D,0
54.3754,21.5071,318.6,1.9,1.3,2021-03-26,1200,Aqua,MODIS,79,6.03,287.1,42.3,D,0
54.3439,21.7784,300.9,1.9,1.4,2021-03-26,1200,Aqua,MODIS,42,6.03,286.6,12.2,D,0
54.3513,22.2734,301.6,3.9,1.8,2021-03-27,1054,Terra,MODIS,42,6.03,283.5,41.8,D,0
50.5962,21.7801,303.8,1.4,1.2,2021-03-27,1104,Aqua,MODIS,56,6.03,291.4,6.8,D,0
50.3644,22.3605,305.9,1.3,1.1,2021-03-27,1104,Aqua,MODIS,62,6.03,292.3,7.2,D,0
50.3609,22.3426,309.5,1.3,1.1,2021-03-27,1104,Aqua,MODIS,69,6.03,293.3,10.9,D,0
54.3509,22.2354,318.3,1.1,1.1,2021-03-27,1105,Aqua,MODIS,74,6.03,287,19.7,D,0
54.3479,22.2186,300,1.1,1.1,2021-03-27,1105,Aqua,MODIS,11,6.03,286.3,4.5,D,0
51.7401,18.2183,306.8,1,1,2021-03-30,1135,Aqua,MODIS,56,6.03,288.9,6,D,2
51.8526,18.0436,306.6,1,1,2021-03-30,1135,Aqua,MODIS,28,6.03,289.9,4.6,D,0
51.9067,18.0297,309.1,1,1,2021-03-30,1135,Aqua,MODIS,61,6.03,288.4,6.7,D,0
51.868,18.0218,315.7,1,1,2021-03-30,1135,Aqua,MODIS,74,6.03,290.4,11.6,D,0
51.6888,15.98,300.6,1,1,2021-03-31,0107,Aqua,MODIS,31,6.03,278.8,8.7,N,2
51.7595,14.8801,305.6,1.3,1.1,2021-03-31,1031,Terra,MODIS,55,6.03,293.8,6.3,D,0
50.2424,19.765,305.8,1.1,1.1,2021-04-01,0936,Terra,MODIS,56,6.03,288,6.5,D,0
50.233,19.7625,306.8,1.1,1.1,2021-04-01,0936,Terra,MODIS,63,6.03,288,7,D,0
49.813,22.8161,302.1,1,1,2021-04-01,0936,Terra,MODIS,11,6.03,289.3,1.8,D,0
49.7714,22.5618,310.7,1,1,2021-04-01,1122,Aqua,MODIS,68,6.03,293.5,8.5,D,0
51.6856,15.9849,306.7,1.1,1,2021-04-02,1018,Terra,MODIS,60,6.03,292.3,8.7,D,2
51.8231,18.1988,302.9,1.3,1.1,2021-04-02,1018,Terra,MODIS,54,6.03,286.9,7.5,D,0
51.0802,23.0663,305.5,2.4,1.5,2021-04-02,1206,Aqua,MODIS,62,6.03,286.6,25.2,D,0
51.3503,22.0055,303.1,2.2,1.4,2021-04-02,1206,Aqua,MODIS,48,6.03,285.8,15.2,D,0
51.9515,20.8343,304.5,1.2,1.1,2021-04-03,1111,Aqua,MODIS,56,6.03,281.7,9.9,D,0
51.684,15.9874,304.2,1,1,2021-04-04,1006,Terra,MODIS,55,6.03,289.4,6.7,D,2
51.6861,15.9733,300.7,1,1,2021-04-04,1006,Terra,MODIS,38,6.03,288.4,4.8,D,2
51.6889,18.3207,310.5,1.1,1,2021-04-04,1006,Terra,MODIS,66,6.03,285,11.3,D,0
51.6864,18.3355,316,1.1,1,2021-04-04,1006,Terra,MODIS,76,6.03,284.9,16.2,D,0
51.732,21.0347,311.7,1.3,1.1,2021-04-04,1006,Terra,MODIS,69,6.03,278.9,18.4,D,0
54.3641,21.14,301.9,1.3,1.1,2021-04-10,0928,Terra,MODIS,50,6.03,280.2,8.1,D,0
50.4853,23.8715,309.8,1,1,2021-04-10,0929,Terra,MODIS,69,6.03,292.4,6.3,D,0
51.6356,15.1035,301.8,1,1,2021-04-11,1012,Terra,MODIS,31,6.03,289.3,2.9,D,2
