latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.9583,-8.7866,301,2.5,1.5,2021-01-02,0200,Aqua,MODIS,36,6.03,276.8,33.1,N,0
38.017,-7.5735,300,1,1,2021-01-02,1125,Terra,MODIS,21,6.03,283,6.1,D,0
38.4015,-8.4918,304.7,1.1,1,2021-01-05,1335,Aqua,MODIS,60,6.03,284.2,9.2,D,0
40.9385,-8.0189,317.4,1.2,1.1,2021-01-07,1323,Aqua,MODIS,78,6.03,279.9,25.7,D,0
41.3591,-7.841,303.4,1.9,1.3,2021-01-08,1406,Aqua,MODIS,56,6.03,276.8,23.9,D,0
40.9635,-8.1403,309.1,2.7,1.6,2021-01-08,2153,Terra,MODIS,65,6.03,271.2,59.1,N,0
40.9853,-8.1112,309,2.7,1.6,2021-01-08,2153,Terra,MODIS,64,6.03,271,59.5,N,0
40.9718,-8.1056,337.5,2.7,1.6,2021-01-08,2153,Terra,MODIS,100,6.03,273.5,190.5,N,0
37.2857,-7.8033,300.6,1,1,2021-01-09,1131,Terra,MODIS,39,6.03,281.5,7.4,D,0
41.7831,-8.2492,307.4,1.1,1,2021-01-11,2224,Terra,MODIS,71,6.03,270.6,14.9,N,0
40.9556,-7.9361,309.8,1,1,2021-01-12,1342,Aqua,MODIS,69,6.03,282.1,12.2,D,0
40.8093,-8.1258,301.9,1,1,2021-01-12,1342,Aqua,MODIS,50,6.03,282.8,7.3,D,0
41.5721,-7.8729,305.6,1,1,2021-01-12,1342,Aqua,MODIS,62,6.03,281.4,9.9,D,0
41.6887,-8.2363,303.4,1,1,2021-01-12,1342,Aqua,MODIS,56,6.03,281.5,8.2,D,0
41.9111,-8.4041,307.1,1.3,1.1,2021-01-14,1148,Terra,MODIS,65,6.03,281.5,14.9,D,0
41.9137,-8.4179,330.6,1.2,1.1,2021-01-14,1148,Terra,MODIS,87,6.03,281.5,45.7,D,0
41.6278,-7.8886,302.6,1.3,1.1,2021-01-14,1149,Terra,MODIS,53,6.03,280.7,11.7,D,0
41.6177,-7.8918,303.6,1.3,1.1,2021-01-14,1149,Terra,MODIS,56,6.03,280.2,12.6,D,0
41.7716,-7.8439,302.1,1,1,2021-01-14,1330,Aqua,MODIS,50,6.03,283.7,7.8,D,0
41.8099,-7.6623,301.9,1,1,2021-01-14,1330,Aqua,MODIS,50,6.03,281.6,7.9,D,0
41.6162,-7.8908,309.8,1.1,1,2021-01-14,1330,Aqua,MODIS,69,6.03,282.6,13,D,0
41.5375,-7.6805,302.6,1,1,2021-01-14,1330,Aqua,MODIS,53,6.03,283.3,8.5,D,0
40.9773,-8.0997,302.2,1.1,1,2021-01-14,1330,Aqua,MODIS,51,6.03,286.7,7.4,D,0
40.4571,-7.5252,318,2.4,1.5,2021-01-15,1412,Aqua,MODIS,78,6.03,282.3,65.1,D,0
40.4531,-7.5329,333.8,2.4,1.5,2021-01-15,1412,Aqua,MODIS,89,6.03,283.8,130.4,D,0
40.4439,-7.5215,311.3,2.4,1.5,2021-01-15,1412,Aqua,MODIS,71,6.03,282.4,44.1,D,0
42.0475,-8.2128,315.4,1,1,2021-01-16,1136,Terra,MODIS,76,6.03,285.6,17.1,D,0
42.0494,-8.2248,307.4,1,1,2021-01-16,1136,Terra,MODIS,65,6.03,284.7,11,D,0
41.7619,-8.2849,303.8,1,1,2021-01-16,1136,Terra,MODIS,57,6.03,285.3,8.3,D,0
40.9817,-8.0487,335.7,1,1,2021-01-16,1136,Terra,MODIS,90,6.03,284.6,40.9,D,0
41.7599,-8.2728,302.5,1,1,2021-01-16,1136,Terra,MODIS,53,6.03,287.4,7.5,D,0
40.9707,-8.0391,305,1,1,2021-01-16,1136,Terra,MODIS,21,6.03,282.4,7.7,D,0
41.7147,-8.2224,300.9,1,1,2021-01-16,1136,Terra,MODIS,43,6.03,286.4,6.8,D,0
40.4895,-7.4723,317.9,1.4,1.2,2021-01-16,1317,Aqua,MODIS,78,6.03,286.5,28.5,D,0
40.4925,-7.4566,316.3,1.4,1.2,2021-01-16,1317,Aqua,MODIS,77,6.03,286.2,26.3,D,0
40.9732,-8.0536,311.9,1.5,1.2,2021-01-16,1317,Aqua,MODIS,49,6.03,288,20,D,0
40.9629,-8.0498,308.5,1.5,1.2,2021-01-16,1317,Aqua,MODIS,36,6.03,285.9,14.7,D,0
40.9379,-8.0072,305.1,1.4,1.2,2021-01-16,1317,Aqua,MODIS,61,6.03,288.2,12.7,D,0
42.0449,-8.2143,309.6,1.4,1.2,2021-01-16,1318,Aqua,MODIS,69,6.03,285.7,19.7,D,0
41.812,-7.9583,306.2,1.4,1.2,2021-01-16,1318,Aqua,MODIS,60,6.03,286.6,14.2,D,0
41.702,-8.2869,307.4,1.1,1,2021-01-16,2242,Terra,MODIS,71,6.03,274.5,14,N,0
41.752,-7.9227,302.5,1.6,1.2,2021-01-17,1400,Aqua,MODIS,35,6.03,285.4,11,D,0
41.8602,-7.7164,303.1,1.6,1.2,2021-01-17,1400,Aqua,MODIS,31,6.03,283,12.1,D,0
