latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.9946,-66.3564,319.9,1,1,2021-01-23,1507,Terra,MODIS,75,6.03,303.3,10,D,0
18.4698,-66.4137,335,1.2,1.1,2021-01-25,1801,Aqua,MODIS,83,6.03,297.5,40.1,D,2
18.1906,-66.646,310.8,1.7,1.3,2021-02-23,1731,Aqua,MODIS,61,6.03,294.4,16.9,D,0
18.3717,-67.0766,312.3,3,1.7,2021-02-25,1719,Aqua,MODIS,46,6.03,297.6,31.4,D,0
18.3136,-67.1519,316.2,1.1,1.1,2021-02-26,1801,Aqua,MODIS,32,6.03,303.8,6.5,D,0
18.3607,-67.0577,321.6,1.1,1.1,2021-02-26,1801,Aqua,MODIS,73,6.03,304.8,11.9,D,0
18.3621,-67.0472,323.4,1.1,1.1,2021-02-26,1801,Aqua,MODIS,75,6.03,304.3,14,D,0
18.3362,-66.9826,318.9,1.1,1.1,2021-02-26,1801,Aqua,MODIS,70,6.03,302.9,8.9,D,2
18.3029,-67.1607,319.3,1.1,1.1,2021-02-26,1801,Aqua,MODIS,32,6.03,304.7,8.4,D,0
18.2937,-67.085,316.3,1.1,1.1,2021-02-26,1801,Aqua,MODIS,65,6.03,301.3,8.1,D,0
18.2829,-67.0936,315.5,1.1,1.1,2021-02-26,1801,Aqua,MODIS,36,6.03,300.1,7,D,0
18.2724,-66.9519,315.5,1.1,1.1,2021-02-26,1801,Aqua,MODIS,60,6.03,301.1,8.9,D,0
18.3705,-66.9349,326.6,1,1,2021-02-28,1749,Aqua,MODIS,76,6.03,299.9,19.8,D,0
18.0036,-66.4221,323.6,1,1,2021-02-28,1749,Aqua,MODIS,77,6.03,307.9,7.9,D,2
18.3802,-67.1202,320.1,1.2,1.1,2021-03-09,1743,Aqua,MODIS,65,6.03,301.7,10.6,D,0
17.975,-66.2197,366.8,1.1,1,2021-03-09,1743,Aqua,MODIS,94,6.03,305.5,104.9,D,2
18.4734,-67.055,320.9,1.1,1.1,2021-03-09,1743,Aqua,MODIS,73,6.03,301.3,9.9,D,0
18.4985,-67.0815,328,1.1,1.1,2021-03-09,1743,Aqua,MODIS,81,6.03,303.8,20.6,D,0
18.4751,-67.0443,318.8,1.1,1.1,2021-03-09,1743,Aqua,MODIS,62,6.03,302.4,7,D,0
18.4714,-67.0386,315,1.2,1.1,2021-03-10,1518,Terra,MODIS,68,6.03,298.1,7.6,D,0
18.0667,-66.8753,315.3,1.8,1.3,2021-03-11,1731,Aqua,MODIS,51,6.03,299.9,14.8,D,0
18.2111,-66.6429,316.8,1.7,1.3,2021-03-11,1731,Aqua,MODIS,40,6.03,298.6,20.2,D,0
18.0585,-66.8674,325.3,1.8,1.3,2021-03-11,1731,Aqua,MODIS,78,6.03,302.2,32.7,D,0
18.0695,-66.8591,318.9,1.7,1.3,2021-03-11,1731,Aqua,MODIS,70,6.03,299.5,22,D,0
18.1944,-66.6819,315.6,1.7,1.3,2021-03-11,1731,Aqua,MODIS,66,6.03,296.5,20.1,D,0
18.1918,-66.6869,310.5,1.7,1.3,2021-03-11,1731,Aqua,MODIS,36,6.03,296.2,12,D,0
