latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.894,51.5444,301.3,1.6,1.3,2021-01-02,1908,Terra,MODIS,27,6.03,289.7,9.9,N,2
25.8968,51.5449,310.8,1,1,2021-01-03,0715,Terra,MODIS,40,6.03,296.9,4.9,D,2
25.8924,51.5466,306.3,1.1,1,2021-01-04,1855,Terra,MODIS,52,6.03,290.5,9,N,2
25.8926,51.5441,302.4,1,1,2021-01-05,2221,Aqua,MODIS,45,6.03,289.4,6,N,2
25.8929,51.5455,307.9,1,1,2021-01-06,1843,Terra,MODIS,73,6.03,290.9,8.6,N,2
25.9048,51.5017,303.3,1,1,2021-01-06,1843,Terra,MODIS,54,6.03,292.8,6.3,N,2
25.8907,51.5428,311.4,1.3,1.1,2021-01-08,0733,Terra,MODIS,58,6.03,297.2,7.2,D,2
25.8903,51.5404,309,1.2,1.1,2021-01-12,0709,Terra,MODIS,51,6.03,296.8,5.1,D,2
25.8936,51.5474,307.2,1,1,2021-01-12,2227,Aqua,MODIS,52,6.03,289.8,9.4,N,2
25.8887,51.542,303.4,1,1,2021-01-13,1849,Terra,MODIS,40,6.03,289.8,6.4,N,2
25.9089,51.5526,307.3,1.2,1.1,2021-01-15,1837,Terra,MODIS,55,6.03,289.7,9.8,N,2
25.8906,51.5431,313.5,1.1,1,2021-01-17,0727,Terra,MODIS,50,6.03,296.7,6.6,D,2
25.8874,51.5383,314.4,1.1,1.1,2021-01-18,0943,Aqua,MODIS,38,6.03,302.5,5.5,D,2
25.8819,51.5422,305.1,1.6,1.3,2021-01-18,1907,Terra,MODIS,53,6.03,289.6,14,N,2
25.8978,51.5449,301.8,1.1,1,2021-01-19,2233,Aqua,MODIS,37,6.03,289.1,6.3,N,2
25.8883,51.5434,301.4,1.1,1,2021-01-20,1855,Terra,MODIS,17,6.03,290.8,5.4,N,2
25.8976,51.5419,300.8,1.1,1,2021-01-20,1855,Terra,MODIS,5,6.03,290.2,4.6,N,2
25.9076,51.5095,300.5,1,1,2021-01-21,2221,Aqua,MODIS,29,6.03,290.4,5.9,N,2
25.9081,51.5034,300.6,1,1,2021-01-22,1843,Terra,MODIS,31,6.03,289,5.9,N,2
25.8874,51.5427,313.4,1.1,1,2021-01-23,1001,Aqua,MODIS,60,6.03,297.6,7.4,D,2
25.8951,51.5437,308.8,1.3,1.1,2021-01-24,0733,Terra,MODIS,39,6.03,294.1,5.6,D,2
25.889,51.5425,300,1.4,1.2,2021-01-24,1831,Terra,MODIS,4,6.03,288.5,7.6,N,2
25.8885,51.5399,315.9,1,1,2021-01-25,0949,Aqua,MODIS,62,6.03,300.3,7.6,D,2
25.8875,51.5468,311,1,1,2021-01-26,0721,Terra,MODIS,35,6.03,297.3,5,D,2
25.8935,51.5428,303.1,1.3,1.1,2021-01-27,1901,Terra,MODIS,53,6.03,289.2,9.2,N,2
25.8924,51.5495,305.5,1,1,2021-01-28,2227,Aqua,MODIS,64,6.03,289.5,8.3,N,2
25.8967,51.5505,302.2,1.1,1.1,2021-01-30,2215,Aqua,MODIS,33,6.03,290.4,6.2,N,2
25.89,51.5393,301.3,1.2,1.1,2021-01-31,1837,Terra,MODIS,29,6.03,288.7,6.4,N,2
25.8854,51.5451,314.2,1,1,2021-02-01,0955,Aqua,MODIS,41,6.03,300.9,6.2,D,2
25.8868,51.5379,303.3,1.8,1.3,2021-02-02,1824,Terra,MODIS,54,6.03,288.9,15,N,2
25.8891,51.5437,305,1.1,1,2021-02-05,1855,Terra,MODIS,55,6.03,292.5,6.8,N,2
24.9265,51.5626,326.3,1.1,1,2021-02-05,1855,Terra,MODIS,100,6.03,292.2,27.9,N,2
24.9342,51.5679,303,1,1,2021-02-06,2221,Aqua,MODIS,53,6.03,269.8,8.4,N,0
25.8946,51.5469,306.9,1,1,2021-02-06,2221,Aqua,MODIS,70,6.03,292,7.9,N,2
25.8917,51.549,303.8,1,1,2021-02-07,1843,Terra,MODIS,49,6.03,289.9,6.2,N,2
25.8902,51.5389,303.4,1,1,2021-02-07,1843,Terra,MODIS,51,6.03,290.1,6.1,N,2
25.8869,51.5449,315.7,1.1,1,2021-02-08,1001,Aqua,MODIS,30,6.03,301.2,8.9,D,2
