latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.4197,17.4324,316,1.5,1.2,2021-01-04,1241,Aqua,MODIS,69,6.03,295.1,13.5,D,0
1.3761,17.4386,314.1,1.5,1.2,2021-01-04,1241,Aqua,MODIS,66,6.03,295.8,11.1,D,0
2.8827,17.603,313.4,1.1,1,2021-01-06,1229,Aqua,MODIS,62,6.03,298.1,6.7,D,0
1.8849,18.0411,318.3,1.1,1,2021-01-06,1229,Aqua,MODIS,54,6.03,293.9,11.3,D,0
2.1552,13.9504,300.6,1.2,1.1,2021-01-07,0050,Aqua,MODIS,30,6.03,284.8,6.2,N,2
1.4272,16.1772,315.5,1.1,1,2021-01-08,0919,Terra,MODIS,75,6.03,289.3,12.2,D,2
-3.2307,15.0522,311.7,1.8,1.3,2021-01-08,1216,Aqua,MODIS,65,6.03,283.8,18,D,0
-3.2238,15.0452,320,1.8,1.3,2021-01-08,1216,Aqua,MODIS,68,6.03,285.7,32.1,D,0
-3.2329,15.0362,324.1,1.8,1.3,2021-01-08,1216,Aqua,MODIS,80,6.03,284.7,45.4,D,0
1.0497,17.8038,315.3,1.1,1,2021-01-08,1217,Aqua,MODIS,75,6.03,295.6,9.4,D,0
1.4242,16.1715,309.9,1.3,1.1,2021-01-08,1217,Aqua,MODIS,59,6.03,288.8,9.8,D,2
1.4258,16.1829,305.5,1.3,1.1,2021-01-08,1217,Aqua,MODIS,45,6.03,285,5.6,D,2
0.1233,15.3309,314,1.5,1.2,2021-01-08,1217,Aqua,MODIS,70,6.03,294.6,14.4,D,0
0.13,15.3228,311.9,1.5,1.2,2021-01-08,1217,Aqua,MODIS,67,6.03,294.5,11.4,D,0
-4.86,12.0266,303.7,1,1,2021-01-08,2140,Terra,MODIS,56,6.03,292,4.4,N,0
-3.4243,14.9523,315.8,1.9,1.3,2021-01-09,1258,Aqua,MODIS,67,6.03,293.4,18.6,D,0
-3.9447,14.3228,318.6,1.6,1.3,2021-01-09,1258,Aqua,MODIS,59,6.03,294.7,17.1,D,0
-3.9739,14.3575,315.8,1.6,1.3,2021-01-09,1258,Aqua,MODIS,65,6.03,295.4,14,D,0
-3.3649,16.0451,316,2.3,1.5,2021-01-09,1258,Aqua,MODIS,0,6.03,288.7,31.4,D,0
-4.2225,11.5648,331.3,1.1,1,2021-01-09,1258,Aqua,MODIS,69,6.03,297.9,23.3,D,0
-2.0438,15.3372,323.7,2.1,1.4,2021-01-09,1259,Aqua,MODIS,75,6.03,298.1,32.9,D,0
-3.2168,12.1562,315.1,1.2,1.1,2021-01-09,1259,Aqua,MODIS,64,6.03,295.3,8.1,D,0
-2.044,15.3316,321.6,2.1,1.4,2021-01-09,1259,Aqua,MODIS,72,6.03,298.2,27.1,D,0
-4.5165,12.0469,304.4,1.5,1.2,2021-01-10,2128,Terra,MODIS,60,6.03,278.5,12.4,N,2
-0.4702,15.6011,319.8,2.1,1.4,2021-01-11,0950,Terra,MODIS,77,6.03,294.4,35.1,D,0
-0.4675,15.5827,315.4,2.1,1.4,2021-01-11,0950,Terra,MODIS,72,6.03,294.1,23.4,D,0
-3.2641,15.2024,347.5,1.2,1.1,2021-01-11,1246,Aqua,MODIS,94,6.03,296.2,61.5,D,0
-3.6625,15.0615,325.4,1.2,1.1,2021-01-11,1246,Aqua,MODIS,78,6.03,296.8,21.6,D,0
-3.4501,15.8798,322.9,1.3,1.1,2021-01-11,1246,Aqua,MODIS,76,6.03,296.3,20.7,D,0
-3.777,14.9693,324.3,1.1,1.1,2021-01-11,1246,Aqua,MODIS,77,6.03,295.9,18.7,D,0
-3.4518,15.8683,323.9,1.3,1.1,2021-01-11,1246,Aqua,MODIS,72,6.03,296,21.9,D,0
-3.661,15.0717,353.5,1.2,1.1,2021-01-11,1246,Aqua,MODIS,97,6.03,296.5,80,D,0
-1.7716,14.5716,330.5,1.1,1.1,2021-01-11,1247,Aqua,MODIS,76,6.03,295.3,22.3,D,0
-0.5483,15.3174,332.3,1.3,1.1,2021-01-11,1247,Aqua,MODIS,85,6.03,296.8,36.4,D,0
-0.55,15.3058,314.2,1.3,1.1,2021-01-11,1247,Aqua,MODIS,62,6.03,296.6,8.5,D,0
-0.5347,15.3393,319.2,1.3,1.1,2021-01-11,1247,Aqua,MODIS,70,6.03,296.9,13.9,D,0
-2.0745,16.1187,316.7,1.4,1.2,2021-01-11,1247,Aqua,MODIS,53,6.03,296.1,9.7,D,0
-1.0952,14.9352,315.1,1.2,1.1,2021-01-11,1247,Aqua,MODIS,51,6.03,296.6,6.4,D,0
-0.5205,15.2369,310.7,1.3,1.1,2021-01-11,1247,Aqua,MODIS,31,6.03,293.1,4.7,D,0
-1.5112,15.0931,322.6,1.2,1.1,2021-01-11,1247,Aqua,MODIS,53,6.03,300.4,12.8,D,0
-0.9711,15.8649,318.8,1.4,1.2,2021-01-11,1247,Aqua,MODIS,68,6.03,295.8,15.7,D,0
-2.0682,16.1248,320.7,1.4,1.2,2021-01-11,1247,Aqua,MODIS,74,6.03,296.3,16.4,D,0
-0.1719,15.6667,317.4,1.4,1.2,2021-01-11,1247,Aqua,MODIS,61,6.03,295.2,13.3,D,0
-2.0506,14.7572,319.2,1.2,1.1,2021-01-11,1247,Aqua,MODIS,66,6.03,299,10.2,D,0
-1.4109,15.9212,314.8,1.4,1.2,2021-01-11,1247,Aqua,MODIS,57,6.03,295.5,10.9,D,0
-0.421,15.4306,315.1,1.3,1.1,2021-01-11,1247,Aqua,MODIS,66,6.03,296.5,10,D,0
-2.0726,16.1312,316.7,1.4,1.2,2021-01-11,1247,Aqua,MODIS,57,6.03,296.3,10.1,D,0
-1.7701,14.5818,331.3,1.1,1.1,2021-01-11,1247,Aqua,MODIS,75,6.03,291.3,24.6,D,0
-1.7811,14.5732,352.7,1.1,1.1,2021-01-11,1247,Aqua,MODIS,96,6.03,303.9,70.4,D,0
-1.7796,14.5832,341.3,1.1,1.1,2021-01-11,1247,Aqua,MODIS,90,6.03,300,43.2,D,0
-0.4801,15.5931,317.1,1.4,1.2,2021-01-11,1247,Aqua,MODIS,44,6.03,295.9,13.3,D,0
-0.8617,15.906,311.7,1.4,1.2,2021-01-11,1247,Aqua,MODIS,44,6.03,293.5,6.6,D,0
-1.6393,14.5504,328.5,1.1,1.1,2021-01-11,1247,Aqua,MODIS,80,6.03,298.5,20.5,D,0
-1.4906,15.4449,318.5,1.3,1.1,2021-01-11,1247,Aqua,MODIS,67,6.03,298.5,13.3,D,0
-1.4889,15.4564,315.1,1.3,1.1,2021-01-11,1247,Aqua,MODIS,53,6.03,295.6,8.1,D,0
1.4271,16.1785,313.8,1.6,1.2,2021-01-11,1248,Aqua,MODIS,59,6.03,297.6,12.4,D,2
-4.5127,12.0446,306.4,2.4,1.5,2021-01-11,2211,Terra,MODIS,68,6.03,270.2,33.2,N,2
1.4275,16.1785,305.3,1.1,1,2021-01-12,2117,Terra,MODIS,64,6.03,293.2,5.5,N,2
-4.3319,15.0461,317.1,1,1,2021-01-13,1234,Aqua,MODIS,65,6.03,295.3,8.4,D,0
-1.935,14.7495,322.7,1,1,2021-01-13,1234,Aqua,MODIS,76,6.03,286.1,18.9,D,0
-2.9851,14.6776,309.2,1,1,2021-01-13,1234,Aqua,MODIS,58,6.03,283.2,5.4,D,0
-4.4992,12.1814,314.2,1.4,1.2,2021-01-13,1234,Aqua,MODIS,37,6.03,293.7,13.4,D,0
-3.8075,14.2642,325.1,1.1,1,2021-01-13,1234,Aqua,MODIS,80,6.03,296.4,19.9,D,0
-3.9326,12.2176,315,1.4,1.2,2021-01-13,1234,Aqua,MODIS,69,6.03,294.1,11.9,D,0
-3.2172,14.4695,314.3,1,1,2021-01-13,1234,Aqua,MODIS,56,6.03,288.8,9.9,D,0
-3.5607,15.0995,313.4,1,1,2021-01-13,1234,Aqua,MODIS,67,6.03,286.3,7.7,D,0
-4.3603,15.0409,315.7,1,1,2021-01-13,1234,Aqua,MODIS,62,6.03,298.1,7,D,0
-4.5191,12.0411,310.4,1.4,1.2,2021-01-13,1234,Aqua,MODIS,31,6.03,292.5,9.6,D,2
-4.8672,12.0215,316.1,1.5,1.2,2021-01-13,1234,Aqua,MODIS,68,6.03,297.7,12.4,D,0
-3.8749,12.8411,315.2,1.3,1.1,2021-01-13,1234,Aqua,MODIS,69,6.03,295.2,9.3,D,0
-2.9838,14.6866,309.9,1,1,2021-01-13,1234,Aqua,MODIS,60,6.03,282.8,6.2,D,0
1.4256,16.1747,307.1,1.1,1,2021-01-13,1235,Aqua,MODIS,49,6.03,276.2,8.4,D,2
-4.8629,12.0224,303.5,1.4,1.2,2021-01-13,2158,Terra,MODIS,56,6.03,291.4,6.4,N,0
-1.0312,14.4412,309.8,4.3,1.9,2021-01-14,1317,Aqua,MODIS,37,6.03,289.3,38.2,D,0
3.369,17.1798,313.9,1,1,2021-01-15,0925,Terra,MODIS,68,6.03,300.8,7.8,D,0
-0.4564,15.6329,309.8,1,1,2021-01-15,0926,Terra,MODIS,57,6.03,296.2,4.2,D,0
-2.1265,14.9667,318.5,1,1,2021-01-15,0926,Terra,MODIS,70,6.03,298.9,8.2,D,0
-2.1431,14.9552,323.4,1,1,2021-01-15,0926,Terra,MODIS,77,6.03,299.1,12.6,D,0
-2.1444,14.9642,328.7,1,1,2021-01-15,0926,Terra,MODIS,82,6.03,299.1,19.1,D,0
-0.5864,15.5807,309.8,1,1,2021-01-15,0926,Terra,MODIS,56,6.03,295.5,5,D,0
-0.3406,15.4736,316,1,1,2021-01-15,0926,Terra,MODIS,71,6.03,296.1,9.5,D,0
-2.2007,14.4738,313.8,1,1,2021-01-15,0926,Terra,MODIS,65,6.03,296.7,6.5,D,0
-2.202,14.4829,316.9,1,1,2021-01-15,0926,Terra,MODIS,65,6.03,296.3,8.6,D,0
-2.1993,14.4647,320.3,1,1,2021-01-15,0926,Terra,MODIS,75,6.03,296.8,11.5,D,0
-2.1251,14.9578,317.3,1,1,2021-01-15,0926,Terra,MODIS,64,6.03,298.8,6.9,D,0
-2.3158,14.7081,330.8,1.4,1.2,2021-01-15,1222,Aqua,MODIS,85,6.03,297.4,41.9,D,0
-1.8419,15.4556,317.7,1.3,1.1,2021-01-15,1222,Aqua,MODIS,70,6.03,295.9,12.5,D,0
-2.5273,14.8155,310.6,1.4,1.2,2021-01-15,1222,Aqua,MODIS,60,6.03,294.4,9.4,D,0
-3.5042,15.6155,311.3,1.3,1.1,2021-01-15,1222,Aqua,MODIS,60,6.03,293.6,5.9,D,0
-1.3134,15.0037,314.8,1.3,1.1,2021-01-15,1222,Aqua,MODIS,66,6.03,295.4,12.8,D,0
-2.1861,15.6196,323.9,1.2,1.1,2021-01-15,1222,Aqua,MODIS,79,6.03,297.7,21.5,D,0
-2.1877,15.6085,327.5,1.2,1.1,2021-01-15,1222,Aqua,MODIS,82,6.03,296.8,27.4,D,0
-2.1777,15.6073,315.2,1.2,1.1,2021-01-15,1222,Aqua,MODIS,47,6.03,293.9,10,D,0
-1.7952,16.0797,315.2,1.2,1.1,2021-01-15,1222,Aqua,MODIS,65,6.03,297.1,8.7,D,0
-2.5053,15.8909,311.1,1.2,1.1,2021-01-15,1222,Aqua,MODIS,61,6.03,293.3,6.3,D,0
-0.7807,15.9352,316.3,1.2,1.1,2021-01-15,1222,Aqua,MODIS,69,6.03,296.5,11.4,D,0
-2.2717,15.6604,328,1.2,1.1,2021-01-15,1222,Aqua,MODIS,82,6.03,291.3,29.8,D,0
-2.6195,16.1032,348,1.2,1.1,2021-01-15,1222,Aqua,MODIS,94,6.03,296,63.6,D,0
-1.1268,15.8826,310.3,1.2,1.1,2021-01-15,1222,Aqua,MODIS,15,6.03,293.2,5.1,D,0
-2.6209,16.0926,350.4,1.2,1.1,2021-01-15,1222,Aqua,MODIS,96,6.03,297.4,69.9,D,0
-2.617,16.0963,355.7,1.2,1.1,2021-01-15,1222,Aqua,MODIS,98,6.03,299.4,87.8,D,0
-2.2161,15.3365,316.1,1.3,1.1,2021-01-15,1222,Aqua,MODIS,65,6.03,291.1,15.4,D,0
-3.0292,15.504,311.4,1.3,1.1,2021-01-15,1222,Aqua,MODIS,37,6.03,293.4,5.8,D,0
-1.993,15.6139,318,1.2,1.1,2021-01-15,1222,Aqua,MODIS,70,6.03,296.5,14.1,D,0
-3.456,15.4421,332,1.3,1.1,2021-01-15,1222,Aqua,MODIS,86,6.03,297.7,38.2,D,0
-3.4544,15.4539,315,1.3,1.1,2021-01-15,1222,Aqua,MODIS,69,6.03,296.9,10.2,D,0
-3.3469,15.7837,342.1,1.3,1.1,2021-01-15,1222,Aqua,MODIS,91,6.03,296.8,58.8,D,0
-3.3454,15.7949,320.8,1.3,1.1,2021-01-15,1222,Aqua,MODIS,75,6.03,294.3,18.8,D,0
-2.1993,14.468,316.9,1.5,1.2,2021-01-15,1222,Aqua,MODIS,65,6.03,297.2,14.4,D,0
-2.202,14.4737,320.7,1.5,1.2,2021-01-15,1222,Aqua,MODIS,71,6.03,298.8,19.8,D,0
-2.5004,14.2097,311.3,1.6,1.2,2021-01-15,1222,Aqua,MODIS,57,6.03,293.1,10.2,D,0
-3.3189,15.9828,312.3,1.2,1.1,2021-01-15,1222,Aqua,MODIS,45,6.03,295.7,7,D,0
-2.061,15.7076,316.6,1.2,1.1,2021-01-15,1222,Aqua,MODIS,69,6.03,297.6,11.7,D,0
-2.0626,15.6967,322.7,1.2,1.1,2021-01-15,1222,Aqua,MODIS,77,6.03,298.3,19.7,D,0
-2.5947,14.5254,317.1,1.5,1.2,2021-01-15,1222,Aqua,MODIS,72,6.03,297.7,16.1,D,0
