latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.5424,126.6543,303.1,1.1,1,2021-01-20,0436,Aqua,MODIS,48,6.03,283.8,7.5,D,0
36.6873,126.498,302.4,1.1,1,2021-01-20,0437,Aqua,MODIS,52,6.03,282.3,7.4,D,0
36.9837,126.7122,307.9,1,1,2021-01-24,0234,Terra,MODIS,63,6.03,287.4,10,D,2
35.7288,126.9533,311.8,1.1,1,2021-01-24,0234,Terra,MODIS,72,6.03,285.2,13.7,D,0
35.9635,127.0427,302.2,1.1,1,2021-01-24,0234,Terra,MODIS,51,6.03,285.7,5.8,D,0
35.696,126.9393,302.3,1.1,1,2021-01-24,0234,Terra,MODIS,52,6.03,284.7,6.9,D,0
36.0042,129.3828,300,1.1,1,2021-01-27,0443,Aqua,MODIS,14,6.03,289.3,5.9,D,2
35.7814,126.8313,301,1,1,2021-01-27,0443,Aqua,MODIS,44,6.03,281.7,6.3,D,0
35.9194,128.9074,302.5,1.1,1,2021-01-27,0443,Aqua,MODIS,18,6.03,285.2,5.6,D,0
36.0029,129.3899,300.2,1,1,2021-01-28,0209,Terra,MODIS,28,6.03,286.6,4.9,D,2
35.9283,128.8995,301.3,1.6,1.2,2021-01-31,0240,Terra,MODIS,46,6.03,281.6,12.5,D,0
36.9902,126.7228,306.2,1.2,1.1,2021-01-31,0240,Terra,MODIS,47,6.03,278.8,11,D,2
36.9864,126.7045,304.3,1,1,2021-02-02,0227,Terra,MODIS,51,6.03,279.1,8.9,D,2
36.9774,126.6979,308,1,1,2021-02-03,0449,Aqua,MODIS,59,6.03,283.1,10.4,D,2
35.2489,128.158,301.8,1.3,1.1,2021-02-07,0424,Aqua,MODIS,32,6.03,289.3,5.9,D,0
35.2476,128.1495,302.8,1.3,1.1,2021-02-07,0424,Aqua,MODIS,36,6.03,290.1,6.3,D,0
36.1802,127.0203,301.3,1.4,1.2,2021-02-07,0425,Aqua,MODIS,28,6.03,283.7,7.2,D,0
34.8545,127.3235,305.1,1.7,1.3,2021-02-08,0507,Aqua,MODIS,61,6.03,283.3,18,D,2
36.9818,126.7076,302.4,1,1,2021-02-09,0233,Terra,MODIS,52,6.03,283.7,6.6,D,2
37.9344,127.7434,317.9,1.1,1,2021-02-09,0233,Terra,MODIS,78,6.03,276.4,21.9,D,2
37.9364,127.7311,315.5,1.1,1,2021-02-09,0233,Terra,MODIS,72,6.03,276.3,19.4,D,2
36.1203,127.0463,301.2,1.1,1,2021-02-09,0234,Terra,MODIS,45,6.03,280.1,6.2,D,0
