latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.1374,55.4779,311.9,1.2,1.1,2021-01-18,0645,Terra,MODIS,37,6.03,301.7,8,D,0
-20.895,55.51,315.7,1.4,1.2,2021-02-08,0949,Aqua,MODIS,40,6.03,298.3,16.5,D,2
-21.2732,55.724,347.2,1,1,2021-04-10,0631,Terra,MODIS,71,6.03,275.1,56.7,D,1
-21.2718,55.7145,389.3,1,1,2021-04-10,0631,Terra,MODIS,75,6.03,280.4,195.2,D,1
-21.2853,55.726,342.6,1.4,1.2,2021-04-10,1841,Terra,MODIS,100,6.03,278.2,84.1,N,1
-21.2869,55.713,314,1.4,1.2,2021-04-10,1841,Terra,MODIS,30,6.03,272.6,23.1,N,1
-21.2747,55.7243,419.2,1.4,1.2,2021-04-10,1842,Terra,MODIS,100,6.03,287.9,665.5,N,1
-21.2639,55.7235,327.4,1.4,1.2,2021-04-10,1842,Terra,MODIS,79,6.03,271.3,45.2,N,1
-21.2731,55.7373,312.2,1.4,1.2,2021-04-10,1842,Terra,MODIS,73,6.03,272.5,21.6,N,1
-21.2655,55.7103,359.5,1.4,1.2,2021-04-10,1842,Terra,MODIS,100,6.03,269.5,145.4,N,1
-21.2763,55.711,407.3,1.4,1.2,2021-04-10,1842,Terra,MODIS,100,6.03,280.7,514.4,N,1
-21.2778,55.6985,306.7,1.4,1.2,2021-04-10,1842,Terra,MODIS,28,6.03,267.8,15.5,N,1
-21.2722,55.7201,349.8,2.1,1.4,2021-04-11,1924,Terra,MODIS,100,6.03,267.2,195.8,N,1
-21.2741,55.7423,330,1.3,1.1,2021-04-12,0619,Terra,MODIS,59,6.03,276.5,34.6,D,1
-21.2842,55.7408,350.9,1.3,1.1,2021-04-12,0619,Terra,MODIS,0,6.03,275.5,86.2,D,1
-21.2683,55.7076,366.4,1.3,1.1,2021-04-12,0619,Terra,MODIS,94,6.03,293.2,142.1,D,1
-21.2803,55.7171,374,1.3,1.1,2021-04-12,0619,Terra,MODIS,87,6.03,270.5,178.9,D,1
-21.2722,55.7309,336.3,1.3,1.1,2021-04-12,0619,Terra,MODIS,85,6.03,278.1,46.4,D,1
-21.2702,55.7193,415.8,1.3,1.1,2021-04-12,0619,Terra,MODIS,100,6.03,292.9,512.8,D,1
-21.275,55.7214,373.4,2.4,1.5,2021-04-13,0702,Terra,MODIS,0,6.03,272.5,470.1,D,1
-21.2814,55.7282,378,2.4,1.5,2021-04-13,0702,Terra,MODIS,0,6.03,272.7,535.8,D,1
-21.2695,55.7269,332.6,1,1,2021-04-15,1900,Terra,MODIS,95,6.03,271.1,32.3,N,1
-21.2709,55.7173,370.6,1,1,2021-04-15,1900,Terra,MODIS,100,6.03,276,118.2,N,1
-21.2723,55.7076,323.8,1,1,2021-04-15,1900,Terra,MODIS,38,6.03,269.9,20.7,N,1
-21.2727,55.7099,411.9,1.3,1.1,2021-04-16,1019,Aqua,MODIS,94,6.03,303.9,488.9,D,1
-21.2829,55.7119,386.5,1.3,1.1,2021-04-16,1019,Aqua,MODIS,75,6.03,296,262.9,D,1
-21.2749,55.6965,316,1.3,1.1,2021-04-16,1019,Aqua,MODIS,30,6.03,293.4,15.3,D,1
-21.2701,55.7285,328.6,1.5,1.2,2021-04-17,2157,Aqua,MODIS,100,6.03,281.1,54.1,N,1
-21.2809,55.7271,318.9,1.5,1.2,2021-04-17,2157,Aqua,MODIS,97,6.03,281.5,35.1,N,1
-21.2633,55.7148,324.3,1,1,2021-04-28,2138,Aqua,MODIS,100,6.03,281.6,25.6,N,1
-21.2737,55.7228,315.9,1,1,2021-04-28,2138,Aqua,MODIS,90,6.03,284.4,17.3,N,1
-21.2647,55.7243,311.9,1,1,2021-04-28,2138,Aqua,MODIS,77,6.03,283.6,14,N,1
-21.2723,55.7133,322.8,1,1,2021-04-28,2138,Aqua,MODIS,100,6.03,283.5,24,N,1
-21.2724,55.7117,329.2,1,1,2021-05-01,1900,Terra,MODIS,100,6.03,282.6,30.9,N,1
-21.28,55.7229,333.6,1,1,2021-05-01,1900,Terra,MODIS,100,6.03,289,35.7,N,1
-21.271,55.7213,308.8,1,1,2021-05-01,1900,Terra,MODIS,56,6.03,282.7,11.1,N,1
-21.2786,55.7326,411.3,1,1,2021-05-01,1900,Terra,MODIS,100,6.03,303.4,331.4,N,1
-21.2772,55.7423,378.6,1,1,2021-05-01,1900,Terra,MODIS,100,6.03,290.8,150.2,N,1
-21.2876,55.734,334,1,1,2021-05-01,1900,Terra,MODIS,100,6.03,292.6,36.2,N,1
-21.2862,55.7438,313.5,1,1,2021-05-01,1900,Terra,MODIS,80,6.03,287.1,13.4,N,1
-21.274,55.7516,359.2,2.5,1.5,2021-05-01,2209,Aqua,MODIS,100,6.03,289.3,325.2,N,1
-21.2875,55.7482,306.6,2.5,1.5,2021-05-01,2209,Aqua,MODIS,47,6.03,285,37.8,N,1
-21.2708,55.7206,316.5,2.5,1.5,2021-05-01,2209,Aqua,MODIS,91,6.03,281.9,63.7,N,1
-21.2839,55.7436,363.5,3.4,1.7,2021-05-02,0554,Terra,MODIS,100,6.03,296.1,558.9,D,1
-21.2783,55.7399,362.2,3.4,1.7,2021-05-02,0555,Terra,MODIS,100,6.03,297.3,539.2,D,1
