latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.3119,25.2783,313.6,1,1,2021-02-05,1115,Aqua,MODIS,74,6.03,286.2,14.5,D,0
44.0523,25.8089,300.3,1,1,2021-02-05,1115,Aqua,MODIS,26,6.03,286.2,4.7,D,0
45.6282,27.6379,309.7,1.1,1,2021-02-12,1121,Aqua,MODIS,69,6.03,274.6,14.7,D,0
43.858,22.8829,301.6,1.3,1.1,2021-02-12,2045,Terra,MODIS,42,6.03,266,16.6,N,0
44.2773,23.136,302.8,1.4,1.2,2021-02-15,1151,Aqua,MODIS,54,6.03,279.8,12.7,D,0
43.8786,22.9142,303.8,1.7,1.3,2021-02-18,0901,Terra,MODIS,57,6.03,283.8,14.5,D,0
44.384,22.5669,301.3,3.6,1.8,2021-02-18,1222,Aqua,MODIS,35,6.03,282.3,35.8,D,0
45.0201,25.277,307.9,1.3,1.1,2021-02-23,1103,Aqua,MODIS,66,6.03,289,12.6,D,0
45.0172,25.2614,301.4,1.3,1.1,2021-02-23,1103,Aqua,MODIS,46,6.03,287.8,6.8,D,0
45.2458,28.485,316.3,1,1,2021-02-23,1103,Aqua,MODIS,72,6.03,286.8,16.1,D,0
45.2438,28.4722,307.2,1,1,2021-02-23,1103,Aqua,MODIS,65,6.03,287.2,8.8,D,0
44.687,22.8309,302.2,1.2,1.1,2021-02-24,1145,Aqua,MODIS,51,6.03,288.5,5.9,D,0
44.9822,22.3266,301.7,1.1,1.1,2021-02-24,1146,Aqua,MODIS,45,6.03,288.4,5.2,D,0
46.1626,22.4905,302.6,1.2,1.1,2021-02-24,1146,Aqua,MODIS,53,6.03,289.1,6.9,D,0
44.1725,24.1884,305.2,2.2,1.4,2021-02-25,1050,Aqua,MODIS,61,6.03,288.1,20.9,D,0
43.8443,25.8672,302.9,1.8,1.3,2021-02-25,1050,Aqua,MODIS,54,6.03,291.5,8.6,D,0
44.6704,22.6701,303.5,2.6,1.5,2021-02-25,1050,Aqua,MODIS,56,6.03,289.7,19.4,D,0
44.393,25.7201,300.8,1.8,1.3,2021-02-25,1050,Aqua,MODIS,41,6.03,289.9,7.3,D,0
44.6629,22.6394,300.7,2.6,1.5,2021-02-25,1050,Aqua,MODIS,41,6.03,289.8,13.3,D,0
45.9017,24.015,301.7,2,1.4,2021-02-25,1051,Aqua,MODIS,49,6.03,291.4,10.1,D,0
46.0786,24.4294,302.6,1.9,1.3,2021-02-25,1051,Aqua,MODIS,53,6.03,288.2,13.1,D,0
46.4362,22.3886,314.1,2.4,1.5,2021-02-25,1051,Aqua,MODIS,74,6.03,289.3,44.7,D,0
46.4289,22.3585,301.8,2.4,1.5,2021-02-25,1051,Aqua,MODIS,49,6.03,288.8,16.4,D,0
45.9,24.0201,303,2,1.4,2021-02-25,1051,Aqua,MODIS,52,6.03,291,11.3,D,0
47.5724,23.7734,300.4,1.3,1.1,2021-02-26,0949,Terra,MODIS,37,6.03,286.5,6,D,0
45.1282,26.2355,327.9,1.9,1.4,2021-02-26,0949,Terra,MODIS,85,6.03,294.3,65.4,D,0
45.1337,26.2107,305.6,1.9,1.4,2021-02-26,0949,Terra,MODIS,62,6.03,292.7,13,D,0
46.9113,22.4471,300.1,1.2,1.1,2021-02-26,0949,Terra,MODIS,26,6.03,289.9,4.3,D,0
44.8174,25.2612,304.2,1.8,1.3,2021-02-26,0950,Terra,MODIS,58,6.03,291.6,10.3,D,0
44.5914,23.6331,302.5,1.5,1.2,2021-02-26,0950,Terra,MODIS,52,6.03,290.6,7.1,D,0
45.2856,29.6136,318.5,1.8,1.3,2021-02-26,1133,Aqua,MODIS,0,6.03,289.9,36.7,D,0
45.2874,29.6368,316.3,1.8,1.3,2021-02-26,1133,Aqua,MODIS,0,6.03,289,32.9,D,0
43.7231,25.1516,320.4,1.1,1,2021-02-26,1133,Aqua,MODIS,78,6.03,296.7,16.7,D,0
44.6467,23.2491,308,1,1,2021-02-26,1133,Aqua,MODIS,64,6.03,294.6,6.2,D,0
45.1883,29.5182,301.5,1.8,1.3,2021-02-26,1133,Aqua,MODIS,35,6.03,285.8,13,D,0
43.9397,25.51,311.2,1.1,1.1,2021-02-26,1133,Aqua,MODIS,68,6.03,294.8,8.7,D,0
45.012,25.726,310.8,1.2,1.1,2021-02-26,1133,Aqua,MODIS,66,6.03,296,9.1,D,0
44.7082,23.0964,304.9,1,1,2021-02-26,1133,Aqua,MODIS,57,6.03,294.3,4,D,0
44.681,25.3326,319,1.1,1.1,2021-02-26,1133,Aqua,MODIS,77,6.03,292.7,17.1,D,0
44.8092,23.0882,313.2,1,1,2021-02-26,1133,Aqua,MODIS,72,6.03,294.9,9.7,D,0
45.9389,25.2013,314.7,1.2,1.1,2021-02-26,1133,Aqua,MODIS,75,6.03,292.8,14.4,D,0
44.8054,23.2662,310.2,1,1,2021-02-26,1133,Aqua,MODIS,68,6.03,293.8,8.1,D,0
44.7659,22.9113,318.1,1,1,2021-02-26,1133,Aqua,MODIS,77,6.03,295.8,14.3,D,0
44.7641,22.8987,304.8,1,1,2021-02-26,1133,Aqua,MODIS,56,6.03,294.6,4.1,D,0
44.2534,22.9402,310.1,1,1,2021-02-26,1133,Aqua,MODIS,66,6.03,297.8,6.3,D,0
44.6056,25.6341,312.3,1.2,1.1,2021-02-26,1133,Aqua,MODIS,69,6.03,296.2,9.2,D,0
44.2551,22.9526,305.6,1,1,2021-02-26,1133,Aqua,MODIS,44,6.03,294.9,3.2,D,0
44.1859,26.1493,307.7,1.2,1.1,2021-02-26,1133,Aqua,MODIS,64,6.03,291.8,8.3,D,0
44.8109,23.1008,318.4,1,1,2021-02-26,1133,Aqua,MODIS,78,6.03,295.2,14.4,D,0
44.0133,26.0637,311,1.2,1.1,2021-02-26,1133,Aqua,MODIS,68,6.03,295.9,8.7,D,0
44.7542,23.1622,308.2,1,1,2021-02-26,1133,Aqua,MODIS,65,6.03,293.3,6.1,D,0
44.9643,23.4219,303.1,1,1,2021-02-26,1133,Aqua,MODIS,52,6.03,293,3.5,D,0
44.3733,22.676,308,1,1,2021-02-26,1133,Aqua,MODIS,60,6.03,294.9,5.2,D,0
45.4677,22.9824,309,1,1,2021-02-26,1133,Aqua,MODIS,68,6.03,291.7,9.1,D,0
44.7559,23.1748,305.2,1,1,2021-02-26,1133,Aqua,MODIS,58,6.03,294,4,D,0
44.7415,28.0335,306.3,1.5,1.2,2021-02-26,1133,Aqua,MODIS,57,6.03,293.1,9.4,D,0
45.128,26.2235,324.3,1.2,1.1,2021-02-26,1133,Aqua,MODIS,82,6.03,298.2,25.1,D,0
45.9406,25.2161,302.6,1.2,1.1,2021-02-26,1133,Aqua,MODIS,53,6.03,290.6,4.3,D,0
45.8684,26.1237,315.8,1.2,1.1,2021-02-26,1133,Aqua,MODIS,76,6.03,291.5,18,D,0
44.7056,21.723,304.9,1,1,2021-02-26,1133,Aqua,MODIS,56,6.03,294.7,5.3,D,0
43.7247,25.165,313.1,1.1,1,2021-02-26,1133,Aqua,MODIS,64,6.03,295.3,9.6,D,0
45.1263,26.2077,320,1.2,1.1,2021-02-26,1133,Aqua,MODIS,78,6.03,297.2,18.7,D,0
45.3076,29.65,343.7,1.8,1.3,2021-02-26,1133,Aqua,MODIS,0,6.03,288.4,118.1,D,0
45.1865,29.4955,308.1,1.8,1.3,2021-02-26,1133,Aqua,MODIS,57,6.03,286.9,21.4,D,0
