latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.52,30.5825,322.8,1,1,2021-03-12,1133,Aqua,MODIS,56,6.03,303.2,10,D,0
-1.6884,30.8296,321.2,1.1,1,2021-05-24,1126,Aqua,MODIS,72,6.03,294.1,16,D,0
-1.6252,29.2738,302.4,1.3,1.1,2021-05-24,2349,Aqua,MODIS,46,6.03,284.9,9.4,N,0
-2.2945,30.4299,311.7,2.4,1.5,2021-06-04,1108,Aqua,MODIS,36,6.03,292.5,24.2,D,0
-1.4882,30.4586,300.6,1,1,2021-06-04,2330,Aqua,MODIS,31,6.03,287.7,5.5,N,0
-1.2354,30.3325,320.3,1.1,1,2021-06-09,1127,Aqua,MODIS,50,6.03,302.7,9.2,D,0
-1.5657,30.4253,315.2,1.1,1.1,2021-06-11,0816,Terra,MODIS,64,6.03,301.7,8.2,D,0
-1.5253,30.5424,322.2,1.1,1.1,2021-06-11,0816,Terra,MODIS,75,6.03,300.4,16.2,D,0
-1.5207,30.549,316.5,1.1,1.1,2021-06-11,0816,Terra,MODIS,48,6.03,299.7,9,D,0
-1.5608,30.5775,318.8,1.7,1.3,2021-06-11,1114,Aqua,MODIS,67,6.03,301.2,18.8,D,0
-1.508,30.5394,319.3,1.7,1.3,2021-06-11,1114,Aqua,MODIS,31,6.03,298.9,19.7,D,0
-1.5107,30.5347,316.2,1.7,1.3,2021-06-11,1114,Aqua,MODIS,61,6.03,298.3,14.3,D,0
-1.5709,30.4252,316.6,1.7,1.3,2021-06-11,1114,Aqua,MODIS,58,6.03,299.9,15.5,D,0
-1.556,30.4211,313.7,2,1.4,2021-06-12,1157,Aqua,MODIS,30,6.03,296.4,13.2,D,0
-1.4617,30.6032,342.5,1,1,2021-06-16,1133,Aqua,MODIS,92,6.03,302.8,38.7,D,0
-1.4996,30.6126,304.4,2.3,1.5,2021-06-17,2000,Terra,MODIS,23,6.03,282,21.3,N,0
-1.4866,30.6107,314.7,2.3,1.5,2021-06-17,2000,Terra,MODIS,90,6.03,281.8,45.5,N,0
-1.4735,30.6097,303.2,2.3,1.5,2021-06-17,2000,Terra,MODIS,41,6.03,282.1,20.5,N,0
-1.5726,30.6376,325,1.5,1.2,2021-06-23,0841,Terra,MODIS,80,6.03,296.1,31.3,D,0
-1.741,30.6636,303.6,1.7,1.3,2021-06-24,2006,Terra,MODIS,56,6.03,287.1,14.7,N,0
-1.7708,30.6995,304.2,1.7,1.3,2021-06-24,2006,Terra,MODIS,59,6.03,287.1,14.2,N,0
-1.7685,30.7049,301.5,1.7,1.3,2021-06-24,2006,Terra,MODIS,22,6.03,286.9,9.9,N,0
-1.5634,30.628,301.7,2.3,1.5,2021-06-24,2306,Aqua,MODIS,44,6.03,286.2,21.8,N,0
-1.7244,30.7158,359,1,1,2021-06-25,0828,Terra,MODIS,99,6.03,300.7,81.3,D,0
-1.784,30.749,338.4,1,1,2021-06-25,0828,Terra,MODIS,67,6.03,303.2,36.2,D,0
-2.0947,30.8585,319.4,1.1,1,2021-06-25,0828,Terra,MODIS,63,6.03,301.3,9.9,D,0
-1.7827,30.7396,332.5,1,1,2021-06-25,0828,Terra,MODIS,74,6.03,303.8,25.1,D,0
-1.7749,30.7503,354.4,1,1,2021-06-25,0828,Terra,MODIS,84,6.03,303.2,70.1,D,0
-1.7735,30.7408,341.7,1,1,2021-06-25,0828,Terra,MODIS,86,6.03,301.6,40.8,D,0
-1.7559,30.7399,352.5,1,1,2021-06-25,0828,Terra,MODIS,96,6.03,303.2,62.7,D,0
