latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.3582,-62.8389,346.2,1,1,2021-03-18,1736,Aqua,MODIS,0,6.03,304.3,49.7,D,0
17.3985,-62.8407,329.8,1,1,2021-03-23,1448,Terra,MODIS,72,6.03,298.9,22,D,0
17.3557,-62.73,334.4,1.3,1.1,2021-03-25,1435,Terra,MODIS,65,6.03,299.3,40.5,D,0
17.3559,-62.7372,331.4,1.1,1,2021-03-25,1743,Aqua,MODIS,69,6.03,304.8,23.7,D,0
17.3652,-62.7384,324.3,1.1,1,2021-03-25,1743,Aqua,MODIS,45,6.03,298.7,13.9,D,0
17.348,-62.7257,329.4,1.1,1,2021-03-25,1743,Aqua,MODIS,72,6.03,302,20.3,D,0
17.3573,-62.727,325.3,1.1,1,2021-03-25,1743,Aqua,MODIS,0,6.03,299.2,13.7,D,0
17.3815,-62.8525,322.9,1.1,1,2021-04-10,1743,Aqua,MODIS,50,6.03,300.4,15,D,0
17.3372,-62.822,323.7,1,1,2021-05-21,1736,Aqua,MODIS,0,6.03,300.3,15.7,D,0
17.3062,-62.7094,311.3,2.4,1.5,2021-05-29,1517,Terra,MODIS,0,6.03,295.1,31.5,D,0
17.3056,-62.6966,306.5,1.3,1.1,2021-06-16,0542,Aqua,MODIS,45,6.03,293.4,8.8,N,0
17.3072,-62.7088,317.9,1.3,1.1,2021-06-16,0542,Aqua,MODIS,95,6.03,293.7,21.9,N,0
17.3034,-62.7072,318,1.5,1.2,2021-06-16,1505,Terra,MODIS,0,6.03,301,16.8,D,0
17.3052,-62.7152,319.3,1.5,1.2,2021-08-03,1504,Terra,MODIS,0,6.03,301.6,21.4,D,2
