latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3371,-61.1905,308.9,1.5,1.2,2021-04-15,0531,Aqua,MODIS,52,6.03,281.8,16.6,N,0
13.3353,-61.176,334,1.5,1.2,2021-04-15,0531,Aqua,MODIS,100,6.03,287,62.3,N,1
13.3414,-61.1807,311,1.5,1.2,2021-04-15,0531,Aqua,MODIS,39,6.03,283.4,18.9,N,0
13.3309,-61.1831,326.2,1.5,1.2,2021-04-15,0531,Aqua,MODIS,100,6.03,284.4,44.1,N,1
13.3338,-61.181,328.1,1.3,1.1,2021-04-15,1455,Terra,MODIS,81,6.03,281.3,38.5,D,1
13.3313,-61.1757,321.1,1.3,1.1,2021-04-15,1455,Terra,MODIS,74,6.03,277.2,27.7,D,1
13.3311,-61.1991,315.8,2.4,1.5,2021-04-15,1800,Aqua,MODIS,47,6.03,292.4,28.5,D,0
13.3333,-61.1806,314.1,2.4,1.5,2021-04-15,1800,Aqua,MODIS,38,6.03,292.1,23.2,D,1
12.6988,-61.3313,311,1.2,1.1,2021-04-19,1430,Terra,MODIS,42,6.03,298.8,8.1,D,3
13.3322,-61.182,319.6,1.1,1.1,2021-04-24,0234,Terra,MODIS,99,6.03,292.8,22.3,N,1
13.3308,-61.1921,310.5,1.1,1.1,2021-04-24,0234,Terra,MODIS,71,6.03,292.1,12.7,N,0
13.3354,-61.18,313,1,1,2021-04-26,0222,Terra,MODIS,81,6.03,291.1,13.4,N,1
13.334,-61.1894,321.3,1,1,2021-04-26,0222,Terra,MODIS,100,6.03,292.9,20.8,N,0
13.3303,-61.1839,317.5,1.2,1.1,2021-05-12,1741,Aqua,MODIS,68,6.03,294.6,11.5,D,1
13.3366,-61.1852,315.1,1,1,2021-05-28,1436,Terra,MODIS,48,6.03,296.5,6.9,D,1
