latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.479,-172.3071,311.1,2.8,1.6,2021-01-10,2222,Terra,MODIS,0,6.03,293.8,35.1,D,0
-13.477,-172.3009,312.9,2.1,1.4,2021-01-19,2216,Terra,MODIS,0,6.03,292,20.2,D,0
-13.5084,-172.575,312.4,2.8,1.6,2021-01-20,2120,Terra,MODIS,33,6.03,294.3,22.9,D,0
-13.4871,-172.2974,317.4,1.6,1.2,2021-02-19,2132,Terra,MODIS,32,6.03,297.3,13.9,D,0
-13.5073,-172.5849,312,3.9,1.8,2021-03-06,0035,Aqua,MODIS,28,6.03,292.8,46.2,D,0
-13.5095,-172.5702,310.8,3.9,1.8,2021-03-22,0035,Aqua,MODIS,16,6.03,290.7,42.7,D,0
-13.5049,-172.5681,314.3,3.3,1.7,2021-03-26,0148,Aqua,MODIS,34,6.03,297,38.9,D,0
-13.5038,-172.5695,312.9,2.9,1.6,2021-03-29,0041,Aqua,MODIS,21,6.03,293.7,33,D,0
-13.4882,-172.3063,311.9,2.6,1.6,2021-04-04,0142,Aqua,MODIS,20,6.03,293.8,22.1,D,0
-13.5111,-172.5814,310.4,3.9,1.8,2021-04-07,0035,Aqua,MODIS,22,6.03,289.7,42.3,D,0
-13.5122,-172.5648,310.9,2.8,1.6,2021-04-10,2120,Terra,MODIS,22,6.03,296.8,20.8,D,0
-13.4831,-172.301,315.9,2,1.4,2021-04-13,0136,Aqua,MODIS,0,6.03,297.5,19.5,D,0
-13.4749,-172.3113,312.2,2.8,1.6,2021-04-16,2221,Terra,MODIS,0,6.03,296.4,29.8,D,0
-13.4869,-172.306,313,2.1,1.4,2021-05-07,0047,Aqua,MODIS,16,6.03,294.9,19.6,D,0
-13.4901,-172.3046,313.2,2,1.4,2021-05-15,0136,Aqua,MODIS,15,6.03,298,17.2,D,0
-13.4825,-172.3061,313.1,2.1,1.4,2021-05-23,0047,Aqua,MODIS,0,6.03,295.1,22.9,D,0
-13.5096,-172.583,314.9,2.5,1.5,2021-08-10,0142,Aqua,MODIS,31,6.03,295.7,27.8,D,0
-13.5058,-172.5626,310.6,3.5,1.8,2021-09-14,2224,Terra,MODIS,33,6.03,295.7,31.2,D,0
-13.5077,-172.584,311.3,3.3,1.7,2021-09-18,0148,Aqua,MODIS,39,6.03,294.1,36.5,D,0
-13.4797,-172.314,318.4,2,1.4,2021-09-20,0136,Aqua,MODIS,28,6.03,301.9,26.7,D,0
-13.4858,-172.3013,317.8,2,1.4,2021-09-20,0136,Aqua,MODIS,0,6.03,301.7,23.7,D,0
-13.4858,-172.3032,316.5,1.6,1.2,2021-09-25,2206,Terra,MODIS,0,6.03,299.9,23.2,D,0
-13.4858,-172.3037,315.4,2.6,1.6,2021-09-27,0142,Aqua,MODIS,16,6.03,298.1,33.3,D,0
-13.4818,-172.3094,315.9,2.6,1.6,2021-09-27,0142,Aqua,MODIS,0,6.03,298.4,36.1,D,0
-13.4824,-172.3052,313.5,2.1,1.4,2021-09-28,0047,Aqua,MODIS,0,6.03,296.8,21.9,D,0
-13.5035,-172.5665,312.3,3.9,1.8,2021-09-30,0035,Aqua,MODIS,31,6.03,296.8,39.1,D,0
-13.4802,-172.3172,310.4,2.8,1.6,2021-10-07,0041,Aqua,MODIS,18,6.03,294.4,25.3,D,0
-13.5103,-172.5829,314.5,3,1.6,2021-10-07,0041,Aqua,MODIS,26,6.03,296.6,32.6,D,0
-13.5105,-172.566,313.3,3.5,1.8,2021-10-16,2224,Terra,MODIS,35,6.03,298.5,38.7,D,0
-13.508,-172.5708,313,3.9,1.8,2021-11-01,0035,Aqua,MODIS,42,6.03,295.1,47.9,D,0
-13.5141,-172.5623,311.5,3.9,1.8,2021-11-01,0035,Aqua,MODIS,23,6.03,294.7,38.6,D,0
-13.4779,-172.3117,317.5,2,1.4,2021-11-07,0136,Aqua,MODIS,14,6.03,296.2,20.9,D,0
-13.5098,-172.5787,314.7,2.8,1.6,2021-11-20,2116,Terra,MODIS,34,6.03,295.9,28,D,0
-13.4977,-172.5568,310.4,4.6,2,2021-11-24,2229,Terra,MODIS,22,6.03,289.9,49.5,D,0
-13.486,-172.3043,313.5,2.1,1.4,2021-12-05,2210,Terra,MODIS,0,6.03,295,18.9,D,0
-13.504,-172.5696,313.8,2.8,1.6,2021-12-06,2115,Terra,MODIS,17,6.03,294.9,26,D,0
-13.4804,-172.3091,312.6,2.1,1.4,2021-12-17,0048,Aqua,MODIS,22,6.03,291.4,21.8,D,0
-13.4869,-172.3079,318.1,2,1.4,2021-12-25,0137,Aqua,MODIS,40,6.03,298.5,27.8,D,0
