latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.0271,49.5273,354.7,1,1,2021-01-01,0727,Terra,MODIS,97,6.03,297.2,68.1,D,2
31.7126,38.7154,304.7,1,1,2021-01-01,1040,Aqua,MODIS,37,6.03,291.2,3.6,D,0
25.6367,49.3962,308.2,1.2,1.1,2021-01-01,2246,Aqua,MODIS,74,6.03,285,14.8,N,2
26.2466,43.9121,309.4,1.6,1.3,2021-01-02,0810,Terra,MODIS,48,6.03,292,11.4,D,0
27.0116,49.5767,315.9,1.4,1.2,2021-01-02,0943,Aqua,MODIS,66,6.03,300.2,11.7,D,2
23.0471,47.236,319.9,1,1,2021-01-02,1907,Terra,MODIS,99,6.03,285.3,20.9,N,0
27.0214,49.5749,314,1.2,1.1,2021-01-03,0715,Terra,MODIS,68,6.03,297.5,10.4,D,2
27.0178,49.5719,312.7,2,1.4,2021-01-03,1026,Aqua,MODIS,61,6.03,299.4,15.9,D,2
23.8552,49.1224,300.3,1,1,2021-01-03,2234,Aqua,MODIS,25,6.03,281.6,7.4,N,0
27.0019,43.6148,312,1.1,1,2021-01-04,0758,Terra,MODIS,63,6.03,294.8,7.1,D,0
27.0146,49.5708,309.6,1,1,2021-01-04,1856,Terra,MODIS,78,6.03,288.1,10.5,N,2
27.016,49.5808,317.4,1,1,2021-01-04,1856,Terra,MODIS,95,6.03,289,16.7,N,2
25.9473,40.8217,310,1.1,1.1,2021-01-04,2317,Aqua,MODIS,79,6.03,282.8,15,N,0
26.7854,49.9458,315.6,1.3,1.1,2021-01-05,1014,Aqua,MODIS,44,6.03,297.4,13,D,0
27.0182,49.5839,304.2,1.2,1.1,2021-01-05,2221,Aqua,MODIS,59,6.03,286.8,10.9,N,2
24.091,49.1414,307.2,1.2,1.1,2021-01-05,2222,Aqua,MODIS,71,6.03,282.7,14.5,N,0
27.0152,49.5771,315.4,1.4,1.2,2021-01-06,0745,Terra,MODIS,68,6.03,295.3,16.3,D,2
24.6372,46.7774,308.1,1.1,1.1,2021-01-06,0746,Terra,MODIS,37,6.03,291.8,5,D,2
27.019,49.576,305,1.2,1.1,2021-01-06,1843,Terra,MODIS,62,6.03,288.5,9.8,N,2
26.9426,49.5918,308.6,1.2,1.1,2021-01-06,1843,Terra,MODIS,75,6.03,285.1,14.6,N,0
26.9508,49.6051,301.8,2.4,1.5,2021-01-06,2304,Aqua,MODIS,44,6.03,282.7,28.8,N,0
27.812,48.867,310.1,1,1,2021-01-07,1002,Aqua,MODIS,0,6.03,285.5,9.4,D,0
27.0262,49.5626,327,1,1,2021-01-07,1002,Aqua,MODIS,80,6.03,299.5,17.9,D,2
27.0098,49.5758,315.6,1,1,2021-01-07,1002,Aqua,MODIS,62,6.03,301.9,6.5,D,2
27.0276,49.5726,333.9,1,1,2021-01-07,1002,Aqua,MODIS,85,6.03,300.2,26.8,D,2
27.0187,49.5742,328,1,1,2021-01-07,1002,Aqua,MODIS,80,6.03,301,18.8,D,2
25.183,49.3291,309.7,1.5,1.2,2021-01-08,2252,Aqua,MODIS,78,6.03,282.4,24.2,N,2
27.0174,49.5703,324.9,1.6,1.2,2021-01-09,1914,Terra,MODIS,100,6.03,286.9,47.2,N,2
27.0168,49.576,335.2,1.6,1.2,2021-01-09,1914,Terra,MODIS,100,6.03,287.3,73.3,N,2
27.019,49.5861,312,1.6,1.2,2021-01-09,1914,Terra,MODIS,84,6.03,286.7,24.3,N,2
25.1846,49.3269,301,3.4,1.7,2021-01-10,1819,Terra,MODIS,14,6.03,283,39.1,N,2
25.1808,49.3229,309,3.4,1.7,2021-01-10,1819,Terra,MODIS,76,6.03,283.2,73.1,N,2
27.0207,49.5838,304.3,1,1,2021-01-10,2239,Aqua,MODIS,59,6.03,287.4,8.7,N,2
27.0422,49.5616,301.1,1,1,2021-01-10,2239,Aqua,MODIS,38,6.03,286.4,6.2,N,2
25.1767,49.3199,303.8,1.1,1,2021-01-10,2240,Aqua,MODIS,57,6.03,283.2,10,N,0
23.0492,47.2404,300.8,1,1,2021-01-10,2240,Aqua,MODIS,33,6.03,280.3,8.3,N,0
