latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.8361,-12.3518,319.4,3.7,1.8,2021-01-01,1049,Terra,MODIS,62,6.03,299.5,62.3,D,0
12.8279,-12.3463,321.9,3.7,1.8,2021-01-01,1049,Terra,MODIS,68,6.03,299.4,78.1,D,0
12.9849,-11.7016,316.5,3.3,1.7,2021-01-01,1049,Terra,MODIS,37,6.03,302.7,27,D,0
12.9901,-11.6997,331.7,1.8,1.3,2021-01-01,1353,Aqua,MODIS,72,6.03,311.4,35.5,D,0
13.0018,-11.7019,337.2,1.8,1.3,2021-01-01,1353,Aqua,MODIS,84,6.03,311.1,51.4,D,0
12.9641,-13.751,320.8,2.6,1.5,2021-01-01,1353,Aqua,MODIS,52,6.03,308.2,34.7,D,0
13.5028,-12.548,323.6,2,1.4,2021-01-01,1353,Aqua,MODIS,49,6.03,309.9,16.9,D,0
14.2857,-15.0197,333.4,3,1.7,2021-01-01,1353,Aqua,MODIS,77,6.03,309.5,93.4,D,0
13.0607,-14.4241,325.3,2.9,1.6,2021-01-01,1353,Aqua,MODIS,69,6.03,305.3,61.1,D,0
13.1702,-12.5601,320.6,2.1,1.4,2021-01-01,1353,Aqua,MODIS,27,6.03,307.2,17.6,D,0
14.271,-15.017,330.9,3,1.7,2021-01-01,1353,Aqua,MODIS,73,6.03,308.6,77,D,0
14.2863,-15.0152,335.8,3,1.7,2021-01-01,1353,Aqua,MODIS,80,6.03,309.4,107.5,D,0
14.2716,-15.0125,330,3,1.7,2021-01-01,1353,Aqua,MODIS,71,6.03,308.5,70.4,D,0
12.7447,-13.5024,318.7,2.5,1.5,2021-01-01,1353,Aqua,MODIS,41,6.03,304.2,24.4,D,0
12.7486,-13.4801,319.9,2.5,1.5,2021-01-01,1353,Aqua,MODIS,35,6.03,303.9,24.3,D,0
13.0595,-14.4189,329.7,2.9,1.6,2021-01-01,1353,Aqua,MODIS,77,6.03,305.7,85.2,D,0
13.1463,-11.9739,329.7,1.9,1.3,2021-01-01,1353,Aqua,MODIS,75,6.03,308,31.6,D,0
13.1512,-11.9797,326.2,1.9,1.3,2021-01-01,1353,Aqua,MODIS,68,6.03,308.1,23.1,D,0
13.5127,-12.5432,325,2,1.4,2021-01-01,1353,Aqua,MODIS,65,6.03,307.5,21.6,D,0
12.6461,-13.2447,323,2.4,1.5,2021-01-01,1353,Aqua,MODIS,64,6.03,303.2,40,D,0
13.8195,-13.9154,327,2.6,1.5,2021-01-01,1353,Aqua,MODIS,65,6.03,309.7,33.1,D,0
13.8125,-13.921,328.2,2.6,1.5,2021-01-01,1353,Aqua,MODIS,67,6.03,309.4,40.1,D,0
13.8167,-13.8979,344.8,2.5,1.5,2021-01-01,1353,Aqua,MODIS,89,6.03,310.6,138.5,D,0
13.8059,-13.9128,332,2.6,1.5,2021-01-01,1353,Aqua,MODIS,75,6.03,310.4,55.5,D,0
13.8099,-13.8896,332.7,2.5,1.5,2021-01-01,1353,Aqua,MODIS,76,6.03,310.2,59.1,D,0
12.7681,-12.2858,323,2,1.4,2021-01-01,1353,Aqua,MODIS,57,6.03,309.6,18.1,D,0
12.9431,-11.7201,341.7,1.8,1.3,2021-01-01,1353,Aqua,MODIS,88,6.03,310.5,73.4,D,0
12.9404,-11.7364,326.5,1.8,1.3,2021-01-01,1353,Aqua,MODIS,34,6.03,310.2,22.4,D,0
13.907,-15.4063,325.8,3.3,1.7,2021-01-01,1353,Aqua,MODIS,58,6.03,306.7,58.9,D,0
13.4815,-12.7313,369.9,2.1,1.4,2021-01-01,1353,Aqua,MODIS,100,6.03,311.4,304.8,D,0
13.4783,-12.7503,366.8,2.1,1.4,2021-01-01,1353,Aqua,MODIS,100,6.03,309.3,274.9,D,0
13.4825,-12.7382,382.2,2.1,1.4,2021-01-01,1353,Aqua,MODIS,100,6.03,312.2,443.1,D,0
12.5501,-12.5632,330.6,2.1,1.4,2021-01-01,1353,Aqua,MODIS,77,6.03,308.9,43.4,D,0
13.0734,-11.6312,332.4,1.8,1.3,2021-01-01,1353,Aqua,MODIS,78,6.03,311,34.2,D,0
12.6735,-12.6123,324.2,2.1,1.4,2021-01-01,1353,Aqua,MODIS,60,6.03,308.8,24.4,D,0
12.6732,-12.6168,323.4,2.1,1.4,2021-01-01,1353,Aqua,MODIS,57,6.03,308.8,23.9,D,0
13.3745,-13.4328,328.6,2.4,1.5,2021-01-01,1353,Aqua,MODIS,73,6.03,308.4,48.4,D,0
12.6552,-13.2534,323.9,2.4,1.5,2021-01-01,1353,Aqua,MODIS,66,6.03,304.6,41.5,D,0
