latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.8078,21.4009,306.9,1.4,1.2,2021-02-22,1158,Aqua,MODIS,64,6.03,292,9.5,D,0
45.1951,19.7569,308,1.5,1.2,2021-02-23,0919,Terra,MODIS,66,6.03,287.3,16.6,D,0
43.0067,20.4067,304.4,1,1,2021-02-24,1145,Aqua,MODIS,59,6.03,292.2,6.6,D,0
43.6174,20.2152,305.3,1,1,2021-02-24,1145,Aqua,MODIS,61,6.03,289.6,6.4,D,0
43.8614,22.1089,308.1,1.1,1,2021-02-24,1145,Aqua,MODIS,67,6.03,290.6,7.9,D,0
44.6903,20.4471,303.6,1,1,2021-02-24,1146,Aqua,MODIS,57,6.03,287.7,5.6,D,2
44.5017,19.5412,300.3,1,1,2021-02-24,1146,Aqua,MODIS,33,6.03,289.3,3.1,D,0
43.018,21.2942,300,1.2,1.1,2021-02-26,0950,Terra,MODIS,23,6.03,290,4,D,0
44.5078,21.3355,302.8,1.2,1.1,2021-02-26,0950,Terra,MODIS,54,6.03,289.9,5.2,D,0
43.1559,20.5256,300.3,1.1,1.1,2021-02-26,0950,Terra,MODIS,31,6.03,289.4,3.7,D,2
44.569,20.601,309.4,1,1,2021-02-26,1133,Aqua,MODIS,67,6.03,294.4,7,D,0
43.3403,19.9257,303.1,1.1,1.1,2021-02-26,1133,Aqua,MODIS,50,6.03,290.4,5.7,D,0
44.1827,20.0016,305.3,1.1,1,2021-02-26,1133,Aqua,MODIS,61,6.03,293.9,5.1,D,0
43.2991,21.3755,304.7,1,1,2021-02-26,1133,Aqua,MODIS,59,6.03,294.7,3.7,D,0
43.8816,19.9923,303.2,1.1,1,2021-02-26,1133,Aqua,MODIS,55,6.03,293.1,3.9,D,0
43.5892,21.1585,304.9,1,1,2021-02-26,1133,Aqua,MODIS,56,6.03,293.4,4,D,2
44.0987,20.9725,307.4,1,1,2021-02-26,1133,Aqua,MODIS,64,6.03,296.1,5.1,D,0
43.6996,20.6324,307.7,1.1,1,2021-02-26,1133,Aqua,MODIS,65,6.03,293.8,6.6,D,2
44.3049,22.0138,313.8,1,1,2021-02-26,1133,Aqua,MODIS,72,6.03,291,11.1,D,0
44.3067,22.026,304.7,1,1,2021-02-26,1133,Aqua,MODIS,54,6.03,292.5,5,D,0
45.8404,19.326,311.1,1.1,1,2021-02-26,1134,Aqua,MODIS,33,6.03,297.4,5.9,D,0
45.8312,19.3291,314.3,1.1,1,2021-02-26,1134,Aqua,MODIS,73,6.03,299.3,8.8,D,0
45.8335,19.3428,316.5,1.1,1,2021-02-26,1134,Aqua,MODIS,75,6.03,298.2,10.8,D,0
43.0634,21.6241,302.8,2.5,1.5,2021-02-27,1216,Aqua,MODIS,54,6.03,290.8,15.8,D,0
