latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.9425,-12.1301,321.8,2.3,1.5,2021-01-01,1352,Aqua,MODIS,74,6.03,300.8,40.7,D,0
8.9529,-12.1391,316.6,2.3,1.5,2021-01-01,1352,Aqua,MODIS,49,6.03,300.4,22.5,D,0
8.7553,-10.6545,312.1,1.8,1.3,2021-01-01,1352,Aqua,MODIS,38,6.03,300.5,10.6,D,0
9.6869,-11.9938,312.9,2.2,1.4,2021-01-01,1352,Aqua,MODIS,36,6.03,300.9,13.7,D,0
8.7503,-10.6589,316.3,1.8,1.3,2021-01-01,1352,Aqua,MODIS,62,6.03,301.8,19.5,D,0
8.7098,-12.1004,322.4,2.3,1.5,2021-01-01,1352,Aqua,MODIS,75,6.03,301.1,40.9,D,0
8.7133,-12.096,323,2.3,1.5,2021-01-01,1352,Aqua,MODIS,76,6.03,300.8,40.5,D,0
9.8411,-12.1741,313.4,2.2,1.4,2021-01-01,1352,Aqua,MODIS,18,6.03,301.7,15.7,D,0
9.8479,-12.0531,317.3,2.2,1.4,2021-01-01,1352,Aqua,MODIS,60,6.03,301.7,27.3,D,0
9.2719,-11.9604,316.9,2.2,1.4,2021-01-01,1352,Aqua,MODIS,63,6.03,301.5,21.2,D,0
9.2921,-12.4073,314.5,2.4,1.5,2021-01-01,1352,Aqua,MODIS,56,6.03,300.7,17,D,0
9.5766,-11.051,315.7,1.9,1.3,2021-01-01,1352,Aqua,MODIS,55,6.03,301.7,17.2,D,0
8.9391,-12.1507,314.8,2.3,1.5,2021-01-01,1352,Aqua,MODIS,60,6.03,300.5,18.7,D,0
9.2734,-11.9557,314.9,2.2,1.4,2021-01-01,1352,Aqua,MODIS,56,6.03,301.4,16.1,D,0
8.6426,-11.2984,312.3,2,1.4,2021-01-01,1352,Aqua,MODIS,38,6.03,299.3,13.4,D,0
9.0656,-12.3352,315.6,2.4,1.5,2021-01-01,1352,Aqua,MODIS,28,6.03,300.2,15.5,D,0
9.0754,-12.3587,319.7,2.4,1.5,2021-01-01,1352,Aqua,MODIS,70,6.03,300.3,28,D,0
9.5793,-11.0344,313.8,1.8,1.3,2021-01-01,1352,Aqua,MODIS,41,6.03,302,12.9,D,0
9.2953,-12.4425,316,1.1,1.1,2021-01-02,1133,Terra,MODIS,65,6.03,301.2,8.1,D,0
9.6511,-11.153,318.3,1.3,1.1,2021-01-02,1133,Terra,MODIS,69,6.03,300.5,15.6,D,0
8.8185,-11.131,310.6,1.4,1.2,2021-01-02,1133,Terra,MODIS,50,6.03,298.8,7.5,D,0
8.1401,-12.0514,312.7,1.2,1.1,2021-01-02,1133,Terra,MODIS,55,6.03,298.9,6.9,D,0
9.1979,-11.4678,311,1.3,1.1,2021-01-02,1133,Terra,MODIS,43,6.03,299.4,5.2,D,0
9.2078,-12.4101,313.1,1.1,1.1,2021-01-02,1133,Terra,MODIS,58,6.03,300.6,5.3,D,0
9.7062,-12.4924,328.2,1.1,1,2021-01-02,1133,Terra,MODIS,80,6.03,301.5,20.8,D,0
9.5683,-11.4782,312.5,1.3,1.1,2021-01-02,1133,Terra,MODIS,53,6.03,300,7.5,D,0
9.6493,-11.1413,312.6,1.3,1.1,2021-01-02,1133,Terra,MODIS,54,6.03,299,8.8,D,0
8.1327,-11.4769,318.8,1.6,1.2,2021-01-02,1434,Aqua,MODIS,70,6.03,297.9,19.3,D,0
9.5324,-12.3929,315.5,1.4,1.2,2021-01-02,1435,Aqua,MODIS,51,6.03,302.3,8.9,D,0
9.5164,-10.963,318.5,1.8,1.3,2021-01-02,1435,Aqua,MODIS,45,6.03,300.1,21.4,D,0
8.9834,-11.5292,314.5,1.6,1.3,2021-01-02,1435,Aqua,MODIS,42,6.03,297.3,12.5,D,0
9.271,-12.039,318.2,1.5,1.2,2021-01-02,1435,Aqua,MODIS,64,6.03,302.3,13,D,0
9.4959,-12.0885,324.2,1.5,1.2,2021-01-02,1435,Aqua,MODIS,74,6.03,303.6,23.4,D,0
9.0126,-11.3959,320.6,1.7,1.3,2021-01-02,1435,Aqua,MODIS,70,6.03,302.4,24,D,0
9.7018,-11.8087,315.1,1.6,1.2,2021-01-02,1435,Aqua,MODIS,43,6.03,302.7,9.8,D,0
9.026,-11.3822,317.3,1.7,1.3,2021-01-02,1435,Aqua,MODIS,60,6.03,297.8,16.3,D,0
9.024,-11.3975,328.1,1.7,1.3,2021-01-02,1435,Aqua,MODIS,79,6.03,300.9,40.5,D,0
9.1322,-12.6375,328.1,1.4,1.2,2021-01-02,1435,Aqua,MODIS,80,6.03,301.6,28.5,D,0
9.1339,-12.6251,345.7,1.4,1.2,2021-01-02,1435,Aqua,MODIS,93,6.03,302.5,72,D,0
