latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.6021,21.1825,304.3,1,1,2021-02-01,1140,Aqua,MODIS,44,6.03,275.2,9.5,D,2
48.6067,21.1811,301,1.8,1.3,2021-02-22,1013,Terra,MODIS,43,6.03,281.1,16.8,D,2
48.6053,21.1816,300.9,1.1,1,2021-02-24,0037,Aqua,MODIS,35,6.03,272.7,10.3,N,2
48.6066,21.1669,310.9,1.1,1.1,2021-02-24,1147,Aqua,MODIS,71,6.03,283.3,13.7,D,2
48.6084,21.1823,316.4,1.1,1.1,2021-02-24,1147,Aqua,MODIS,77,6.03,285.4,18.9,D,2
48.6048,21.1802,313.3,1.1,1,2021-02-25,2015,Terra,MODIS,87,6.03,277.5,19,N,2
48.6023,21.1891,304.3,1,1,2021-02-26,1134,Aqua,MODIS,54,6.03,287.7,6.4,D,2
48.6004,21.1757,304.3,1,1,2021-02-26,1134,Aqua,MODIS,54,6.03,287.3,6.4,D,2
48.6084,21.1879,305.2,1,1,2021-02-28,0937,Terra,MODIS,61,6.03,285.7,8,D,2
48.5842,21.1864,300.1,1.1,1,2021-02-28,1122,Aqua,MODIS,12,6.03,286.4,5.4,D,2
48.6108,21.1775,306.4,1.3,1.1,2021-02-28,2046,Terra,MODIS,68,6.03,274.3,17.9,N,2
48.5834,21.1886,303.2,1.2,1.1,2021-03-02,0924,Terra,MODIS,54,6.03,282.8,9.5,D,2
48.6049,21.1829,308.3,1.2,1.1,2021-03-02,0924,Terra,MODIS,57,6.03,284.3,12.8,D,2
48.603,21.1766,303.5,1.4,1.2,2021-03-02,1110,Aqua,MODIS,54,6.03,287.3,9.9,D,2
48.5383,18.538,303.3,1.2,1.1,2021-03-03,1007,Terra,MODIS,55,6.03,287.1,8.6,D,0
48.6086,21.1869,303.8,1.5,1.2,2021-03-03,1007,Terra,MODIS,57,6.03,287.3,11.6,D,2
48.5988,21.1733,303.5,1.3,1.1,2021-03-03,1153,Aqua,MODIS,55,6.03,290.5,7.3,D,2
49.2476,20.5629,300.9,1.3,1.1,2021-03-03,1153,Aqua,MODIS,28,6.03,288.3,6.5,D,0
49.2477,20.5749,302.4,1.3,1.1,2021-03-03,1153,Aqua,MODIS,42,6.03,288.1,8,D,0
48.6453,21.3263,301,1.3,1.1,2021-03-03,1153,Aqua,MODIS,44,6.03,287.7,6.4,D,0
48.6095,21.1829,301.3,1,1,2021-03-07,0943,Terra,MODIS,46,6.03,279.6,6.8,D,2
48.5852,21.181,300.3,1.4,1.2,2021-03-11,0918,Terra,MODIS,34,6.03,276.7,10,D,2
48.6073,21.173,305.3,1.1,1.1,2021-03-12,1147,Aqua,MODIS,61,6.03,285.5,8.7,D,2
48.608,21.179,309.4,1.2,1.1,2021-03-18,0924,Terra,MODIS,65,6.03,272.5,16.2,D,2
48.6089,21.1758,300.7,1,1,2021-03-20,2021,Terra,MODIS,33,6.03,269.9,9.9,N,2
48.6046,21.1771,314.8,1.1,1.1,2021-03-21,0955,Terra,MODIS,75,6.03,284.2,17.1,D,2
48.6015,21.1743,305.7,1,1,2021-03-21,1140,Aqua,MODIS,62,6.03,287.2,7,D,2
48.4711,22.0282,301.6,1,1,2021-03-25,0930,Terra,MODIS,39,6.03,289.7,3.6,D,0
48.585,21.1802,301.2,1.8,1.3,2021-03-26,1013,Terra,MODIS,33,6.03,286.9,6.3,D,2
48.5913,21.19,301.9,1.8,1.3,2021-03-26,1013,Terra,MODIS,41,6.03,286.4,6.7,D,2
49.2411,19.3287,301.5,1.3,1.1,2021-03-26,1159,Aqua,MODIS,38,6.03,289.5,6.3,D,0
48.6055,21.1768,306.1,1.5,1.2,2021-03-26,1159,Aqua,MODIS,63,6.03,291.5,8.2,D,2
48.6161,21.0679,307.5,1.4,1.2,2021-03-27,0918,Terra,MODIS,46,6.03,292,9.4,D,0
48.6051,21.1842,313.5,1.4,1.2,2021-03-27,0918,Terra,MODIS,74,6.03,290.3,15.8,D,2
48.6016,21.1734,306.9,1.6,1.3,2021-03-27,1104,Aqua,MODIS,64,6.03,293.1,11.1,D,2
48.6353,20.2223,302.3,1.8,1.3,2021-03-27,1104,Aqua,MODIS,45,6.03,291,10.9,D,2
48.6041,21.1828,302.2,1,1,2021-03-27,2027,Terra,MODIS,47,6.03,278.5,8.9,N,2
48.603,21.1803,306.5,1.1,1.1,2021-03-28,1147,Aqua,MODIS,64,6.03,281.4,11,D,2
48.6082,21.1815,319.2,1,1,2021-04-01,0936,Terra,MODIS,78,6.03,297.1,11.8,D,2
48.4295,21.9151,334.7,1.1,1,2021-04-01,1122,Aqua,MODIS,88,6.03,296.8,31.7,D,0
48.4272,21.9012,312.5,1.1,1,2021-04-01,1122,Aqua,MODIS,30,6.03,297.2,5.9,D,0
48.6069,21.1847,313.6,1.1,1,2021-04-01,1122,Aqua,MODIS,69,6.03,299.7,6.9,D,2
49.1949,20.5289,310,1.1,1.1,2021-04-01,1122,Aqua,MODIS,57,6.03,290.6,8.9,D,0
48.4385,21.9117,323.5,1.1,1,2021-04-01,1122,Aqua,MODIS,81,6.03,297.6,17.4,D,0
48.6038,21.1837,302.8,1,1,2021-04-02,0055,Aqua,MODIS,51,6.03,280.2,8.7,N,2
48.6128,21.187,303.6,1,1,2021-04-02,0055,Aqua,MODIS,56,6.03,279.2,9.6,N,2
48.6118,21.1941,302.6,1,1,2021-04-03,2033,Terra,MODIS,50,6.03,273.5,10.5,N,2
48.6028,21.1745,307,1.7,1.3,2021-04-05,0912,Terra,MODIS,56,6.03,288.3,12.2,D,2
48.6113,21.1819,308.7,1.7,1.3,2021-04-05,0912,Terra,MODIS,67,6.03,288.6,16,D,2
48.3807,19.9248,300.5,1.1,1,2021-04-08,1128,Aqua,MODIS,38,6.03,285.4,4.5,D,0
48.6033,21.1845,309,1.1,1,2021-04-10,0930,Terra,MODIS,62,6.03,293.9,6.1,D,2
48.6064,21.1748,307.5,1.2,1.1,2021-04-10,1116,Aqua,MODIS,59,6.03,295.2,5.6,D,2
48.607,21.1814,305.2,1.1,1.1,2021-04-10,2039,Terra,MODIS,63,6.03,277.1,13.3,N,2
48.4047,19.2953,305.4,1.7,1.3,2021-04-12,0918,Terra,MODIS,55,6.03,288.3,14.2,D,0
48.5907,21.1843,322.2,1.4,1.2,2021-04-12,0918,Terra,MODIS,80,6.03,287.4,28.4,D,2
48.6075,21.1894,307,1.1,1.1,2021-04-22,0954,Terra,MODIS,56,6.03,291.4,6.8,D,2
48.6042,21.1819,310.9,1,1,2021-04-24,0942,Terra,MODIS,63,6.03,289.3,9.4,D,2
48.6107,21.1939,304.1,1.2,1.1,2021-04-26,1116,Aqua,MODIS,39,6.03,287.5,6.4,D,2
48.6056,21.1834,307.1,1.1,1,2021-04-30,2015,Terra,MODIS,70,6.03,283.8,12,N,2
48.4138,19.0911,315.3,1,1,2021-05-01,1134,Aqua,MODIS,70,6.03,295.4,10.7,D,0
48.5882,21.1924,325.5,1,1,2021-05-04,0055,Aqua,MODIS,100,6.03,276.5,30.1,N,2
