latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.6462,14.2789,307.7,1.6,1.3,2021-02-27,1033,Terra,MODIS,66,6.03,279.7,22.5,D,0
45.6399,14.28,303.8,2.8,1.6,2021-03-02,1247,Aqua,MODIS,53,6.03,290.8,27.3,D,0
45.6515,14.281,307.1,1.4,1.2,2021-03-07,0944,Terra,MODIS,65,6.03,283.2,15.9,D,0
45.5485,13.7395,301.1,1,1,2021-03-24,1210,Aqua,MODIS,26,6.03,288.4,3,D,2
45.5518,13.743,312.1,1,1,2021-05-04,1204,Aqua,MODIS,51,6.03,295.8,6.1,D,2
45.5513,13.7481,307.7,1.6,1.2,2021-05-18,1032,Terra,MODIS,41,6.03,294.5,8.5,D,2
45.5491,13.738,314.9,1,1,2021-05-27,1210,Aqua,MODIS,33,6.03,299,9.2,D,0
45.7035,13.8608,310.7,1,1,2021-06-14,1013,Terra,MODIS,50,6.03,298.8,6.4,D,2
45.5496,13.7383,323,1.1,1,2021-06-14,1158,Aqua,MODIS,57,6.03,303.5,12.7,D,0
45.8831,13.9016,314.8,1,1,2021-06-14,1158,Aqua,MODIS,47,6.03,303,7.5,D,2
45.5489,13.7358,316.3,1.4,1.2,2021-06-16,1146,Aqua,MODIS,38,6.03,301.3,9.1,D,0
46.3596,15.1132,308.8,1.7,1.3,2021-06-19,1031,Terra,MODIS,42,6.03,289.9,9.4,D,2
45.5495,13.7443,326.5,1,1,2021-06-21,1204,Aqua,MODIS,57,6.03,307.8,11.3,D,2
45.8858,13.9047,318.2,1.1,1.1,2021-07-07,1019,Terra,MODIS,49,6.03,305.4,10,D,2
45.5497,13.7448,321.5,1.1,1.1,2021-07-07,1019,Terra,MODIS,35,6.03,302.6,10.6,D,2
46.3807,15.9919,319.6,1.1,1,2021-07-07,1204,Aqua,MODIS,50,6.03,304.6,8.1,D,0
46.543,14.9535,310.8,1,1,2021-07-09,1006,Terra,MODIS,33,6.03,293.6,5.8,D,2
46.424,15.8786,310,1.3,1.1,2021-07-21,1217,Aqua,MODIS,34,6.03,297.7,5.5,D,2
45.5511,13.7417,321,1,1,2021-07-30,1210,Aqua,MODIS,44,6.03,303.2,6,D,2
46.3202,14.9514,310.1,1,1,2021-08-10,1006,Terra,MODIS,53,6.03,299.3,5.8,D,2
45.8137,13.6306,316.9,1.1,1,2021-08-17,1158,Aqua,MODIS,72,6.03,301,11.2,D,0
