latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.5206,160.2452,323.3,1,1,2021-01-02,0258,Aqua,MODIS,78,6.03,297.9,13.7,D,0
-9.4746,160.1844,312.4,2.3,1.5,2021-01-06,0233,Aqua,MODIS,54,6.03,294.2,16.8,D,0
-9.4706,160.1888,313.8,2.3,1.5,2021-01-06,0233,Aqua,MODIS,59,6.03,294.5,20.4,D,0
-9.5076,160.1086,310.9,1.1,1.1,2021-04-01,0252,Aqua,MODIS,39,6.03,288.7,7.5,D,0
-9.4501,160.19,314.2,1.8,1.3,2021-05-21,0239,Aqua,MODIS,52,6.03,287.2,22.3,D,0
-9.4098,159.8859,319.7,1,1,2021-06-11,0258,Aqua,MODIS,54,6.03,296.6,12.6,D,0
-9.4993,160.2129,312.2,2.3,1.5,2021-07-17,0233,Aqua,MODIS,53,6.03,295.7,19.3,D,0
-9.5094,160.2214,311.1,2.3,1.5,2021-07-17,0233,Aqua,MODIS,37,6.03,295.9,15.5,D,0
-9.359,159.8346,319.5,1,1,2021-08-05,0304,Aqua,MODIS,67,6.03,297.6,10.9,D,0
-9.4369,160.1756,324.1,1.1,1.1,2021-08-07,0251,Aqua,MODIS,77,6.03,302.9,17.6,D,0
-9.0746,160.3206,316.2,1.1,1,2021-08-07,0252,Aqua,MODIS,0,6.03,299.8,9.7,D,0
-9.3593,159.8036,310.9,1.9,1.3,2021-08-09,0239,Aqua,MODIS,36,6.03,293.2,12,D,0
-9.3614,159.7874,313.1,1.9,1.3,2021-08-09,0239,Aqua,MODIS,53,6.03,292.8,17,D,0
-9.3659,159.7928,313.7,1.9,1.3,2021-08-09,0239,Aqua,MODIS,59,6.03,292.7,19.3,D,0
-9.5232,160.2329,312,2,1.4,2021-09-15,0002,Terra,MODIS,52,6.03,290.2,14.6,D,0
-9.5173,160.2215,315.2,1.9,1.4,2021-09-15,0002,Terra,MODIS,63,6.03,291.6,19.1,D,0
-9.5209,160.2153,310.2,1.9,1.4,2021-09-15,0002,Terra,MODIS,31,6.03,291.5,10.7,D,0
-9.4421,160.1137,300.2,1.1,1,2021-09-30,1441,Aqua,MODIS,23,6.03,288.8,3.2,N,0
-8.754,158.1822,314.3,1,1,2021-10-31,0310,Aqua,MODIS,61,6.03,296.1,7.4,D,0
-9.4771,160.1863,321,1,1,2021-11-09,0304,Aqua,MODIS,72,6.03,303.4,8.9,D,0
-9.447,160.1714,319.4,1.1,1.1,2021-11-11,0252,Aqua,MODIS,71,6.03,297.6,11.5,D,0
-9.4505,160.1776,322.2,1.1,1.1,2021-11-11,0252,Aqua,MODIS,75,6.03,298.4,12.9,D,0
-9.4438,159.9634,308.1,1.2,1.1,2021-11-24,1140,Terra,MODIS,59,6.03,291.8,8.4,N,0
