latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.8173,44.4046,331.8,1,1,2021-01-01,1032,Aqua,MODIS,69,6.03,313.8,11.4,D,0
4.8673,45.1259,328.9,1.2,1.1,2021-01-03,1020,Aqua,MODIS,52,6.03,314.6,13,D,0
4.8692,45.1312,329.6,1.2,1.1,2021-01-03,1020,Aqua,MODIS,53,6.03,312.3,14.2,D,0
4.8689,45.1368,331,1.2,1.1,2021-01-03,1020,Aqua,MODIS,64,6.03,310.3,16.7,D,0
9.3567,44.9435,334.8,1.1,1.1,2021-01-03,1022,Aqua,MODIS,78,6.03,317.1,19.4,D,0
-1.5594,41.5272,317.6,2,1.4,2021-01-04,0806,Terra,MODIS,54,6.03,299.3,16.6,D,0
-1.5572,41.5335,316.7,2,1.4,2021-01-04,0806,Terra,MODIS,66,6.03,299.5,15.9,D,0
-1.5546,41.5153,316.6,2,1.4,2021-01-04,0806,Terra,MODIS,67,6.03,299.1,17,D,0
2.8798,44.5323,326.2,1,1,2021-01-08,1038,Aqua,MODIS,32,6.03,308.7,7.1,D,0
4.8038,45.8199,304.7,1.4,1.2,2021-01-09,1908,Terra,MODIS,61,6.03,294,8.2,N,0
2.0496,42.7372,321.6,1.2,1.1,2021-01-10,0728,Terra,MODIS,60,6.03,305.2,10.6,D,0
2.048,42.7483,320.5,1.2,1.1,2021-01-10,0728,Terra,MODIS,55,6.03,305.1,9.3,D,0
4.9497,45.085,325.5,1,1,2021-01-10,1027,Aqua,MODIS,43,6.03,311.6,9.7,D,0
-1.5478,41.5197,332.2,1.5,1.2,2021-01-13,0759,Terra,MODIS,80,6.03,296.6,45,D,0
-1.5498,41.5335,317.5,1.5,1.2,2021-01-13,0759,Terra,MODIS,33,6.03,295.6,13.8,D,0
2.1568,43.5495,328,1.5,1.2,2021-01-13,1056,Aqua,MODIS,61,6.03,310,15,D,0
4.9217,45.081,325.1,2.7,1.6,2021-01-14,1002,Aqua,MODIS,53,6.03,304.1,39.4,D,0
4.9299,45.0758,315.6,1,1,2021-01-14,1927,Terra,MODIS,92,6.03,292,13.6,N,0
2.0606,42.5539,325,1.1,1,2021-01-15,0746,Terra,MODIS,70,6.03,307.3,8.5,D,0
2.1283,43.7085,323.4,1.4,1.2,2021-01-19,0722,Terra,MODIS,60,6.03,308.2,10.3,D,0
3.1647,45.5922,340.8,1.2,1.1,2021-01-19,1020,Aqua,MODIS,86,6.03,310.1,38,D,0
9.3107,44.8015,325.6,1.1,1.1,2021-01-19,1022,Aqua,MODIS,58,6.03,311.9,8.3,D,0
4.9248,45.0809,328.9,1.1,1,2021-01-24,0739,Terra,MODIS,68,6.03,308.8,15.2,D,0
4.1407,42.05,330.2,1,1,2021-01-24,0739,Terra,MODIS,56,6.03,306.8,13.5,D,0
4.9342,45.0823,326.9,1.1,1,2021-01-24,0739,Terra,MODIS,68,6.03,307.9,13.7,D,0
0.3901,42.6204,327.8,1,1,2021-01-24,0740,Terra,MODIS,70,6.03,301.1,14.9,D,0
0.3991,42.6217,336.1,1,1,2021-01-24,0740,Terra,MODIS,82,6.03,303.8,26.3,D,0
-1.5483,41.5259,322.8,1,1,2021-01-24,0741,Terra,MODIS,68,6.03,302.1,10.6,D,0
-1.547,41.517,323.5,1,1,2021-01-24,0741,Terra,MODIS,69,6.03,299,11.3,D,0
0.4012,42.6132,347.6,1.1,1,2021-01-24,1038,Aqua,MODIS,92,6.03,306,50.1,D,0
0.4025,42.6228,332.7,1.1,1,2021-01-24,1038,Aqua,MODIS,76,6.03,306.4,20.1,D,0
4.9888,45.037,327.3,1.5,1.2,2021-01-28,0715,Terra,MODIS,57,6.03,306.2,21.2,D,0
4.9684,45.0302,334.9,1.6,1.2,2021-01-28,1014,Aqua,MODIS,75,6.03,310.5,33.2,D,0
2.496,42.2983,330.8,1,1,2021-01-31,1044,Aqua,MODIS,39,6.03,315.6,6,D,0
9.4695,44.8651,328.3,4.1,1.9,2021-02-01,0951,Aqua,MODIS,71,6.03,311.6,94.3,D,0
9.4495,44.7777,326.8,1,1,2021-02-02,0732,Terra,MODIS,72,6.03,309.2,12,D,0
5.5045,48.4164,321.7,4.4,1.9,2021-02-03,0938,Aqua,MODIS,52,6.03,300.1,77.6,D,0
5.5059,48.4127,320.6,4.4,1.9,2021-02-03,0938,Aqua,MODIS,65,6.03,300,71.3,D,0
-1.4228,41.6191,326.9,1.3,1.1,2021-02-05,1102,Aqua,MODIS,61,6.03,306.4,11.9,D,0
2.0588,41.4307,386.1,1,1,2021-02-07,1050,Aqua,MODIS,100,6.03,314.7,155,D,0
2.0498,41.432,349,1,1,2021-02-07,1050,Aqua,MODIS,91,6.03,315.9,33.6,D,0
2.0601,41.4397,340.5,1,1,2021-02-07,1050,Aqua,MODIS,75,6.03,316.2,17.1,D,0
2.6217,45.4843,332,1.1,1,2021-02-09,1038,Aqua,MODIS,67,6.03,309.9,16.6,D,0
2.6124,45.4856,353.7,1.1,1,2021-02-09,1038,Aqua,MODIS,96,6.03,310.4,59.3,D,0
3.16,45.5883,339.2,1.1,1,2021-02-09,1038,Aqua,MODIS,83,6.03,307.5,30.4,D,0
0.9849,43.5632,331.7,1,1,2021-02-09,1038,Aqua,MODIS,67,6.03,312.5,9.4,D,0
0.9862,43.5722,332.8,1,1,2021-02-09,1038,Aqua,MODIS,70,6.03,313.2,11,D,0
2.6111,45.476,329.9,1.1,1,2021-02-09,1038,Aqua,MODIS,49,6.03,305.9,12.1,D,0
2.5873,43.7437,320.6,1.1,1.1,2021-02-11,0727,Terra,MODIS,53,6.03,301.5,7.2,D,0
0.355,42.6359,328.8,1.7,1.3,2021-02-11,1025,Aqua,MODIS,66,6.03,300.5,35.1,D,0
2.6704,45.6027,327.2,1,1,2021-02-11,1026,Aqua,MODIS,61,6.03,301.4,15,D,0
2.6587,43.6451,304,1,1,2021-02-11,2246,Aqua,MODIS,58,6.03,291.9,5,N,0
