latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.1767,81.1229,311.9,1.1,1.1,2021-01-23,0517,Terra,MODIS,39,6.03,295.6,6,D,0
9.5663,80.4588,313.4,1,1,2021-02-01,0510,Terra,MODIS,58,6.03,295.8,5.8,D,0
9.5626,80.4617,319.8,1.4,1.2,2021-02-06,0528,Terra,MODIS,72,6.03,297.5,17.6,D,0
9.0224,79.8605,329.4,1.3,1.1,2021-02-06,0528,Terra,MODIS,72,6.03,299.7,30.2,D,0
7.9496,79.8749,312.8,1,1,2021-02-08,0516,Terra,MODIS,62,6.03,297.5,5.7,D,0
9.5896,80.3113,315.5,1,1,2021-02-08,0516,Terra,MODIS,0,6.03,298.8,7.3,D,0
7.7635,80.4753,330.1,1,1,2021-02-10,0805,Aqua,MODIS,78,6.03,304.8,21.6,D,0
7.9144,80.0566,314,1,1,2021-02-10,0805,Aqua,MODIS,60,6.03,302.1,6,D,0
8.1581,79.8389,316.9,1.1,1,2021-02-10,0805,Aqua,MODIS,59,6.03,303.5,7.4,D,0
7.7648,80.4845,335.2,1,1,2021-02-10,0805,Aqua,MODIS,86,6.03,305,28.8,D,0
7.8332,80.0899,314.2,1.5,1.2,2021-02-12,0753,Aqua,MODIS,53,6.03,298.9,11.1,D,0
7.8368,80.1327,312.9,1.1,1.1,2021-02-15,0522,Terra,MODIS,60,6.03,300.8,6.1,D,0
6.2332,81.3167,320.9,1.4,1.2,2021-02-15,0522,Terra,MODIS,69,6.03,300.3,15.9,D,0
7.8441,80.0524,317,1,1,2021-02-17,0811,Aqua,MODIS,61,6.03,302.9,5.9,D,0
7.4876,80.3373,321.5,1,1,2021-02-17,0811,Aqua,MODIS,48,6.03,306.1,5.9,D,0
7.9169,80.0509,317.4,1,1,2021-02-17,0811,Aqua,MODIS,62,6.03,302.8,6.2,D,0
7.8696,79.9112,317,1,1,2021-02-17,0811,Aqua,MODIS,55,6.03,302.7,5.2,D,0
8.4633,80.3311,316.9,1,1,2021-02-17,0812,Aqua,MODIS,64,6.03,298,6.6,D,0
8.462,80.322,320.3,1,1,2021-02-17,0812,Aqua,MODIS,70,6.03,301.8,9.8,D,0
7.8167,80.1256,320,1.2,1.1,2021-02-19,0759,Aqua,MODIS,57,6.03,295.6,14.1,D,0
7.8743,80.3787,316,1.2,1.1,2021-02-19,0759,Aqua,MODIS,67,6.03,299,7.4,D,0
7.8363,80.1227,317.8,1.2,1.1,2021-02-19,0759,Aqua,MODIS,45,6.03,296.8,11.7,D,0
7.8758,79.9457,312.8,1.4,1.2,2021-02-22,0528,Terra,MODIS,62,6.03,295.3,7.9,D,0
7.9639,79.753,319.2,1,1,2021-02-24,0516,Terra,MODIS,67,6.03,300.5,7.3,D,0
6.8281,81.1742,314.8,1.1,1.1,2021-02-24,0516,Terra,MODIS,68,6.03,293.2,10.5,D,0
7.6909,80.1428,322.9,1,1,2021-02-26,0805,Aqua,MODIS,70,6.03,308.7,8.7,D,0
8.6044,80.2822,317.3,1,1,2021-02-26,0805,Aqua,MODIS,53,6.03,304.7,6.3,D,0
7.9058,80.0986,324.5,1,1,2021-02-26,0805,Aqua,MODIS,73,6.03,308.6,11.9,D,0
