latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.3219,-56.7887,312.8,1.3,1.1,2021-01-01,1708,Aqua,MODIS,65,6.03,293.1,12,D,0
2.064,-55.9446,326.7,1.8,1.3,2021-01-04,1738,Aqua,MODIS,81,6.03,297.9,35.3,D,0
2.0221,-55.9312,313.7,1.3,1.1,2021-01-06,1428,Terra,MODIS,55,6.03,298.6,6.3,D,0
2.0205,-55.9457,319.8,1.1,1.1,2021-01-06,1726,Aqua,MODIS,71,6.03,296.3,12.7,D,0
1.9849,-55.9991,314.1,1,1,2021-02-18,1409,Terra,MODIS,67,6.03,294.8,5.5,D,0
5.3402,-55.0812,315.1,1,1,2021-02-18,1708,Aqua,MODIS,61,6.03,294.1,7.9,D,0
5.8782,-56.3959,314.8,1.1,1.1,2021-02-18,1709,Aqua,MODIS,66,6.03,299.3,7.7,D,0
4.5388,-54.9619,306.7,1.5,1.2,2021-02-20,1656,Aqua,MODIS,35,6.03,290.9,8.9,D,0
5.9178,-56.8654,311.6,1.8,1.3,2021-02-21,1739,Aqua,MODIS,45,6.03,291.5,12,D,0
5.9157,-56.881,311.7,1.7,1.3,2021-02-21,1739,Aqua,MODIS,46,6.03,292.5,11.5,D,0
5.9079,-56.7942,316.7,1.8,1.3,2021-02-21,1739,Aqua,MODIS,69,6.03,288.2,23.7,D,0
5.7994,-56.8155,320.4,1.1,1.1,2021-03-11,1727,Aqua,MODIS,72,6.03,298.3,11.9,D,0
5.8835,-57.0041,321.8,1.1,1,2021-03-11,1727,Aqua,MODIS,74,6.03,298.2,12.8,D,0
5.8238,-56.8535,316.8,2.6,1.5,2021-03-17,1650,Aqua,MODIS,73,6.03,297.5,36.7,D,0
5.8281,-56.8365,321.2,1.3,1.1,2021-03-18,1432,Terra,MODIS,65,6.03,298.6,16.3,D,0
5.8299,-56.8481,338.4,1.3,1.1,2021-03-18,1432,Terra,MODIS,90,6.03,300,48.9,D,0
5.8338,-56.8623,310.6,1,1,2021-03-20,1420,Terra,MODIS,38,6.03,288.2,4.5,D,0
5.8325,-56.8534,317.8,1,1,2021-03-20,1420,Terra,MODIS,72,6.03,291.3,10.2,D,0
5.9067,-57.0414,318.3,1,1,2021-03-20,1721,Aqua,MODIS,60,6.03,299.7,7.9,D,0
5.8294,-56.9422,330.3,1,1,2021-03-20,1721,Aqua,MODIS,83,6.03,301.3,21.5,D,0
5.8307,-56.9332,344.3,1,1,2021-03-20,1721,Aqua,MODIS,92,6.03,302.2,43.3,D,0
5.886,-56.9262,311.5,2.6,1.6,2021-04-02,1650,Aqua,MODIS,60,6.03,292,17.6,D,0
5.8414,-56.8027,311.1,1.3,1.1,2021-04-19,1432,Terra,MODIS,60,6.03,294.6,7.4,D,0
5.8529,-56.7978,316.4,1.4,1.2,2021-04-19,1733,Aqua,MODIS,67,6.03,294.8,12.5,D,0
5.8195,-55.1816,304.4,3,1.6,2021-05-03,1444,Terra,MODIS,0,6.03,284.5,18.6,D,2
5.8481,-55.1388,313,2.3,1.5,2021-06-29,1437,Terra,MODIS,0,6.03,292.7,19.7,D,2
5.8543,-55.1353,311.6,2.5,1.5,2021-06-30,1644,Aqua,MODIS,37,6.03,293.8,24.8,D,2
5.8046,-56.8189,317.5,1.2,1.1,2021-09-14,1405,Terra,MODIS,58,6.03,298.5,10.4,D,0
5.5555,-54.3587,335.4,1,1,2021-09-14,1708,Aqua,MODIS,88,6.03,295,32.4,D,0
4.5029,-55.433,313.6,1.6,1.2,2021-09-16,1656,Aqua,MODIS,65,6.03,295.6,13.9,D,0
4.5004,-55.4406,315.6,1.6,1.2,2021-09-16,1656,Aqua,MODIS,71,6.03,295.2,18.8,D,0
4.9043,-56.9175,310.8,1.1,1,2021-09-19,1424,Terra,MODIS,49,6.03,294.2,5.3,D,0
2.1353,-55.9954,321.5,1,1,2021-09-21,1714,Aqua,MODIS,74,6.03,299.2,11.9,D,0
1.992,-56.09,313.9,1,1,2021-09-21,1714,Aqua,MODIS,23,6.03,297.3,5.5,D,0
2.0756,-56.0938,312.4,2.6,1.6,2021-09-25,1649,Aqua,MODIS,42,6.03,289.3,31.8,D,0
