latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-26.0157,31.1963,328.1,4.8,2,2021-01-05,0856,Terra,MODIS,83,6.03,291,207.9,D,0
-26.0189,31.2466,316.2,4.8,2,2021-01-05,0856,Terra,MODIS,72,6.03,289.1,90.6,D,0
-26.0216,31.2518,312,4.8,2,2021-01-05,0856,Terra,MODIS,64,6.03,288.8,56.5,D,0
-26.0181,31.2012,335,4.8,2,2021-01-05,0856,Terra,MODIS,88,6.03,290.8,294,D,0
-26.4631,31.8883,330.8,1.9,1.3,2021-01-08,1209,Aqua,MODIS,69,6.03,303.2,40.6,D,0
-26.5226,31.0752,313.5,2.7,1.6,2021-01-09,1114,Aqua,MODIS,53,6.03,296.2,32.6,D,0
-26.6601,30.8807,321.2,4.6,2,2021-01-11,1101,Aqua,MODIS,70,6.03,290.7,142.7,D,0
-26.6592,30.8898,326.6,4.6,2,2021-01-11,1101,Aqua,MODIS,75,6.03,291.1,194.6,D,0
-26.6564,30.9341,313.6,4.6,2,2021-01-11,1101,Aqua,MODIS,0,6.03,287.4,79.1,D,0
-26.657,30.9262,320,4.6,2,2021-01-11,1101,Aqua,MODIS,0,6.03,288.6,130.8,D,0
-26.009,31.3201,328.9,1,1,2021-01-12,1144,Aqua,MODIS,73,6.03,302.3,18.1,D,0
-26.5657,31.0153,319.6,1,1,2021-01-12,1144,Aqua,MODIS,43,6.03,300.5,10.2,D,0
-25.9666,31.3571,342.3,1,1,2021-01-12,1144,Aqua,MODIS,88,6.03,298.2,41.3,D,0
-26.0076,31.3301,336.5,1,1,2021-01-12,1144,Aqua,MODIS,83,6.03,305.3,28.9,D,0
-25.968,31.3472,330.4,1,1,2021-01-12,1144,Aqua,MODIS,75,6.03,297.8,23.1,D,0
-26.6402,30.9325,319.4,1.4,1.2,2021-01-14,1132,Aqua,MODIS,67,6.03,295.3,19.4,D,0
-26.3391,30.9004,357.1,1.3,1.1,2021-01-14,1132,Aqua,MODIS,98,6.03,299.5,111.7,D,0
-26.4758,31.0457,332.2,1.3,1.1,2021-01-14,1132,Aqua,MODIS,83,6.03,301.8,39.9,D,0
-26.4774,31.0327,344.1,1.3,1.1,2021-01-14,1132,Aqua,MODIS,92,6.03,297.9,68.5,D,0
-26.3376,30.9134,355.7,1.3,1.1,2021-01-14,1132,Aqua,MODIS,98,6.03,297.5,106.9,D,0
-25.9251,31.4037,314.7,1.2,1.1,2021-01-14,1132,Aqua,MODIS,52,6.03,298.6,9.8,D,0
-25.915,31.4024,330,1.2,1.1,2021-01-14,1132,Aqua,MODIS,81,6.03,298.7,31.2,D,0
-25.9136,31.4147,333.4,1.2,1.1,2021-01-14,1132,Aqua,MODIS,84,6.03,298.9,37.2,D,0
-26.6419,30.9183,328.7,1.4,1.2,2021-01-14,1132,Aqua,MODIS,80,6.03,297.6,35.2,D,0
-26.3495,30.9019,316.3,1.3,1.1,2021-01-14,1132,Aqua,MODIS,58,6.03,296.1,13.6,D,0
-27.1092,31.183,318,1.4,1.2,2021-01-18,0825,Terra,MODIS,69,6.03,293.1,19.2,D,0
-25.9725,31.312,323.1,1,1,2021-01-19,1151,Aqua,MODIS,61,6.03,302.6,13.1,D,0
-25.9709,31.3222,331.4,1,1,2021-01-19,1151,Aqua,MODIS,78,6.03,304.2,23.9,D,0
-26.341,30.9135,325.7,1.1,1.1,2021-01-21,1138,Aqua,MODIS,75,6.03,304.6,20.1,D,0
-26.4552,31.1189,352.6,1.1,1,2021-01-21,1138,Aqua,MODIS,96,6.03,299.2,71.9,D,0
-26.3528,31.1054,315.2,1.1,1,2021-01-22,0800,Terra,MODIS,35,6.03,299.9,7.6,D,0
