latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
58.3631,12.3816,301,1.6,1.2,2021-02-27,0105,Aqua,MODIS,37,6.03,270.2,18.9,N,0
59.3669,16.9218,300.5,1,1,2021-03-16,1125,Aqua,MODIS,31,6.03,279.5,7.1,D,0
58.2962,13.8879,309.8,1.1,1,2021-03-23,1131,Aqua,MODIS,69,6.03,285,13.5,D,0
55.7982,13.1123,301,1.2,1.1,2021-03-30,1137,Aqua,MODIS,44,6.03,289.9,5,D,0
58.3579,12.382,306.1,1,1,2021-04-04,1156,Aqua,MODIS,59,6.03,284.9,8.5,D,0
58.3636,12.3798,307.8,1.1,1,2021-04-05,1047,Terra,MODIS,47,6.03,270.9,14.5,D,0
59.8507,17.6944,301.7,1,1,2021-04-10,1119,Aqua,MODIS,49,6.03,285.9,5.7,D,2
56.0083,12.8113,307.6,1,1,2021-04-13,1149,Aqua,MODIS,62,6.03,281,10,D,0
58.8924,11.9034,309.5,1,1,2021-04-16,1029,Terra,MODIS,69,6.03,284.6,11.1,D,0
56.7486,16.3542,302,1,1,2021-04-18,1017,Terra,MODIS,0,6.03,287.4,4.6,D,0
57.0201,13.0345,300.7,1.1,1.1,2021-04-18,1207,Aqua,MODIS,37,6.03,290.3,3.7,D,0
59.1356,17.5539,323.3,1.4,1.2,2021-04-18,1953,Terra,MODIS,100,6.03,276,41.4,N,0
59.1403,17.5763,317.9,1.4,1.2,2021-04-18,1953,Terra,MODIS,96,6.03,275.6,32.9,N,0
58.5999,16.1182,319,1.2,1.1,2021-04-20,1155,Aqua,MODIS,79,6.03,294,18.6,D,0
58.7997,14.9627,300.9,1.1,1,2021-04-23,1035,Terra,MODIS,37,6.03,279.3,7.5,D,0
59.4184,17.8468,309.3,1,1,2021-04-27,1010,Terra,MODIS,66,6.03,289.5,8.6,D,2
58.3591,12.3761,304.1,1.2,1.1,2021-05-14,1053,Terra,MODIS,44,6.03,284.2,7.1,D,0
58.3553,12.3954,301.4,1.2,1.1,2021-05-14,1053,Terra,MODIS,36,6.03,288.2,5.5,D,2
59.6415,17.9313,303.9,1.1,1,2021-05-21,1113,Aqua,MODIS,18,6.03,292.2,3.9,D,2
56.0086,12.7772,308,1.7,1.3,2021-05-28,1118,Aqua,MODIS,55,6.03,289.3,17.2,D,2
59.5096,15.9884,306,1.3,1.1,2021-05-29,1202,Aqua,MODIS,23,6.03,295,5.9,D,2
63.5028,16.5459,307,1.2,1.1,2021-05-30,1051,Terra,MODIS,60,6.03,295.5,6.5,D,0
56.4527,13.6167,303.3,1.5,1.2,2021-05-30,1053,Terra,MODIS,31,6.03,292.6,5,D,0
63.4977,16.5268,308.9,1.1,1,2021-05-30,1108,Aqua,MODIS,62,6.03,296.9,6.8,D,0
63.6576,17.2126,320,1.1,1,2021-06-01,1039,Terra,MODIS,74,6.03,295.3,16.8,D,0
61.3905,15.1302,347.2,1.1,1,2021-06-01,1039,Terra,MODIS,0,6.03,294.3,58,D,0
62.9607,17.1334,309.7,1.1,1,2021-06-01,1039,Terra,MODIS,63,6.03,294.5,8.7,D,0
58.3631,12.3766,318.3,1,1,2021-06-01,1040,Terra,MODIS,74,6.03,292.3,13.9,D,0
58.3602,12.3935,310.8,1,1,2021-06-01,1040,Terra,MODIS,70,6.03,295.4,8.4,D,2
63.6596,17.2182,308.7,1.2,1.1,2021-06-01,1055,Aqua,MODIS,63,6.03,294.3,8.5,D,0
61.3777,15.1206,307.5,1.5,1.2,2021-06-01,1055,Aqua,MODIS,49,6.03,293.1,10.9,D,0
63.6553,17.1965,310.2,1.2,1.1,2021-06-01,1055,Aqua,MODIS,60,6.03,295.5,9.5,D,0
62.9613,17.1386,309.5,1.2,1.1,2021-06-01,1055,Aqua,MODIS,64,6.03,292.9,10.7,D,0
62.9594,17.1122,311.3,3.1,1.7,2021-06-01,1233,Aqua,MODIS,66,6.03,289.8,44.4,D,0
61.3895,15.1295,319.5,2.5,1.5,2021-06-01,1233,Aqua,MODIS,69,6.03,287.6,60.1,D,0
62.9587,17.1027,307.5,3.1,1.7,2021-06-01,1233,Aqua,MODIS,56,6.03,289.8,35,D,0
62.9597,17.1649,303,3.1,1.7,2021-06-01,1233,Aqua,MODIS,46,6.03,289.8,22.1,D,0
62.1635,15.376,304.3,2,1.4,2021-06-02,1122,Terra,MODIS,0,6.03,293.8,11.2,D,0
59.6562,12.6269,301.5,2,1.4,2021-06-02,1123,Terra,MODIS,32,6.03,289.1,7.5,D,0
62.1585,15.3813,341.9,1,1,2021-06-02,1138,Aqua,MODIS,80,6.03,298.4,45,D,0
60.6716,15.0913,303.7,1,1,2021-06-02,1138,Aqua,MODIS,17,6.03,292.4,3.3,D,0
62.029,15.3185,305.2,1,1,2021-06-03,1027,Terra,MODIS,18,6.03,293.8,2.7,D,0
59.5676,17.8945,305.7,1.7,1.3,2021-06-04,0932,Terra,MODIS,0,6.03,293.3,9.7,D,2
62.7689,15.687,317.1,1,1,2021-06-04,1126,Aqua,MODIS,0,6.03,294.5,12.6,D,0
60.4685,16.7178,307.4,1,1,2021-06-05,1015,Terra,MODIS,32,6.03,294.5,4.1,D,0
64.4358,17.4462,310,1.3,1.1,2021-06-06,1057,Terra,MODIS,67,6.03,293.7,10.1,D,0
57.6974,12.8353,309.7,1.4,1.2,2021-06-06,1059,Terra,MODIS,0,6.03,297.8,11,D,0
58.3562,12.3796,311.4,1.3,1.1,2021-06-06,1059,Terra,MODIS,47,6.03,297.7,9.1,D,0
58.3494,12.3719,310.5,1.7,1.3,2021-06-06,1113,Aqua,MODIS,47,6.03,297.2,13.4,D,0
65.8188,19.2764,306.4,1,1,2021-06-06,1114,Aqua,MODIS,15,6.03,291.1,4.7,D,0
64.4351,17.4347,307.7,1,1,2021-06-06,1114,Aqua,MODIS,51,6.03,295.1,4.8,D,0
66.5711,22.9139,359.1,1,1,2021-06-07,1001,Terra,MODIS,99,6.03,299.5,85.6,D,0
66.5681,22.9364,307.6,1,1,2021-06-07,1001,Terra,MODIS,63,6.03,295.5,5.4,D,0
66.574,22.8916,350.1,1,1,2021-06-07,1001,Terra,MODIS,96,6.03,298.1,62.8,D,0
66.5626,22.8859,354.4,1.2,1.1,2021-06-07,1019,Aqua,MODIS,98,6.03,299.7,88,D,0
66.5674,22.9096,397.6,1.2,1.1,2021-06-07,1019,Aqua,MODIS,100,6.03,304.5,298.5,D,0
66.5614,22.9109,302.2,2.7,1.6,2021-06-07,1139,Terra,MODIS,48,6.03,280.5,21,D,0
66.5642,22.8931,312.6,2.5,1.5,2021-06-07,1157,Aqua,MODIS,69,6.03,278.5,45,D,0
57.6603,15.8311,303.1,1.7,1.3,2021-06-08,1100,Aqua,MODIS,44,6.03,290.8,6.4,D,0
58.5261,13.4911,303.8,1,1,2021-06-09,1143,Aqua,MODIS,13,6.03,292.5,2.5,D,2
67.1469,21.6898,309.5,1,1,2021-06-10,1031,Terra,MODIS,68,6.03,295,7.4,D,0
67.1431,21.7117,310,1,1,2021-06-10,1031,Terra,MODIS,69,6.03,295,7.7,D,0
63.6153,16.9521,313.5,1,1,2021-06-10,1033,Terra,MODIS,64,6.03,293.4,10.5,D,0
67.137,21.6868,337.9,1,1,2021-06-10,1050,Aqua,MODIS,91,6.03,295.6,38.4,D,0
67.1403,21.7086,337.6,1,1,2021-06-10,1050,Aqua,MODIS,90,6.03,295.2,37.9,D,0
58.3627,12.3911,307,1.1,1,2021-06-11,0154,Aqua,MODIS,70,6.03,283.9,11.8,N,0
66.5661,22.906,309,1.9,1.3,2021-06-11,1114,Terra,MODIS,67,6.03,288.9,19.5,D,0
66.5728,22.911,307,1.9,1.3,2021-06-11,1114,Terra,MODIS,63,6.03,288.9,16,D,0
66.5617,22.8788,305.3,1.6,1.2,2021-06-11,1133,Aqua,MODIS,57,6.03,292.2,8.9,D,0
66.5643,22.9148,309.2,1.6,1.2,2021-06-11,1133,Aqua,MODIS,66,6.03,292.2,13.9,D,0
