latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.0708,8.2687,302.3,1,1,2021-02-20,1026,Terra,MODIS,52,6.03,284.8,6.8,D,2
47.0641,8.2607,302,1,1,2021-02-25,1229,Aqua,MODIS,50,6.03,291,4.6,D,0
47.174,7.559,301.1,1.3,1.1,2021-03-02,1248,Aqua,MODIS,45,6.03,288.7,6.9,D,2
47.0606,8.2557,307.6,1.4,1.2,2021-03-02,1248,Aqua,MODIS,66,6.03,289.6,13.4,D,0
45.8788,8.9748,302.8,1.2,1.1,2021-03-08,1211,Aqua,MODIS,48,6.03,286.3,7.5,D,2
47.0723,8.2702,305.7,1,1,2021-03-24,1026,Terra,MODIS,62,6.03,289.3,6.8,D,2
47.1763,7.5623,305.6,1,1,2021-03-24,1026,Terra,MODIS,61,6.03,290.4,7.5,D,2
47.0694,8.2644,303.9,1.2,1.1,2021-03-24,1211,Aqua,MODIS,57,6.03,292,6.5,D,0
47.2616,8.1772,311.4,1.2,1.1,2021-03-24,1211,Aqua,MODIS,65,6.03,291.6,13.2,D,0
47.2625,8.1716,313.7,1.2,1.1,2021-03-24,1211,Aqua,MODIS,74,6.03,291.5,16.4,D,0
47.0653,8.2689,302.8,1.2,1.1,2021-03-26,1014,Terra,MODIS,50,6.03,291.4,5.6,D,2
46.9959,7.2125,303.5,1.4,1.2,2021-03-27,1057,Terra,MODIS,56,6.03,284.1,10.9,D,0
46.9993,7.1953,301,1.4,1.2,2021-03-27,1057,Terra,MODIS,43,6.03,285.4,8.3,D,0
47.0683,8.2664,303.6,1.1,1.1,2021-03-29,1044,Terra,MODIS,56,6.03,288.9,5.9,D,2
47.2623,8.1833,310.9,1,1,2021-03-31,1032,Terra,MODIS,69,6.03,295.6,8,D,0
47.2642,8.1703,318.4,1,1,2021-03-31,1032,Terra,MODIS,78,6.03,294.5,14.2,D,0
47.0716,8.2737,307.3,1.1,1,2021-04-02,1020,Terra,MODIS,65,6.03,294.7,5.9,D,2
47.0649,8.2646,306.7,1.4,1.2,2021-04-02,1205,Aqua,MODIS,52,6.03,295.7,7.7,D,2
46.0559,8.9068,307.1,1.9,1.3,2021-04-06,0956,Terra,MODIS,65,6.03,285,21.2,D,0
46.202,8.908,318.1,1,1,2021-04-07,1223,Aqua,MODIS,74,6.03,272.9,18.8,D,0
47.2962,8.8094,310.1,1.5,1.2,2021-04-11,1159,Aqua,MODIS,69,6.03,292.1,13.4,D,2
47.3001,8.8286,335.3,1.5,1.2,2021-04-11,1159,Aqua,MODIS,89,6.03,294.8,62.4,D,2
47.0693,8.2661,309.1,1,1,2021-04-23,1038,Terra,MODIS,60,6.03,294.8,7.3,D,2
47.1733,7.5595,306.9,1,1,2021-04-23,1038,Terra,MODIS,59,6.03,295.7,5.3,D,2
47.0701,8.2659,310.9,1,1,2021-04-23,1223,Aqua,MODIS,60,6.03,299,6.8,D,2
47.1704,7.5672,309.8,1,1,2021-04-25,1026,Terra,MODIS,60,6.03,298,6.2,D,2
47.2645,8.1786,309.9,1,1,2021-04-25,1026,Terra,MODIS,55,6.03,296.6,7,D,0
47.208,7.5594,316.6,1.4,1.2,2021-05-30,1056,Terra,MODIS,77,6.03,296.9,20,D,2
47.1729,7.5658,315.5,1.1,1,2021-06-01,1043,Terra,MODIS,65,6.03,302.1,9.6,D,2
46.5272,6.3468,311.2,1,1,2021-06-01,1044,Terra,MODIS,62,6.03,298.8,6.8,D,0
47.1694,7.5631,318,1,1,2021-06-01,1229,Aqua,MODIS,60,6.03,306.6,8.7,D,2
46.2288,6.1157,317.2,1.3,1.1,2021-06-03,1217,Aqua,MODIS,69,6.03,300,11.1,D,2
46.1678,8.9934,313.2,2.1,1.4,2021-06-06,1102,Terra,MODIS,48,6.03,292.3,29.4,D,0
47.3532,8.2638,311.2,1,1,2021-06-10,1037,Terra,MODIS,28,6.03,298.2,6.3,D,2
46.3354,6.8881,312.6,1.1,1,2021-06-10,1223,Aqua,MODIS,58,6.03,299.3,8.6,D,2
47.2103,7.557,319.7,1.4,1.2,2021-06-15,1055,Terra,MODIS,65,6.03,303.1,14.6,D,2
47.0654,8.2633,312.8,1,1,2021-06-17,1229,Aqua,MODIS,45,6.03,291,5.1,D,0
46.1732,8.9574,310.7,2.1,1.4,2021-06-22,1102,Terra,MODIS,52,6.03,291,23.3,D,0
47.1704,7.568,302.4,1,1,2021-06-26,1223,Aqua,MODIS,18,6.03,283.7,4.4,D,2
46.3319,6.8944,312.1,1.1,1,2021-06-26,1223,Aqua,MODIS,44,6.03,297.5,8.1,D,2
47.0644,8.2653,314.2,1,1,2021-06-26,1223,Aqua,MODIS,60,6.03,298.8,7.7,D,2
47.1741,7.5681,313.2,1.2,1.1,2021-07-10,1049,Terra,MODIS,65,6.03,299.9,10.1,D,2
47.5454,7.5919,315,1.2,1.1,2021-08-11,1048,Terra,MODIS,70,6.03,300.6,7.6,D,2
47.2651,7.6923,325,1,1,2021-08-11,1236,Aqua,MODIS,79,6.03,303.5,16.8,D,0
47.1703,7.5618,311.5,1,1,2021-08-13,1036,Terra,MODIS,63,6.03,294.3,6.3,D,2
47.1757,7.5626,316.1,1,1,2021-08-15,1024,Terra,MODIS,67,6.03,299.9,7.7,D,2
46.7454,6.6031,314.5,1.9,1.3,2021-08-16,1107,Terra,MODIS,75,6.03,294.3,22.9,D,0
46.7405,6.5941,311.3,1.9,1.3,2021-08-16,1107,Terra,MODIS,45,6.03,293.8,17,D,0
47.1753,7.5633,314.3,1.1,1.1,2021-08-18,1242,Aqua,MODIS,58,6.03,300.7,8.5,D,2
46.1518,6.0548,309.3,1.9,1.3,2021-08-24,1205,Aqua,MODIS,48,6.03,291.4,13.2,D,0
46.1618,6.1006,310.9,1.5,1.2,2021-08-31,1211,Aqua,MODIS,71,6.03,297.3,10.3,D,2
46.1564,6.0893,316.3,1.5,1.2,2021-08-31,1211,Aqua,MODIS,77,6.03,297.2,18,D,0
47.3031,8.8232,324.7,1.5,1.2,2021-09-02,1159,Aqua,MODIS,82,6.03,296.8,36,D,2
47.4414,9.394,306.8,1.7,1.3,2021-09-03,1054,Terra,MODIS,64,6.03,292.8,13.1,D,2
47.4367,9.4158,312.6,1.7,1.3,2021-09-03,1054,Terra,MODIS,73,6.03,292.5,22.4,D,2
47.5475,7.864,322.6,1.4,1.2,2021-09-03,1054,Terra,MODIS,81,6.03,296.3,28.3,D,0
47.067,8.2649,310.1,1.1,1.1,2021-09-05,1042,Terra,MODIS,63,6.03,298.2,6.2,D,2
47.0629,8.263,312.6,1,1,2021-09-05,1229,Aqua,MODIS,57,6.03,301.3,5.7,D,0
46.6174,7.0309,311.9,1,1,2021-09-05,1229,Aqua,MODIS,53,6.03,299.6,5.7,D,0
47.2644,8.1808,310.7,1,1,2021-09-07,1030,Terra,MODIS,67,6.03,292,7.3,D,0
47.2663,8.1678,309.6,1,1,2021-09-07,1030,Terra,MODIS,62,6.03,291.8,6.5,D,0
47.1768,7.5629,303.1,1.2,1.1,2021-09-12,1048,Terra,MODIS,30,6.03,285.7,5,D,2
46.5031,7.7086,301.2,1,1,2021-09-12,1235,Aqua,MODIS,23,6.03,287.9,4.2,D,0
46.616,9.6274,302.7,1.2,1.1,2021-09-12,1235,Aqua,MODIS,0,6.03,289,4.2,D,0
47.4582,8.2836,306.2,1.2,1.1,2021-09-18,1011,Terra,MODIS,63,6.03,292,7.8,D,0
46.8479,9.5218,306.3,1.4,1.2,2021-09-18,1159,Aqua,MODIS,53,6.03,294.8,11,D,2
47.067,8.2606,300.5,1.2,1.1,2021-09-21,1042,Terra,MODIS,29,6.03,288.2,3.6,D,0
47.175,7.5597,308.3,1,1,2021-09-21,1230,Aqua,MODIS,67,6.03,294.8,7.2,D,2
46.955,9.5644,302.7,1,1,2021-09-23,1029,Terra,MODIS,44,6.03,290.5,5.3,D,2
47.0629,8.2619,301.5,1,1,2021-09-30,1223,Aqua,MODIS,45,6.03,289.7,4.1,D,0
47.2625,8.17,305.6,1,1,2021-09-30,1223,Aqua,MODIS,61,6.03,291,6.6,D,0
47.0721,8.2729,306,1,1,2021-10-02,1023,Terra,MODIS,54,6.03,292,5.3,D,2
47.0677,8.265,301.1,1.1,1,2021-10-14,1236,Aqua,MODIS,45,6.03,287.7,5.7,D,2
47.3671,8.8775,311.5,1.1,1,2021-10-16,1035,Terra,MODIS,71,6.03,284.3,14.5,D,2
47.4325,8.2189,300.2,1,1,2021-10-25,1029,Terra,MODIS,33,6.03,282,5.5,D,2
47.0722,8.2697,301.7,1,1,2021-10-25,1029,Terra,MODIS,49,6.03,286.2,5.7,D,2
47.0639,8.2639,300.7,1.1,1,2021-10-25,1217,Aqua,MODIS,41,6.03,288.5,5.5,D,2
