latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.1088,40.5247,308.1,1.2,1.1,2021-01-01,1041,Aqua,MODIS,57,6.03,296.5,6.2,D,2
34.7303,36.0016,305.4,1.1,1,2021-01-01,1041,Aqua,MODIS,61,6.03,292.5,5.4,D,0
35.1046,40.5223,307,1,1,2021-01-03,1029,Aqua,MODIS,47,6.03,295.8,4.4,D,2
35.4628,35.9872,308.9,1.7,1.3,2021-01-04,1112,Aqua,MODIS,68,6.03,288.5,17.8,D,0
36.4901,36.8645,302.3,2,1.4,2021-01-04,1112,Aqua,MODIS,52,6.03,291.1,11.1,D,0
35.4645,36.0057,301,1.7,1.3,2021-01-04,1112,Aqua,MODIS,44,6.03,288.1,7.1,D,0
35.1122,40.5255,301.2,1,1,2021-01-04,2314,Aqua,MODIS,38,6.03,274.5,9.4,N,2
34.6314,36.2235,304,1,1,2021-01-07,0827,Terra,MODIS,58,6.03,288.9,6,D,0
32.744,35.7955,300.8,1.4,1.2,2021-01-07,1928,Terra,MODIS,34,6.03,282.9,10.7,N,0
36.5964,39.0048,309.8,4.4,1.9,2021-01-08,0909,Terra,MODIS,69,6.03,287.4,81.7,D,0
36.5983,39.0098,308.2,4.4,1.9,2021-01-08,0909,Terra,MODIS,67,6.03,287.4,76.9,D,0
35.1114,40.5257,302.7,1,1,2021-01-09,0814,Terra,MODIS,45,6.03,291.6,3.9,D,2
36.015,38.9838,306.5,1.3,1.1,2021-01-11,0802,Terra,MODIS,64,6.03,287.7,10.5,D,0
35.114,40.5226,311.4,1.1,1.1,2021-01-16,0820,Terra,MODIS,71,6.03,292.1,10.3,D,2
35.5745,38.8696,301.2,1.5,1.2,2021-01-21,0839,Terra,MODIS,45,6.03,279.9,12.3,D,0
35.5673,38.8668,303.9,1.4,1.2,2021-01-21,1017,Aqua,MODIS,57,6.03,284.2,10.9,D,0
35.1111,40.5176,301.6,2.1,1.4,2021-01-22,1059,Aqua,MODIS,42,6.03,289.8,10.2,D,2
36.5676,39.1267,306.8,1,1,2021-01-26,1035,Aqua,MODIS,64,6.03,287.1,6.5,D,0
35.1121,40.5239,302.5,1.1,1,2021-01-27,0802,Terra,MODIS,53,6.03,284.4,5.4,D,2
34.6692,40.7861,318.2,1.1,1,2021-01-28,1022,Aqua,MODIS,75,6.03,294.2,14.4,D,0
35.1087,40.5209,304.4,1.6,1.2,2021-01-30,0832,Terra,MODIS,54,6.03,291.3,9.1,D,2
33.5722,36.5719,306,1,1,2021-02-02,1041,Aqua,MODIS,55,6.03,294.5,3.8,D,0
35.5081,36.3602,306.9,1.2,1.1,2021-02-07,1100,Aqua,MODIS,55,6.03,294.6,6.9,D,0
35.115,40.5249,307.8,1.1,1,2021-02-12,0802,Terra,MODIS,55,6.03,296,4.9,D,2
36.7226,37.6289,310.6,1.5,1.2,2021-02-13,0844,Terra,MODIS,70,6.03,289,16.9,D,0
35.436,36.336,314.3,1.5,1.2,2021-02-14,1106,Aqua,MODIS,66,6.03,293.5,18.1,D,0
37.0003,40.7151,306.2,1.5,1.2,2021-02-15,0832,Terra,MODIS,59,6.03,294,7.9,D,0
36.6044,40.3917,310.5,1.4,1.2,2021-02-15,1011,Aqua,MODIS,59,6.03,296.6,9.2,D,2
35.8765,38.7224,301.1,1,1,2021-02-17,0820,Terra,MODIS,0,6.03,286.9,3.8,D,2
36.2337,40.1803,303.1,1,1,2021-02-20,1029,Aqua,MODIS,37,6.03,290.1,2.9,D,0
35.1116,40.5202,308.6,1,1,2021-02-20,1029,Aqua,MODIS,55,6.03,296.9,4.2,D,2
35.11,40.5186,311.5,1.2,1.1,2021-02-22,1017,Aqua,MODIS,48,6.03,300.3,6.6,D,2
36.5177,39.0295,306.7,1.8,1.3,2021-02-23,1100,Aqua,MODIS,41,6.03,296.5,8.2,D,0
36.531,39.0166,307.2,2.1,1.4,2021-02-24,1005,Aqua,MODIS,48,6.03,296.8,10.7,D,0
35.8561,39.252,312.6,1.2,1.1,2021-02-25,1047,Aqua,MODIS,38,6.03,296,8.3,D,2
35.8479,39.267,313.5,1.2,1.1,2021-02-25,1047,Aqua,MODIS,46,6.03,294.6,9.7,D,2
35.8463,39.2537,311.6,1.2,1.1,2021-02-25,1047,Aqua,MODIS,29,6.03,295,7.8,D,0
35.8576,39.2653,315.4,1.2,1.1,2021-02-25,1047,Aqua,MODIS,57,6.03,297.8,11.4,D,2
36.1278,38.9702,311.3,1.2,1.1,2021-02-25,1047,Aqua,MODIS,50,6.03,298.1,7.1,D,0
35.9936,38.9485,312,1.2,1.1,2021-02-25,1047,Aqua,MODIS,52,6.03,299.4,7.2,D,0
34.979,36.2388,302.8,1,1,2021-02-25,1047,Aqua,MODIS,41,6.03,289,3.8,D,0
36.0681,37.7574,309.8,1.1,1,2021-02-25,1047,Aqua,MODIS,51,6.03,299.5,4,D,0
36.2626,38.2209,311.9,1.1,1,2021-02-25,1048,Aqua,MODIS,46,6.03,296.6,8,D,2
35.9357,39.1173,307.4,1,1,2021-02-26,0814,Terra,MODIS,50,6.03,294.1,5.3,D,2
35.1087,40.5223,310.8,1,1,2021-02-26,0814,Terra,MODIS,57,6.03,296.3,6.7,D,2
35.9373,39.1063,309.8,1,1,2021-02-26,0814,Terra,MODIS,59,6.03,294,7,D,0
37.2068,42.1921,312.1,2,1.4,2021-02-26,0953,Aqua,MODIS,69,6.03,298.8,17.9,D,0
35.5259,40.2077,326.7,3.6,1.8,2021-02-27,0856,Terra,MODIS,82,6.03,299.8,117.3,D,0
35.5328,40.2048,326.4,3.6,1.8,2021-02-27,0856,Terra,MODIS,82,6.03,299.9,115.6,D,0
35.5289,40.1937,334.8,1,1,2021-02-27,1035,Aqua,MODIS,85,6.03,305.4,27,D,0
36.5558,39.0297,325.5,1,1,2021-02-27,1035,Aqua,MODIS,74,6.03,300.2,17.5,D,0
35.5304,40.2048,336.8,1,1,2021-02-27,1035,Aqua,MODIS,86,6.03,304.4,30.1,D,0
34.5689,40.8937,315.6,1.7,1.3,2021-03-03,0832,Terra,MODIS,37,6.03,301.1,16.9,D,0
36.6267,37.7725,311.5,1.1,1.1,2021-03-05,1923,Terra,MODIS,83,6.03,282,17.2,N,0
36.6361,37.7701,329,1.1,1.1,2021-03-05,1923,Terra,MODIS,100,6.03,281.7,37.8,N,0
36.6374,37.7733,303.4,1.1,1.1,2021-03-05,2338,Aqua,MODIS,55,6.03,277.2,11.7,N,0
35.1096,40.5218,315,1.1,1,2021-03-16,0801,Terra,MODIS,39,6.03,301.2,6.7,D,2
33.3969,36.2996,322.4,1.5,1.2,2021-04-09,1028,Aqua,MODIS,68,6.03,308.4,16.2,D,0
35.1118,40.5212,300.4,1.1,1,2021-04-15,1916,Terra,MODIS,26,6.03,286.6,6.1,N,2
35.1088,40.5217,303,1.5,1.2,2021-04-17,1903,Terra,MODIS,53,6.03,289.1,9.9,N,2
36.1336,38.0112,353.7,1,1,2021-04-22,0819,Terra,MODIS,0,6.03,310.7,57.6,D,0
33.6077,36.1833,321.8,1.8,1.3,2021-04-25,0850,Terra,MODIS,56,6.03,307.4,16.8,D,0
35.1093,40.5265,301.6,1.2,1.1,2021-04-28,2302,Aqua,MODIS,43,6.03,288.7,7.6,N,2
32.8789,36.2517,330,1,1,2021-04-29,0826,Terra,MODIS,62,6.03,316.6,8.7,D,2
35.1121,40.5218,310.2,1,1,2021-04-29,1928,Terra,MODIS,79,6.03,293.8,9.5,N,2
34.5894,36.9893,328.3,1.1,1,2021-05-01,0813,Terra,MODIS,71,6.03,314,11.5,D,0
35.11,40.5237,304,1.1,1,2021-05-01,1915,Terra,MODIS,58,6.03,291.4,7.1,N,2
36.4165,37.2562,328.5,1,1,2021-05-02,1035,Aqua,MODIS,57,6.03,315.9,8.9,D,0
35.1115,40.5172,305.7,1.5,1.2,2021-05-03,1903,Terra,MODIS,65,6.03,293.1,11.5,N,2
35.5768,37.57,334.2,1.6,1.2,2021-05-04,0843,Terra,MODIS,76,6.03,318.5,15.8,D,0
33.4479,36.2715,326.7,1.5,1.2,2021-05-04,0844,Terra,MODIS,62,6.03,311.7,14.3,D,2
35.771,36.7391,328.5,1.5,1.2,2021-05-04,1023,Aqua,MODIS,64,6.03,312.9,15.1,D,0
35.5336,37.6606,339.1,1.8,1.3,2021-05-05,1106,Aqua,MODIS,65,6.03,317.8,32.4,D,0
35.5318,37.6414,338.5,1.8,1.3,2021-05-05,1106,Aqua,MODIS,73,6.03,318.6,28.6,D,0
