latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.5446,120.3507,300.2,1,1,2021-01-02,1410,Terra,MODIS,17,6.03,289.5,4.8,N,2
22.5431,120.3537,326.6,1,1,2021-01-05,0516,Aqua,MODIS,69,6.03,302.6,16.1,D,2
22.5341,120.3553,316.2,1,1,2021-01-05,0516,Aqua,MODIS,37,6.03,301.2,5.8,D,2
22.5461,120.3575,312.6,1.3,1.1,2021-01-13,0256,Terra,MODIS,45,6.03,298.3,9.6,D,2
22.5452,120.354,315.9,1,1,2021-01-15,0244,Terra,MODIS,37,6.03,299.4,7.2,D,2
22.5363,120.3524,314.6,1,1,2021-01-15,0244,Terra,MODIS,0,6.03,298.4,6.3,D,2
24.4001,120.8944,301.6,1.4,1.2,2021-01-26,0225,Terra,MODIS,39,6.03,290.7,4.9,D,0
22.5466,120.3508,305.7,1,1,2021-01-26,1744,Aqua,MODIS,35,6.03,291,7.3,N,2
22.5447,120.3556,313.1,1.3,1.1,2021-01-29,0256,Terra,MODIS,49,6.03,296.4,9.1,D,2
23.7963,120.545,322.5,1.1,1,2021-01-30,0510,Aqua,MODIS,80,6.03,304.8,15,D,0
24.7413,120.9869,306.2,1,1,2021-01-30,0511,Aqua,MODIS,37,6.03,295.8,4,D,0
22.5491,120.508,311.3,1.7,1.3,2021-02-02,0541,Aqua,MODIS,48,6.03,299.6,8.9,D,0
22.8678,120.61,300.6,1,1,2021-02-03,1410,Terra,MODIS,31,6.03,287.9,5.2,N,0
22.8635,120.6069,313.7,1.7,1.3,2021-02-04,0219,Terra,MODIS,59,6.03,299,17.1,D,0
22.5389,120.3486,315.8,1.1,1.1,2021-02-04,0528,Aqua,MODIS,0,6.03,302.3,5.6,D,2
24.2914,120.6465,311.1,1.2,1.1,2021-02-04,0529,Aqua,MODIS,69,6.03,298.6,5,D,2
24.6387,121.2572,308.2,1,1,2021-02-06,0517,Aqua,MODIS,62,6.03,291.6,8.8,D,0
23.7128,121.4767,312.6,1.2,1.1,2021-02-07,0249,Terra,MODIS,67,6.03,300.2,10.2,D,2
22.5423,120.3549,317.4,1.1,1.1,2021-02-07,0250,Terra,MODIS,54,6.03,303.4,6.8,D,2
23.5834,120.2044,310.6,1.1,1,2021-02-07,0250,Terra,MODIS,69,6.03,297.6,5.1,D,0
24.4983,120.7025,302.3,1.5,1.2,2021-02-08,1429,Terra,MODIS,48,6.03,286.4,10.9,N,2
24.0911,120.6386,318.9,1,1,2021-02-09,0237,Terra,MODIS,77,6.03,294.8,11.2,D,2
23.5817,120.4302,313.8,1.1,1.1,2021-02-15,0510,Aqua,MODIS,56,6.03,299.8,6.4,D,0
23.5886,120.4332,314.8,1.1,1,2021-02-15,0510,Aqua,MODIS,67,6.03,300.1,7.1,D,2
23.5869,120.4225,314.7,1.1,1.1,2021-02-15,0510,Aqua,MODIS,70,6.03,299.7,7.2,D,0
23.8102,120.3016,320.4,1.1,1.1,2021-02-15,0510,Aqua,MODIS,77,6.03,300.3,15.7,D,2
23.8085,120.2908,316.5,1.1,1.1,2021-02-15,0510,Aqua,MODIS,73,6.03,299.1,11.5,D,0
23.9805,120.987,320.7,1.1,1,2021-02-15,0511,Aqua,MODIS,61,6.03,301.2,13.5,D,2
24.2904,120.7247,315.4,1.1,1,2021-02-15,0511,Aqua,MODIS,60,6.03,303.2,7.6,D,2
22.5416,120.3497,319.2,1,1,2021-02-16,0244,Terra,MODIS,50,6.03,299.4,6.2,D,2
22.5401,120.3594,322.3,1,1,2021-02-16,0244,Terra,MODIS,72,6.03,301.8,9.9,D,2
24.4275,120.6835,325.7,1.9,1.3,2021-02-18,0541,Aqua,MODIS,79,6.03,293.2,53.4,D,2
23.8013,120.5713,316.5,1.2,1.1,2021-02-20,0529,Aqua,MODIS,74,6.03,298.9,10.6,D,2
22.997,120.3247,315.7,1.1,1.1,2021-02-20,0529,Aqua,MODIS,60,6.03,299.5,8.4,D,0
24.5747,120.8047,316.7,1.2,1.1,2021-02-20,0529,Aqua,MODIS,70,6.03,291,14.3,D,0
24.5748,120.8104,317.4,1.2,1.1,2021-02-20,0529,Aqua,MODIS,68,6.03,292,15.1,D,2
24.0991,121.2305,318.7,1.8,1.3,2021-02-21,0301,Terra,MODIS,55,6.03,290.9,38.6,D,0
