latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.5868,68.9017,312.4,1,1,2021-01-14,0832,Aqua,MODIS,72,6.03,290.4,10.6,D,0
40.3541,69.9406,305.2,1,1,2021-01-16,0820,Aqua,MODIS,61,6.03,290.1,6.1,D,0
37.3012,68.7212,300.2,1.1,1,2021-01-18,0628,Terra,MODIS,32,6.03,286.8,5.6,D,0
37.2919,68.748,305.5,1.3,1.1,2021-01-19,0850,Aqua,MODIS,61,6.03,288.8,8.3,D,0
37.2988,68.7178,303.2,1.3,1.1,2021-01-19,0850,Aqua,MODIS,55,6.03,290.6,6.5,D,0
37.6602,68.7753,303.3,1.3,1.1,2021-01-19,0850,Aqua,MODIS,55,6.03,286,8,D,0
37.2935,68.7622,308.4,1.3,1.1,2021-01-19,0850,Aqua,MODIS,67,6.03,288.7,10.9,D,0
37.2866,68.1035,301.6,1,1,2021-01-20,0616,Terra,MODIS,48,6.03,289.8,3.7,D,0
37.1411,68.1874,301.8,3.2,1.7,2021-01-20,0755,Aqua,MODIS,44,6.03,291.4,17.6,D,0
38.2885,68.96,305.8,1,1,2021-01-21,0838,Aqua,MODIS,62,6.03,293.2,5.3,D,0
37.1266,67.7818,369.5,1.4,1.2,2021-02-01,0641,Terra,MODIS,0,6.03,290.3,174,D,0
37.1238,67.7966,423.9,1.4,1.2,2021-02-01,0641,Terra,MODIS,0,6.03,302.8,668.9,D,0
37.1211,67.8114,315.1,1.4,1.2,2021-02-01,0641,Terra,MODIS,66,6.03,292.8,16.5,D,0
37.1133,67.801,334.2,1.4,1.2,2021-02-01,0820,Aqua,MODIS,0,6.03,295.6,52.1,D,0
38.5558,68.7858,301.3,1.1,1,2021-02-03,0628,Terra,MODIS,46,6.03,282.8,4.7,D,2
37.9069,68.8222,302.1,1.8,1.3,2021-02-03,0808,Aqua,MODIS,51,6.03,286.9,10.3,D,0
37.1519,68.141,307.8,1.2,1.1,2021-02-04,0850,Aqua,MODIS,59,6.03,294.3,5.7,D,0
37.2971,68.7417,305.8,1,1,2021-02-05,0616,Terra,MODIS,59,6.03,290.6,6.5,D,0
38.243,68.9558,319.8,1.3,1.1,2021-02-07,0603,Terra,MODIS,80,6.03,291,22.8,D,0
37.9552,69.7614,307.8,1.2,1.1,2021-02-07,0603,Terra,MODIS,66,6.03,293.3,7.2,D,0
38.2447,68.9414,302.5,1.3,1.1,2021-02-07,0603,Terra,MODIS,53,6.03,290.4,4.3,D,0
36.9766,68.0891,336.1,3.4,1.7,2021-02-07,0921,Aqua,MODIS,67,6.03,294.8,192.5,D,0
37.3022,68.7671,310.1,3.8,1.8,2021-02-07,0921,Aqua,MODIS,19,6.03,294.4,33.8,D,0
37.3004,68.7244,314.3,3.8,1.8,2021-02-07,0921,Aqua,MODIS,61,6.03,293.5,54.1,D,0
37.2921,68.7333,321.7,3.8,1.8,2021-02-07,0921,Aqua,MODIS,76,6.03,293.8,108.1,D,0
37.2829,68.689,309.4,1.3,1.1,2021-02-10,0634,Terra,MODIS,68,6.03,288.9,10.8,D,0
37.1332,68.385,309.9,1.5,1.2,2021-02-11,0856,Aqua,MODIS,0,6.03,298.3,3.9,D,0
37.3218,68.9879,300.9,1,1,2021-02-12,1726,Terra,MODIS,35,6.03,275.1,7.9,N,0
37.3076,69.0091,304.2,3.7,1.8,2021-02-13,0705,Terra,MODIS,51,6.03,290.4,26.7,D,0
37.3161,69.0057,302.7,3.7,1.8,2021-02-13,0705,Terra,MODIS,37,6.03,290.4,22.2,D,0
37.3013,69.4016,310.3,1.2,1.1,2021-02-13,0844,Aqua,MODIS,51,6.03,293.2,7,D,0
37.2977,69.3947,309.1,1.2,1.1,2021-02-13,0844,Aqua,MODIS,22,6.03,294.2,5.7,D,0
37.3032,69.0108,328.4,1.1,1.1,2021-02-13,0844,Aqua,MODIS,82,6.03,295.3,27.5,D,0
38.4878,68.789,306.3,1.1,1.1,2021-02-13,0844,Aqua,MODIS,55,6.03,292.3,4.8,D,2
38.5279,68.1665,309.6,1.1,1,2021-02-13,0845,Aqua,MODIS,68,6.03,295.7,5.2,D,0
38.5332,68.4128,310.1,1.2,1.1,2021-02-14,0609,Terra,MODIS,68,6.03,291,9.3,D,0
38.2643,69.0263,306.7,1.1,1,2021-02-14,0609,Terra,MODIS,62,6.03,293.5,4.9,D,2
38.5348,68.3995,312,1.2,1.1,2021-02-14,0609,Terra,MODIS,71,6.03,291,11.1,D,0
40.2206,68.9395,301.1,1.2,1.1,2021-02-14,0609,Terra,MODIS,44,6.03,289,4.4,D,2
37.8555,69.6336,305.5,2.5,1.5,2021-02-15,0652,Terra,MODIS,61,6.03,294,17.6,D,0
37.1085,69.2522,304.5,2.5,1.5,2021-02-15,0653,Terra,MODIS,45,6.03,293.1,16.6,D,0
37.1774,69.1366,317.1,1.6,1.2,2021-02-17,0640,Terra,MODIS,56,6.03,294.3,26.3,D,0
37.1772,69.1425,310.8,1.6,1.2,2021-02-17,0640,Terra,MODIS,52,6.03,294.4,14.1,D,0
38.5677,68.9444,310,1.2,1.1,2021-02-17,0820,Aqua,MODIS,64,6.03,297.6,6.6,D,0
38.57,68.9576,309,1.2,1.1,2021-02-17,0820,Aqua,MODIS,62,6.03,297.3,5.8,D,0
37.3297,69.3732,311.2,1.2,1.1,2021-02-17,0820,Aqua,MODIS,43,6.03,298.6,6.2,D,0
