latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.354,102.9818,311.3,2.1,1.4,2021-01-01,0412,Terra,MODIS,52,6.03,298.4,15.1,D,0
17.3669,100.2098,313.4,1.3,1.1,2021-01-01,0412,Terra,MODIS,51,6.03,299.4,5.9,D,0
14.9359,100.9193,306.8,1.6,1.2,2021-01-01,0412,Terra,MODIS,19,6.03,291.3,7,D,0
17.6083,100.2405,309.3,1.3,1.1,2021-01-01,0412,Terra,MODIS,56,6.03,297.6,5.3,D,0
14.9043,100.8929,310.8,1.6,1.2,2021-01-01,0412,Terra,MODIS,59,6.03,293.8,10.5,D,0
15.1363,100.8942,314.1,1.5,1.2,2021-01-01,0412,Terra,MODIS,65,6.03,297.3,14,D,0
14.902,100.9072,312.9,1.6,1.2,2021-01-01,0412,Terra,MODIS,63,6.03,292.3,13.7,D,0
15.1232,100.6863,311.9,1.5,1.2,2021-01-01,0412,Terra,MODIS,65,6.03,297.8,9.8,D,0
16.2077,100.8945,314.2,1.5,1.2,2021-01-01,0412,Terra,MODIS,67,6.03,301.6,12.1,D,0
16.1971,100.8927,311.6,1.5,1.2,2021-01-01,0412,Terra,MODIS,58,6.03,299,8,D,0
16.6491,102.882,318.7,2,1.4,2021-01-01,0412,Terra,MODIS,76,6.03,299.7,30.9,D,0
15.7186,100.6338,316.5,1.4,1.2,2021-01-01,0412,Terra,MODIS,71,6.03,300.7,11.3,D,0
16.0626,100.9461,315.2,1.5,1.2,2021-01-01,0412,Terra,MODIS,68,6.03,296.3,16.8,D,0
16.0602,100.9601,315.5,1.5,1.2,2021-01-01,0412,Terra,MODIS,69,6.03,297.2,17.1,D,0
16.7175,99.975,316.3,1.3,1.1,2021-01-01,0412,Terra,MODIS,72,6.03,299.4,12.3,D,0
16.3506,103.0009,313.8,2.1,1.4,2021-01-01,0412,Terra,MODIS,68,6.03,297.6,20.1,D,0
16.3495,102.9949,316.8,2.1,1.4,2021-01-01,0412,Terra,MODIS,70,6.03,297.9,26.3,D,0
