latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.5813,-15.0855,309.4,1,1,2021-01-01,2318,Terra,MODIS,70,6.03,296.6,7,N,0
13.5903,-15.0869,314.8,1,1,2021-01-01,2318,Terra,MODIS,90,6.03,296.4,11,N,0
13.5658,-15.0675,310.4,1,1,2021-01-01,2318,Terra,MODIS,78,6.03,295.5,7.6,N,0
13.4179,-15.5375,331.6,1.1,1,2021-01-02,1132,Terra,MODIS,81,6.03,308,22,D,0
13.4086,-15.5388,322.6,1.1,1,2021-01-02,1132,Terra,MODIS,60,6.03,306.6,10.2,D,0
13.5711,-15.0664,324.4,1.1,1,2021-01-02,1132,Terra,MODIS,38,6.03,309.6,8.2,D,0
13.5724,-15.076,328.4,1.1,1,2021-01-02,1132,Terra,MODIS,74,6.03,308.6,13.1,D,0
13.5935,-15.0927,337,1.1,1,2021-01-02,1132,Terra,MODIS,85,6.03,310.4,25.5,D,0
13.6105,-15.0804,323.3,1.1,1,2021-01-02,1132,Terra,MODIS,61,6.03,308.8,7.4,D,0
13.1821,-15.9625,333.6,1.1,1.1,2021-01-02,1132,Terra,MODIS,84,6.03,305.5,31.5,D,0
13.1835,-15.9729,325.1,1.1,1.1,2021-01-02,1132,Terra,MODIS,76,6.03,304.6,18.2,D,0
13.1806,-15.9521,315.1,1.1,1.1,2021-01-02,1132,Terra,MODIS,53,6.03,303.3,6.9,D,0
13.5948,-15.1023,337.2,1.1,1,2021-01-02,1132,Terra,MODIS,85,6.03,309.4,27,D,0
13.6379,-14.8564,325.4,1.2,1.1,2021-01-02,1436,Aqua,MODIS,29,6.03,310.5,8.3,D,0
13.5965,-15.0956,327.9,1.1,1.1,2021-01-02,1436,Aqua,MODIS,45,6.03,314.8,9.5,D,0
13.4008,-15.5376,337.8,1.1,1,2021-01-02,1436,Aqua,MODIS,81,6.03,312.6,26,D,0
13.3995,-15.5474,340.8,1.1,1,2021-01-02,1436,Aqua,MODIS,87,6.03,310,32.8,D,0
13.4101,-15.5389,330.1,1.1,1,2021-01-02,1436,Aqua,MODIS,66,6.03,314.6,14.9,D,0
