latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-8.5591,125.54,312.3,3.8,1.8,2021-01-01,0240,Terra,MODIS,0,6.03,289.4,34.6,D,2
-8.3817,126.875,313.6,1.1,1,2021-01-03,0520,Aqua,MODIS,20,6.03,290.2,7.7,D,0
-8.5628,125.5563,310.2,4.4,1.9,2021-03-07,0437,Aqua,MODIS,14,6.03,291.8,51.6,D,2
-8.5592,125.5463,312.5,2.9,1.6,2021-03-15,0233,Terra,MODIS,0,6.03,291.8,27.8,D,2
-8.5659,125.5399,310.5,4.4,1.9,2021-03-23,0437,Aqua,MODIS,23,6.03,288.6,50.8,D,2
-8.5603,125.5581,314.2,2.2,1.4,2021-03-24,0227,Terra,MODIS,21,6.03,292,19.9,D,2
-8.5597,125.5513,313.5,2.2,1.4,2021-04-09,0227,Terra,MODIS,40,6.03,297.4,18.1,D,2
-8.5589,125.5617,312.6,3.9,1.8,2021-04-23,0239,Terra,MODIS,0,6.03,295.2,45,D,2
-8.5653,125.5552,310.5,3.9,1.8,2021-04-23,0239,Terra,MODIS,29,6.03,294.7,36.7,D,2
-8.5633,125.5962,310.3,3.9,1.8,2021-04-23,0239,Terra,MODIS,27,6.03,294.4,34.8,D,2
-8.6445,125.861,313.8,1.8,1.3,2021-05-04,0220,Terra,MODIS,56,6.03,300.1,15.5,D,0
-8.5582,125.5655,312.6,2.9,1.6,2021-05-18,0232,Terra,MODIS,25,6.03,296.1,28.1,D,2
-9.1222,125.1613,314.3,1,1,2021-07-02,0201,Terra,MODIS,67,6.03,297.5,7.8,D,0
-8.4522,126.3945,328.6,1.2,1.1,2021-07-05,0526,Aqua,MODIS,82,6.03,298.3,26.4,D,0
-8.6742,126.0071,315.2,1.2,1.1,2021-07-05,0526,Aqua,MODIS,64,6.03,298.8,7.4,D,0
-8.4505,126.4056,322.2,1.2,1.1,2021-07-05,0526,Aqua,MODIS,76,6.03,297.4,17.2,D,0
-8.524,125.7999,320.9,1.1,1.1,2021-07-09,0207,Terra,MODIS,76,6.03,298.9,13.5,D,0
-8.7202,125.8531,315.7,1.1,1.1,2021-07-16,0508,Aqua,MODIS,60,6.03,298.9,9.6,D,0
-9.0845,125.8732,311.5,1.1,1.1,2021-07-16,0508,Aqua,MODIS,54,6.03,298.2,6.6,D,0
-8.4884,126.3672,319.4,1.2,1.1,2021-07-21,0526,Aqua,MODIS,57,6.03,303.5,8.2,D,0
-8.7423,125.7138,321.8,1,1,2021-07-23,0514,Aqua,MODIS,74,6.03,306.3,11,D,0
-8.7177,126.2731,315.2,1,1,2021-07-23,0514,Aqua,MODIS,64,6.03,301.6,7.9,D,0
-9.0758,125.9407,320.7,1.4,1.2,2021-07-25,0501,Aqua,MODIS,72,6.03,301.5,20.5,D,0
-9.069,125.991,313.8,1.4,1.2,2021-07-25,0501,Aqua,MODIS,57,6.03,300.1,11.4,D,0
-8.719,125.851,319.6,1,1,2021-07-27,0154,Terra,MODIS,71,6.03,295.7,11.1,D,0
-8.7176,125.8416,320.5,1,1,2021-07-27,0154,Terra,MODIS,75,6.03,296.7,11.4,D,0
-8.7214,125.8148,316.4,1,1,2021-07-30,0520,Aqua,MODIS,43,6.03,300.8,5.1,D,0
-9.1869,125.0098,323.1,1,1,2021-07-30,0520,Aqua,MODIS,73,6.03,303.3,10.8,D,0
-9.2099,125.0408,313.7,1,1,2021-07-30,0520,Aqua,MODIS,33,6.03,299.8,4,D,0
-8.9919,125.1815,324.2,1.3,1.1,2021-08-01,0213,Terra,MODIS,61,6.03,303.5,14,D,0
-9.0019,125.18,333.1,1.3,1.1,2021-08-01,0213,Terra,MODIS,84,6.03,301.6,30,D,0
-8.975,125.1574,327.7,1.2,1.1,2021-08-01,0508,Aqua,MODIS,62,6.03,304.3,16.4,D,0
-9.0503,125.1829,318.5,1,1,2021-08-03,0200,Terra,MODIS,69,6.03,302,7.3,D,0
-8.7022,125.846,314,1.2,1.1,2021-08-06,0526,Aqua,MODIS,43,6.03,292.5,6.5,D,0
-8.6454,126.1536,317,1.2,1.1,2021-08-06,0526,Aqua,MODIS,35,6.03,295.2,8.1,D,0
-8.594,125.5354,320.4,1.1,1.1,2021-08-06,0526,Aqua,MODIS,47,6.03,296.5,11,D,0
-8.5784,126.0598,316.2,1.2,1.1,2021-08-06,0526,Aqua,MODIS,57,6.03,295.7,8.5,D,0
-8.5798,126.0527,319.2,1,1,2021-08-08,0514,Aqua,MODIS,38,6.03,301.1,7.8,D,0
-8.5063,125.8158,307.3,2.4,1.5,2021-08-09,1340,Terra,MODIS,29,6.03,293,21.5,N,0
-9.4088,124.0934,333.8,1.1,1.1,2021-08-13,0532,Aqua,MODIS,84,6.03,306.6,24.7,D,0
-9.4073,124.1033,326.7,1.1,1.1,2021-08-13,0532,Aqua,MODIS,67,6.03,304.5,14.9,D,0
-9.0417,125.3619,316.9,1.3,1.1,2021-08-13,0532,Aqua,MODIS,54,6.03,302.5,10.4,D,0
-9.212,124.3526,306.1,1.4,1.2,2021-08-14,1359,Terra,MODIS,67,6.03,295.5,8.2,N,0
-8.912,125.1849,323.9,1,1,2021-08-15,0520,Aqua,MODIS,65,6.03,307.3,7.3,D,0
-8.6598,125.4675,321.1,1,1,2021-08-15,0520,Aqua,MODIS,68,6.03,299.3,12.1,D,0
-8.6333,126.0041,318.9,1.1,1.1,2021-08-17,0508,Aqua,MODIS,55,6.03,297.9,5.9,D,0
-8.6408,126.1681,317.8,2,1.4,2021-08-20,0538,Aqua,MODIS,39,6.03,299.1,17.3,D,0
-8.966,126.073,310.9,1.1,1.1,2021-08-21,0148,Terra,MODIS,53,6.03,296.9,5.9,D,0
-8.3979,127.0057,311.7,2.5,1.5,2021-08-21,0443,Aqua,MODIS,50,6.03,296,29.3,D,0
-8.9956,124.9799,318.8,1.1,1,2021-08-22,0526,Aqua,MODIS,61,6.03,303.2,7,D,0
-8.9407,126.095,320,1.2,1.1,2021-08-22,0526,Aqua,MODIS,66,6.03,300.5,13.8,D,0
-8.5375,125.8496,319.6,1.2,1.1,2021-08-22,0526,Aqua,MODIS,48,6.03,303.7,7.6,D,0
-8.9634,126.0809,312.9,1.9,1.3,2021-08-24,0218,Terra,MODIS,61,6.03,297.8,15.7,D,0
-8.9638,126.0757,320.4,1,1,2021-08-24,0514,Aqua,MODIS,66,6.03,303.4,10.6,D,0
-8.9728,126.077,321.6,1,1,2021-08-24,0514,Aqua,MODIS,71,6.03,302,11.6,D,0
-8.5962,126.2254,326.6,1,1,2021-08-28,0154,Terra,MODIS,0,6.03,292.6,17.4,D,0
-8.5976,126.2345,319.5,1,1,2021-08-28,0154,Terra,MODIS,60,6.03,292,9.4,D,0
-8.6903,125.4306,312.2,2.6,1.5,2021-08-28,0449,Aqua,MODIS,46,6.03,293.3,20.4,D,0
-8.5827,126.0298,328.5,1.5,1.2,2021-08-29,0532,Aqua,MODIS,73,6.03,302.4,24.6,D,0
-8.7148,125.8416,320.9,1.4,1.2,2021-08-29,0532,Aqua,MODIS,37,6.03,301.8,12.4,D,0
-8.614,125.8403,320.5,1.5,1.2,2021-08-30,0141,Terra,MODIS,65,6.03,305.1,9.9,D,0
-8.647,125.9949,316.2,2.4,1.5,2021-08-31,0224,Terra,MODIS,63,6.03,298.3,22.8,D,0
-8.489,125.9318,321.2,1,1,2021-08-31,0520,Aqua,MODIS,40,6.03,303.8,9.4,D,0
-8.7278,125.7451,329.8,1,1,2021-08-31,0520,Aqua,MODIS,80,6.03,308.7,16,D,0
-8.9734,124.9347,322.2,1,1,2021-08-31,0520,Aqua,MODIS,51,6.03,303,9.3,D,0
-8.9721,124.9438,322.7,1,1,2021-08-31,0520,Aqua,MODIS,60,6.03,303.7,10,D,0
-9.2066,125.4852,320.5,1,1,2021-08-31,0520,Aqua,MODIS,63,6.03,303.2,8.8,D,0
-9.3578,124.3595,324.6,1,1,2021-08-31,0520,Aqua,MODIS,71,6.03,309.7,6.8,D,0
-8.5252,125.8454,321.9,1.1,1.1,2021-09-02,0508,Aqua,MODIS,47,6.03,300,12.5,D,0
-8.5166,126.1401,311.4,3.4,1.7,2021-09-03,0551,Aqua,MODIS,25,6.03,292,38.4,D,0
-8.9431,125.3243,323.5,1.7,1.3,2021-09-05,0538,Aqua,MODIS,67,6.03,302.6,16.9,D,0
-8.5561,125.5569,313.8,2.9,1.6,2021-09-07,0230,Terra,MODIS,0,6.03,297,25.1,D,2
-8.9609,125.1989,323,1.1,1,2021-09-07,0526,Aqua,MODIS,54,6.03,304.9,6.7,D,0
-8.5956,126.0183,321.1,1.9,1.3,2021-09-08,0135,Terra,MODIS,72,6.03,296.9,22.5,D,0
-8.5413,125.7212,309.2,1.5,1.2,2021-09-08,1352,Terra,MODIS,77,6.03,293.1,12.2,N,0
-8.5621,125.5776,312.4,3.9,1.8,2021-09-14,0236,Terra,MODIS,39,6.03,293.8,38.4,D,2
-9.2701,124.4326,315,3.2,1.7,2021-09-14,0237,Terra,MODIS,59,6.03,292.8,47.9,D,0
-8.736,125.5027,321,1.4,1.2,2021-09-14,0532,Aqua,MODIS,64,6.03,298.5,17.9,D,0
-9.1224,125.1823,328.7,2.1,1.4,2021-09-16,0224,Terra,MODIS,82,6.03,297.7,60.6,D,0
-9.12,125.1639,319.8,2.1,1.4,2021-09-16,0224,Terra,MODIS,58,6.03,299.3,28.1,D,0
-8.6533,125.889,315.4,2.3,1.5,2021-09-16,0224,Terra,MODIS,19,6.03,297.8,15.8,D,0
-8.7735,125.6407,322.5,1,1,2021-09-16,0520,Aqua,MODIS,36,6.03,303.5,9.8,D,0
-8.9606,125.3022,320.6,1,1,2021-09-16,0520,Aqua,MODIS,28,6.03,304.7,6.8,D,0
-9.3205,124.3853,344.9,1.4,1.2,2021-09-18,0508,Aqua,MODIS,93,6.03,295.1,68.8,D,0
-8.5937,126.2112,323.6,1.1,1,2021-09-18,0508,Aqua,MODIS,77,6.03,298.1,13.2,D,0
-9.3186,124.3991,343,1.4,1.2,2021-09-18,0508,Aqua,MODIS,92,6.03,292.2,64.8,D,0
-9.4058,124.0766,323.2,1.5,1.2,2021-09-18,0508,Aqua,MODIS,77,6.03,292,24.5,D,0
-8.7099,126.1793,319.7,1,1,2021-09-20,0159,Terra,MODIS,58,6.03,299.3,9.9,D,0
-9.1236,125.1655,322.3,1,1,2021-09-20,0200,Terra,MODIS,59,6.03,307.1,7.8,D,0
-8.9219,125.2385,320.2,1.6,1.3,2021-09-21,0538,Aqua,MODIS,31,6.03,298,16,D,0
-8.8014,125.2765,322.7,1.7,1.3,2021-09-21,0538,Aqua,MODIS,53,6.03,302.1,15,D,0
-9.2564,124.4,354,1,1,2021-09-23,0526,Aqua,MODIS,97,6.03,306.5,59.3,D,0
-9.2651,124.3979,381.5,1,1,2021-09-23,0526,Aqua,MODIS,100,6.03,309.8,147.3,D,0
-9.2638,124.407,401.4,1,1,2021-09-23,0526,Aqua,MODIS,100,6.03,312.3,252.1,D,0
-8.65,126.1772,323.3,1.2,1.1,2021-09-23,0526,Aqua,MODIS,73,6.03,303,8.5,D,0
-8.6386,126.1865,334.5,1.2,1.1,2021-09-23,0526,Aqua,MODIS,85,6.03,303.3,27.1,D,0
-8.6402,126.1757,325.7,1.2,1.1,2021-09-23,0526,Aqua,MODIS,76,6.03,302.9,11.4,D,0
-8.6088,126.2434,327.6,1.2,1.1,2021-09-23,0526,Aqua,MODIS,77,6.03,302.1,16.4,D,0
-9.2551,124.4092,334.9,1,1,2021-09-23,0526,Aqua,MODIS,84,6.03,305,22.5,D,0
-9.1181,125.1611,321.6,2.1,1.4,2021-09-24,0135,Terra,MODIS,48,6.03,301.8,27.2,D,0
-8.6453,125.7954,322.1,1.9,1.4,2021-09-24,0135,Terra,MODIS,61,6.03,302.4,17.5,D,0
-9.1338,125.1832,318.9,1.6,1.2,2021-09-25,0218,Terra,MODIS,38,6.03,298.6,16.7,D,0
-8.6403,125.5788,321,1,1,2021-09-25,0514,Aqua,MODIS,60,6.03,294.1,11.5,D,0
-8.5974,126.2104,324.4,1,1,2021-09-25,0514,Aqua,MODIS,55,6.03,299.3,11.7,D,0
-9.2706,124.3979,325.2,1,1,2021-09-27,0206,Terra,MODIS,34,6.03,306.3,7.8,D,0
-9.024,125.0468,320.7,1.1,1,2021-09-27,0206,Terra,MODIS,53,6.03,301.4,8,D,0
-9.0196,125.0516,314.5,1.6,1.3,2021-09-27,0502,Aqua,MODIS,37,6.03,292.5,9,D,0
-8.6518,126.5075,323.3,1.3,1.1,2021-09-27,0502,Aqua,MODIS,77,6.03,299.9,16.2,D,0
-8.9855,125.0737,332.8,1.1,1,2021-09-29,0153,Terra,MODIS,81,6.03,309.2,19.7,D,0
-8.7757,125.6977,329.9,1,1,2021-09-29,0153,Terra,MODIS,81,6.03,309,16,D,0
-8.7729,125.6791,320.4,1,1,2021-09-29,0153,Terra,MODIS,64,6.03,305.6,5.8,D,0
-8.764,125.6766,326.6,1,1,2021-09-29,0153,Terra,MODIS,76,6.03,307.5,12.3,D,0
-9.1109,125.1676,331.7,1.1,1,2021-09-29,0153,Terra,MODIS,73,6.03,311.8,17.7,D,0
-8.6656,125.1961,311.9,2.7,1.6,2021-09-29,0449,Aqua,MODIS,48,6.03,294.9,24.5,D,0
-8.7506,125.8607,320,1.4,1.2,2021-09-30,0532,Aqua,MODIS,49,6.03,303.9,13.5,D,0
-8.6442,125.67,324.1,1.4,1.2,2021-09-30,0532,Aqua,MODIS,66,6.03,304.2,17.9,D,0
-8.7205,125.708,317,4.3,1.9,2021-10-01,0437,Aqua,MODIS,60,6.03,298.8,45.9,D,0
-8.7986,125.5369,313.3,4.5,1.9,2021-10-01,0437,Aqua,MODIS,38,6.03,300.7,44.6,D,0
-8.7234,125.7142,315.9,4.3,1.9,2021-10-01,0437,Aqua,MODIS,43,6.03,298.7,37.6,D,0
-8.708,125.2296,323.8,1,1,2021-10-02,0520,Aqua,MODIS,52,6.03,303.2,7.6,D,0
-9.1806,125.2108,320.7,1,1,2021-10-02,0520,Aqua,MODIS,62,6.03,300.3,12.3,D,0
-8.5953,126.0694,326.3,1,1,2021-10-02,0520,Aqua,MODIS,72,6.03,305.1,10.6,D,0
-8.7098,125.9521,321.5,2.5,1.5,2021-10-03,0129,Terra,MODIS,60,6.03,299.6,37.3,D,0
-8.7131,125.9723,323.7,2.4,1.5,2021-10-03,0129,Terra,MODIS,66,6.03,300.6,48.9,D,0
-8.6705,126.2666,321.3,1.5,1.2,2021-10-04,0211,Terra,MODIS,64,6.03,305.8,13.8,D,0
-8.638,126.3506,321.7,1.5,1.2,2021-10-04,0211,Terra,MODIS,68,6.03,308,14.6,D,0
-8.6651,125.4888,314.5,1.3,1.1,2021-10-04,0211,Terra,MODIS,34,6.03,300.8,6.6,D,0
-8.7077,126.2687,315,1.5,1.2,2021-10-04,0211,Terra,MODIS,37,6.03,302.5,9.5,D,0
-8.7204,125.9634,317.9,1.4,1.2,2021-10-04,0211,Terra,MODIS,26,6.03,305.9,11.5,D,0
-9.3206,124.2036,338.9,1.1,1.1,2021-10-04,0212,Terra,MODIS,86,6.03,306.4,32.6,D,0
-8.9185,126.0699,313.5,1.4,1.2,2021-10-04,0212,Terra,MODIS,25,6.03,300.5,8,D,0
-9.133,125.1872,329.4,1.3,1.1,2021-10-04,0212,Terra,MODIS,71,6.03,307.6,24.2,D,0
-9.0343,125.81,315.5,1.4,1.2,2021-10-04,0212,Terra,MODIS,48,6.03,302.8,9.6,D,0
-8.9642,125.0744,333.3,1.2,1.1,2021-10-04,0212,Terra,MODIS,84,6.03,306.5,26.4,D,0
-8.6316,126.2255,323.2,1.1,1,2021-10-04,0508,Aqua,MODIS,70,6.03,306.8,7.7,D,0
-9.2423,124.4088,334.1,1.4,1.2,2021-10-04,0508,Aqua,MODIS,82,6.03,302.2,40.7,D,0
-8.6098,126.5208,322.2,1.1,1,2021-10-04,0508,Aqua,MODIS,65,6.03,303.5,8.4,D,0
-8.9453,126.0836,367,1.1,1.1,2021-10-04,0508,Aqua,MODIS,100,6.03,304.1,114.8,D,0
-9.0598,125.679,319,1.2,1.1,2021-10-04,0508,Aqua,MODIS,61,6.03,303.8,11.1,D,0
-9.3245,124.196,324.6,1.5,1.2,2021-10-04,0508,Aqua,MODIS,67,6.03,305.8,12.9,D,0
-8.9467,126.0735,328.6,1.1,1.1,2021-10-04,0508,Aqua,MODIS,78,6.03,302.6,21.5,D,0
-8.6112,126.5111,320.9,1.1,1,2021-10-04,0508,Aqua,MODIS,54,6.03,303.1,6.6,D,0
-8.6892,126.2237,321.6,1.1,1,2021-10-04,0508,Aqua,MODIS,65,6.03,307.6,8.7,D,0
-9.3371,124.1838,323.1,1.5,1.2,2021-10-04,0508,Aqua,MODIS,52,6.03,304.7,10.2,D,0
-8.6385,125.1965,316.4,2.9,1.6,2021-10-05,0551,Aqua,MODIS,66,6.03,289.4,43.8,D,0
-8.7,125.1943,334.1,1,1,2021-10-06,0159,Terra,MODIS,85,6.03,303.8,23.6,D,0
-8.7351,126.1399,313.6,1.7,1.3,2021-10-06,0455,Aqua,MODIS,42,6.03,293.4,16.1,D,0
-8.8967,126.1223,313.3,1.7,1.3,2021-10-06,0455,Aqua,MODIS,53,6.03,296.7,10.9,D,0
-8.6512,125.3926,311.9,2,1.4,2021-10-06,0456,Aqua,MODIS,24,6.03,288.2,17.6,D,0
-8.7279,125.6354,351.7,1.2,1.1,2021-10-08,0147,Terra,MODIS,95,6.03,308.8,68.5,D,0
-8.9694,126.0774,320.3,1.1,1.1,2021-10-08,0147,Terra,MODIS,55,6.03,306.3,9.6,D,0
-8.6613,125.9966,327.9,1.2,1.1,2021-10-08,0147,Terra,MODIS,74,6.03,308,10.1,D,0
-8.7908,125.5747,328.3,1.2,1.1,2021-10-08,0147,Terra,MODIS,76,6.03,309,15.4,D,0
-9.2003,125.2207,319.2,1.1,1,2021-10-09,0526,Aqua,MODIS,31,6.03,301.9,10.2,D,0
-8.6875,126.1916,322.6,1.2,1.1,2021-10-09,0526,Aqua,MODIS,43,6.03,303.7,8.2,D,0
-8.7253,125.1876,323.2,1.1,1,2021-10-09,0526,Aqua,MODIS,58,6.03,303.7,7.6,D,0
-8.7484,125.8504,318.4,1.2,1.1,2021-10-09,0526,Aqua,MODIS,35,6.03,300.6,8.4,D,0
-8.7671,125.7901,323.4,1.1,1.1,2021-10-09,0526,Aqua,MODIS,57,6.03,299.7,11,D,0
-8.9664,126.0795,317.1,1.9,1.3,2021-10-11,0218,Terra,MODIS,63,6.03,298.4,19,D,0
-8.9552,126.0532,326.1,1,1,2021-10-11,0514,Aqua,MODIS,64,6.03,300.4,12.5,D,0
-9.0723,125.6837,321.9,1,1,2021-10-11,0514,Aqua,MODIS,42,6.03,303,7.3,D,0
-8.6514,125.2691,319.9,1,1,2021-10-11,0514,Aqua,MODIS,54,6.03,297.2,10.5,D,0
-8.1806,125.616,324.3,1,1,2021-10-11,0514,Aqua,MODIS,77,6.03,303.2,7.2,D,0
-9.3139,125.134,327.1,1.1,1,2021-10-11,0514,Aqua,MODIS,70,6.03,303.9,15.4,D,0
-9.3126,125.1436,356.3,1.1,1,2021-10-11,0514,Aqua,MODIS,98,6.03,304.3,72,D,0
-8.9204,126.1686,319.3,1,1,2021-10-11,0514,Aqua,MODIS,62,6.03,301.3,5.8,D,0
-8.9636,126.0762,326.4,1,1,2021-10-15,0153,Terra,MODIS,73,6.03,307.3,14.4,D,0
-9.1948,124.4399,331.4,1.1,1.1,2021-10-15,0153,Terra,MODIS,75,6.03,301,17.8,D,0
-9.1932,124.4293,345.9,1.1,1.1,2021-10-15,0153,Terra,MODIS,91,6.03,299.8,47,D,0
-9.3718,124.0842,335,1.1,1,2021-10-16,0532,Aqua,MODIS,87,6.03,295.4,27.6,D,0
-8.4371,126.4011,326.7,1.4,1.2,2021-10-17,0141,Terra,MODIS,59,6.03,303.8,14.7,D,0
-8.643,125.1613,320.9,2.1,1.4,2021-10-18,0223,Terra,MODIS,62,6.03,297.4,34.6,D,0
-8.6453,125.1787,372.7,2.1,1.4,2021-10-18,0223,Terra,MODIS,100,6.03,298.6,342.4,D,0
-9.3322,125.0275,324.9,1,1,2021-10-18,0520,Aqua,MODIS,70,6.03,302.9,12.1,D,0
-9.3146,124.2471,328.8,1,1,2021-10-18,0520,Aqua,MODIS,75,6.03,310.3,8.5,D,0
-8.6938,125.3109,328,1,1,2021-10-18,0520,Aqua,MODIS,72,6.03,304.5,13.7,D,0
-9.4476,125.0601,347.2,1,1,2021-10-18,0520,Aqua,MODIS,93,6.03,299.9,45.8,D,0
-8.6057,126.2337,325.8,1,1,2021-10-18,0520,Aqua,MODIS,66,6.03,303.7,8.5,D,0
-8.6704,125.2834,334.8,1,1,2021-10-18,0520,Aqua,MODIS,80,6.03,303.1,24.1,D,0
-9.0677,125.9087,320.6,1,1,2021-10-18,0520,Aqua,MODIS,42,6.03,301.4,7.6,D,0
-8.6971,125.9594,324.4,1.4,1.2,2021-10-20,0211,Terra,MODIS,76,6.03,296.1,21.9,D,0
-8.6899,125.9531,316.1,1.4,1.2,2021-10-20,0211,Terra,MODIS,31,6.03,294.2,8.2,D,0
-8.7589,125.8232,323.2,1,1,2021-10-22,0159,Terra,MODIS,72,6.03,300.5,12,D,0
-8.6074,125.3539,323.3,1,1,2021-10-22,0159,Terra,MODIS,42,6.03,299.8,9.8,D,0
-8.954,126.0632,321.1,1.2,1.1,2021-10-25,0526,Aqua,MODIS,40,6.03,300.1,9.2,D,0
-9.3575,125.2177,318.7,1.1,1,2021-10-25,0526,Aqua,MODIS,39,6.03,299.3,6.1,D,2
-8.6351,125.316,324.6,1.1,1,2021-10-25,0526,Aqua,MODIS,38,6.03,303.2,12.1,D,0
-8.9241,126.1171,322.6,1.9,1.3,2021-10-27,0217,Terra,MODIS,74,6.03,300.4,25.6,D,0
-9.0329,126.0633,316.4,1.9,1.3,2021-10-27,0217,Terra,MODIS,46,6.03,299,16.6,D,0
-8.9168,126.1075,324.8,1.9,1.3,2021-10-27,0217,Terra,MODIS,78,6.03,300.7,32.6,D,0
-8.9677,126.0775,317.7,1.9,1.3,2021-10-27,0217,Terra,MODIS,44,6.03,302.3,17,D,0
-8.922,126.1002,316.9,1.9,1.3,2021-10-27,0217,Terra,MODIS,55,6.03,298.4,12.7,D,0
-9.0396,126.0643,318.9,1,1,2021-10-27,0514,Aqua,MODIS,48,6.03,301.2,8.3,D,0
-8.7443,125.8113,328.6,1,1,2021-10-27,0514,Aqua,MODIS,72,6.03,302.5,18.1,D,0
-8.9022,126.1898,324.4,1,1,2021-10-27,0514,Aqua,MODIS,74,6.03,304,9.8,D,0
-8.9843,125.17,318.5,3.7,1.8,2021-10-28,0122,Terra,MODIS,42,6.03,297.2,50.6,D,0
-8.7166,125.7279,324.3,1.1,1,2021-10-29,0205,Terra,MODIS,59,6.03,305.4,13.4,D,0
