latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.7314,-175.0709,359.1,1,1,2021-02-15,2159,Terra,MODIS,75,6.03,300.9,78,D,1
-19.7328,-175.0614,319.9,1,1,2021-02-15,2159,Terra,MODIS,0,6.03,297.2,11.5,D,1
-19.7274,-175.0772,327.4,1.2,1.1,2021-02-16,1010,Terra,MODIS,97,6.03,291.2,0,N,1
-19.7262,-175.0643,324.2,1.9,1.4,2021-02-18,0957,Terra,MODIS,94,6.03,292.3,0,N,1
-19.7282,-175.0835,322.6,1.9,1.4,2021-02-18,0957,Terra,MODIS,92,6.03,292.1,0,N,1
-19.7301,-175.0739,328,1,1,2021-02-18,1305,Aqua,MODIS,98,6.03,277.3,0,N,1
-19.7315,-175.0643,326.4,1,1,2021-02-18,1305,Aqua,MODIS,100,6.03,281.5,25.2,N,1
-19.7303,-175.0674,332.6,1.6,1.2,2021-02-19,1040,Terra,MODIS,100,6.03,292.4,0,N,1
-19.7329,-175.0823,323.6,1.6,1.2,2021-02-19,1040,Terra,MODIS,93,6.03,291.8,0,N,1
-19.7315,-175.0629,325.5,1.6,1.3,2021-02-23,1323,Aqua,MODIS,95,6.03,292.9,0,N,1
-19.7288,-175.0701,327,1.6,1.3,2021-02-23,1323,Aqua,MODIS,96,6.03,292.6,0,N,1
-19.7288,-175.0741,347.7,1,1,2021-02-24,2152,Terra,MODIS,82,6.03,298.1,55.6,D,1
-19.7303,-175.0644,340,1,1,2021-02-24,2152,Terra,MODIS,68,6.03,298.8,40.7,D,1
-19.7275,-175.0663,326.5,1.5,1.2,2021-02-25,1003,Terra,MODIS,96,6.03,292.2,0,N,1
-19.7292,-175.0807,320.9,1.5,1.2,2021-02-25,1003,Terra,MODIS,90,6.03,291.9,0,N,1
-19.7316,-175.0676,305.2,1.1,1,2021-02-25,1311,Aqua,MODIS,24,6.03,289,7.6,N,1
-19.7319,-175.0705,342.2,1,1,2021-02-27,1259,Aqua,MODIS,100,6.03,276.1,51.8,N,1
-19.7334,-175.0608,311.8,1,1,2021-02-27,1259,Aqua,MODIS,77,6.03,275.9,13.6,N,1
-19.7335,-175.0763,335.3,1.2,1.1,2021-03-05,2146,Terra,MODIS,62,6.03,288.7,40.5,D,1
-19.7288,-175.0733,334.5,1.1,1,2021-03-10,2204,Terra,MODIS,75,6.03,302.6,33.2,D,1
-19.7302,-175.0628,325.5,1.1,1,2021-03-10,2204,Terra,MODIS,0,6.03,301.5,20,D,1
-19.7321,-175.0721,341.1,1,1,2021-03-11,1015,Terra,MODIS,100,6.03,293.2,47.6,N,1
-19.7304,-175.0741,320.2,1.1,1,2021-03-13,1311,Aqua,MODIS,100,6.03,291.6,20.1,N,1
-19.7318,-175.0635,323,1.1,1,2021-03-13,1311,Aqua,MODIS,100,6.03,292.2,23.5,N,1
-19.7324,-175.0717,341.1,1,1,2021-03-14,0122,Aqua,MODIS,59,6.03,302.5,40,D,1
-19.7246,-175.0686,327.5,1.5,1.2,2021-03-17,1247,Aqua,MODIS,97,6.03,291.1,0,N,1
-19.7315,-175.0758,311.1,1,1,2021-03-18,1021,Terra,MODIS,74,6.03,291.6,9.2,N,1
-19.7301,-175.0663,305.4,1,1,2021-03-18,1021,Terra,MODIS,28,6.03,292,5.6,N,1
-19.7272,-175.0729,314,1.2,1.1,2021-03-20,1009,Terra,MODIS,84,6.03,286.2,16.2,N,1
-19.732,-175.0667,307.1,1,1,2021-03-22,1305,Aqua,MODIS,52,6.03,291.9,7.1,N,1
-19.7285,-175.07,327.1,1,1,2021-03-28,2152,Terra,MODIS,57,6.03,293.1,22.1,D,1
-19.7262,-175.0641,306.7,1.1,1,2021-03-29,1311,Aqua,MODIS,48,6.03,291.4,7.4,N,1
-19.7326,-175.0675,336.7,1,1,2021-03-31,1259,Aqua,MODIS,100,6.03,293,39.6,N,1
-19.7286,-175.0719,322.4,1,1,2021-04-04,2158,Terra,MODIS,57,6.03,295.4,15.7,D,1
-19.733,-175.0676,324.8,1.2,1.1,2021-04-05,1009,Terra,MODIS,100,6.03,291.9,29.2,N,1
-19.7345,-175.079,317.9,1.2,1.1,2021-04-05,1009,Terra,MODIS,95,6.03,291.6,20.1,N,1
-19.7343,-175.0627,318.1,1.1,1,2021-04-11,2204,Terra,MODIS,0,6.03,300.6,12.2,D,1
-19.7321,-175.072,317.9,1.1,1,2021-04-13,0134,Aqua,MODIS,52,6.03,294.1,11.5,D,1
-19.733,-175.074,348.8,1,1,2021-04-13,2152,Terra,MODIS,0,6.03,299.3,57.6,D,1
-19.732,-175.0684,320.2,1.5,1.2,2021-04-14,1003,Terra,MODIS,90,6.03,291.9,0,N,1
-19.7341,-175.0692,320.7,1,1,2021-04-16,1259,Aqua,MODIS,100,6.03,291.8,18.7,N,1
-19.7251,-175.0674,315.3,1,1,2021-04-16,1259,Aqua,MODIS,88,6.03,291.6,13.5,N,1
-19.7292,-175.0732,325.7,1,1,2021-04-19,1021,Terra,MODIS,100,6.03,292.4,22.8,N,1
-19.7322,-175.0697,317.7,1.2,1.1,2021-04-24,0116,Aqua,MODIS,52,6.03,295.7,15.1,D,1
-19.7336,-175.0809,311.9,1.2,1.1,2021-04-24,0116,Aqua,MODIS,39,6.03,295.2,8.8,D,1
-19.7257,-175.063,312.9,1.2,1.1,2021-04-25,1253,Aqua,MODIS,80,6.03,291.1,14.8,N,1
-19.7304,-175.0664,326.1,1,1,2021-05-02,1259,Aqua,MODIS,100,6.03,289.9,25,N,1
-19.7325,-175.0688,315.7,1.3,1.1,2021-05-03,1033,Terra,MODIS,89,6.03,280,21.5,N,1
-19.7342,-175.0743,312.5,1.3,1.1,2021-05-03,1033,Terra,MODIS,79,6.03,279.6,17.9,N,1
-19.7344,-175.0749,306,1.1,1,2021-05-12,1027,Terra,MODIS,40,6.03,285.6,9.3,N,1
-19.7275,-175.0688,328.7,1.2,1.1,2021-05-27,1253,Aqua,MODIS,98,6.03,290.1,0,N,1
-19.7331,-175.0683,317.8,1.3,1.1,2021-06-04,1033,Terra,MODIS,94,6.03,289.5,22.3,N,1
-19.7351,-175.0803,306.8,1.3,1.1,2021-06-04,1033,Terra,MODIS,49,6.03,289.2,10.4,N,1
-19.7345,-175.0743,320,1.3,1.1,2021-06-04,1033,Terra,MODIS,100,6.03,289.5,24.4,N,1
-19.731,-175.0687,346.8,1,1,2021-06-07,2157,Terra,MODIS,71,6.03,294.6,52.6,D,1
-19.7296,-175.0782,312.2,1,1,2021-06-07,2157,Terra,MODIS,46,6.03,295.2,7.7,D,1
-19.7337,-175.0708,316.7,1,1,2021-06-10,1305,Aqua,MODIS,92,6.03,289.6,14.9,N,1
-19.7314,-175.0742,309.6,1,1,2021-06-22,1020,Terra,MODIS,67,6.03,288.7,9.8,N,1
-19.7333,-175.0701,325.2,1.2,1.1,2021-06-24,1008,Terra,MODIS,100,6.03,286.1,32.4,N,1
-19.7283,-175.0722,307.3,1.2,1.1,2021-06-28,1253,Aqua,MODIS,53,6.03,287.8,13.3,N,1
-19.7291,-175.0756,318.2,1,1,2021-07-02,2151,Terra,MODIS,60,6.03,294.2,14.5,D,1
-19.7306,-175.0659,324.7,1,1,2021-07-02,2151,Terra,MODIS,59,6.03,294.8,21.1,D,1
-19.7312,-175.0685,328.5,1.1,1,2021-07-03,1311,Aqua,MODIS,100,6.03,288.9,31.6,N,1
-19.7333,-175.075,323.4,1,1,2021-07-04,0122,Aqua,MODIS,58,6.03,291.2,20.8,D,1
-19.7284,-175.0656,315.2,1,1,2021-07-05,1259,Aqua,MODIS,87,6.03,287.7,15.3,N,1
-19.7272,-175.0679,321.2,1,1,2021-07-21,1259,Aqua,MODIS,100,6.03,292.2,19.7,N,1
-19.734,-175.0742,314.5,1,1,2021-07-24,1019,Terra,MODIS,85,6.03,293,12.3,N,1
-19.7338,-175.0731,322.8,1,1,2021-08-02,1013,Terra,MODIS,100,6.03,286.2,23.5,N,1
-19.7309,-175.0747,318.3,1,1,2021-08-03,2150,Terra,MODIS,57,6.03,297.9,13.8,D,1
-19.7324,-175.065,320,1,1,2021-08-03,2150,Terra,MODIS,51,6.03,298.9,15.2,D,1
-19.7334,-175.0674,327.8,1.3,1.1,2021-08-07,1031,Terra,MODIS,100,6.03,289.1,38,N,1
-19.7302,-175.0726,310.8,1,1,2021-08-13,1305,Aqua,MODIS,72,6.03,287.1,11.2,N,1
-19.7316,-175.063,306.5,1,1,2021-08-13,1305,Aqua,MODIS,46,6.03,287.3,8.3,N,1
-19.7311,-175.0755,313.3,1.1,1,2021-08-16,1025,Terra,MODIS,82,6.03,287.8,15.2,N,1
-19.7305,-175.0658,310.3,1.1,1,2021-08-19,0134,Aqua,MODIS,21,6.03,289.5,8.5,D,1
-19.7321,-175.0761,327.7,1.1,1,2021-08-19,0134,Aqua,MODIS,46,6.03,289.4,26.9,D,1
-21.2447,-175.1649,318.2,1.3,1.1,2021-08-30,0116,Aqua,MODIS,0,6.03,298.6,13.9,D,0
-19.7331,-175.081,305.1,1.1,1,2021-09-01,1025,Terra,MODIS,17,6.03,288.1,7.4,N,1
-19.7316,-175.0708,333.8,1.1,1,2021-09-01,1025,Terra,MODIS,100,6.03,288.9,38.3,N,1
-19.7291,-175.065,315.8,1,1,2021-09-07,1259,Aqua,MODIS,89,6.03,292,15,N,1
-19.7357,-175.0811,305.6,1.3,1.1,2021-09-08,1031,Terra,MODIS,34,6.03,292.2,9,N,1
-19.7338,-175.069,322.3,1.3,1.1,2021-09-08,1031,Terra,MODIS,100,6.03,292.6,27.9,N,1
-19.7337,-175.0789,310.5,1,1,2021-09-13,0128,Aqua,MODIS,28,6.03,293.4,5.6,D,1
-19.7323,-175.0694,312.6,1,1,2021-09-13,0128,Aqua,MODIS,42,6.03,294.1,7,D,1
-19.7315,-175.068,328.4,1,1,2021-09-14,1305,Aqua,MODIS,100,6.03,288.6,28.3,N,1
-19.7341,-175.0742,324.2,1.2,1.1,2021-09-15,0116,Aqua,MODIS,55,6.03,293.2,24.5,D,1
-19.7322,-175.0655,328,1,1,2021-09-27,2155,Terra,MODIS,61,6.03,303.6,21,D,1
-19.7308,-175.075,328.5,1,1,2021-09-27,2155,Terra,MODIS,71,6.03,302.8,21.9,D,1
-19.7321,-175.0791,313.3,1.2,1.1,2021-09-28,1006,Terra,MODIS,82,6.03,290.2,15.5,N,1
-19.7306,-175.0676,321,1.2,1.1,2021-09-28,1006,Terra,MODIS,100,6.03,290.7,24.5,N,1
-19.7314,-175.0709,312.6,1,1,2021-10-12,1018,Terra,MODIS,79,6.03,289.1,12,N,1
-19.7306,-175.0645,325.2,1,1,2021-10-13,2155,Terra,MODIS,59,6.03,302,17.6,D,1
-19.7292,-175.0741,328.7,1,1,2021-10-13,2155,Terra,MODIS,71,6.03,304.6,22.4,D,1
-19.7315,-175.0677,311.4,1.2,1.1,2021-10-14,1006,Terra,MODIS,75,6.03,290.6,13.9,N,1
-19.7335,-175.0735,317.6,1.2,1.1,2021-10-14,1006,Terra,MODIS,94,6.03,290.4,20.2,N,1
-19.7319,-175.0655,317.7,1.3,1.1,2021-10-14,1317,Aqua,MODIS,94,6.03,290.2,23.8,N,1
-19.7322,-175.0754,325.4,1,1,2021-10-15,0128,Aqua,MODIS,59,6.03,305.9,17.5,D,1
-19.7315,-175.0673,326.7,1,1,2021-10-16,1305,Aqua,MODIS,100,6.03,291.2,24.7,N,1
-19.7274,-175.0624,324.1,1,1,2021-10-25,1259,Aqua,MODIS,100,6.03,290.8,22.9,N,1
-19.7259,-175.0721,325.6,1,1,2021-10-25,1259,Aqua,MODIS,100,6.03,289.9,24.7,N,1
-19.7175,-175.0728,315.6,1,1,2021-10-31,0128,Aqua,MODIS,43,6.03,297.1,8,D,0
-19.731,-175.076,315.3,1,1,2021-11-16,0129,Aqua,MODIS,48,6.03,297.8,9.1,D,1
-19.7323,-175.0744,328.6,1.2,1.1,2021-11-16,2142,Terra,MODIS,77,6.03,305.9,25.3,D,1
-19.7341,-175.0635,323,1.2,1.1,2021-11-16,2142,Terra,MODIS,0,6.03,303,16.8,D,1
-19.7331,-175.0668,310.7,1.2,1.1,2021-11-19,1253,Aqua,MODIS,72,6.03,290.9,12.6,N,1
-19.7351,-175.0749,308.6,1.1,1,2021-11-20,1023,Terra,MODIS,62,6.03,292.8,8.2,N,1
-19.729,-175.0719,319.3,1,1,2021-11-22,1011,Terra,MODIS,98,6.03,290.7,17,N,1
-19.7335,-175.0771,307.9,1,1,2021-11-29,1017,Terra,MODIS,57,6.03,292.2,7.7,N,1
-19.7321,-175.0676,311.3,1,1,2021-11-29,1017,Terra,MODIS,75,6.03,292.5,10.2,N,1
-19.7324,-175.0702,327.4,1,1,2021-12-16,2153,Terra,MODIS,57,6.03,298.3,19,D,1
-19.733,-175.068,307,1,1,2021-12-24,1010,Terra,MODIS,51,6.03,281.8,8.9,N,1
