latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.4485,-61.4689,324,1,1,2021-01-13,1734,Aqua,MODIS,74,6.03,302.2,15,D,2
10.4631,-61.4415,320.9,1.1,1,2021-01-22,1728,Aqua,MODIS,77,6.03,291.2,15.1,D,2
10.6326,-61.3523,313.1,1.1,1,2021-01-22,1728,Aqua,MODIS,22,6.03,296.1,6.8,D,2
10.454,-61.4373,331.9,1.6,1.3,2021-01-24,1716,Aqua,MODIS,86,6.03,298.3,50.6,D,2
10.4546,-61.4321,333.1,1.6,1.3,2021-01-24,1716,Aqua,MODIS,87,6.03,298.6,53.6,D,2
10.4523,-61.4467,326.3,1.6,1.3,2021-01-24,1716,Aqua,MODIS,77,6.03,298.3,35.7,D,2
10.6567,-61.2392,320,1,1,2021-01-27,1444,Terra,MODIS,72,6.03,298.8,13,D,0
10.333,-61.3741,322.3,1,1,2021-01-29,1734,Aqua,MODIS,76,6.03,303.1,11.5,D,0
10.3317,-61.3831,324.3,1,1,2021-01-29,1734,Aqua,MODIS,78,6.03,302.6,13.8,D,0
10.261,-61.3202,311.6,1.3,1.1,2021-01-31,1722,Aqua,MODIS,61,6.03,295.4,7.4,D,0
10.4708,-61.4597,328.3,1.1,1,2021-02-05,1741,Aqua,MODIS,77,6.03,302.5,19.5,D,2
10.4694,-61.4693,321.3,1.1,1,2021-02-05,1741,Aqua,MODIS,46,6.03,301.1,10.6,D,0
10.4545,-61.3613,313,1.1,1,2021-02-07,1728,Aqua,MODIS,51,6.03,299.8,6.1,D,0
10.5827,-61.4228,318.9,1.1,1,2021-02-07,1728,Aqua,MODIS,40,6.03,301.2,9.5,D,0
10.5841,-61.4132,318.5,1.1,1,2021-02-07,1728,Aqua,MODIS,37,6.03,301.1,8.4,D,0
10.3668,-61.3823,314.3,1.6,1.2,2021-02-09,1716,Aqua,MODIS,66,6.03,299.2,12.4,D,0
10.7178,-61.5588,316.6,1.1,1.1,2021-02-19,1450,Terra,MODIS,52,6.03,299.5,12.8,D,2
10.465,-61.4648,325.9,1.6,1.2,2021-02-19,1753,Aqua,MODIS,46,6.03,295.9,38,D,2
10.4223,-61.4759,302.3,1.4,1.2,2021-02-26,0532,Aqua,MODIS,48,6.03,291.3,7.8,N,2
10.4154,-61.4813,321.2,1.2,1.1,2021-02-28,1747,Aqua,MODIS,0,6.03,304.3,8.8,D,2
10.6327,-61.4524,317.4,1.2,1.1,2021-03-02,1431,Terra,MODIS,55,6.03,303.3,10.7,D,2
10.1856,-61.4262,326.9,1,1,2021-03-02,1734,Aqua,MODIS,80,6.03,309.5,12.8,D,0
10.2346,-61.4123,329.1,1,1,2021-03-02,1734,Aqua,MODIS,81,6.03,309.2,15.6,D,0
10.3707,-61.4199,336,1,1,2021-03-02,1734,Aqua,MODIS,87,6.03,310.6,24.9,D,0
10.2359,-61.4033,325.9,1,1,2021-03-02,1734,Aqua,MODIS,78,6.03,308.3,11.9,D,0
10.264,-61.3982,326.1,1,1,2021-03-02,1734,Aqua,MODIS,78,6.03,308.7,11.9,D,0
10.4593,-61.3843,327.4,1,1,2021-03-02,1735,Aqua,MODIS,81,6.03,307.8,14.4,D,0
10.3837,-61.4425,315.4,1.1,1,2021-03-25,1741,Aqua,MODIS,56,6.03,290.9,6.1,D,0
10.5063,-61.44,340.9,1,1,2021-04-19,1734,Aqua,MODIS,90,6.03,298.9,35.7,D,0
10.6398,-61.3416,314.8,1.2,1.1,2021-05-10,1449,Terra,MODIS,27,6.03,298.1,9,D,2
10.6334,-61.4549,316.5,1.1,1.1,2021-05-10,1449,Terra,MODIS,60,6.03,300.2,12.3,D,2
10.7131,-61.5549,310.9,2.3,1.5,2021-05-15,1507,Terra,MODIS,43,6.03,297.1,24.3,D,2
10.2818,-61.3299,313.6,1.6,1.2,2021-05-16,1716,Aqua,MODIS,63,6.03,297.9,13.4,D,0
10.7202,-61.5571,310.8,1.4,1.2,2021-06-18,1454,Terra,MODIS,33,6.03,294.9,9.3,D,2
10.1772,-61.6813,315.2,1,1,2021-06-20,1442,Terra,MODIS,48,6.03,297.5,8.5,D,2
10.6507,-61.4991,313.3,1.9,1.3,2021-06-24,1418,Terra,MODIS,27,6.03,292.8,16.2,D,2
10.5871,-61.133,310.3,1.9,1.4,2021-06-25,1500,Terra,MODIS,32,6.03,295.2,14.5,D,2
10.7138,-61.4709,310.7,1.4,1.2,2021-08-05,1453,Terra,MODIS,39,6.03,295.2,9.4,D,2
10.6452,-61.4542,314.9,2.8,1.6,2021-08-06,1704,Aqua,MODIS,27,6.03,297.6,35,D,2
10.6626,-61.512,311,3.1,1.7,2021-08-10,1512,Terra,MODIS,0,6.03,291,34.3,D,2
10.5996,-61.2667,310.8,1.9,1.3,2021-09-13,1459,Terra,MODIS,26,6.03,293,17.3,D,2
10.7166,-61.5613,312.2,2.1,1.4,2021-09-14,1710,Aqua,MODIS,53,6.03,296,20.9,D,2
10.4051,-61.2395,310,1.2,1.1,2021-09-15,1447,Terra,MODIS,14,6.03,294.1,7.4,D,0
