latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.395,10.0184,301.5,1.3,1.1,2021-01-17,2144,Terra,MODIS,41,6.03,274.3,13.3,N,0
35.6236,10.8761,303.8,1.6,1.3,2021-01-20,1251,Aqua,MODIS,57,6.03,290.5,9.6,D,0
35.508,9.0651,310.1,1.3,1.1,2021-02-05,1251,Aqua,MODIS,49,6.03,299.3,7.6,D,0
35.2108,10.2179,314.7,1,1,2021-02-09,1226,Aqua,MODIS,66,6.03,302.7,6.3,D,0
34.6034,10.5868,308.8,1.2,1.1,2021-02-11,2138,Terra,MODIS,76,6.03,281.1,17.1,N,0
31.3997,10.0171,302.5,1.1,1,2021-03-31,2137,Terra,MODIS,49,6.03,284.1,9.5,N,0
36.5472,10.0801,319,1,1,2021-05-13,1016,Terra,MODIS,66,6.03,305.3,5.9,D,0
35.0816,8.319,339.8,1.2,1.1,2021-05-16,1226,Aqua,MODIS,83,6.03,314,33.6,D,0
35.0794,8.3062,330,1.2,1.1,2021-05-16,1226,Aqua,MODIS,65,6.03,312.3,15.5,D,0
36.7449,9.511,340.4,1,1,2021-05-16,1227,Aqua,MODIS,87,6.03,306.8,34.7,D,0
36.3547,10.2039,315.6,1.1,1.1,2021-05-20,1022,Terra,MODIS,49,6.03,301.6,5.2,D,2
35.7901,10.6685,326.3,1,1,2021-05-22,1010,Terra,MODIS,46,6.03,307.5,9.4,D,2
36.1028,10.3901,324.6,1.1,1,2021-05-25,1220,Aqua,MODIS,59,6.03,309.6,7.7,D,0
36.3591,10.194,323.3,1.1,1,2021-05-25,1220,Aqua,MODIS,50,6.03,307,9.3,D,0
36.1594,8.5785,353.9,1.5,1.2,2021-06-04,1257,Aqua,MODIS,96,6.03,314.7,93.3,D,0
31.3986,10.0263,309.8,1,1,2021-06-12,2129,Terra,MODIS,78,6.03,294.4,9.8,N,0
31.3972,10.0159,310.5,1,1,2021-06-12,2129,Terra,MODIS,80,6.03,294.2,10.3,N,0
35.1625,8.5519,337.9,1.2,1.1,2021-06-13,1251,Aqua,MODIS,77,6.03,318.3,25.4,D,0
35.164,8.5648,330.3,1.2,1.1,2021-06-13,1251,Aqua,MODIS,50,6.03,316.3,11.4,D,0
35.1639,8.5645,330.1,1,1,2021-06-14,1016,Terra,MODIS,65,6.03,313.4,11.4,D,0
35.1655,8.5537,332.7,1,1,2021-06-14,1016,Terra,MODIS,72,6.03,314.5,14.8,D,0
34.5992,10.5848,304,1,1,2021-06-14,2118,Terra,MODIS,58,6.03,293.8,5.4,N,0
34.6028,10.588,301.9,1.5,1.2,2021-06-15,0136,Aqua,MODIS,45,6.03,290.5,10.3,N,0
37.241,9.9697,307.6,1.3,1.1,2021-06-16,2106,Terra,MODIS,70,6.03,294.6,9.5,N,0
35.6184,8.955,327.9,1.4,1.2,2021-06-19,1034,Terra,MODIS,39,6.03,309.7,17.3,D,0
35.1113,8.9237,336.9,1.6,1.2,2021-06-19,1214,Aqua,MODIS,76,6.03,313.5,39.8,D,0
35.6154,8.9432,328.5,1.6,1.2,2021-06-19,1214,Aqua,MODIS,57,6.03,311,18.9,D,0
35.4718,9.0496,330.6,1.5,1.2,2021-06-19,1214,Aqua,MODIS,63,6.03,311.9,21.1,D,0
35.122,8.9196,339.4,1.6,1.2,2021-06-19,1214,Aqua,MODIS,80,6.03,312.3,47.7,D,0
35.4186,9.2603,336.3,1.5,1.2,2021-06-19,1214,Aqua,MODIS,76,6.03,310.9,37.5,D,0
35.4208,9.2551,331.2,1.5,1.2,2021-06-19,1214,Aqua,MODIS,63,6.03,310.5,25.3,D,0
35.4343,9.2513,350.6,3.7,1.8,2021-06-20,2042,Terra,MODIS,100,6.03,292.2,411.9,N,0
35.4271,9.2619,321.6,3.7,1.8,2021-06-20,2042,Terra,MODIS,99,6.03,285.5,116.4,N,0
35.4503,9.2881,323.3,3.7,1.8,2021-06-20,2042,Terra,MODIS,85,6.03,293.1,120.3,N,0
35.4416,9.2518,359.6,3.7,1.8,2021-06-20,2042,Terra,MODIS,100,6.03,293.8,551,N,0
35.431,9.2083,328.3,3.7,1.8,2021-06-20,2042,Terra,MODIS,100,6.03,286.4,165.2,N,0
35.4431,9.2866,321.2,3.7,1.8,2021-06-20,2042,Terra,MODIS,100,6.03,292.3,110.2,N,0
35.438,9.1977,313.7,3.7,1.8,2021-06-20,2042,Terra,MODIS,56,6.03,287.1,70,N,0
35.4482,9.2391,336.6,3.7,1.8,2021-06-20,2042,Terra,MODIS,100,6.03,293.3,237.9,N,0
35.4574,9.276,314.7,3.7,1.8,2021-06-20,2042,Terra,MODIS,63,6.03,292.6,68.3,N,0
35.4229,9.2054,310.6,3.7,1.8,2021-06-20,2042,Terra,MODIS,35,6.03,282.8,56.8,N,0
35.2073,8.676,307.4,1.7,1.3,2021-06-21,0059,Aqua,MODIS,71,6.03,291.7,15.2,N,0
35.4495,9.2853,362.4,1.1,1,2021-06-21,1022,Terra,MODIS,100,6.03,314,83.8,D,0
35.4461,9.2482,326.4,1.1,1,2021-06-21,1022,Terra,MODIS,25,6.03,308.9,8.2,D,0
35.4404,9.2827,334.7,1.1,1,2021-06-21,1022,Terra,MODIS,71,6.03,311.8,18.1,D,0
35.4389,9.2341,340.4,1.1,1,2021-06-21,1022,Terra,MODIS,84,6.03,308.2,31.1,D,0
35.4371,9.2451,346.7,1.1,1,2021-06-21,1022,Terra,MODIS,90,6.03,310.5,43.2,D,0
35.1861,8.6264,334,1,1,2021-06-21,1022,Terra,MODIS,75,6.03,310.1,19.6,D,0
36.6565,9.9365,338.5,2,1.4,2021-06-21,1202,Aqua,MODIS,84,6.03,310.8,56.7,D,0
36.6446,9.9405,334.2,2,1.4,2021-06-21,1202,Aqua,MODIS,79,6.03,311.2,39.6,D,0
36.6521,9.9152,328.7,2,1.4,2021-06-21,1202,Aqua,MODIS,71,6.03,310.8,20,D,0
35.183,8.6334,326.5,2.6,1.5,2021-06-21,1202,Aqua,MODIS,46,6.03,305.8,39.4,D,0
35.4381,9.2335,330.2,2.3,1.5,2021-06-21,1202,Aqua,MODIS,67,6.03,305.6,43.2,D,0
35.4487,9.2826,328.6,2.3,1.5,2021-06-21,1202,Aqua,MODIS,62,6.03,306.8,33,D,0
35.4259,9.2408,335,2.3,1.5,2021-06-21,1202,Aqua,MODIS,77,6.03,305.1,67.5,D,0
35.4314,9.266,325.6,2.3,1.5,2021-06-21,1202,Aqua,MODIS,24,6.03,306.6,23.5,D,0
35.4359,9.2868,329.1,2.3,1.5,2021-06-21,1202,Aqua,MODIS,63,6.03,307.1,35.2,D,0
36.648,9.9327,343.8,2,1.4,2021-06-21,1202,Aqua,MODIS,89,6.03,312,81.4,D,0
35.1785,8.6364,311.3,1,1,2021-06-21,2124,Terra,MODIS,79,6.03,296.5,7.7,N,0
35.1857,8.623,310.3,1,1,2021-06-21,2124,Terra,MODIS,68,6.03,296.5,7.2,N,0
35.1875,8.6343,318.5,1,1,2021-06-21,2124,Terra,MODIS,97,6.03,297.2,14,N,0
35.1892,8.6455,310.3,1,1,2021-06-21,2124,Terra,MODIS,76,6.03,295.8,6.8,N,0
35.1947,8.6207,306.5,1,1,2021-06-21,2124,Terra,MODIS,61,6.03,296,5,N,0
35.4318,9.2729,305.5,1,1,2021-06-21,2124,Terra,MODIS,36,6.03,295,3.4,N,0
35.2936,8.8445,311,1,1,2021-06-21,2124,Terra,MODIS,79,6.03,297.2,8,N,0
35.4358,9.2381,326.3,1,1,2021-06-21,2124,Terra,MODIS,100,6.03,298.3,21.7,N,0
35.4342,9.2269,311.6,1,1,2021-06-21,2124,Terra,MODIS,81,6.03,298.3,7.7,N,0
35.1934,8.6435,303.6,1.4,1.2,2021-06-22,0142,Aqua,MODIS,31,6.03,292.8,7.5,N,0
