latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.7296,34.8998,303.3,1.9,1.3,2021-01-01,0903,Terra,MODIS,56,6.03,279.3,20.1,D,0
37.7343,34.8774,306.7,1.9,1.3,2021-01-01,0903,Terra,MODIS,64,6.03,276.7,24.9,D,0
37.8685,29.0728,300.5,1,1,2021-01-01,0903,Terra,MODIS,38,6.03,286,5,D,0
37.7362,34.8945,310.3,1.9,1.3,2021-01-01,0903,Terra,MODIS,70,6.03,278.8,28.8,D,0
37.1456,40.4709,308.9,1.2,1.1,2021-01-01,1041,Aqua,MODIS,54,6.03,291.1,9,D,0
37.1231,42.4012,309.4,1.5,1.2,2021-01-01,1041,Aqua,MODIS,68,6.03,294.9,13.7,D,0
36.9835,40.1958,324.6,1.2,1.1,2021-01-01,1041,Aqua,MODIS,83,6.03,291.7,27.3,D,0
37.097,40.665,309.8,1.2,1.1,2021-01-01,1041,Aqua,MODIS,69,6.03,293.9,9.3,D,0
37.1549,40.2119,322.2,1.2,1.1,2021-01-01,1041,Aqua,MODIS,82,6.03,293.3,22.2,D,0
37.0423,40.5362,306.9,1.2,1.1,2021-01-01,1041,Aqua,MODIS,61,6.03,290.9,7.7,D,0
37.1564,40.225,313.6,1.2,1.1,2021-01-01,1041,Aqua,MODIS,31,6.03,293.8,12.3,D,0
37.1688,40.2157,309.5,1.2,1.1,2021-01-01,1041,Aqua,MODIS,56,6.03,292.2,9.8,D,0
37.0721,40.4488,310.3,1.2,1.1,2021-01-01,1041,Aqua,MODIS,69,6.03,289.2,11.5,D,0
37.1244,42.3955,307.7,1.5,1.2,2021-01-01,1041,Aqua,MODIS,62,6.03,295.3,10.6,D,0
39.1434,34.0447,302.6,1.1,1,2021-01-01,1042,Aqua,MODIS,53,6.03,284.9,6.7,D,0
36.8962,34.8455,300.5,1.1,1,2021-01-01,1042,Aqua,MODIS,34,6.03,288.1,3.9,D,0
38.1806,34.7551,302.6,1.1,1,2021-01-01,1042,Aqua,MODIS,53,6.03,279.7,7.2,D,0
39.1413,34.0323,303.2,1.1,1,2021-01-01,1042,Aqua,MODIS,55,6.03,285.6,7,D,0
38.6502,39.7692,304.3,1.2,1.1,2021-01-01,1042,Aqua,MODIS,59,6.03,276.7,9.7,D,2
40.3391,33.8166,303.7,1.1,1,2021-01-01,1043,Aqua,MODIS,57,6.03,283.9,7.7,D,0
36.9797,40.3453,301,1,1,2021-01-02,0808,Terra,MODIS,43,6.03,285.7,4.9,D,0
37.1054,40.5013,302.3,1,1,2021-01-02,0808,Terra,MODIS,51,6.03,284.8,5.9,D,0
37.0111,40.387,301.7,1,1,2021-01-02,0808,Terra,MODIS,49,6.03,282.5,5.9,D,0
37.0911,40.3392,301.5,1,1,2021-01-02,0808,Terra,MODIS,47,6.03,284.5,5.6,D,0
37.1645,40.4079,305.3,1,1,2021-01-02,0808,Terra,MODIS,61,6.03,284.3,7.3,D,0
37.1069,40.4899,313,1,1,2021-01-02,0808,Terra,MODIS,73,6.03,283.7,13.3,D,0
37.0712,40.4173,304.8,1,1,2021-01-02,0808,Terra,MODIS,60,6.03,284.6,7.7,D,0
38.7323,26.9442,304.2,1,1,2021-01-02,1125,Aqua,MODIS,49,6.03,285.2,6.8,D,2
