latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.3984,53.1881,318.2,1,1,2021-01-01,0724,Terra,MODIS,74,6.03,278.2,18.6,D,2
39.3965,53.1856,311.1,1,1,2021-01-01,1828,Terra,MODIS,82,6.03,268.6,16.7,N,2
39.3899,53.1789,300.3,2,1.4,2021-01-07,1005,Aqua,MODIS,0,6.03,279.8,13.8,D,2
39.3959,53.1819,303.3,1,1,2021-01-08,0730,Terra,MODIS,56,6.03,277.9,8,D,2
38.4966,61.4247,343.9,1,1,2021-01-08,0909,Aqua,MODIS,93,6.03,275.1,57.8,D,0
38.4951,61.4129,391.9,1,1,2021-01-08,0909,Aqua,MODIS,100,6.03,282.7,225.1,D,0
39.3946,53.1852,303.3,1.7,1.3,2021-01-08,0910,Aqua,MODIS,40,6.03,280.8,14.3,D,2
39.3978,53.1858,313.3,1,1,2021-01-08,1834,Terra,MODIS,87,6.03,269,19,N,2
39.4022,53.1868,305.3,1.1,1,2021-01-10,1822,Terra,MODIS,64,6.03,270.2,13.7,N,2
36.4538,61.2116,317.3,1.8,1.3,2021-01-11,0623,Terra,MODIS,77,6.03,287.9,34.3,D,0
36.4596,61.2052,302.9,1.8,1.3,2021-01-11,0623,Terra,MODIS,54,6.03,287.2,11,D,0
36.4577,61.2253,307,1.8,1.3,2021-01-11,0623,Terra,MODIS,65,6.03,287.7,16.7,D,0
39.3941,53.1856,327.2,1,1,2021-01-11,0940,Aqua,MODIS,64,6.03,280.1,26,D,2
37.2561,60.8616,302.8,2.3,1.5,2021-01-11,0940,Aqua,MODIS,54,6.03,289.6,14.9,D,0
37.261,60.866,303.7,2.3,1.5,2021-01-11,0940,Aqua,MODIS,57,6.03,289.7,15.7,D,0
38.4981,55.0154,302.4,1.1,1.1,2021-01-11,0940,Aqua,MODIS,52,6.03,289.2,4.4,D,0
35.9552,61.5145,300.3,1.5,1.2,2021-01-12,0844,Aqua,MODIS,29,6.03,288.4,5.2,D,0
35.9445,61.5177,302.8,1.5,1.2,2021-01-12,0844,Aqua,MODIS,54,6.03,288.5,8.1,D,0
40.1812,52.8362,305.4,1.4,1.2,2021-01-12,1810,Terra,MODIS,64,6.03,273.6,20,N,0
39.3984,53.1817,304.2,1.6,1.3,2021-01-13,0748,Terra,MODIS,51,6.03,283.7,12.6,D,2
38.49,55.012,303.9,1,1,2021-01-13,0928,Aqua,MODIS,57,6.03,292.4,3.2,D,0
39.4043,53.1734,305.8,1.1,1,2021-01-13,0928,Aqua,MODIS,22,6.03,286.2,5.5,D,2
39.3971,53.1878,337.9,1.1,1,2021-01-13,0928,Aqua,MODIS,69,6.03,287.7,41.9,D,2
39.3952,53.1758,322.3,1.1,1,2021-01-13,0928,Aqua,MODIS,62,6.03,287.6,20.6,D,2
40.1867,52.8371,300.5,1.6,1.2,2021-01-13,1853,Terra,MODIS,28,6.03,268.2,16.4,N,0
36.6412,61.1255,303.1,1,1,2021-01-14,0653,Terra,MODIS,55,6.03,289.6,4.5,D,0
37.0348,62.4194,300.9,1.1,1,2021-01-14,0653,Terra,MODIS,42,6.03,283.5,5.7,D,2
36.46,61.2164,301.6,1,1,2021-01-14,0653,Terra,MODIS,48,6.03,290.6,3.1,D,0
36.4762,61.2904,314.8,1,1,2021-01-14,0653,Terra,MODIS,75,6.03,291.5,12.5,D,0
40.1781,52.8459,307.6,1.1,1,2021-01-15,0736,Terra,MODIS,65,6.03,289.2,8.3,D,0
39.3928,53.194,304,1.2,1.1,2021-01-15,0736,Terra,MODIS,41,6.03,287.4,5.4,D,2
39.3951,53.1809,305.3,1.2,1.1,2021-01-15,0736,Terra,MODIS,54,6.03,288.3,6.6,D,2
40.1802,52.8333,306.7,1.1,1,2021-01-15,0736,Terra,MODIS,63,6.03,289.3,7.7,D,0
37.746,62.3626,313.2,1.3,1.1,2021-01-15,0915,Aqua,MODIS,73,6.03,283.9,15.9,D,0
37.1994,61.0703,308.6,1.1,1,2021-01-15,0915,Aqua,MODIS,58,6.03,277.9,10.7,D,0
36.9071,62.4953,303.5,1.2,1.1,2021-01-15,0915,Aqua,MODIS,51,6.03,289,6.2,D,0
37.8643,62.6148,305.3,1.3,1.1,2021-01-15,0915,Aqua,MODIS,61,6.03,285,7.9,D,0
37.664,64.4614,300.4,1.6,1.3,2021-01-15,0915,Aqua,MODIS,37,6.03,289.2,6.1,D,0
37.1486,60.5878,341.1,1.1,1,2021-01-15,0915,Aqua,MODIS,92,6.03,298,46.6,D,0
37.0967,60.9106,325.2,1.1,1,2021-01-15,0915,Aqua,MODIS,56,6.03,293.1,21.8,D,0
37.4518,61.849,311,1.2,1.1,2021-01-15,0915,Aqua,MODIS,71,6.03,292.8,10.1,D,0
37.1782,61.1064,300.8,1.1,1,2021-01-15,0915,Aqua,MODIS,10,6.03,279.9,5.7,D,0
39.7399,62.6233,307.6,1.4,1.2,2021-01-15,0916,Aqua,MODIS,58,6.03,275.7,15.4,D,0
39.3972,53.185,303.1,1.4,1.2,2021-01-15,0916,Aqua,MODIS,17,6.03,275.3,8.1,D,2
39.7436,62.6295,307.1,1.4,1.2,2021-01-15,0916,Aqua,MODIS,55,6.03,276.5,14.6,D,0
36.4307,61.2123,306.2,1.1,1,2021-01-16,0641,Terra,MODIS,60,6.03,294.4,4.4,D,0
37.6348,59.4966,303.2,1.3,1.1,2021-01-16,0641,Terra,MODIS,55,6.03,290.6,6,D,0
39.2743,63.2498,302.9,2.3,1.5,2021-01-16,0820,Aqua,MODIS,54,6.03,288.4,17.8,D,0
37.0919,60.8712,311.2,3.7,1.8,2021-01-16,0820,Aqua,MODIS,71,6.03,292.8,57.4,D,0
37.455,66.0467,317.1,1.8,1.3,2021-01-16,0820,Aqua,MODIS,67,6.03,291.1,33.4,D,0
37.4589,66.0659,327.7,1.8,1.3,2021-01-16,0820,Aqua,MODIS,80,6.03,290.9,58.2,D,0
37.4556,66.1685,301.1,1.7,1.3,2021-01-16,0820,Aqua,MODIS,38,6.03,290.1,7.6,D,0
37.1427,60.9376,304.8,3.7,1.8,2021-01-16,0820,Aqua,MODIS,46,6.03,292,27.6,D,2
37.6104,65.6478,300.5,1.8,1.3,2021-01-16,0820,Aqua,MODIS,0,6.03,288,8.4,D,0
37.5029,65.879,306.5,1.8,1.3,2021-01-16,0820,Aqua,MODIS,47,6.03,290.1,14.9,D,0
37.5104,65.8556,307.4,1.8,1.3,2021-01-16,0820,Aqua,MODIS,0,6.03,289.9,16.5,D,0
37.0997,60.8754,312,3.7,1.8,2021-01-16,0820,Aqua,MODIS,71,6.03,292.9,62.5,D,0
39.278,63.2532,306.2,2.3,1.5,2021-01-16,0820,Aqua,MODIS,59,6.03,288,22.7,D,0
39.2801,63.2755,300.3,2.3,1.5,2021-01-16,0820,Aqua,MODIS,30,6.03,287.3,12.1,D,0
39.3973,53.1912,304.7,1.6,1.2,2021-01-16,0959,Aqua,MODIS,43,6.03,290.8,8.4,D,2
40.1803,52.826,302.6,1.6,1.2,2021-01-16,0959,Aqua,MODIS,53,6.03,288.8,8.1,D,0
39.3956,53.1727,303.7,1.6,1.2,2021-01-16,0959,Aqua,MODIS,47,6.03,291.7,7.3,D,2
40.182,52.8444,303.7,1.6,1.2,2021-01-16,0959,Aqua,MODIS,57,6.03,289.4,9.2,D,0
37.3406,61.1512,308.1,1,1,2021-01-17,0903,Aqua,MODIS,66,6.03,292.1,7.1,D,0
