latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.8334,31.8051,314.7,1.1,1,2021-01-02,0817,Terra,MODIS,60,6.03,292.6,6.6,D,0
3.3055,32.6706,323.3,1,1,2021-01-02,0817,Terra,MODIS,74,6.03,296.5,13.3,D,0
3.1905,32.3857,316.2,1,1,2021-01-02,0817,Terra,MODIS,29,6.03,291,5.1,D,0
2.6072,33.057,321.8,1.1,1,2021-01-02,1115,Aqua,MODIS,54,6.03,304.8,8.3,D,0
2.7797,33.106,325.1,1.1,1,2021-01-02,1115,Aqua,MODIS,75,6.03,306,11.8,D,0
2.9492,32.8762,327.1,1.1,1,2021-01-02,1115,Aqua,MODIS,79,6.03,303.5,16.1,D,0
2.2612,33.9806,319,1,1,2021-01-02,1115,Aqua,MODIS,56,6.03,302.6,7.3,D,0
2.8381,32.6834,323.1,1.1,1,2021-01-02,1115,Aqua,MODIS,55,6.03,301.9,13.8,D,0
2.5206,31.2737,327.7,1.3,1.1,2021-01-02,1115,Aqua,MODIS,63,6.03,305.9,21.8,D,0
2.9747,32.7259,316.5,1.1,1,2021-01-02,1115,Aqua,MODIS,30,6.03,298.1,5.8,D,0
2.9761,32.7355,320,1.1,1,2021-01-02,1115,Aqua,MODIS,40,6.03,301.1,8.8,D,0
2.81,32.8155,320.4,1.1,1,2021-01-02,1115,Aqua,MODIS,55,6.03,300.8,10.3,D,0
2.5116,31.0717,318,1.3,1.1,2021-01-02,1115,Aqua,MODIS,22,6.03,298.1,14.1,D,0
1.2321,34.7632,335,1,1,2021-01-02,1115,Aqua,MODIS,86,6.03,311.4,21.3,D,0
2.7934,33.9038,330.9,1,1,2021-01-02,1115,Aqua,MODIS,57,6.03,307.2,18.1,D,0
2.5525,33.6989,319.7,1,1,2021-01-02,1115,Aqua,MODIS,46,6.03,298.3,10.2,D,0
2.5538,33.7079,319.6,1,1,2021-01-02,1115,Aqua,MODIS,39,6.03,298.1,9.8,D,0
2.8664,33.8317,326.4,1,1,2021-01-02,1115,Aqua,MODIS,59,6.03,305.7,14,D,0
2.8395,32.6931,356,1.1,1,2021-01-02,1115,Aqua,MODIS,98,6.03,304.2,76.4,D,0
2.6368,32.9366,319.7,1.1,1,2021-01-02,1115,Aqua,MODIS,47,6.03,304.1,8.5,D,0
